pmRApmDEcor,PlxpmRAcor,PlxpmDEcor,Nper,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,Source,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RUWE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BPRP,RVDR2,e_RVDR2,EBPRP,RFG,RFBP,RFRP,Pmemb,mass,er_mass,comp_mass,er_comp_mass
-0.1427,-0.0667,-0.0615,27,343.05226377271,0.0594,58.2905036757,0.0544,2007390988860275840,0.3978,0.0678,-2.704,0.074,-2.222,0.07,1.049,17.488571,0.002884,18.143667,0.012359,16.696083,0.006161,1.447584,,,1.27,1273.193,90.181,197.672,0.89,1.2208251981946063,0.0057568748207145,0.111072675585245,0.234139737704253
-0.0332,-0.0194,0.0261,26,343.0511302005,0.0837,58.2937114123,0.0775,2007390993164771456,0.4532,0.0985,-2.65,0.111,-2.046,0.102,1.071,18.086992,0.003056,18.756344,0.026171,17.186094,0.01892,1.57025,,,1.357,821.228,41.724,58.021,0.87,1.081748849128301,0.0211190422445722,0.2878712577992459,0.3309202467253919
-0.2004,-0.0656,-0.0923,26,343.05829872995,0.0084,58.28942531306,0.0079,2007391302402423424,0.3553,0.0097,-2.515,0.01,-2.116,0.01,0.957,12.222775,0.002763,13.155431,0.002921,11.271495,0.00282,1.883936,-63.27,0.55,1.318,5437.854,1254.224,2665.297,0.99,3.4954956308807312,0.005396397266616,0.1437313275527172,0.4580596926012456
-0.2045,-0.1104,0.0139,27,343.03855162651,0.0146,58.29170996468,0.0139,2007390993164768768,0.3347,0.0167,-2.587,0.018,-1.877,0.017,1.041,14.460024,0.002765,14.812251,0.002939,13.924081,0.003001,0.88817,,,1.214,4660.638,1175.339,982.251,0.92,2.65720419567584,0.0157125168359178,0.4477233541428097,0.5424351665943226
-0.2039,-0.0423,-0.0958,26,343.04274895475,0.0152,58.29680093424,0.014,2007390993164765824,0.3628,0.0169,-2.576,0.019,-2.141,0.018,1.018,14.638209,0.002768,14.994529,0.00296,14.094495,0.00291,0.900034,,,1.217,4079.615,1100.162,1311.406,0.98,2.5403542219806106,0.0183127267690492,0.5439932327001986,0.5358992952259437
-0.1515,-0.0542,-0.0941,26,343.05462235035,0.0332,58.28191461723,0.0307,2007390924445305472,0.3936,0.0382,-2.679,0.041,-2.1,0.039,0.999,16.420815,0.002798,16.943769,0.005023,15.740913,0.003885,1.202856,,,1.235,2232.604,259.936,401.616,0.96,1.5457946648012075,0.0040413524953859,0.0,0.2154466523495125
-0.082,-0.0063,-0.0115,27,343.0401383333,0.0176,58.29807449703,0.0156,2007402744195284864,0.386,0.0192,-2.651,0.022,-2.139,0.02,0.984,14.951373,0.002769,15.374677,0.003258,14.343483,0.002908,1.031194,,,1.228,3951.618,645.656,1323.309,0.94,2.1091045183056853,0.0556994163971308,1.59991284059296,0.0841341689930809
-0.1693,-0.0837,-0.0505,26,343.03793090271,0.0601,58.28428401603,0.0563,2007390993164775936,0.4175,0.0701,-2.509,0.075,-2.204,0.073,1.03,17.518677,0.002915,18.255669,0.009474,16.690008,0.006156,1.56566,,,1.271,1142.573,119.914,197.844,0.84,1.115273272492881,0.0336335324204095,0.9421207828584428,0.061298870276153
-0.1241,-0.037,-0.0877,26,343.062547987,0.0144,58.29996615195,0.013,2007391371121892992,0.3268,0.0162,-2.496,0.018,-2.077,0.017,1.523,13.033512,0.002767,13.371963,0.002848,12.511428,0.002829,0.860535,,,1.212,4295.861,1894.013,2326.451,0.96,3.2017166889753503,0.0695131388660506,2.559426266632112,0.6744575982956754
-0.5454,-0.0816,0.0007,20,343.06637273767,0.0289,58.28377649452,0.032,2007391302392089088,0.3575,0.0311,-2.448,0.037,-2.262,0.038,1.258,14.97448,0.002878,,,,,,,,,1303.366,,,0.9,1.5982315517027736,1.139491224277139,0.6457935599538884,0.938254084902554
-0.4424,-0.0269,-0.013,24,343.0679498679,0.0427,58.28429673975,0.0481,2007391302392088960,0.3707,0.0481,-2.664,0.057,-2.135,0.065,1.185,16.40723,0.002963,16.217026,0.084338,15.224418,0.062628,0.992608,,,2.115,995.694,12.881,17.354,0.96,1.726331537974901,0.0059374914111273,0.0,0.0756483524586794
-0.1563,-0.089,-0.0848,26,343.05126133718,0.0847,58.27968591138,0.0816,2007390920140758528,0.1913,0.0981,-2.622,0.104,-2.077,0.1,0.955,18.086863,0.003056,18.794556,0.025449,17.27504,0.008601,1.519516,,,1.267,820.673,42.922,133.452,0.78,1.0833503003858411,0.0034814561423832,0.0,0.1547536626312558
-0.1361,-0.1327,-0.0215,26,343.05991226696,0.0771,58.30188464223,0.0706,2007391366817428736,0.4312,0.0878,-2.554,0.101,-2.135,0.091,0.929,17.929184,0.003065,18.618189,0.022075,17.069536,0.008689,1.548653,,,1.314,809.225,49.581,131.939,0.87,1.1098910951016792,0.0212865244552797,0.3573976161804573,0.3409442444681824
