pmRApmDEcor,PlxpmRAcor,PlxpmDEcor,Nper,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,Source,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RUWE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BPRP,RVDR2,e_RVDR2,EBPRP,RFG,RFBP,RFRP,Pmemb,mass,er_mass,comp_mass,er_comp_mass
-0.1607,0.0858,0.3717,18,87.32689725989,0.0491,33.63483535095,0.0385,3454321907028605696,0.2488,0.0545,0.452,0.057,-1.667,0.038,1.018,16.490002,0.002822,16.776724,0.0065,15.725051,0.005019,1.051673,,,1.408,1774.991,184.93,260.275,0.99,1.8236568168201566,0.005340652659700567,0.11170105606275761,0.24999501081717762
-0.1956,0.0901,0.3981,18,87.32825178783,0.101,33.63580643262,0.0777,3454322284981389312,0.1532,0.1113,0.487,0.115,-1.748,0.076,1.011,17.754898,0.003052,18.065529,0.038416,16.754864,0.027594,1.310665,,,1.602,826.718,28.337,39.549,0.97,1.3908692749410991,0.031217176853579272,0.6631061819089089,0.37678038222286514
-0.215,0.0741,0.4167,18,87.32941223988,0.0396,33.63537388939,0.0311,3454322284985726080,0.1933,0.0439,0.479,0.045,-1.677,0.03,0.994,16.011457,0.002793,16.502151,0.005165,15.330331,0.003612,1.171821,,,1.25,2387.165,249.782,473.413,0.99,1.8810307401037516,0.015985275312825953,1.3111966587396393,0.07390912012802793
-0.2589,0.1656,0.3533,18,87.3249534117,0.0378,33.63077283837,0.0296,3454321907028611584,0.2407,0.0407,0.498,0.044,-1.689,0.028,0.979,15.833192,0.002783,16.257925,0.003337,15.227362,0.003661,1.030563,,,1.226,2770.865,593.172,458.105,0.99,1.8096977219921997,0.039919194043320685,1.6604002307197576,0.2946939824708666
-0.2448,0.1188,0.328,18,87.3229592479,0.0286,33.63360243548,0.0224,3454321907028609920,0.1729,0.0308,0.483,0.033,-1.647,0.022,1.058,15.26676,0.002797,16.122864,0.003919,14.290959,0.003565,1.831904,,,1.364,2253.063,394.425,489.205,0.99,2.103147613247396,0.0017250120532256584,0.26923608544374406,0.44191360915633576
-0.2024,0.0584,0.3736,18,87.32724355036,0.0551,33.63769426739,0.0421,3454322284985725568,0.2382,0.0606,0.406,0.064,-1.657,0.041,0.982,16.668682,0.002827,17.144417,0.005287,16.022387,0.004425,1.12203,,,1.231,1719.517,241.796,316.158,0.99,1.6927078136789293,0.018026209141611356,1.0325318248391284,0.09427767219280742
-0.1842,0.0961,0.3778,18,87.33190597585,0.0358,33.63285819658,0.028,3454322211973568512,0.2376,0.0398,0.484,0.042,-1.687,0.027,1.02,15.865299,0.002789,16.349831,0.004343,15.198935,0.003373,1.150896,,,1.242,2502.265,326.273,572.758,0.99,1.937667821039038,0.010813208981458605,1.2473953861125187,0.08104150169997616
-0.2372,0.0743,0.3037,18,87.32118694905,0.0562,33.63240281433,0.0445,3454321902729933440,0.2426,0.0593,0.462,0.065,-1.725,0.044,0.962,16.597569,0.002817,17.050587,0.005003,15.9708,0.005209,1.079786,,,1.228,1852.862,261.426,246.801,0.99,1.7531765291615846,0.007473925547511586,0.40629417561723385,0.3703206476194943
-0.2089,0.0987,0.391,18,87.33363765782,0.0377,33.63265902979,0.0294,3454322216266248704,0.1966,0.0417,0.494,0.044,-1.738,0.029,1.024,15.920987,0.002786,16.386238,0.00374,15.274015,0.00371,1.112223,,,1.236,2648.959,435.994,444.037,0.99,1.9165812227248489,0.016546385565288545,1.2640552408236017,0.10998325639149524
-0.2056,0.149,0.3774,18,87.32043145218,0.0524,33.63630565471,0.0419,3454321902729932672,0.1159,0.0583,0.4,0.061,-1.784,0.041,0.963,16.459707,0.002829,16.857714,0.011275,15.777529,0.00905,1.080185,,,1.292,1690.737,99.387,126.12,0.98,1.8019985134158356,0.013966010062759757,0.5689556513417071,0.4465790572935164
-0.1895,0.0621,0.3903,18,87.33371381401,0.117,33.63558523376,0.0908,3454322211967551488,0.2003,0.1296,0.433,0.135,-1.461,0.089,0.948,18.029057,0.003057,18.62113,0.021527,17.278088,0.01109,1.343042,,,1.261,819.912,50.865,101.152,0.69,1.2916960898232306,0.007059755433222753,0.1530581793880027,0.2407463420791597
-0.1835,0.1457,0.3755,18,87.32063819976,0.0561,33.63703940224,0.045,3454321907028608256,0.3838,0.0626,0.506,0.066,-1.655,0.043,0.998,16.595425,0.00282,17.035397,0.008666,15.978241,0.005786,1.057156,,,1.227,1803.944,132.337,214.213,0.92,1.7583744638288534,0.0017159593083747597,0.0,0.2045182166049937
-0.1646,0.1698,0.4022,18,87.33330484972,0.1249,33.62972703243,0.0945,3454321838304792576,0.1399,0.1394,0.711,0.139,-1.784,0.09,1.066,18.015717,0.003092,18.646406,0.019255,17.197418,0.011666,1.448988,,,1.3,774.321,56.987,95.851,0.87,1.1969660936801694,0.04118877536483334,1.0009487956130945,0.08264177738924142
-0.099,0.1344,0.4292,18,87.32382845163,0.0365,33.63964518437,0.0289,3454321907028604416,0.1597,0.0428,0.479,0.042,-1.7,0.028,1.087,15.656029,0.002792,16.148523,0.004769,14.937503,0.003638,1.21102,,,1.277,2412.392,280.769,464.951,0.99,2.0183576691523593,0.007509240732124381,0.8067201422437046,0.3956058745668881
-0.0545,0.1906,0.4566,18,87.32657573644,0.1315,33.64016475778,0.1027,3454322280690969344,0.3557,0.1565,0.407,0.148,-1.803,0.098,0.99,18.070219,0.003064,18.674686,0.016685,17.374622,0.016573,1.300064,,,1.214,810.469,66.001,66.461,0.82,1.2773702033115577,0.0023130564629689205,0.0,0.14742195883332676
-0.1111,0.1352,0.4255,18,87.32512446675,0.0492,33.64002273543,0.0392,3454322280690968960,0.2056,0.0573,0.45,0.057,-1.691,0.038,1.064,16.362141,0.00282,16.801479,0.004693,15.737623,0.004071,1.063856,,,1.232,1809.681,287.686,366.249,0.99,1.8318397398226633,0.005526588261696449,0.24358474854230022,0.35606207653704924
-0.2225,0.0896,0.3624,18,87.33520041001,0.0455,33.63463886803,0.0357,3454322216266246272,0.2142,0.0501,0.512,0.054,-1.702,0.036,0.999,16.335316,0.002803,16.859779,0.006152,15.64564,0.003519,1.214139,,,1.242,2107.933,198.039,506.259,0.99,1.709719639189419,0.042370737703199074,1.4084672168664953,0.08232754123196022
-0.1016,0.128,0.4267,18,87.31828610328,0.0247,33.63233215836,0.0195,3454321907028614016,0.2448,0.0291,0.452,0.029,-1.695,0.019,0.988,14.956969,0.002771,15.813672,0.003616,14.03869,0.00292,1.774982,,,1.31,3709.583,472.067,1262.718,0.99,2.153024515165543,0.009994343003137889,1.3679634806746699,0.07391806037019313
