pmRApmDEcor,PlxpmRAcor,PlxpmDEcor,Nper,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,Source,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RUWE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BPRP,RVDR2,e_RVDR2,EBPRP,RFG,RFBP,RFRP,Pmemb,mass,er_mass,comp_mass,er_comp_mass
-0.2169,0.1693,0.3385,18,86.86358428265,0.0316,35.42276692717,0.0254,3455563663675363712,0.367,0.0326,0.377,0.038,-1.659,0.024,1.542,14.340905,0.002775,14.753679,0.003017,13.7194,0.003025,1.034279,,,1.242,3323.837,945.355,929.387,0.99,3.06845795258173,0.0015175175125522753,0.0,0.0
-0.1868,0.1515,0.3878,18,86.86143892911,0.0349,35.4354395903,0.0291,3455563771050975616,0.4107,0.0364,0.653,0.041,-1.717,0.027,0.984,15.489462,0.002778,15.961869,0.003764,14.835269,0.003278,1.1266,,,1.238,3096.396,429.767,630.987,0.97,2.2309307257453552,0.008085920190239591,0.15226905735997703,0.3178545585193227
-0.1411,0.145,0.4386,18,86.85419535679,0.1535,35.43290901178,0.1322,3455564419589627904,0.316,0.1623,0.804,0.177,-1.621,0.124,0.974,18.229317,0.003115,19.006319,0.021727,17.36125,0.014818,1.645069,,,1.291,747.529,50.389,74.606,0.67,1.0807734431521447,0.0035785001437941173,0.0,0.1300533019040244
-0.2226,0.1152,0.2996,18,86.85396491361,0.015,35.42340046382,0.0121,3455563667971764608,0.3908,0.0147,0.549,0.018,-1.757,0.011,0.98,13.246008,0.002774,13.659203,0.003007,12.632016,0.002905,1.027186,,,1.237,3359.714,968.252,1343.472,0.99,3.37049417597551,0.05467253475059188,3.1550864283725777,0.10477161505105106
-0.2032,0.111,0.3512,18,86.85557802419,0.0234,35.42219942613,0.019,3455563667971764352,0.3433,0.0233,0.567,0.028,-1.711,0.018,1.063,14.445839,0.002765,14.853618,0.003116,13.841841,0.002869,1.011777,,,1.232,4612.852,783.198,1623.006,0.99,2.9948218475585895,0.0018725800179177385,0.0,0.0
-0.2329,0.1133,0.3426,18,86.8567512956,0.0349,35.42088303233,0.0285,3455563667971764992,0.427,0.0355,0.477,0.042,-1.637,0.027,2.272,13.659641,0.002764,14.07765,0.002891,13.043842,0.002862,1.033808,,,1.236,5049.908,1431.677,1700.622,0.98,3.464061185240156,0.0009027281525268388,0.0,0.0
-0.4065,0.2311,0.2473,17,86.87219477612,0.1399,35.42767677777,0.1134,3455563766754587904,0.2494,0.1226,0.535,0.168,-1.664,0.107,1.061,17.704554,0.002975,18.465958,0.024041,16.825478,0.010099,1.64048,,,1.306,968.54,45.47,111.867,0.88,1.1856038239594453,0.029599362038820385,0.494370269167471,0.35514417985442837
-0.1995,0.1461,0.3729,18,86.84991939038,0.0245,35.43314398127,0.0203,3455564423886007168,0.3763,0.0252,0.459,0.028,-1.751,0.019,1.026,14.636709,0.002765,15.042589,0.003006,14.0408,0.002929,1.001789,,,1.228,4587.619,971.55,1218.56,0.99,2.859710839865737,0.002254569330427106,0.0,0.0
-0.1608,0.1276,0.4293,18,86.85692864883,0.2481,35.43987564262,0.2112,3455564522668855808,0.4198,0.2577,0.293,0.282,-1.588,0.2,0.995,18.936695,0.003634,19.828268,0.039749,18.106827,0.016493,1.721441,,,1.223,458.323,27.382,66.795,0.78,0.9308302541511105,0.003295403537301944,0.0,0.11650204107625134
-0.1735,0.1822,0.3799,18,86.8625113005,0.0461,35.41633472622,0.0375,3455563667971764736,0.3301,0.0483,0.424,0.054,-1.698,0.035,0.989,16.035999,0.002792,16.546051,0.004804,15.348848,0.003619,1.197203,,,1.246,2392.494,277.638,470.967,0.98,1.8665353955380928,0.008390424356221582,0.18369027212938444,0.3212460016585296
-0.4007,0.2288,0.2516,17,86.86526266837,0.1179,35.41621950116,0.0967,3455563599252287488,0.3138,0.1049,0.501,0.142,-1.669,0.091,1.064,17.478275,0.002937,18.198137,0.020311,16.635328,0.006233,1.562809,,,1.289,1068.279,53.967,194.785,0.95,1.2682538038002056,0.00431007322364172,0.0,0.19914185808547438
-0.4108,0.2259,0.2602,17,86.87172193429,0.1126,35.41819507396,0.0919,3455563599252285184,0.2652,0.1007,0.616,0.135,-1.729,0.086,1.014,17.405594,0.002886,18.228909,0.015373,16.513525,0.005115,1.715384,,,1.297,1266.572,71.819,253.232,0.89,1.149861145243483,0.0317286470923519,1.0335565631089965,0.049088036786459024
-0.1597,0.1758,0.3951,18,86.86397179024,0.077,35.41508247182,0.063,3455563599249942656,0.327,0.0811,0.524,0.09,-1.793,0.06,1.039,16.983656,0.002925,17.729155,0.012032,16.109446,0.007295,1.619709,,,1.307,1107.474,92.769,161.082,0.98,1.2561209902009387,0.029462383077983243,1.1390875026911957,0.0410606772645798
-0.1912,0.0953,0.3255,18,86.85188092254,0.0192,35.41682267787,0.0156,3455563663675365632,0.3608,0.019,0.482,0.023,-1.735,0.014,1.044,14.009146,0.002764,14.446666,0.003194,13.380699,0.002913,1.065967,,,1.236,4835.473,698.176,1299.211,0.99,3.0681286171413844,0.13742521779920572,2.100323282297607,0.45625060315043786
-0.4054,0.173,0.3008,17,86.84401055505,0.0976,35.43481501036,0.082,3455564419589637248,0.1779,0.0865,0.555,0.116,-1.797,0.075,0.991,17.171482,0.002874,17.867472,0.00985,16.364876,0.005961,1.502596,,,1.267,1326.739,114.94,206.126,0.74,1.3556350140970284,0.003386288789072559,0.0,0.17949736030710084
-0.2088,0.1325,0.3561,17,86.87673011791,0.1008,35.43739373863,0.0853,3455563801114346368,0.3361,0.1023,0.487,0.122,-1.598,0.081,1.04,17.513357,0.002919,18.224157,0.013009,16.695082,0.005825,1.529076,,,1.271,1125.609,85.446,212.318,0.95,1.2580691072355992,0.0023101451226118473,0.0,0.08328806670755752
-0.1557,0.0875,0.4095,18,86.85084613372,0.1557,35.41541935768,0.1327,3455563629316957952,0.3512,0.1612,0.895,0.188,-1.686,0.126,1.018,18.32481,0.003162,19.036142,0.030561,17.429768,0.015249,1.606375,,,1.337,700.144,35.675,72.425,0.64,1.0657901871370299,0.0036266067963973705,0.0,0.1026458092303826
