pmRApmDEcor,PlxpmRAcor,PlxpmDEcor,Nper,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,Source,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RUWE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BPRP,RVDR2,e_RVDR2,EBPRP,RFG,RFBP,RFRP,Pmemb,mass,er_mass,comp_mass,er_comp_mass,q,e_q
-0.2081,-0.0911,0.1757,16,84.21615543953,0.034,31.20693746507,0.0251,3447643228585931392,0.5753,0.0379,0.769,0.05,-3.835,0.031,1.095,15.523674,0.002881,16.298092,0.005697,14.64313,0.003517,1.654962,,,1.303,1289.188,218.588,507.253,1.0,1.4773080691340816,0.0245131975442411,1.397502372435283,0.0272906347571549,0.9459789746186276,0.024241462122875274
-0.0958,0.0633,0.0795,16,84.22525440314,0.0492,31.20860214175,0.0366,3447643232881122688,0.63,0.0539,0.73,0.064,-3.559,0.043,1.036,16.320541,0.002856,17.063351,0.007545,15.461068,0.004108,1.602283,,,1.295,1441.502,154.888,360.132,1.0,1.37416020635229,0.0220888907362162,0.8810804889654671,0.0973224364834346,0.6411774150441282,0.07156921623720276
-0.0846,-0.0258,0.044,15,84.22999186824,0.021,31.20597728841,0.0155,3447643267240860800,0.5829,0.023,0.804,0.027,-3.932,0.018,1.012,14.439403,0.002772,14.963889,0.003098,13.735256,0.003281,1.228633,,,1.253,3567.903,806.101,629.284,0.99,2.3157627294198364,0.082895697244759,1.6432708840360657,0.1057318572632951,0.7096024403362564,0.05224769421516114
-0.0195,0.0577,0.0782,17,84.22758535546,0.153,31.19743660884,0.1157,3447643022427492096,0.6358,0.1656,0.997,0.208,-3.846,0.138,0.966,18.365829,0.003552,19.570389,0.051491,17.356915,0.012523,2.213474,,,1.305,484.197,21.117,88.934,0.98,0.8188440142439717,0.0283177793856608,0.7051083077657774,0.0438593548727388,0.8611021091932815,0.06128412209733248
-0.1285,0.2486,-0.0475,14,84.23360504319,0.1025,31.20254779095,0.0709,3447643056787234816,0.5162,0.1149,0.636,0.129,-3.751,0.081,0.959,17.473921,0.003064,18.428652,0.012901,16.542036,0.012014,1.886616,,,1.294,809.524,86.199,92.909,0.99,1.0085452283255796,0.0346854332941366,0.8478551871094815,0.0598298993112053,0.8406714575578519,0.06599332006193509
-0.0879,0.0901,0.106,17,84.22631082288,0.0504,31.19298461682,0.038,3447643026722695552,0.5461,0.0556,0.516,0.068,-3.593,0.045,0.99,16.415535,0.002826,17.211466,0.010564,15.518858,0.004117,1.692608,,,1.31,1728.646,106.562,358.7,0.99,1.2644834827483755,0.0391773226208078,1.0850760910062125,0.0720296377339847,0.8581180425131231,0.06286276776243974
-0.0962,0.0538,0.087,16,84.214125763,0.0269,31.21982163976,0.0199,3447643301600598656,0.5829,0.0292,0.655,0.035,-3.669,0.023,0.98,15.017909,0.00278,15.540956,0.00331,14.318263,0.00313,1.222692,,,1.25,2954.628,609.904,765.937,1.0,2.0750307807735955,0.0295603358217537,0.983906562986878,0.2270711367094072,0.4741648037722439,0.10963852991379623
-0.0831,-0.0907,0.1173,17,84.23910985884,0.044,31.1945479864,0.0339,3447643026722693120,0.694,0.0487,0.681,0.059,-3.762,0.04,1.013,16.039591,0.002834,16.729237,0.009128,15.122406,0.010033,1.606831,,,1.364,1638.823,124.927,112.66,1.0,1.3899594791963892,0.0414481921980124,1.1721470320007912,0.066093114218158,0.8432958295147372,0.053790361955150155
-0.0608,0.1245,0.0966,17,84.24254125462,0.122,31.20887170626,0.0929,3447643056787240704,0.6823,0.1348,0.842,0.165,-3.655,0.11,1.011,18.046947,0.003307,19.084415,0.030217,17.061329,0.008863,2.023087,,,1.322,593.616,36.085,129.069,0.99,0.8862385827762832,0.0447895707579061,0.7424505217154909,0.0413920638470916,0.8377546815775574,0.06303966494765254
-0.0624,-0.0296,0.039,17,84.23506502194,0.0768,31.18653500099,0.0592,3447643026722695296,0.3766,0.0828,0.931,0.105,-3.867,0.07,1.059,17.113035,0.002925,18.008442,0.020012,16.181681,0.005524,1.826761,,,1.31,1106.255,54.79,227.746,0.74,1.0940666945961666,0.0305552979804471,0.929796897711789,0.0702153371209446,0.8498539461115654,0.06842659035799635
-0.2095,-0.1094,0.1936,15,84.19678794291,0.039,31.20114046667,0.0272,3447637426085345280,0.4558,0.0435,0.803,0.056,-3.753,0.034,0.938,15.813872,0.002798,16.590696,0.005081,14.941298,0.003116,1.649398,,,1.295,2236.031,255.688,782.673,0.96,1.394745033120352,0.0294736389594556,1.2921660610534262,0.0364564127736428,0.9264532444059442,0.032657372845161944
-0.1077,-0.026,0.0531,16,84.24352719109,0.0312,31.21611119149,0.0243,3447643366026825088,0.664,0.0343,0.762,0.042,-3.629,0.029,1.238,14.802963,0.002798,,,,,,,,,2218.467,,,1.0,3.965716235286525,2.513280841783187,1.572326566664332,2.068022301443881,0.39647984711410666,0.578854784151016
-0.0777,-0.0378,0.0287,16,84.243423888,0.0206,31.21650746492,0.0161,3447643370320072832,0.621,0.0226,0.816,0.028,-3.608,0.019,1.038,14.320168,0.002969,14.591101,0.023981,13.186913,0.01153,1.404188,,,1.76,982.652,45.584,97.054,1.0,2.758407808677828,0.0558855309122983,1.6310759000627146,0.0943449250310397,0.5913106448333791,0.0362400774997868
-0.0356,0.0527,0.0939,16,84.21880489367,0.0471,31.22706813363,0.0363,3447643335960335488,0.5082,0.0516,0.664,0.066,-3.69,0.044,0.977,16.361574,0.002834,17.175249,0.007107,15.468795,0.004159,1.706454,,,1.301,1634.735,166.115,352.044,1.0,1.2631985363592186,0.0378502707545382,1.1186941103969763,0.0619913675844014,0.8856043434164103,0.05578989581990065
-0.0915,0.0611,0.0889,17,84.23019235502,0.0699,31.22771476021,0.0537,3447643434744380416,0.6541,0.0765,0.625,0.094,-3.596,0.065,1.076,17.060862,0.002914,17.894039,0.010012,16.155582,0.005378,1.738457,,,1.306,1143.197,112.913,236.151,1.0,1.174498759367646,0.031146799933234,0.7134612904948507,0.2009580690922052,0.6074602334011665,0.17185781887025572
-0.0446,0.0116,0.1631,17,84.19270352592,0.0248,31.1962125123,0.0184,3447637391725608448,0.5856,0.0277,0.683,0.033,-3.529,0.023,0.935,14.998453,0.002775,15.617086,0.003986,14.221484,0.003136,1.395602,,,1.271,3280.048,381.502,758.975,1.0,1.7225211983423478,0.0437102530702518,1.5922505366081006,0.0461052056861722,0.9243720995366489,0.03558986450456411
-0.0551,-0.0362,0.1054,17,84.20532265615,0.0507,31.18182838227,0.0388,3447637318710910848,0.6166,0.0557,0.645,0.067,-3.742,0.046,0.98,16.522011,0.002832,17.357035,0.008793,15.618586,0.003924,1.738449,,,1.303,1659.727,130.208,393.482,1.0,1.2279509482734323,0.0340471862104572,1.0735052204001625,0.0616189944203808,0.8742248392817081,0.055728080110238554
-0.0646,0.0475,0.1298,16,84.1972006556,0.0305,31.22007520495,0.023,3447830970196201728,0.6341,0.0336,0.761,0.043,-3.442,0.029,0.933,15.481311,0.002783,16.130344,0.004276,14.674565,0.003475,1.455779,,,1.284,2777.477,335.115,523.998,1.0,1.6061239046283895,0.0300768083201365,1.2870120314243356,0.0431763692693661,0.8013155322049159,0.03078686818669073
-0.1137,-0.0333,0.0802,17,84.24145730474,0.0206,31.18159669027,0.0159,3447642958003218176,0.5712,0.0225,0.774,0.027,-3.665,0.018,1.031,14.451064,0.002776,14.992213,0.003181,13.733791,0.00299,1.258422,,,1.255,3240.84,710.544,1009.205,1.0,2.318509973195789,0.0582975613569681,1.619218386571185,0.0758595257207167,0.698387501149838,0.0371336926275235
-0.0951,-0.0217,0.0401,16,84.25051934368,0.0203,31.18846688318,0.0152,3447642988067746816,0.6032,0.0221,0.771,0.027,-3.745,0.018,0.989,14.455333,0.002772,14.959357,0.003926,13.754119,0.003569,1.205238,,,1.259,3626.11,393.089,487.736,1.0,2.288830151817668,0.1180175020714353,1.656836325671088,0.1529368424962901,0.7238791066935727,0.07653691468025671
-0.1798,0.1102,0.0648,16,84.21756632817,0.0431,31.23285502899,0.0334,3447831004555945472,0.6222,0.0468,0.827,0.061,-3.666,0.041,1.013,16.129627,0.002825,16.837801,0.006459,15.304543,0.004263,1.533257,,,1.278,1746.245,186.374,336.901,1.0,1.4660603158097465,0.0190450440880949,0.7003042824409327,0.2752676001153842,0.47767767457380145,0.18786259145812964
-0.091,0.1206,0.0225,15,84.19982513004,0.0836,31.17831945629,0.0593,3447637318710908544,0.605,0.0922,0.746,0.107,-3.732,0.069,0.974,17.242235,0.002908,18.177116,0.015807,16.285109,0.006671,1.892008,,,1.323,1166.669,69.785,179.171,1.0,1.0562160035491526,0.0285275887745227,0.9194289420329588,0.0601465028977589,0.8704932882511203,0.06160801520574834
-0.0399,0.0072,0.1708,17,84.18932831497,0.0306,31.18807865449,0.0225,3447637391725610496,0.6441,0.0339,0.895,0.041,-3.624,0.027,1.045,15.329498,0.002782,15.93945,0.004363,14.560319,0.003458,1.379131,,,1.268,2810.171,323.72,531.731,1.0,1.7288832614961,0.0270793965512572,1.252884451639894,0.0437122765016766,0.7246784554763417,0.027714491767380948
-0.077,-0.0329,0.0422,16,84.21982578066,0.0296,31.17118388167,0.0229,3447637116847702400,0.6098,0.0322,0.696,0.04,-3.598,0.027,0.981,15.319547,0.002787,15.925542,0.004244,14.555583,0.003009,1.369959,,,1.266,2601.802,339.502,963.805,1.0,1.7466979727806773,0.0260240892926149,1.2347280902233364,0.0435046519425236,0.7068927252819192,0.02704203692900784
-0.1778,0.2137,0.2023,17,84.18700461612,0.0425,31.21943992163,0.0321,3447825098976716800,0.6523,0.0501,0.811,0.059,-3.736,0.039,1.007,16.157749,0.002814,16.876123,0.006808,15.32088,0.003838,1.555243,,,1.284,1905.026,174.847,411.949,1.0,1.438092661762448,0.0201735996231051,0.8531865485189466,0.1534367455598012,0.593276477381734,0.10701871437636735
-0.1071,0.0235,0.0615,17,84.26025014552,0.1742,31.19241070205,0.1364,3447642988067750656,0.5663,0.1902,0.758,0.234,-3.711,0.16,1.062,18.571014,0.004037,19.408667,0.046502,17.686071,0.011018,1.722595,,,1.286,367.984,23.39,101.864,0.99,0.8508818705186231,0.0069577274342025,0.0,0.0440460013302288,0.0,0.05176511905628241
-0.0757,0.184,-0.018,16,84.24245328346,0.0901,31.2343560722,0.0662,3447643370320069632,0.7137,0.1001,0.6,0.126,-3.635,0.079,0.993,17.428411,0.002993,18.29987,0.024794,16.494135,0.004852,1.805735,,,1.32,929.399,44.07,273.562,0.99,1.0906547716660693,0.0415180041755029,0.6525297765201329,0.2201765818428818,0.5982917724949182,0.20315625982130073
-0.1912,0.1912,0.1504,17,84.18255298591,0.1593,31.21897674077,0.1201,3447825167696194688,0.5906,0.1817,0.599,0.221,-3.672,0.142,0.982,18.559614,0.003545,19.59449,0.039126,17.581667,0.013247,2.012823,,,1.316,486.805,27.82,83.842,0.99,0.8433265532210272,0.009220374918537,0.190038649723552,0.2426671919514981,0.2253440840890312,0.2877605192344535
-0.1172,-0.0149,0.0728,17,84.24532025438,0.0236,31.1728462327,0.0182,3447642958003219968,0.5755,0.0258,0.689,0.031,-3.632,0.021,1.042,14.799631,0.002772,15.290931,0.003819,14.126307,0.002926,1.164624,,,1.244,3558.765,416.263,1233.588,1.0,2.3188774777668275,0.0167091804207787,0.2310841370723531,0.3930049677601083,0.09965344839818636,0.1694822167240864
-0.2698,-0.0781,0.1304,16,84.23852102572,0.0695,31.16961089891,0.0509,3447637082487961088,0.6363,0.0763,0.539,0.105,-3.415,0.064,0.936,16.996271,0.002892,17.818291,0.011331,16.101414,0.005533,1.716877,,,1.3,1238.083,98.865,227.211,0.98,1.2010152925138045,0.0270099923781283,0.6391193471639213,0.2582397418835174,0.5321492167066434,0.21535065929529537
-0.3299,0.0654,0.0793,15,84.23971466112,0.1231,31.16966628171,0.0849,3447637078194682368,0.5225,0.1329,0.531,0.188,-3.577,0.105,1.025,17.815651,0.003072,18.774626,0.028831,16.862665,0.006801,1.911961,,,1.312,798.949,37.836,175.04,0.99,0.9716473302899334,0.048785874128411,0.7284454807191264,0.0872086558535653,0.7497015203054825,0.0973272888598669
-0.1242,0.0999,0.136,17,84.21109449367,0.035,31.24004519566,0.0264,3447831008851711360,0.6329,0.0386,0.78,0.049,-3.786,0.032,1.007,15.779266,0.002787,16.411409,0.004547,14.99783,0.004046,1.413579,,,1.27,2572.432,302.431,370.526,1.0,1.6139983054067084,0.0182391406876495,0.7345156732888498,0.2916489587934778,0.4550907338801453,0.18077283688797155
-0.1972,0.1317,0.1793,17,84.18008175675,0.0448,31.22050647043,0.0335,3447825163400418048,0.5334,0.0505,0.708,0.061,-3.66,0.04,0.931,16.313911,0.002911,17.069801,0.011088,15.434136,0.004016,1.635665,,,1.308,1155.358,101.178,375.811,1.0,1.3415907581879472,0.0340404983474415,1.0058911220549454,0.0876375937465912,0.7497749339102314,0.06803748184622553
-0.0698,-0.0305,0.1569,16,84.19052126978,0.061,31.17369952625,0.0432,3447637219926920448,0.5456,0.0678,0.696,0.073,-3.648,0.05,1.088,16.543951,0.002848,17.374369,0.008725,15.654515,0.004091,1.719853,,,1.292,1507.261,131.336,362.96,1.0,1.216738475091295,0.0355825436958186,1.0744068922568502,0.0652123273889026,0.883022041508332,0.05949263595126135
-0.0993,0.0398,0.0776,16,84.25240116133,0.0476,31.23504096504,0.0368,3447643404679806464,0.5525,0.0522,0.777,0.064,-3.849,0.043,1.049,16.337038,0.002844,17.110071,0.006421,15.456599,0.003444,1.653472,,,1.303,1536.457,187.752,537.604,1.0,1.306931888813107,0.0403860290127227,1.0614679051469085,0.0837732892817673,0.812183032821154,0.06883746654638606
0.0594,-0.0836,0.0941,16,84.17676727679,0.2024,31.18566415792,0.1538,3447637284351176704,0.5281,0.2231,0.923,0.266,-3.536,0.186,1.011,18.793583,0.003889,19.847733,0.063061,17.72044,0.02571,2.127293,,,1.406,395.579,17.234,42.481,0.98,0.7966807712249871,0.0135270912683138,0.4244251677345036,0.2422734571801093,0.5327418246607128,0.30423805929776
-0.0499,-0.0136,0.0028,17,84.26595248171,0.2006,31.22416945,0.1588,3447643194226206592,0.5133,0.2169,0.395,0.277,-3.357,0.196,1.018,18.884363,0.00372,20.112494,0.067229,17.832388,0.010964,2.280106,,,1.343,434.34,16.164,102.399,0.93,0.7717961900001584,0.0145621410468049,0.5690423771723383,0.1508430767055573,0.7372961729342321,0.19593863989386132
