pmRApmDEcor,PlxpmRAcor,PlxpmDEcor,Nper,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,Source,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RUWE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BPRP,RVDR2,e_RVDR2,EBPRP,RFG,RFBP,RFRP,Pmemb,mass,er_mass,comp_mass,er_comp_mass,q,e_q,r,mass_system,e_mass_system,r/rh
-0.1598,0.1283,0.4992,18,88.08135778979,0.049,29.89145968917,0.0405,3443899567588346752,0.1421,0.0621,0.017,0.055,-1.69,0.04,1.016,16.417862,0.002816,16.881931,0.006886,15.779954,0.004239,1.101977,,,1.23,1871.571,172.475,340.2,0.99,1.7406832263639105,0.0408469336498241,1.1180271250533618,0.4052755594689828,0.6422921230698554,0.233312904510722,0.20173343451713074,2.8587103514172725,0.4073287997324645,0.04528771967538495
-0.0979,0.1739,0.407,19,88.07504932069,0.023,29.89766327878,0.0186,3443899567588346496,0.2525,0.0279,-0.102,0.028,-1.684,0.019,0.963,14.949038,0.002772,15.791265,0.003502,14.038301,0.002929,1.752964,,,1.308,3594.738,513.029,1220.155,1.0,2.061456925089483,0.0294455838936652,1.3517644083917937,0.1081977388018111,0.6557325510612436,0.0533152441387104,0.47531036041120894,3.4132213334812764,0.11213292599706749,0.10670379162796192
-0.1955,0.1307,0.5254,18,88.08309596171,0.0332,29.88731664072,0.0284,3443899563291421824,0.2473,0.0439,0.02,0.038,-1.663,0.028,1.137,15.485577,0.002781,16.330917,0.004358,14.571689,0.002915,1.759229,,,1.31,2870.566,324.308,1288.914,1.0,1.981120288677605,0.0073143642199319,0.5439593552873702,0.5575108475946802,0.2745715938583731,0.2814137374899976,0.557666965728624,2.525079643964975,0.5575588265911324,0.12519226312976786
-0.2264,0.2051,0.3496,19,88.08548145517,0.0691,29.899078512,0.056,3443899941248587776,0.285,0.0805,-0.015,0.084,-1.752,0.056,0.951,17.162884,0.002865,17.718931,0.009768,16.455954,0.007762,1.262978,,,1.242,1385.094,115.99,149.899,0.99,1.4014571420662352,0.0230730204963796,1.3256537300713345,0.0283274415810475,0.94591100239916,0.0255162795899856,0.5962415766572793,2.72711087213757,0.03653502732110669,0.13385198862596784
-0.0889,0.2592,0.4229,19,88.09179794872,0.0375,29.89939585053,0.0305,3443899945545462912,0.1947,0.048,-0.07,0.045,-1.559,0.03,0.978,16.015408,0.002785,16.528833,0.006141,15.313251,0.003673,1.215582,,,1.256,2663.179,198.462,454.656,0.97,1.8899382684996096,0.0018516202117638,0.0,0.2381795980494908,0.0,0.1260250676010585,0.9638231860274832,1.8899382684996096,0.23818679523522207,0.21637144269083694
-0.2579,0.236,0.2228,19,88.09548809753,0.2038,29.89175019315,0.1664,3443899735090128512,0.2098,0.2207,-0.073,0.258,-1.652,0.171,0.983,18.893425,0.003393,19.567371,0.040436,18.149504,0.022634,1.417868,,,1.225,548.305,26.915,48.338,0.97,1.1213301607550172,0.0016819050589794,0.0,0.1089158528814976,0.0,0.0971309402827103,1.1102017767149677,1.1213301607550172,0.10892883830066054,0.24923239406164097
-0.3099,0.2138,0.2689,17,88.07876064637,0.1569,29.90768439234,0.126,3443900014264940800,0.2137,0.1748,0.079,0.192,-1.784,0.129,1.122,18.316875,0.003379,18.97687,0.024965,17.509037,0.011653,1.467833,,,1.281,555.278,43.764,95.966,0.97,1.160867352904658,0.0275286059848758,0.9895000259127528,0.0539549191604015,0.8523799238878418,0.0506832083128755,1.149094674836126,2.150367378817411,0.06057191964166235,0.2579635727663031
-0.1098,0.2072,0.4465,19,88.07749058089,0.0623,29.87938033803,0.0513,3443899327070186112,0.2249,0.0799,0.011,0.074,-1.747,0.051,1.037,17.012129,0.00284,17.454475,0.008195,16.386715,0.005183,1.06776,,,1.231,1581.609,140.91,248.602,0.99,1.633472626404476,0.0038514912491768,0.0,0.2165086884777321,0.0,0.1325450362485112,1.1668923475773263,1.633472626404476,0.21654294301867733,0.26195902357447975
-0.0843,0.2679,0.424,19,88.09439758505,0.0328,29.90147806038,0.0265,3443899941248596608,0.2509,0.0421,-0.051,0.04,-1.696,0.026,0.966,15.702977,0.002788,16.567343,0.005452,14.774295,0.00316,1.793048,,,1.317,2553.999,231.825,731.758,1.0,1.933310414489157,0.004021962563654,0.2019416626530469,0.4258949170861996,0.1044538223865133,0.2202931930100246,1.2078721968840807,2.135252077142204,0.42591390747746694,0.27115870796088826
-0.1481,0.2567,0.3965,19,88.09544827154,0.0682,29.90128875592,0.0562,3443899945542484608,0.1951,0.0857,-0.08,0.082,-1.701,0.055,0.969,17.116459,0.002858,17.623228,0.010899,16.389093,0.005698,1.234135,,,1.277,1426.757,103.049,218.529,1.0,1.4317605572174257,0.030541184551658,1.3296289561939838,0.041955088281967,0.9286671220906302,0.0353708117925473,1.263512593111327,2.7613895134114097,0.05189405926082559,0.28364958074555247
