pmRApmDEcor,PlxpmRAcor,PlxpmDEcor,Nper,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,Source,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RUWE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BPRP,RVDR2,e_RVDR2,EBPRP,RFG,RFBP,RFRP,Pmemb,mass,er_mass,comp_mass,er_comp_mass
-0.0419,-0.1175,-0.0054,28,296.29650500018,0.0543,28.16066662733,0.0702,2028270959515902336,-0.0074,0.092,-2.529,0.076,-4.899,0.093,1.137,17.723381,0.00289,18.318922,0.020343,16.959618,0.018985,1.359304,,,1.27,1247.262,53.881,57.818,0.76,1.9671759997751552,0.0478776166900632,0.5761394855603253,0.622731761133804
-0.3444,0.2399,-0.2365,25,296.29581135563,0.0602,28.16096180372,0.0701,2028270959515910016,0.1749,0.0986,-2.481,0.094,-5.014,0.1,1.098,17.468838,0.0034,,,,,,,,,545.144,,,0.88,0.9720794204891564,0.7305231414712139,0.3406651247056458,0.5425704812729806
0.0388,-0.1278,-0.0259,26,296.29533138561,0.0716,28.16071385413,0.0969,2028270959515913856,0.3517,0.1197,-2.586,0.101,-5.017,0.126,1.086,18.143402,0.003081,,,,,,,,,787.632,,,0.6,0.9720794204891564,0.7305231414712139,0.3406651247056458,0.5425704812729806
-0.0643,-0.0979,-0.004,28,296.29525627745,0.0254,28.16006457291,0.0327,2028270959543049344,0.147,0.0425,-2.516,0.036,-4.982,0.043,1.072,16.38339,0.002795,17.398857,0.007935,15.356194,0.00348,2.042664,,,1.369,2303.689,146.173,522.206,0.97,2.385882791898193,0.0137969257890732,1.4322114272466673,0.3425243421664214
-0.0781,-0.0948,-0.0073,28,296.2976299062,0.0213,28.1614371041,0.0272,2028270959543046016,0.1526,0.0353,-2.501,0.029,-4.906,0.035,1.018,16.054478,0.002788,17.12689,0.004725,15.034415,0.003081,2.092475,,,1.347,2570.316,284.71,830.972,0.98,2.4775861880944,0.0120120455069724,0.2843466505412122,0.5330632540949743
-0.0102,-0.1215,0.1052,26,296.29448294791,0.0792,28.15982383582,0.1108,2028270959515916416,0.0655,0.1424,-2.474,0.112,-4.972,0.152,1.071,18.407578,0.003109,,,,,,,,,753.791,,,0.8,0.9720794204891564,0.7305231414712139,0.3406651247056458,0.5425704812729806
-0.0091,-0.1088,0.0264,27,296.29485304505,0.0665,28.16199931648,0.0864,2028270959515909504,0.1141,0.1104,-2.588,0.092,-5.037,0.116,1.015,18.150475,0.002965,18.715303,0.056365,17.193022,0.037648,1.522282,,,1.448,992.206,19.286,28.919,0.82,1.695642354574878,0.0539794662844546,1.4584027147360898,0.0954118345699191
0.009,-0.1458,-0.0081,28,296.29502389416,0.0596,28.16257226461,0.0759,2028270959515922304,0.3197,0.0977,-2.454,0.083,-5.016,0.098,0.978,17.918701,0.002977,18.452236,0.01678,17.035736,0.016914,1.4165,,,1.393,963.049,65.617,65.085,0.6,1.822604143497272,0.073565725963683,1.317419141691005,0.4218737590558209
-0.0714,-0.1301,-0.0319,28,296.29902083356,0.0532,28.15901924493,0.0692,2028270890823561216,0.0942,0.0912,-2.618,0.073,-4.73,0.091,1.067,17.755884,0.002885,18.374525,0.010936,16.934362,0.008371,1.440163,,,1.307,1268.093,102.675,137.561,0.75,1.8341242162046207,0.0613890807354482,1.5299018148197596,0.1278072867610432
-0.0547,-0.0939,0.031,26,296.29894840983,0.0286,28.16236145873,0.0368,2028270959543042944,0.2128,0.0486,-2.536,0.039,-5.001,0.048,1.003,16.619385,0.002828,17.558548,0.012628,15.520618,0.010852,2.03793,,,1.463,1701.344,88.158,103.534,0.93,2.338925284675444,0.0114424918284479,1.2316521884214908,0.4690134888339167
-0.1,-0.1436,-0.0813,28,296.29800251449,0.0218,28.157299429,0.0279,2028270890796380416,0.1204,0.0366,-2.572,0.03,-4.925,0.037,1.457,15.446809,0.002807,16.54114,0.010947,14.311365,0.004435,2.229774,,,1.463,2020.546,102.57,314.957,0.96,2.4037352435012083,0.0848812804795541,1.4622426337937702,0.970404336022567
