pmRApmDEcor,PlxpmRAcor,PlxpmDEcor,Nper,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,Source,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RUWE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BPRP,RVDR2,e_RVDR2,EBPRP,RFG,RFBP,RFRP,Pmemb,mass,er_mass,comp_mass,er_comp_mass
0.058,-0.2242,-0.1329,19,293.47793862499,0.0241,18.52014469766,0.0282,4323150875720495232,0.1902,0.0445,-2.778,0.042,-5.389,0.038,0.974,16.034206,0.002791,17.068838,0.004173,15.012235,0.003404,2.056603,,,1.359,2432.223,349.91,556.65,0.99,7.393024515249574,0.0203088201401384,0.0,0.17797722035832506
0.0916,-0.1683,-0.0319,19,293.47451542346,0.0413,18.52218787394,0.05,4323150875720498176,0.2765,0.0746,-2.512,0.074,-5.411,0.068,1.059,17.023975,0.002832,18.190344,0.007446,15.898741,0.006063,2.291603,,,1.434,1654.75,157.27,201.702,0.76,4.340873511335592,0.294636809437689,1.8353202076397466,0.6784507561661561
0.0549,-0.2323,0.1672,16,293.47869296853,0.0868,18.52312748361,0.1086,4323150875713097344,-0.0694,0.1604,-2.742,0.148,-5.525,0.173,1.036,18.219469,0.003047,19.22608,0.023882,17.003574,0.008093,2.222506,,,1.577,834.853,45.776,142.926,0.76,2.935489334422142,0.016009264833117934,0.114371811198154,0.26193286312589253
0.1639,-0.1536,0.069,18,293.47331497505,0.1051,18.52194697891,0.1294,4323150871406554368,0.1599,0.183,-2.584,0.184,-5.199,0.182,0.96,18.64282,0.003148,19.960609,0.036041,17.506695,0.008625,2.453915,,,1.414,713.354,30.216,133.028,0.87,2.1602002461902807,0.030841353389487354,0.27037852980399096,0.4071621027272992
0.0709,-0.1923,-0.064,19,293.48056364985,0.0387,18.52166811795,0.0456,4323150875720496640,0.2755,0.0695,-2.858,0.067,-5.404,0.063,0.994,16.978289,0.002815,18.027918,0.006766,15.967935,0.003806,2.059983,,,1.343,1888.933,176.159,419.436,0.98,4.8820780830539325,0.02264039590824796,0.0,0.14189981594105308
0.0992,-0.2125,-0.1341,18,293.479600449,0.0142,18.52370838206,0.0172,4323150875720498688,0.1639,0.0271,-2.842,0.025,-5.318,0.024,1.061,14.842161,0.002791,15.836473,0.008021,13.775759,0.00891,2.060714,,,1.414,2428.996,144.383,128.307,0.99,11.81869601495559,0.07297212127778518,0.47512084850123704,0.9044359214373832
0.0326,-0.1923,-0.0914,19,293.47381911845,0.027,18.51872413278,0.0322,4323150875720493696,0.1852,0.0503,-2.833,0.048,-5.282,0.044,0.959,16.316919,0.002807,17.435373,0.005715,15.245064,0.003086,2.19031,,,1.389,2028.568,217.697,823.049,0.99,6.334313444972062,0.2659707425949513,1.1460697714812125,1.0474307689568834
0.0268,-0.1979,-0.18,19,293.48018622772,0.0192,18.52329168727,0.0224,4323150875720498560,0.1789,0.0359,-2.806,0.034,-5.289,0.031,1.051,14.630314,0.002773,15.441125,0.020961,13.538329,0.00666,1.902796,,,1.494,3520.125,52.262,179.55,0.99,13.098862626368756,0.02371101897216217,0.0,0.1185441701034688
0.0539,-0.2036,-0.0856,19,293.47702349997,0.0282,18.51689057287,0.0329,4323150875720491136,0.1993,0.0509,-2.788,0.049,-5.297,0.045,0.989,16.343195,0.002791,17.536829,0.005133,15.245837,0.003311,2.290992,,,1.398,2423.732,252.034,608.822,0.99,5.727140899172553,0.5108687728761986,2.711893119944928,1.0949652714850184
0.0903,-0.1563,-0.0893,19,293.47464176579,0.0181,18.52529313854,0.0218,4323150871400746496,0.2218,0.0333,-2.728,0.033,-5.287,0.03,0.967,15.475991,0.003346,16.55167,0.006225,14.422517,0.006866,2.129153,,,1.38,572.074,195.106,173.074,0.99,9.199970227079653,0.11163073063705525,0.8070466029775579,0.9673664639909326
0.0658,-0.1931,-0.2096,20,293.48024590103,0.0153,18.5246017273,0.0179,4323150875720499968,0.3486,0.0287,-2.793,0.027,-5.413,0.025,1.369,14.431463,0.002778,15.410458,0.004371,13.409099,0.00384,2.001359,,,1.374,3040.038,322.678,411.643,0.93,13.674649674566814,0.013993375405749396,0.0,0.1842761919780698
0.0935,-0.1736,-0.0603,19,293.47166534263,0.0297,18.52235533448,0.036,4323150875720499072,0.149,0.0542,-2.828,0.054,-5.347,0.049,0.953,16.462219,0.002798,17.530939,0.00513,15.430165,0.003141,2.100774,,,1.36,2219.67,252.184,752.13,0.98,6.128383518993774,0.025595037908915975,0.0,0.26848749275944916
0.0189,-0.2074,-0.1124,19,293.480741869,0.019,18.51756313206,0.0217,4323150875720491904,0.2031,0.0342,-2.689,0.032,-5.282,0.03,0.988,15.477301,0.002777,16.528828,0.003924,14.456591,0.002942,2.072237,,,1.353,3105.761,393.54,1164.181,0.99,9.244579533926126,0.021913499440667623,0.0,0.31291517525423634
