pmRApmDEcor,PlxpmRAcor,PlxpmDEcor,Nper,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,Source,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RUWE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BPRP,RVDR2,e_RVDR2,EBPRP,RFG,RFBP,RFRP,Pmemb,mass,er_mass,comp_mass,er_comp_mass,q,e_q,r,mass_system,e_mass_system,r/rh
0.0595,0.0343,-0.0975,23,111.04925498708,0.0132,-20.24179563642,0.0177,2930186359038661632,0.4066,0.0274,-2.726,0.022,3.079,0.025,1.032,15.533598,0.002767,15.785189,0.003282,15.122536,0.003149,0.662653,,,1.19,4232.971,628.581,743.507,0.87,1.6073218724845415,0.0041707420590035,0.1188662949327857,0.2600301071947355,0.0739530127522288,0.1617786048805883,0.5343068435587699,1.7261881674173272,0.2600635532654055,0.11718636243220645
0.0732,0.0448,-0.1109,23,111.05011045377,0.0108,-20.24658405631,0.0146,2930186260263227904,0.3641,0.0224,-2.268,0.019,3.027,0.021,1.019,15.116381,0.002768,15.298193,0.002999,14.803053,0.002901,0.49514,,,1.175,4155.284,988.567,1369.319,0.9,1.8211534363851287,0.0041826294530273,0.0,0.0543776023142922,0.0,0.0298588802172694,0.539261826914122,1.8211534363851287,0.054538225334096156,0.11827310964932679
0.0342,0.1087,-0.0949,22,111.0506360094,0.0491,-20.24762179336,0.0661,2930186260263228032,0.2417,0.104,-2.632,0.084,3.337,0.094,1.028,18.04649,0.002913,18.525698,0.015263,17.345112,0.008966,1.180586,,,1.27,1146.761,72.352,127.422,0.73,0.8946680186572193,0.003677410644762,0.0,0.0361151899692491,0.0,0.0403671409015528,0.5392997168641052,0.8946680186572193,0.03630193239436655,0.1182814198281403
0.0466,0.0884,-0.1075,23,111.05548970861,0.0389,-20.23106952348,0.0531,2930186359038713728,0.2644,0.0797,-2.75,0.068,3.067,0.077,1.014,17.680788,0.002855,18.246769,0.00944,16.985565,0.005573,1.261204,,,1.229,1448.613,120.397,225.062,0.88,0.9798586689533716,0.017409298493075,0.6259706030271329,0.104364350613034,0.6388376434897071,0.1071126690032292,0.5667828753538939,1.6058292719805045,0.1058064334192457,0.12430913856390438
0.0964,-0.0064,-0.2221,23,111.07302424178,0.0107,-20.24866938976,0.0142,2930186088471081984,0.339,0.022,-2.7,0.02,3.142,0.021,1.03,12.374476,0.002767,12.471459,0.00285,12.182471,0.002828,0.288988,,,1.166,4266.646,1869.93,2361.986,0.94,4.000534750070674,0.1285718469676712,3.596985640029221,0.1559187040691796,0.8991262080564795,0.0485183385532816,0.570108082985733,7.597520390099895,0.2020924593132823,0.12503843670298795
0.0398,0.1046,-0.0925,23,111.05080279152,0.0421,-20.24938070684,0.0575,2930186260263228800,0.4073,0.0871,-2.823,0.075,2.882,0.082,0.956,17.83563,0.002932,18.382322,0.010187,17.179337,0.006034,1.202986,,,1.209,1083.393,110.821,202.948,0.66,0.9508420236066925,0.0040077728564824,0.0,0.0572258640096683,0.0,0.060184407702766,0.5757481052479598,0.9508420236066925,0.05736603311126025,0.1262754294552141
0.052,0.0043,-0.1219,23,111.0497906734,0.0094,-20.23379855228,0.0125,2930186359038703104,0.4019,0.0197,-2.707,0.016,3.108,0.018,1.021,14.733097,0.002766,14.918547,0.002925,14.410874,0.002865,0.507672,,,1.178,4392.412,1235.802,1671.091,0.88,1.994008932729824,0.0307080807673004,1.1325427543237463,0.0732962109175656,0.5679727586642657,0.0377845777718403,0.6342131665891162,3.1265516870535706,0.07946899243908473,0.1390982258512186
0.0842,0.0358,-0.1615,23,111.05310890712,0.0192,-20.25602378716,0.0259,2930186260263230208,0.4067,0.0398,-2.728,0.035,3.114,0.038,1.033,16.272026,0.002778,16.670565,0.003757,15.694136,0.003156,0.976429,,,1.219,3078.815,431.616,735.882,0.87,1.2908376632715193,0.029422869798477,0.8801993550324557,0.094511926476961,0.6818823002124563,0.0748490215541438,0.7374842196118246,2.171037018303975,0.09898590563087561,0.1617480556150846
0.0394,0.0526,-0.1321,23,111.06067379375,0.0132,-20.22584944255,0.0176,2930187840811171840,0.4134,0.0269,-2.634,0.022,3.05,0.025,1.0,15.505737,0.002766,15.772955,0.003133,15.069606,0.003073,0.703349,,,1.196,4400.336,762.352,842.471,0.88,1.5797323573423931,0.0182973121184093,0.8877482732119742,0.1140337638998534,0.5619611886063068,0.0724783561723672,0.7391993580788528,2.4674806305543675,0.11549238477027823,0.16212422679919275
0.1129,0.0453,-0.2363,23,111.05530750517,0.0579,-20.22551117725,0.0825,2930187836507508736,0.2366,0.1293,-2.669,0.107,2.979,0.123,1.1,18.205997,0.003048,18.929487,0.014115,17.429548,0.007377,1.499939,,,1.233,833.792,78.469,158.994,0.8,0.8372352580697237,0.0122457440027625,0.6277396389893135,0.1143951962542709,0.7497768792448972,0.1370738618494009,0.8019154467530976,1.464974897059037,0.11504876866891861,0.17587937589808697
