pmRApmDEcor,PlxpmRAcor,PlxpmDEcor,Nper,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,Source,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RUWE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BPRP,RVDR2,e_RVDR2,EBPRP,RFG,RFBP,RFRP,Pmemb,mass,er_mass,comp_mass,er_comp_mass
0.0757,0.1091,0.0287,24,112.1208870367,0.0478,-20.10889341178,0.063,5620442517645198208,0.3079,0.0868,-2.36,0.076,2.562,0.094,0.995,17.750828,0.002904,18.291582,0.011985,17.095751,0.00746,1.195831,,,1.21,1182.514,93.153,156.924,0.98,1.0413159826050933,0.0043254623594092935,0.12796044167332535,0.22567616182881597
0.0486,0.0564,-0.017,22,112.12333474646,0.0102,-20.11541892878,0.0127,5620442448925723008,0.3081,0.0176,-2.242,0.015,2.552,0.018,0.97,14.386594,0.002769,14.570414,0.002987,14.06678,0.002855,0.503633,,,1.177,3926.26,1018.544,1797.476,1.0,2.2302378939639387,0.0475276756255839,1.2794590000109922,0.1104420447609928
-0.0287,0.127,-0.0836,23,112.13451829248,0.0071,-20.09973162,0.0091,5620442483285444864,0.3239,0.012,-2.28,0.011,2.614,0.013,0.987,12.543152,0.00276,12.717131,0.002819,12.226099,0.002816,0.491032,,,1.182,6943.752,2713.16,2829.707,1.0,3.204871060179909,0.009768013250029245,1.2950954956689744,0.6201535656351524
0.0027,0.1044,-0.0537,24,112.12151619077,0.0195,-20.10314560551,0.0254,5620442517645194880,0.319,0.0341,-2.219,0.031,2.601,0.037,1.022,16.035601,0.00278,16.363817,0.004034,15.536913,0.003151,0.826904,,,1.202,2951.894,372.651,741.771,0.99,1.4841020449114588,0.005290832174790972,0.24180993374352053,0.326518059581613
-0.0243,0.121,-0.0566,24,112.12899435485,0.009,-20.09748423357,0.0116,5620442552004924160,0.315,0.0153,-2.261,0.014,2.582,0.017,1.048,14.044044,0.002765,14.224238,0.002884,13.728969,0.002872,0.49527,,,1.177,4581.897,1491.322,1596.352,1.0,2.3868478943243514,0.04570278358442005,1.5430852509120834,0.10946126483120037
0.0007,0.1114,-0.0478,24,112.14348947075,0.01,-20.10846398527,0.013,5620442483285442688,0.3393,0.0172,-2.284,0.016,2.549,0.019,0.919,14.462053,0.002764,14.678776,0.002928,14.090425,0.002879,0.588351,,,1.187,4977.752,1223.512,1526.497,1.0,2.067120078461707,0.0403288416466828,1.5373014679571935,0.0652302219754903
0.0535,0.0813,0.0642,23,112.11698564457,0.0347,-20.10784443325,0.0482,5620442517645201024,0.3908,0.0628,-2.207,0.054,2.557,0.073,1.013,17.14151,0.002818,17.601154,0.005266,16.510553,0.004399,1.090601,,,1.228,1830.993,243.087,319.262,0.99,1.172090711690887,0.008297707050418098,0.35710621344773813,0.32242095808782745
-0.0528,0.1279,-0.1081,22,112.13856105565,0.0311,-20.09813351715,0.0434,5620442478982041984,0.3652,0.0581,-2.189,0.049,2.471,0.061,0.965,16.882462,0.00281,17.325386,0.005908,16.275242,0.003571,1.050144,,,1.219,1963.3,208.494,486.999,0.99,1.2305654402769048,0.010950847879974423,0.4504956995162442,0.33124063941288995
0.0476,0.1054,-0.0946,23,112.12200157854,0.1019,-20.09844935975,0.1394,5620442547701518208,0.431,0.1923,-2.308,0.167,2.462,0.206,1.006,18.972048,0.00321,19.655029,0.029423,18.240894,0.013011,1.414135,,,1.212,659.545,37.068,85.434,0.93,0.8293850294651298,0.0028841988018472576,0.0,0.10529761821028995
0.0557,0.0559,-0.0216,24,112.1279610779,0.0535,-20.12173173666,0.0712,5620442444622227840,0.3389,0.0953,-2.244,0.082,2.537,0.102,0.979,17.911331,0.002931,18.471231,0.011878,17.218374,0.006875,1.252857,,,1.23,1087.23,94.043,172.808,0.99,1.0058935122413104,0.009490496903167661,0.33873132984179194,0.28922488306343114
0.007,0.0531,-0.0251,23,112.13299712115,0.0212,-20.12314436364,0.027,5620430697895196928,0.3216,0.0363,-2.319,0.032,2.734,0.038,1.023,16.049057,0.002785,16.383047,0.003446,15.539627,0.003312,0.84342,,,1.206,2655.203,536.712,608.442,0.97,1.4731937310580978,0.009208880643515039,0.5232323193477698,0.34144289636215
0.0567,0.0985,-0.0789,24,112.115564042,0.0665,-20.10394434731,0.0892,5620442513341762688,0.2499,0.1222,-2.166,0.108,2.334,0.136,0.974,18.339626,0.002973,18.905159,0.018071,17.655003,0.008748,1.250156,,,1.222,972.382,60.81,130.953,0.93,0.9326325462450962,0.0025606135904305593,0.0,0.08086305968201703
0.0539,0.0962,-0.0061,24,112.14340032694,0.026,-20.1201760246,0.0346,5620430732254925184,0.2959,0.0457,-2.318,0.04,2.525,0.051,0.951,16.607147,0.002815,17.011171,0.006554,16.020144,0.004265,0.991028,,,1.223,1884.935,183.071,336.567,0.99,1.3073535252731667,0.00997951687730224,0.3585695819129348,0.35107142269051633
-0.0094,0.1022,-0.1109,23,112.14880966673,0.0228,-20.11371803607,0.0288,5620430732254919296,0.2838,0.0392,-2.253,0.035,2.677,0.041,0.998,16.21673,0.002787,16.557604,0.003957,15.697876,0.003748,0.859728,,,1.209,2588.712,387.051,433.827,0.99,1.428372070753127,0.0017752286276368713,0.0,0.08344900267544084
-0.011,0.1051,-0.0573,24,112.14609186224,0.0336,-20.09799991144,0.0445,5620448358800694400,0.2603,0.0589,-2.135,0.054,2.476,0.065,0.99,17.098516,0.002814,17.582592,0.006261,16.457827,0.004399,1.124765,,,1.224,1893.95,193.694,319.239,0.96,1.1504714027878378,0.021190749229598817,0.7833160763018927,0.07550431854114649
-0.006,0.1093,-0.0511,24,112.12300618735,0.0356,-20.09053811616,0.0472,5620442552004926208,0.3853,0.0631,-2.369,0.057,2.514,0.069,1.003,17.202229,0.002829,17.681873,0.007011,16.573263,0.005628,1.10861,,,1.218,1695.802,168.812,222.139,0.97,1.1553516274247893,0.010467262599266329,0.37266659916389144,0.3237259777322748
-0.0038,0.0981,-0.02,24,112.13214692236,0.0133,-20.12901715192,0.0174,5620430697895200768,0.3868,0.0232,-2.21,0.021,2.332,0.025,1.066,15.162785,0.00277,15.544994,0.003011,14.602334,0.002929,0.94266,,,1.215,3838.692,960.307,1217.434,0.97,1.558434022483427,0.020321312757333846,1.4952018330552788,0.022119967883100673
