pmRApmDEcor,PlxpmRAcor,PlxpmDEcor,Nper,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,Source,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RUWE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BPRP,RVDR2,e_RVDR2,EBPRP,RFG,RFBP,RFRP,Pmemb,mass,er_mass,comp_mass,er_comp_mass
0.1154,-0.2466,-0.1912,22,296.38900810635,0.0115,21.15392516558,0.0129,1827406849595703040,0.4906,0.0178,-0.324,0.016,-3.553,0.017,0.934,14.058396,0.00278,15.296288,0.00309,12.968657,0.00285,2.327631,-16.58,2.8,1.38,2948.838,818.225,1875.329,1.0,2.453679484819498,0.008111530285900167,0.5666749325535763,0.5625676518764372
0.1079,-0.2516,-0.189,22,296.39090865507,0.0104,21.1530041677,0.0112,1827406849595699456,0.5121,0.0157,-0.328,0.014,-3.525,0.015,1.038,13.718267,0.002776,14.835106,0.003072,12.674415,0.002833,2.160691,-15.35,3.61,1.36,3237.057,844.808,2223.941,1.0,2.4686329178051936,0.019602928310575748,2.091857003809401,0.03396727811376418
0.147,-0.2875,-0.1957,22,296.38618261796,0.0251,21.1534444053,0.027,1827406849595705856,0.3945,0.038,-0.51,0.036,-3.469,0.036,0.947,15.97623,0.002795,16.72084,0.004007,15.110335,0.003026,1.610505,,,1.3,2314.91,377.524,926.804,0.57,1.857057505664902,0.0019061796576202627,0.0,0.10681543217319443
0.1495,-0.2927,-0.1929,20,296.38937541745,0.0291,21.14307634914,0.0318,1827406849595694080,0.5148,0.0453,-0.437,0.04,-3.551,0.041,0.948,16.230974,0.002808,17.091825,0.004323,15.299349,0.003817,1.792477,,,1.321,2004.475,328.791,416.904,1.0,1.6505832809902905,0.02267692539735429,1.2309543621877264,0.05460812539899916
0.1604,-0.3082,-0.1986,20,296.39032215739,0.0384,21.14292041968,0.0422,1827406849595692032,0.5109,0.0602,-0.292,0.053,-3.55,0.054,0.983,16.785913,0.002855,17.65546,0.008703,15.844965,0.005383,1.810495,,,1.327,1450.798,131.71,235.824,0.99,1.5499614784597542,0.0023327175177380475,0.0,0.15946778990477672
0.103,-0.3345,-0.086,22,296.37779359673,0.0325,21.15272853916,0.0366,1827407605509959296,0.5307,0.052,-0.487,0.046,-3.677,0.047,1.01,16.452497,0.002831,17.472643,0.004393,15.446024,0.003532,2.026619,,,1.347,1674.432,319.921,501.272,0.99,1.439382806555911,0.021692555533990802,1.3663300554713904,0.025977539086545664
0.099,-0.248,-0.1673,22,296.39176324839,0.0157,21.16415537004,0.0172,1827407708589166336,0.4475,0.0239,-0.34,0.022,-3.562,0.022,0.933,14.978999,0.002776,15.761079,0.003874,14.098267,0.002885,1.662812,,,1.3,3191.5,403.894,1476.409,1.0,2.1761130373487334,0.04293772222747846,0.7191344912547726,0.6775553089467865
0.1383,-0.228,-0.121,21,296.39702911939,0.0113,21.13988912072,0.0129,1827406780876206336,0.4594,0.0175,-0.324,0.016,-3.517,0.018,0.999,14.080217,0.002784,15.301947,0.003181,12.997722,0.002832,2.304225,-11.44,3.34,1.376,2729.062,710.678,2231.951,1.0,2.4329864148159093,0.010511236155670052,1.397124031206573,0.156360082975309
0.2621,-0.3216,-0.1255,19,296.40372383581,0.1009,21.15554146384,0.1162,1827406948348907264,0.4099,0.1599,-0.604,0.142,-3.795,0.154,0.967,18.451128,0.003234,19.53949,0.03269,17.424141,0.009045,2.115349,,,1.35,640.897,33.335,126.192,0.75,1.094556511446421,0.010886884130484293,0.15500606966732827,0.24585187300959485
-0.0246,-0.1674,-0.199,22,296.38140486306,0.1113,21.13940670632,0.1416,1827406815219145728,0.3673,0.1776,-0.491,0.153,-3.139,0.173,3.117,16.703857,0.002922,17.364212,0.009434,15.437171,0.007795,1.927041,,,1.746,1117.762,120.481,149.16,0.61,1.4975024964531571,0.054393882317201,1.2366140627560218,0.09741126961960173
