pmRApmDEcor,PlxpmRAcor,PlxpmDEcor,Nper,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,Source,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RUWE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BPRP,RVDR2,e_RVDR2,EBPRP,RFG,RFBP,RFRP,Pmemb,mass,er_mass,comp_mass,er_comp_mass
0.1267,-0.2384,0.0061,20,211.97052722552,0.0282,-59.82248184039,0.0316,5867657016968128512,1.3373,0.0478,-7.818,0.041,-4.724,0.05,1.031,16.415319,0.002807,17.233231,0.006837,15.41108,0.005757,1.82215,,,1.403,2018.014,173.935,215.625,0.95,0.6948507489304317,0.012857588312755417,0.6388366583582458,0.022688284355172478
0.1009,-0.172,0.1837,20,212.07702972291,0.1124,-59.82463134449,0.124,5867680282812366720,1.3164,0.1871,-7.692,0.16,-4.833,0.202,1.04,18.694048,0.003191,20.282347,0.037091,17.460468,0.007358,2.821878,,,1.479,674.378,29.356,159.481,0.84,0.48877282206228534,0.005509950189435645,0.31687199273514877,0.0303980402720009
0.0977,-0.2458,0.0108,21,211.85414150619,0.0291,-59.74476947913,0.0312,5867661384981851904,1.3972,0.0478,-7.647,0.043,-4.652,0.051,0.984,16.440235,0.002816,17.150013,0.004626,15.622791,0.0036,1.527222,,,1.271,1862.331,294.243,477.167,0.97,0.7440191849578156,0.0006711462326142827,0.0,0.015968916774309075
0.1264,-0.1684,0.0378,22,212.04621249578,0.0125,-59.86445495935,0.0139,5867668394369191808,1.3903,0.0209,-7.917,0.017,-4.568,0.023,0.952,14.508326,0.002784,14.948339,0.003203,13.896869,0.002966,1.051471,,,1.223,2734.379,690.576,1078.004,0.98,1.0531812819904165,0.0007033113251235462,0.0,0.060259967470165335
0.0709,-0.2452,0.254,21,212.13359002866,0.1183,-59.82566125555,0.1295,5867668939801331200,1.3616,0.1971,-8.198,0.177,-4.706,0.219,1.093,18.697474,0.003235,20.216328,0.041555,17.524563,0.007105,2.691765,,,1.419,640.839,26.187,166.148,0.52,0.4894167797301129,0.006796735167076511,0.29986170712752475,0.05728367895392155
0.0907,-0.209,-0.004,22,211.88138262066,0.0196,-59.71567579044,0.0221,5867685642958863488,1.4223,0.0343,-8.104,0.029,-4.566,0.036,1.369,15.063248,0.002786,15.571446,0.003356,14.372441,0.003068,1.199005,,,1.249,2616.56,582.238,851.123,0.84,0.9483850074389489,0.0025930598955561253,0.21292407487608733,0.2283713102585695
0.0514,-0.2706,0.0172,21,212.01318367423,0.0291,-59.70211498264,0.0321,5867685161922723584,1.4093,0.0493,-7.795,0.045,-4.348,0.053,0.966,16.507524,0.002796,17.248463,0.004974,15.678435,0.003319,1.570027,,,1.27,2297.344,263.703,604.335,0.94,0.7345903444104556,0.0007006233454115188,0.0,0.0
0.0924,-0.1927,-0.0028,21,211.88999361637,0.0289,-59.86953064417,0.0317,5867656849496190464,1.4348,0.0471,-7.566,0.044,-4.491,0.052,0.987,16.415522,0.002826,17.0861,0.006049,15.521755,0.003811,1.564344,,,1.35,1729.74,202.287,418.34,0.91,0.7507693250066139,0.001762836472465319,0.0,0.13241993855704984
0.0372,-0.1276,-0.1666,21,212.15672382972,0.0143,-59.80262179857,0.0173,5867668978484765952,1.3761,0.0253,-7.944,0.02,-4.542,0.031,1.226,11.508214,0.002786,11.619387,0.002828,11.294928,0.002809,0.324459,,,1.167,2649.165,2350.056,3370.895,0.97,2.0533533666168275,0.004823556502175624,0.24352464431577084,0.35458483091294063
0.1622,-0.2457,-0.0209,21,211.79458342696,0.0092,-59.77457841653,0.01,5867661247542868992,1.369,0.0156,-7.297,0.013,-4.592,0.016,1.09,12.304967,0.002762,12.558125,0.002841,11.894437,0.002822,0.663688,,,1.189,5847.838,2022.571,2560.012,0.76,1.5715879010900222,0.011727766433741977,1.1275607676507193,0.031363950358836684
0.0037,-0.2311,0.0135,22,212.02644882968,0.0141,-59.69567854314,0.0153,5867685196282465280,1.418,0.0231,-7.75,0.022,-4.709,0.026,0.98,14.922754,0.003011,15.503228,0.006713,14.186618,0.004583,1.31661,,,1.254,893.608,177.815,298.612,0.97,0.8925275476426215,0.021092025608378483,0.7930477230843664,0.033660044045921454
0.0228,-0.1129,-0.2422,20,212.14747908174,0.0136,-59.73368444672,0.0166,5867681206223690496,1.3659,0.0237,-7.778,0.021,-4.649,0.034,1.171,11.281032,0.002774,11.380169,0.002824,11.083772,0.0028,0.296397,,,1.167,3376.354,2505.61,4585.258,0.98,2.189340147995145,0.008687182193671834,0.39770423352071044,0.4271781857315029
0.0623,-0.2133,0.1006,22,212.1744413275,0.0079,-59.85277863061,0.0089,5867668600527624064,1.3813,0.0136,-7.808,0.011,-4.582,0.014,0.97,12.672557,0.002793,12.924493,0.003282,12.266698,0.002998,0.657795,,,1.187,2373.315,628.232,988.982,0.99,1.5196619605962138,0.00168146896508423,0.10642335464900742,0.2293242676249441
0.0785,-0.1517,0.0371,21,212.0901112271,0.0364,-59.68610888009,0.0373,5867682305736047360,1.2922,0.0572,-7.736,0.053,-4.742,0.061,0.994,16.681782,0.002815,17.47163,0.005133,15.785464,0.003569,1.686166,,,1.311,1884.75,251.998,487.815,0.9,0.714383712341901,0.002673470586940303,0.2142615137087785,0.17588068925695172
0.0907,-0.2664,-0.02,20,212.08992444291,0.0415,-59.68523687054,0.0434,5867682310039107328,1.339,0.0678,-7.657,0.065,-4.618,0.072,0.988,17.10833,0.002818,17.96088,0.011326,16.174046,0.004624,1.786835,,,1.326,1840.223,98.909,294.428,0.95,0.6736460961141176,0.0007959237441860285,0.0,0.019940485031623434
0.0606,-0.2428,0.072,21,211.81599865009,0.0166,-59.70294967034,0.0177,5867662480166970624,1.3688,0.0278,-7.83,0.025,-4.556,0.028,1.029,15.228603,0.002787,15.749893,0.003501,14.541168,0.003093,1.208725,,,1.242,2571.458,513.513,813.437,0.98,0.9212220207907263,0.0006413318351962855,0.0,0.019515303775024768
