pmRApmDEcor,PlxpmRAcor,PlxpmDEcor,Nper,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,Source,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RUWE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BPRP,RVDR2,e_RVDR2,EBPRP,RFG,RFBP,RFRP,Pmemb,mass,er_mass,comp_mass,er_comp_mass,q,e_q,r,mass_system,e_mass_system,r/rh
0.2374,0.1849,0.0182,27,172.75034709009,0.0106,-58.51371737653,0.0095,5336647841971000448,0.5708,0.0125,-6.827,0.013,1.11,0.013,0.915,12.453386,0.002762,12.590014,0.00282,12.207132,0.002831,0.382881,,,1.168,5532.104,2633.607,2263.65,0.96,2.8955755103317533,0.0974076917243218,1.5067373738548535,0.2381763271866531,0.5203585154241834,0.0840972763622741,0.19651344134120804,4.402312884186607,0.2573251274927968,0.09563172553893783
0.3285,0.2249,0.0637,27,172.7434361971,0.0147,-58.50266496841,0.0139,5336647876330774656,0.6221,0.0176,-6.849,0.019,0.975,0.017,1.055,14.250326,0.002766,14.538394,0.003408,13.785007,0.002907,0.753387,,,1.202,4376.882,554.885,1331.2,0.99,1.6816447089612894,0.0156878346330127,1.146296935642587,0.044114842026936,0.6816522714543112,0.0269928822784208,0.20345485848827435,2.827941644603876,0.0468212285457598,0.09900971177198602
0.4393,0.0638,-0.0398,27,172.76709254881,0.0158,-58.50595678131,0.0145,5336649285080027008,0.599,0.0177,-6.793,0.02,0.968,0.02,1.033,14.419469,0.002772,14.68253,0.003166,13.982365,0.002997,0.700166,,,1.199,3540.085,725.468,992.906,0.99,1.6864223651522192,0.0054457008369166,0.2345513976949438,0.3392446409303021,0.1390822385552108,0.2011628245854828,0.20685234406682423,1.920973762847163,0.3392883464805928,0.10066307149207886
0.2619,0.1335,0.0723,29,172.74355420532,0.0101,-58.49985776537,0.0093,5336647876330391040,0.6085,0.0117,-6.746,0.012,1.061,0.012,0.745,10.770752,0.002763,10.872211,0.002837,10.551544,0.002809,0.320667,,,1.176,5194.911,2125.546,3340.01,0.99,4.167116949793376,0.0278577317634127,1.3009872789266883,1.0440116312348076,0.3122032077816287,0.2505444099750645,0.2625195231962617,5.4681042287200645,1.0443832339579977,0.12775306777782874
0.3191,0.15,0.0526,28,172.77311246082,0.0142,-58.5080938762,0.013,5336649285079664896,0.5969,0.0168,-6.696,0.018,1.06,0.017,0.907,10.947787,0.002767,11.030897,0.002888,10.746896,0.002999,0.284001,,,1.178,4210.034,1453.345,987.985,0.96,4.101975462771311,0.0398982489889894,0.0,0.3507346447799149,0.0,0.0855038378369423,0.29631672060223735,4.101975462771311,0.35299668740836715,0.14420020892122598
0.2296,0.1814,0.1013,26,172.7713771265,0.0443,-58.51154337099,0.0384,5336647807611277440,0.6735,0.0496,-6.864,0.057,0.903,0.053,0.963,16.84919,0.002883,17.378214,0.011094,16.158178,0.005767,1.220036,,,1.241,1279.8,101.118,215.102,0.95,1.0251028220252627,0.0015315107120617,0.0,0.0256478003369926,0.0,0.0250197343972978,0.2971508532802664,1.0251028220252627,0.025693485306345604,0.14460613304928513
0.3456,0.2035,0.1303,28,172.77472237556,0.0112,-58.50037929575,0.0105,5336649289413619072,0.5422,0.0135,-6.725,0.014,1.01,0.014,0.931,12.677984,0.002759,12.789746,0.002832,12.468367,0.002811,0.32138,,,1.165,7425.565,2234.114,3211.49,0.71,2.8243623406011924,0.001728068111978,0.0,0.0,0.0,0.0,0.37581199507504875,2.8243623406011924,0.001728068111978,0.182885960990605
0.2744,0.1364,0.0827,28,172.72088268499,0.0127,-58.50385344799,0.0118,5336648597885269888,0.6115,0.0148,-6.783,0.016,0.938,0.015,0.992,14.055117,0.002769,14.284265,0.002913,13.681337,0.002848,0.602927,,,1.181,3938.491,1298.839,1909.592,0.99,1.8382735511492407,0.0132602144470182,0.7941794307825348,0.2865305320102243,0.4320246191248492,0.1559005158893258,0.5071080458007816,2.6324529819317757,0.28683719957711745,0.24678015469895562
0.2074,0.2398,-0.0284,28,172.78355954141,0.0134,-58.51536892112,0.012,5336647811944857856,0.6084,0.0157,-6.813,0.017,0.933,0.016,0.948,13.972087,0.002773,14.210127,0.002905,13.584823,0.002883,0.625304,,,1.184,3515.56,1344.202,1492.916,0.99,1.8438973544603403,0.0146058471092519,1.092877702837772,0.0558563625274397,0.5926998594548276,0.0306542140231945,0.5122554875553746,2.9367750572981124,0.057734426511186654,0.24928511687224633
0.2898,0.1489,0.0687,29,172.78159186302,0.0101,-58.49430173797,0.0092,5336649319439402112,0.5486,0.0118,-6.769,0.012,1.039,0.012,0.829,12.083635,0.002759,12.181835,0.002823,11.891964,0.002812,0.289871,,,1.165,7452.911,2523.119,3094.255,0.91,3.3132592200642974,0.0015006766279135,0.0,0.0,0.0,0.0,0.5655355595896743,3.3132592200642974,0.0015006766279135,0.27521344620536314
