pmRApmDEcor,PlxpmRAcor,PlxpmDEcor,Nper,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,Source,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RUWE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BPRP,RVDR2,e_RVDR2,EBPRP,RFG,RFBP,RFRP,Pmemb,mass,er_mass,comp_mass,er_comp_mass
0.1723,0.1869,-0.0507,27,155.85525574969,0.0133,-54.63372476213,0.0127,5355475505445677184,0.9597,0.0154,-11.387,0.018,4.833,0.015,0.932,11.422801,0.002801,11.548164,0.003049,11.199568,0.002875,0.348597,,,1.163,2156.753,882.866,1561.901,1.0,2.030085054017498,0.0175920671346004,1.310013773895892,0.1361634893724878
0.1556,0.1652,0.0027,27,155.75005039703,0.0096,-54.64338699508,0.0085,5355475986493885440,0.9195,0.0107,-11.396,0.012,4.767,0.01,0.902,12.19523,0.002762,12.339679,0.002854,11.943061,0.002815,0.396618,,,1.166,5622.203,1802.409,2887.847,1.0,1.7607393317110334,0.0129151835127807,1.2269250951193242,0.0436992096454734
0.2331,0.139,-0.0722,27,155.84834139369,0.015,-54.67735403353,0.0138,5355475024421358336,0.964,0.0168,-11.337,0.021,4.7,0.017,1.051,11.56201,0.002769,11.709443,0.00284,11.298183,0.002811,0.41126,,,1.17,4014.557,2042.909,3155.1,1.0,1.9712387060774623,0.0121729469608831,1.3934572497458126,0.0539419464428164
0.288,0.1351,-0.0832,27,155.88441016499,0.0109,-54.66729254219,0.0104,5355463651335901824,0.9054,0.0127,-11.464,0.016,4.81,0.013,0.8,11.621875,0.002766,11.765916,0.002831,11.366076,0.002803,0.399839,,,1.168,4557.055,2262.381,4006.255,1.0,1.9429728510496975,0.0135896013302284,1.4138876114941064,0.0500461120134445
0.034,0.0962,-0.034,27,155.82868915332,0.0122,-54.57713209384,0.0112,5355477390918449664,0.9433,0.0141,-11.407,0.016,4.773,0.014,0.869,11.887967,0.002762,11.957952,0.002832,11.759385,0.002805,0.198567,,,1.154,5843.551,2236.032,3795.084,1.0,1.9245351664079675,0.0008266340190991,0.0,0.0
0.1951,0.1522,-0.17,24,155.88898331972,0.0382,-54.667063515,0.0384,5355463681381070976,0.8972,0.0474,-11.384,0.051,4.565,0.045,1.129,16.295956,0.002833,16.77351,0.005787,15.576447,0.003522,1.197063,,,1.284,1643.791,214.135,505.326,1.0,0.8403125619747506,0.0017734724256265,0.0,0.173964247305548
0.2999,0.1472,-0.0236,27,155.79592141821,0.0105,-54.6890610184,0.0095,5355475127500564992,0.9127,0.0118,-11.375,0.015,4.758,0.012,0.994,12.438634,0.002762,12.590513,0.002871,12.174809,0.002829,0.415705,,,1.167,5534.702,1605.429,2338.798,1.0,1.6977928623957377,0.011067044870736,1.0889632677962808,0.0530871184083717
0.2761,0.1515,-0.0663,27,155.87072893434,0.009,-54.69193108679,0.0082,5355463239029829248,0.9404,0.0102,-11.414,0.012,4.793,0.01,0.866,12.472351,0.00276,12.653791,0.002844,12.162117,0.002811,0.491674,,,1.174,7011.057,1962.389,3186.699,1.0,1.5923190560346894,0.0235804465174833,1.3412812519564803,0.0401723723962313
0.1483,0.1899,-0.0985,27,155.93120046374,0.0764,-54.61291198276,0.0718,5355465330648562816,0.9486,0.0897,-11.631,0.102,4.635,0.09,0.996,17.88459,0.002958,18.720177,0.02134,17.005056,0.005967,1.71512,,,1.282,1008.613,51.318,205.85,1.0,0.6479680765364503,0.0011133020488867,0.0,0.0549150849926266
0.2693,0.1403,-0.0717,27,155.93030516272,0.0088,-54.6674281997,0.0082,5355463720066185856,0.9076,0.01,-11.478,0.012,4.73,0.01,0.866,12.715025,0.00276,12.957522,0.002825,12.321121,0.002814,0.636401,,,1.185,7112.9,2443.838,2944.006,1.0,1.444842451145331,0.0190182813899762,1.381654037130937,0.0227129656826203
0.1541,0.1616,-0.0095,27,155.75638891337,0.018,-54.53914998481,0.0168,5355478494754850816,0.9308,0.0207,-11.406,0.024,4.615,0.021,0.987,15.120424,0.002798,15.561867,0.003923,14.508124,0.003109,1.053742,,,1.223,2233.684,393.663,791.755,1.0,0.95783548246505,0.0221197912441502,0.8242229013995884,0.0358126444666172
