pmRApmDEcor,PlxpmRAcor,PlxpmDEcor,Nper,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,Source,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RUWE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BPRP,RVDR2,e_RVDR2,EBPRP,RFG,RFBP,RFRP,Pmemb,mass,er_mass,comp_mass,er_comp_mass,q,e_q,r,mass_system,e_mass_system,r/rh
-0.0772,0.3217,0.3156,18,87.43365078551,0.087,27.02887942746,0.0693,3429472046589401472,1.1074,0.1061,-0.22,0.117,-1.044,0.067,1.015,17.402996,0.002966,18.237944,0.013996,16.50169,0.006573,1.736254,,,1.302,989.08,79.163,182.426,0.97,0.7018906059848762,0.0018490020036381,0.0,0.1072937209682096,0.0,0.1528638794326896,0.19028594832101806,0.7018906059848762,0.10730965179150233,0.12437218142040211
-0.1433,0.1359,0.3146,19,87.46160287302,0.0497,27.02825635217,0.0394,3430970302980060288,1.118,0.0565,-0.345,0.064,-1.037,0.041,1.007,16.424768,0.003257,17.044735,0.007819,15.654139,0.006689,1.390596,,,1.266,625.477,148.642,178.594,0.98,0.8249084043378551,0.0011729400175532,0.0,0.074807911164241,0.0,0.0906863244099064,0.2481393310516002,0.8249084043378551,0.0748171060723532,0.16218554323844422
-0.2648,0.16,0.2586,18,87.45820491948,0.1914,27.01400897527,0.1552,3429469091651892480,0.935,0.2062,-0.141,0.255,-0.985,0.161,0.915,18.633221,0.003362,20.180193,0.072605,17.431366,0.014515,2.748827,,,1.448,563.45,14.965,76.224,0.79,0.5312656058720531,0.0057583657735015,0.4078182661350436,0.0304447542999609,0.767635362853247,0.0579069633139486,0.3697124991632924,0.9390838720070966,0.03098454196476723,0.24164658728112887
-0.1061,0.2239,0.357,19,87.41099495781,0.1507,27.04654514959,0.121,3429472321467326976,1.017,0.1805,-0.407,0.202,-1.004,0.126,0.992,18.391418,0.003267,19.664127,0.047418,17.219913,0.01061,2.444214,,,1.463,618.243,22.937,106.06,0.92,0.5417715875207451,0.0104597752372734,0.4808955210756616,0.023699515024701,0.8876351808634622,0.046981528029697,0.5380784305527769,1.0226671085964067,0.02590509429475805,0.35169169754046065
-0.2369,0.1205,0.3245,19,87.47872752091,0.0323,27.05892571824,0.0263,3430973399654582528,1.1623,0.0374,-0.287,0.042,-1.001,0.027,2.758,13.22576,0.00277,13.510867,0.002892,12.775716,0.002856,0.735151,,,1.195,3824.556,1428.877,1781.827,0.91,1.5004312533937512,0.0132950036868138,0.9519758994615376,0.0572507301823558,0.6344681886013174,0.0385681210940108,0.6250583381991915,2.452407152855289,0.058774171448394724,0.4085423528262604
-0.1182,0.1688,0.3698,19,87.41782483066,0.0355,27.0642421373,0.0278,3430973605813025152,1.1227,0.0422,-0.196,0.044,-0.835,0.028,1.108,15.506432,0.00312,15.996473,0.005442,14.840225,0.004887,1.156248,,,1.239,741.621,232.365,270.579,0.97,0.977841802327359,0.0010104050336458,0.0,0.0733132471822795,0.0,0.0749745480381252,0.6321805364269142,0.977841802327359,0.07332020956558996,0.4131974697064412
-0.1364,0.2185,0.3579,19,87.49006878461,0.1233,27.00298601411,0.1009,3430970032400234624,1.1469,0.1452,-0.181,0.162,-1.116,0.103,0.991,18.002789,0.003623,19.140558,0.035674,16.991947,0.010337,2.148611,,,1.322,461.544,30.528,109.084,0.92,0.5986519836985893,0.0104146020894158,0.452270994834091,0.0342966847110282,0.7554823288814181,0.058778093449004,0.8125905824491126,1.0509229785326804,0.035843081882680504,0.5311146946613937
-0.1674,0.1374,0.3038,19,87.49759452567,0.0521,27.06070845344,0.0421,3430970474778766208,1.0935,0.059,-0.235,0.069,-0.95,0.045,0.999,16.529488,0.003035,17.178282,0.010636,15.748611,0.006333,1.42967,,,1.263,852.437,105.791,190.981,0.98,0.8088190148621964,0.0012709166731026,0.0,0.1011371574017481,0.0,0.1250430016398408,0.8646617245950656,0.8088190148621964,0.10114514242659378,0.5651487449677173
-0.0757,0.317,0.3411,18,87.41474235106,0.0969,27.08037345019,0.0779,3430974361727265792,0.9812,0.1203,-0.41,0.128,-1.086,0.075,0.966,17.529654,0.003377,18.54805,0.029079,16.525537,0.009631,2.022512,,,1.345,556.092,37.511,117.782,0.95,0.6350055172790109,0.0177589050895782,0.5571308355436878,0.0243245288246658,0.8773637714692387,0.0454907284313272,0.8720315633439105,1.1921363528226987,0.03011746026016543,0.5699657213655968
-0.0959,0.1544,0.3061,19,87.42567025738,0.0604,26.98195395377,0.0481,3429468855429932416,1.1851,0.069,-0.403,0.078,-1.054,0.049,1.021,16.797741,0.003248,17.475122,0.011474,15.980866,0.006927,1.494256,,,1.282,631.042,97.555,171.236,0.91,0.7743308709592783,0.0010262094884293,0.0,0.0382292909848118,0.0,0.0493707437202542,0.8876856280273757,0.7743308709592783,0.038243062052031804,0.5801973238037027
