pmRApmDEcor,PlxpmRAcor,PlxpmDEcor,Nper,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,Source,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RUWE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BPRP,RVDR2,e_RVDR2,EBPRP,RFG,RFBP,RFRP,Pmemb,mass,er_mass,comp_mass,er_comp_mass
-0.1887,-0.3554,0.4828,15,276.72318989107,0.0297,-50.93689884837,0.0384,6702129687539593728,2.2827,0.0508,4.41,0.034,-20.564,0.034,1.665,9.183589,0.002789,9.228855,0.002841,9.074619,0.002833,0.154236,,,1.161,2524.917,2028.094,2217.951,1.0,2.279210191504967,0.0005666830644080292,0.0,0.0
-0.0902,-0.4518,0.4844,15,276.78423088357,0.0915,-50.91230958831,0.0972,6702130129916487936,1.9858,0.1452,5.241,0.108,-22.529,0.094,1.042,17.500561,0.002996,18.628181,0.022967,16.447302,0.007212,2.18088,,,1.367,923.756,47.626,163.246,1.0,0.5050733102123625,0.0013941869544022252,0.0,0.0
0.0049,-0.4242,0.4106,15,276.57943403623,0.0133,-50.7722456873,0.0135,6702192630278797568,2.2491,0.0191,4.514,0.016,-20.991,0.013,0.935,12.462445,0.002779,12.758224,0.002885,12.007855,0.002877,0.750368,-30.34,2.39,1.192,3019.246,1476.707,1547.71,1.0,1.181538893174563,0.0004875227601288117,0.0,0.03215498242752433
-0.0081,-0.5079,0.4723,16,276.82650785284,0.12,-50.85506156277,0.1311,6702177443275410560,1.9987,0.2037,4.495,0.141,-21.199,0.128,1.028,18.017685,0.003392,19.479168,0.032491,16.863604,0.007647,2.615564,,,1.407,548.9,33.541,152.494,1.0,0.40677391969976,0.01560001139942364,0.30296607264556347,0.037007788871279805
-0.0297,-0.1316,0.3152,19,276.5702006279,0.0118,-50.99727247057,0.0118,6702174836235818752,2.2699,0.0155,4.41,0.013,-21.399,0.011,0.864,11.910196,0.002763,12.164892,0.002956,11.500983,0.002813,0.663909,-25.18,1.93,1.187,5111.239,1110.794,3024.551,1.0,1.3130424913550416,0.0006268760965503105,0.0,0.10840418247968274
0.0276,-0.416,0.4978,16,276.84248950001,0.0902,-50.83151205269,0.1019,6702177546354696064,2.0807,0.1458,5.174,0.101,-21.31,0.096,1.066,17.475025,0.003059,18.695004,0.026395,16.381697,0.005967,2.313307,,,1.388,817.533,41.366,205.849,1.0,0.506273185427589,0.002313560406022786,0.0,0.0525943981571981
0.0282,-0.1999,0.2921,18,276.54727609026,0.0448,-51.00278520723,0.0446,6702174526998175104,2.2976,0.0582,4.976,0.051,-21.205,0.044,1.025,16.362581,0.002841,17.309349,0.007662,15.400449,0.00345,1.9089,,,1.324,1568.313,152.155,534.891,1.0,0.6139385431537594,0.0005379890506246497,0.0,0.019094917602585852
0.0848,-0.395,0.4516,16,276.58729953945,0.0393,-50.74462633481,0.0425,6702192909458322304,2.3794,0.0622,4.514,0.048,-21.587,0.043,1.018,16.121778,0.00282,17.027267,0.005757,15.184484,0.003558,1.842783,,,1.313,1809.572,215.595,491.669,1.0,0.6353090247112809,0.002416017950254104,0.1422475365641465,0.14302321759289705
0.0651,-0.405,0.4237,16,276.8200373747,0.021,-50.97516093577,0.0231,6702128759826642048,2.1673,0.0317,4.613,0.024,-21.418,0.021,1.005,14.408127,0.00293,14.923873,0.004744,13.736493,0.003783,1.18738,,,1.232,1090.271,282.98,424.969,1.0,0.8308782665348172,0.00042391526050397063,0.0,0.0
0.1574,-0.2705,0.3129,18,276.65849597933,0.0139,-50.71760201369,0.0138,6702194386927064320,2.2994,0.0184,3.148,0.016,-22.715,0.014,1.042,13.624784,0.002794,14.045312,0.003468,13.038425,0.003033,1.006886,,,1.215,2339.594,527.016,912.243,1.0,0.953670500280864,0.00046331326390118457,0.0,0.022289698012227896
