pmRApmDEcor,PlxpmRAcor,PlxpmDEcor,Nper,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,Source,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RUWE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BPRP,RVDR2,e_RVDR2,EBPRP,RFG,RFBP,RFRP,Pmemb,mass,er_mass,comp_mass,er_comp_mass,q,e_q
-0.0115,-0.099,0.1697,15,273.81315699927,0.0215,-19.00187166483,0.0178,4094832853826992128,0.6073,0.024,0.735,0.029,-2.057,0.02,0.968,14.479333,0.002788,14.778572,0.003152,13.997396,0.003173,0.781177,,,1.207,2567.922,740.132,718.707,0.98,1.6413585799770547,0.0055098558117996,0.3887346121822837,0.4228086448454206,0.23683710368012212,0.257597982397639
0.2055,-0.093,0.1957,16,273.82016641444,0.0211,-19.01393497302,0.0176,4094832643324058368,0.5396,0.0234,0.811,0.028,-2.34,0.021,0.939,10.606872,0.002801,10.647057,0.003099,10.491891,0.002847,0.155166,,,1.167,2145.7,805.026,1923.131,0.89,6.792703400571443,0.04968204695285,0.2366275237136435,0.6486704824024229,0.03483554481323842,0.09549552703325413
0.2871,-0.1716,0.1947,15,273.81595957945,0.0239,-18.99377645387,0.0203,4094832853802030720,0.6367,0.0279,0.808,0.032,-2.224,0.027,0.916,14.669527,0.002887,14.981023,0.005046,14.152052,0.003476,0.828971,,,1.222,1259.19,258.255,523.813,0.96,1.5999293191005568,0.0026647055549981,0.0,0.2093611104458734,0.0,0.1308564746870014
0.2193,-0.3207,0.0926,14,273.8262922236,0.0508,-19.01364799355,0.0435,4094832643332275584,0.6753,0.0608,0.797,0.067,-2.281,0.046,0.961,16.290298,0.004498,16.98341,0.013186,15.47306,0.007957,1.51035,,,1.277,305.345,84.25,145.694,0.89,1.1335189704185642,0.0241535511606654,0.9481064872159616,0.0844786801913927,0.836427542863145,0.07662931915639559
0.0517,-0.2212,0.212,15,273.81986817757,0.0271,-18.99276010329,0.0225,4094832952561701888,0.6232,0.0324,0.882,0.034,-2.277,0.024,0.848,7.036872,0.002876,7.076396,0.003897,6.914167,0.004077,0.162229,,,1.171,1317.491,398.993,365.308,0.74,13.473337635194252,0.1652270518458778,7.401036143927753,5.181453144004154,0.5493097808664132,0.3846298614841394
0.1466,-0.141,0.2514,16,273.82899080331,0.02,-18.99219288167,0.017,4094832746403271424,0.5979,0.0236,0.806,0.026,-2.306,0.019,0.957,11.793506,0.002778,11.858736,0.003133,11.642564,0.002908,0.216172,,,1.167,3098.192,761.385,1324.288,0.97,4.341835070630497,0.0029900335123157,0.0,0.0,0.0,0.0
0.3067,-0.2835,0.0741,15,273.8321320381,0.1265,-18.98927693282,0.1082,4094832750747767168,0.4941,0.1459,0.659,0.171,-2.049,0.124,0.987,17.865509,0.00447,18.574162,0.052795,16.910242,0.016434,1.663919,,,1.392,308.441,20.594,67.041,0.68,0.9429085531310758,0.0039993350063192,0.0,0.0,0.0,0.0
0.1077,0.0851,0.116,14,273.79186493251,0.038,-19.00181896105,0.0301,4094832888186775552,0.6429,0.0407,0.862,0.053,-2.354,0.035,1.203,15.332506,0.002826,15.83651,0.004472,14.637814,0.004549,1.198696,,,1.254,1726.852,310.689,302.157,0.85,1.2926078618284331,0.0154810130039821,0.9088711677194758,0.2224559791836028,0.7031298466913624,0.1723044873919507
0.2235,-0.2243,0.1959,16,273.84087747659,0.0258,-19.0029292178,0.0216,4094832682028232064,0.6294,0.0307,0.807,0.034,-2.394,0.024,1.118,14.530542,0.00278,14.831463,0.003167,14.064059,0.002942,0.767404,,,1.197,2961.359,724.772,1162.157,0.87,1.6307892954511651,0.0020570376823468,0.0,0.1189505846179451,0.0,0.0729404987816264
0.1799,-0.1112,0.2494,13,273.79954912772,0.0433,-18.98759128538,0.0355,4094832918202154496,0.6425,0.0502,0.637,0.056,-2.349,0.038,0.956,15.908939,0.00363,16.525831,0.00971,15.148934,0.008389,1.376897,,,1.259,459.477,116.736,137.234,0.87,1.204336636735473,0.0203312121994345,0.926396394696682,0.1574089331953448,0.7692171494573246,0.13134527382630723
