pmRApmDEcor,PlxpmRAcor,PlxpmDEcor,Nper,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,Source,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RUWE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BPRP,RVDR2,e_RVDR2,EBPRP,RFG,RFBP,RFRP,Pmemb,mass,er_mass,comp_mass,er_comp_mass
-0.0647,-0.1478,-0.0219,26,348.80781052868,0.0104,60.4502339648,0.0094,2013906561629759872,0.374,0.0124,-3.433,0.013,-2.512,0.012,1.04,13.518436,0.002765,13.961194,0.003859,12.858201,0.003198,1.102993,,,1.256,4703.961,407.215,695.009,0.99,7.075553540292733,0.08791066773713993,1.9124927787536958,0.47133522615063095
-0.1068,-0.1275,0.0219,25,348.8062440053,0.011,60.44998917895,0.0103,2013906557327926784,0.3491,0.0135,-3.355,0.013,-2.689,0.013,1.116,13.584785,0.002767,14.023884,0.003313,12.921884,0.004534,1.102,,,1.259,4290.581,607.582,303.856,1.0,6.919082130604169,0.20927817800339651,2.050128202317647,0.7572134211806857
0.0431,-0.0457,-0.153,25,348.80224204235,0.0165,60.45026640886,0.0156,2013906561629759232,0.3462,0.02,-3.389,0.021,-2.605,0.021,1.453,10.346903,0.003114,10.411214,0.044248,9.314268,0.041592,1.096946,,,1.773,748.673,24.586,26.163,1.0,12.44359203626407,0.015738022717545038,1.3321188429918547,2.207703009904415
0.0789,-0.0139,0.0357,24,348.80163366429,0.0162,60.45050067316,0.0153,2013906561622284288,0.3579,0.019,-3.445,0.019,-2.696,0.019,1.293,10.265836,0.0032,10.277728,0.041958,9.303251,0.039586,0.974477,,,1.739,667.159,25.934,27.496,1.0,12.539524401126123,0.004057042480951499,0.2817110727681762,0.6716422409626751
-0.0087,-0.089,0.0481,26,348.80214941668,0.0477,60.45361437669,0.038,2013906561629758848,0.3062,0.0524,-3.368,0.059,-2.662,0.05,1.045,16.766699,0.002829,17.375179,0.007131,15.998445,0.004515,1.376735,,,1.268,1694.092,165.44,305.845,1.0,1.5973956752564231,0.01652373565419006,0.0,0.1541017460881559
-0.0817,-0.0341,-0.0604,26,348.79970018307,0.0114,60.44627498411,0.0097,2013906561629760768,0.3286,0.0127,-3.401,0.015,-2.762,0.013,0.913,11.026266,0.002777,11.414371,0.002928,10.451063,0.002831,0.963307,,,1.222,3126.594,1225.197,2261.673,0.99,10.922250720162538,0.05714417681287222,6.9932358569820146,0.626758563371971
-0.1125,-0.1465,-0.0058,25,348.82858714451,0.0418,60.45640053213,0.0392,2013906664708975360,0.3897,0.0525,-3.384,0.05,-2.722,0.05,1.008,16.793159,0.00295,17.458569,0.006868,15.993111,0.00439,1.465458,,,1.272,1030.865,173.001,320.333,1.0,1.5224162035264452,0.007219175451635067,0.31310685172858443,0.3017936945426726
0.0631,-0.1753,-0.0359,24,348.80185791382,0.0415,60.44047234391,0.0379,2013906492910285440,0.3918,0.0493,-3.496,0.05,-2.603,0.05,0.982,16.683174,0.002834,17.294241,0.011226,15.885658,0.00608,1.408583,,,1.291,1637.022,99.847,200.972,1.0,1.6274676114947308,0.024766922667000136,0.9467017574603142,0.09636949838427206
0.1055,-0.1775,0.0354,25,348.81846229597,0.0129,60.43936738324,0.0099,2013906492910287360,0.3217,0.0146,-3.418,0.017,-2.603,0.014,1.047,13.667375,0.002764,13.985874,0.002932,13.166616,0.002864,0.819258,,,1.208,5011.073,1204.883,1685.93,1.0,5.350230113341152,0.006052537795532881,0.0,0.031828738089966294
-0.0882,-0.1729,-0.0159,26,348.80500654711,0.0139,60.43934230585,0.0118,2013906492910285824,0.3595,0.016,-3.367,0.017,-2.773,0.015,1.184,11.76338,0.002762,12.097995,0.002933,11.235127,0.002831,0.862867,,,1.218,5467.291,1202.929,2260.947,0.99,9.571348746754301,0.1640873203504688,6.840924460831332,1.192446176556274
