pmRApmDEcor,PlxpmRAcor,PlxpmDEcor,Nper,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,Source,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RUWE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BPRP,RVDR2,e_RVDR2,EBPRP,RFG,RFBP,RFRP,Pmemb,mass,er_mass,comp_mass,er_comp_mass
0.0586,0.0559,0.0611,28,169.91231231558,0.0095,-63.48752516994,0.0097,5240688243858071680,0.4285,0.0109,-6.742,0.013,2.402,0.012,0.925,12.641376,0.002761,12.890358,0.002857,12.227065,0.002834,0.663293,,,1.193,6279.168,1771.187,2176.751,0.88,2.961664671897686,0.01179549800297275,1.5524067544405418,0.13121675712659162
0.1382,0.2171,0.1039,27,169.91927382755,0.0186,-63.48953400788,0.0182,5240688243858071424,0.506,0.0214,-6.728,0.027,2.036,0.024,1.21,14.501125,0.002772,14.813449,0.003106,14.016048,0.002993,0.7974,,,1.202,3578.077,795.298,1001.832,0.96,1.8951977724606712,0.019614999428230785,1.2877600171021997,0.04630541453785016
0.0561,0.2657,0.0318,26,169.91939549495,0.023,-63.48590320932,0.0214,5240688278217812608,0.4536,0.0264,-6.546,0.036,2.311,0.028,1.012,15.42228,0.002777,15.882317,0.004148,14.78855,0.00347,1.093766,,,1.229,3136.836,353.726,526.277,0.78,1.4409349471308053,0.03513198156497494,1.2178210449243672,0.05358844829064983
0.0333,0.0492,0.0639,28,169.90946476947,0.0114,-63.48537822542,0.0118,5240688239539943808,0.4222,0.0134,-6.836,0.016,2.383,0.016,1.174,12.373472,0.00276,12.616742,0.002878,11.969065,0.002816,0.647677,,,1.191,6789.036,1535.242,2851.275,0.88,3.0717760140904744,0.009085737028801754,1.504716386311624,0.17640536242588903
0.0535,0.1167,0.0656,27,169.92341871076,0.0135,-63.48997399445,0.0139,5240688243858072064,0.4221,0.0156,-6.803,0.018,2.291,0.017,1.067,14.06855,0.002771,14.318329,0.003009,13.620897,0.003407,0.697432,,,1.212,3701.773,963.367,555.335,0.98,2.180667667914279,0.01945702060601211,1.275650375957956,0.06573083341166087
0.176,0.3664,0.0151,23,169.90519864108,0.1051,-63.48751757401,0.0997,5240688449997240960,0.3735,0.1252,-7.136,0.149,2.049,0.136,1.078,18.057922,0.004271,18.017181,0.092532,16.577877,0.056722,1.439304,,,2.398,332.706,11.739,19.165,0.69,1.0136673976622153,0.005862516308966284,0.13217747007993919,0.20964374445047543
0.2143,0.0891,-0.0141,28,169.91239374769,0.0353,-63.49208954815,0.0334,5240688243858069248,0.4489,0.0384,-6.745,0.045,2.34,0.044,0.978,16.383686,0.002799,16.874142,0.006452,15.711325,0.005464,1.162817,,,1.244,2213.55,186.631,231.11,0.98,1.2891055918833907,0.0017456789388298438,0.10421911446235145,0.18287327016514812
0.1525,0.1124,-0.0186,28,169.90956667646,0.0316,-63.49161486049,0.0299,5240688243858069504,0.4037,0.0346,-6.875,0.039,2.123,0.038,0.972,16.136133,0.00279,16.617439,0.005382,15.488626,0.004023,1.128813,,,1.23,2492.43,235.888,374.589,0.98,1.3523051659972003,0.002898431233788123,0.25247278242276683,0.26081571369008105
0.077,0.1293,0.0392,28,169.90722033679,0.0167,-63.49068624258,0.0166,5240688243858069760,0.4351,0.019,-6.723,0.022,2.201,0.021,0.972,14.915704,0.00277,15.283092,0.003609,14.374165,0.003009,0.908927,,,1.21,3858.419,474.185,963.273,0.99,1.6888886551279367,0.015675228034739586,1.2134221862631782,0.03780920775154935
0.0852,0.0967,0.042,28,169.91774584369,0.0177,-63.48295537193,0.0178,5240688278217814016,0.4733,0.02,-6.893,0.023,2.171,0.023,0.977,15.00034,0.002775,15.314388,0.003737,14.515262,0.003137,0.799127,,,1.201,3298.937,436.839,757.615,0.99,1.755029025611354,0.002020319558083259,0.16451937686915408,0.24508577918304844
-0.1592,-0.1064,0.1732,24,169.924572185,0.0289,-63.49064231925,0.025,5240688243858071936,0.4868,0.0306,-6.897,0.039,2.289,0.034,0.973,15.76954,0.002882,16.129143,0.009493,15.101334,0.00827,1.027809,,,1.3,1284.534,119.656,139.456,0.98,1.478028387119883,0.0023653498449257414,0.15278238982072687,0.23100047795712525
0.0397,-0.0026,0.1166,27,169.90460120706,0.0175,-63.48558469719,0.0163,5240688449995472896,0.45,0.0201,-6.908,0.022,2.249,0.02,1.285,13.888316,0.002776,14.059233,0.005599,13.417473,0.007417,0.64176,,,1.269,3210.199,223.685,157.989,0.98,2.34452509957935,0.016385765268892117,1.133044617419162,0.15021220878158414
0.1009,0.0793,0.0798,28,169.90387275314,0.0107,-63.48645201199,0.0107,5240688450016501376,0.445,0.0122,-6.842,0.014,2.288,0.014,0.889,11.312705,0.002771,12.107243,0.002946,10.440633,0.002821,1.66661,0.63,1.66,1.289,3735.991,1146.992,2596.095,0.99,3.3883733770065567,0.0387871126593452,1.9175688891752565,0.19619911351482877
0.1016,0.1442,0.03,28,169.9198939967,0.012,-63.49285920082,0.0115,5240688239541193728,0.4502,0.0137,-6.854,0.016,2.308,0.015,1.09,13.851604,0.002769,14.108856,0.003452,13.395743,0.003522,0.713113,,,1.213,3894.052,534.15,505.223,0.98,2.186575364954826,0.07580250152073485,1.623763215709812,0.13157935423916364
0.0485,0.1073,0.0894,28,169.90714894898,0.0389,-63.48332884487,0.0368,5240688449995476736,0.4615,0.0431,-6.86,0.05,2.193,0.046,1.023,16.598879,0.002847,17.107704,0.016133,15.797071,0.011388,1.310633,,,1.335,1514.1,68.33,98.338,0.99,1.156684514674564,0.03938941567620728,0.9471656265918565,0.08090619845521867
0.1013,0.0646,0.062,28,169.92300256383,0.0147,-63.48308765289,0.0146,5240688273899649920,0.3855,0.0168,-6.783,0.019,2.385,0.019,1.306,11.816298,0.002764,12.020224,0.003086,11.366781,0.002995,0.653442,,,1.238,4833.787,823.719,996.992,0.52,3.225578975812923,0.006870736354917472,2.1056489617407728,0.11612060208265303
0.0291,0.0226,0.0912,28,169.91028920284,0.0299,-63.48176282561,0.03,5240688278217813632,0.414,0.0345,-6.663,0.039,2.256,0.039,1.05,16.095482,0.002793,16.631409,0.004845,15.40115,0.003572,1.230259,,,1.241,2365.606,274.131,486.915,0.97,1.245426326510085,0.03594126002256411,1.0796192417059205,0.05877396468101717
0.0186,0.003,0.1698,28,169.90103193976,0.0109,-63.4881548304,0.0111,5240688445699620608,0.4732,0.0125,-6.813,0.015,2.094,0.015,1.015,13.541209,0.00277,13.77629,0.002905,13.135927,0.003147,0.640363,,,1.195,3851.05,1340.667,746.211,0.99,2.479747308714803,0.052946311408745235,1.4154517537250624,0.14706974126198416
0.1464,0.264,0.1612,24,169.9168113449,0.0448,-63.49421522617,0.0451,5240688243858069120,0.4637,0.0528,-6.649,0.058,2.132,0.054,1.124,16.509573,0.003327,16.359495,0.057421,15.468464,0.027315,0.891031,,,1.931,582.214,18.931,39.958,0.98,1.3467081574297624,0.0037095762033228724,0.0,0.08927473155860687
0.1683,0.0566,0.0228,27,169.92541195471,0.0118,-63.48271953801,0.0127,5240688278217815552,0.4361,0.0141,-6.845,0.016,2.065,0.017,1.064,13.928863,0.002767,14.17211,0.003696,13.478648,0.003422,0.693461,,,1.217,4269.758,447.857,548.256,0.99,2.222561956812665,0.049827386188010234,1.4282784955940724,0.10532056415141305
0.2171,0.1957,0.0311,29,169.90628026351,0.0375,-63.49301666877,0.0349,5240688243858068224,0.555,0.0426,-6.817,0.048,2.17,0.044,1.002,16.544155,0.002809,17.100559,0.006999,15.861368,0.00487,1.239191,,,1.224,1993.056,169.145,272.051,0.95,1.2310743344998798,0.009017680172358503,0.6669094632277077,0.13798899570383744
0.0953,0.1479,0.0895,28,169.91916102487,0.038,-63.49423393362,0.0387,5240688243858069376,0.4471,0.0445,-6.613,0.051,2.295,0.049,2.788,11.157209,0.002789,11.346732,0.002915,10.81466,0.002863,0.532072,,,1.186,2528.228,1286.173,1686.396,0.95,3.235017887241511,0.011664843025604,3.176247438175508,0.09095256777027773
0.1801,0.1589,0.1153,27,169.90112778479,0.0166,-63.48507673644,0.017,5240688445699620736,0.4413,0.0189,-6.805,0.022,2.208,0.021,0.987,14.785629,0.002775,15.082313,0.003261,14.285413,0.003762,0.7969,,,1.219,3318.143,643.184,430.28,1.0,1.823541006538059,0.010743291725761675,1.0029997445217538,0.057132005556348245
0.0827,-0.0253,0.0137,26,169.93047818241,0.0141,-63.4894931507,0.0138,5240688278217811968,0.4498,0.0156,-6.79,0.019,2.132,0.018,1.052,14.261279,0.002769,14.492685,0.003271,13.847859,0.003293,0.644826,,,1.202,4019.609,636.016,620.651,1.0,2.143256495925849,0.0018853755674705516,0.10186447136133203,0.21054040609240157
0.0181,0.1109,0.007,27,169.93022122134,0.0124,-63.49055183318,0.0134,5240688278217811328,0.4716,0.0147,-6.733,0.017,1.989,0.018,1.022,14.075769,0.002772,14.404243,0.003076,13.560675,0.002971,0.843568,,,1.212,3595.49,838.317,1062.668,0.97,1.9668561934575495,0.05129642103950854,1.6862312827148198,0.06778943212412684
0.1982,0.0174,-0.0728,26,169.9296059222,0.0447,-63.48425102425,0.0421,5240688278196795264,0.4769,0.0485,-6.97,0.058,2.133,0.056,1.23,16.345789,0.002817,16.864187,0.009577,15.579045,0.004831,1.285142,,,1.303,1850.205,118.51,275.324,0.95,1.1843404367028427,0.034138382206462745,1.0465636650443872,0.056911506057515306
0.1448,0.1168,0.0416,27,169.93157202656,0.0085,-63.4879821086,0.0093,5240688273899650432,0.4265,0.0099,-6.812,0.011,2.309,0.012,0.887,12.621294,0.002763,12.86413,0.002899,12.213831,0.002829,0.650299,,,1.193,5338.929,1376.939,2336.112,0.98,2.970296867844991,0.012910296733946714,1.5538493990947182,0.13510980820427837
0.0522,0.0624,0.0597,28,169.9097548315,0.0488,-63.48084297536,0.0461,5240688278196791936,0.547,0.0543,-6.916,0.06,1.977,0.058,1.138,16.912718,0.00287,17.534168,0.008509,16.162369,0.006255,1.371799,,,1.249,1349.744,135.069,193.96,0.72,1.091508053195684,0.029721985536070333,0.8569421686789509,0.07060230798410123
