pmRApmDEcor,PlxpmRAcor,PlxpmDEcor,Nper,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,Source,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RUWE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BPRP,RVDR2,e_RVDR2,EBPRP,RFG,RFBP,RFRP,Pmemb,mass,er_mass,comp_mass,er_comp_mass
-0.0414,0.2566,0.2281,23,143.34179109421,0.0584,-53.43100427416,0.0552,5312139010553914240,1.3479,0.0709,-8.449,0.083,5.501,0.068,1.686,16.273722,0.003099,16.832302,0.008635,15.44436,0.007168,1.387942,,,1.337,765.266,132.866,164.447,1.0,0.7415428954468846,0.0008278759960444873,0.0,0.014535606362550026
0.0085,0.1465,0.0924,27,143.32211366067,0.0655,-53.40743961298,0.0607,5312139182352611072,1.4184,0.0722,-8.365,0.089,5.64,0.073,1.014,17.577774,0.002957,18.727573,0.017673,16.496336,0.005602,2.231237,,,1.391,1010.455,62.214,223.498,0.99,0.5474874908591729,0.011660574813022639,0.5039039759324989,0.018376099923553758
0.043,0.1283,0.0831,26,143.33466420864,0.0526,-53.4525542612,0.0476,5312138770035736320,1.4083,0.0572,-8.467,0.072,5.339,0.055,1.004,17.067293,0.003085,17.916025,0.010303,16.185272,0.004744,1.730753,,,1.28,782.286,109.476,282.967,1.0,0.655785041534196,0.0006801381201301939,0.0,0.018976600987035224
0.0998,0.0875,0.0354,26,143.32043955626,0.0181,-53.45452634269,0.0176,5312137498725411712,1.3262,0.0207,-8.435,0.024,5.443,0.021,0.873,9.416121,0.002769,9.391344,0.002832,9.432239,0.002807,-0.040895,,,1.157,3879.342,2247.536,3522.051,1.0,3.2030121659115474,0.0007829928606480242,0.0,0.0
-0.0071,0.1497,0.134,26,143.36219383073,0.01,-53.45309928282,0.0099,5312138731355858688,1.3774,0.0116,-8.611,0.013,5.387,0.011,0.731,11.713861,0.002767,11.822013,0.002951,11.512326,0.002844,0.309687,,,1.163,4241.364,1129.538,1964.79,1.0,1.7437300576207848,0.011480549890585029,0.8940172201238376,0.14771525914571143
0.0243,0.2,0.0006,25,143.40129101821,0.0123,-53.41561322402,0.012,5312139251072095744,1.3954,0.0143,-8.572,0.017,5.456,0.015,0.85,11.658751,0.002785,11.760961,0.002998,11.471457,0.00288,0.289504,,,1.16,2680.275,989.467,1522.288,1.0,1.7685036775435758,0.010794972041365885,0.8763865490129653,0.17532020773438767
-0.05,0.1746,0.0617,26,143.38467018609,0.0446,-53.45138887661,0.0425,5309136416092586624,1.3439,0.0512,-8.665,0.058,5.215,0.052,1.011,16.813799,0.003242,17.593075,0.010792,15.960139,0.006394,1.632936,,,1.278,635.226,104.149,188.707,1.0,0.6811548010700074,0.0005274434738678007,0.0,0.0
-0.0403,0.1978,-0.0372,25,143.40764454213,0.0126,-53.41474126173,0.0125,5312139251072097152,1.3322,0.0146,-8.45,0.017,5.549,0.015,1.135,12.887912,0.002761,13.123468,0.002823,12.503391,0.002812,0.620077,,,1.184,5889.132,2542.354,3069.694,1.0,1.3634709879484666,0.000833219720487758,0.0,0.11925106586752739
0.0255,0.1835,-0.0202,26,143.40122438836,0.0098,-53.44490721793,0.0093,5309136446135736064,1.396,0.011,-8.689,0.012,5.282,0.011,0.978,13.06376,0.002768,13.31999,0.002869,12.653752,0.002807,0.666238,,,1.187,4168.032,1624.128,3527.707,0.98,1.3174551722040713,0.0019738211674108497,0.1461118796254288,0.24633578522285737
-0.0408,0.0501,0.2163,26,143.31853627876,0.0104,-53.46922446106,0.0099,5312137253887098752,1.3269,0.0117,-8.63,0.015,5.55,0.012,0.887,11.901112,0.002759,12.098807,0.002833,11.565097,0.00281,0.53371,,,1.178,7442.066,2200.969,3226.77,1.0,1.5064912365083736,0.029388860579738187,1.342302251344349,0.03959151531364728
-0.0445,0.1688,0.1256,27,143.32312365248,0.0235,-53.47068864435,0.0234,5312137288264337408,1.3899,0.0272,-8.501,0.031,5.498,0.028,0.983,15.664267,0.002817,16.185459,0.00427,14.985847,0.003336,1.199612,,,1.235,1845.548,335.856,593.9,1.0,0.8143601863167759,0.0007787642844724449,0.0,0.0
-0.0374,0.239,0.0018,27,143.41235062486,0.1366,-53.42810609665,0.1305,5309136824094513536,1.3424,0.1554,-8.375,0.178,5.822,0.164,1.085,18.704559,0.003316,20.004652,0.056575,17.584976,0.009895,2.419676,,,1.399,588.582,19.215,114.365,0.95,0.46134710981103555,0.021433711052929467,0.2432915616258766,0.1384610946087142
-0.0368,0.2305,0.0122,27,143.40425806685,0.1242,-53.44628192703,0.1165,5309136446137766016,1.3129,0.1391,-8.393,0.16,5.256,0.146,1.16,18.482183,0.00324,19.475643,0.037074,17.322855,0.006952,2.152788,,,1.515,636.987,29.369,170.524,0.99,0.5182222092616434,0.002831755323242127,0.0,0.033422354095244605
0.0503,0.2441,0.1295,25,143.25087966346,0.0209,-53.40944650301,0.0202,5312138598236775552,1.3121,0.0243,-8.374,0.029,5.192,0.023,0.985,15.083184,0.002856,15.523849,0.003859,14.473787,0.003477,1.050061,,,1.221,1441.806,407.336,523.37,1.0,0.9012984199426374,0.0007182316477980817,0.0,0.0
-0.0855,0.0869,0.1494,21,143.24618364955,0.0217,-53.42455870883,0.0217,5312138357718868224,1.3658,0.0257,-8.402,0.025,5.304,0.025,1.213,10.205978,0.00277,10.255822,0.002808,10.089065,0.002804,0.166758,,,1.161,3833.111,3400.517,3956.428,1.0,2.514246028383377,0.04091889607228848,1.702288268242534,0.07920594627571739
-0.021,0.2175,-0.0185,27,143.41642458558,0.0951,-53.43113624281,0.0969,5309136824094507392,1.2718,0.1116,-8.404,0.126,5.812,0.124,1.049,18.239277,0.003198,19.375845,0.020605,17.188122,0.006255,2.187723,,,1.363,668.958,53.184,193.953,0.94,0.5364965041803356,0.004017900907015521,0.0,0.07879719810955772
