pmRApmDEcor,PlxpmRAcor,PlxpmDEcor,Nper,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,Source,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RUWE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BPRP,RVDR2,e_RVDR2,EBPRP,RFG,RFBP,RFRP,Pmemb,mass,er_mass,comp_mass,er_comp_mass,q,e_q,r,mass_system,e_mass_system,r/rh
-0.1374,0.1807,-0.07,18,246.96181761962,0.0204,-49.16362409155,0.0138,5940661123045451648,0.8963,0.0251,2.393,0.031,-4.518,0.02,0.912,14.544172,0.002764,14.9884,0.003148,13.925611,0.002882,1.06279,,,1.226,4927.574,744.935,1506.348,1.0,1.3164344538799038,0.0011137741784179,0.0,0.1668405508742075,0.0,0.1267366942444276,0.1053839365354916,1.3164344538799038,0.16684426843295974,0.041491977472302766
0.0001,0.1734,-0.0971,18,246.95169118432,0.0328,-49.16242639478,0.0232,5941411367928819200,0.9605,0.0413,2.487,0.049,-4.094,0.033,0.943,15.770003,0.002787,16.316864,0.0043,15.061124,0.00312,1.25574,,,1.247,2609.861,331.842,777.571,0.77,1.0526506818684978,0.0008771765388426,0.0,0.0634883926151736,0.0,0.0603128784398629,0.10556557242935052,1.0526506818684978,0.06349445200597234,0.04156349152524021
-0.0082,0.1292,-0.0451,18,246.93911204883,0.1295,-49.16617311488,0.0858,5941411367928820992,0.8546,0.1506,2.034,0.182,-4.457,0.118,1.251,17.842205,0.003044,18.755041,0.022553,16.877316,0.009411,1.877726,,,1.337,838.742,48.514,120.802,0.99,0.731093142710257,0.0038976666779311,0.2913668523430517,0.1918996143035764,0.3985358845836209,0.2624917263501835,0.20382070552167356,1.0224599950533086,0.19193919291117603,0.08024870203103468
-0.0681,0.2184,-0.0899,18,246.97066261604,0.0127,-49.17292978359,0.0088,5940661123045438208,0.9202,0.016,2.181,0.019,-4.384,0.012,0.964,13.121009,0.002764,13.5125,0.002886,12.550996,0.002854,0.961504,,,1.217,5089.866,1471.764,1815.487,1.0,1.5550480653539216,0.0307629881587126,1.4201182668733217,0.0461961107109745,0.9132311074578324,0.0347692778494212,0.21310286183940363,2.9751663322272432,0.05550173047098356,0.08390329146364657
-0.0708,0.2078,-0.0681,18,246.95308737984,0.0138,-49.17868817183,0.0095,5941411329243171584,0.9242,0.0173,1.876,0.021,-4.425,0.013,1.101,12.03615,0.002839,12.456511,0.00364,11.413539,0.003123,1.042973,-9.64,4.92,1.239,1588.366,464.395,773.538,0.99,1.959187421572592,0.0089804123036766,1.4123040311560735,0.3816729934868463,0.7208621368253025,0.1948399044122252,0.21453120894588557,3.3714914527286655,0.38177862926354883,0.08446566318663509
-0.0502,0.1901,-0.1154,18,246.96086216434,0.0142,-49.15591054339,0.0099,5941411745885943168,0.8856,0.0186,2.334,0.022,-4.684,0.014,1.07,13.576622,0.002765,14.020019,0.002933,12.953383,0.002893,1.066635,,,1.229,4667.151,1199.173,1421.782,0.99,1.4071109276715068,0.0241309535652519,1.329761899199592,0.0317441948898224,0.9450298999525842,0.0277776875078165,0.22622530925059367,2.7368728268710987,0.03987476431493194,0.08906988810319423
-0.0569,0.2088,-0.0919,18,246.94077201238,0.0163,-49.15933872314,0.0107,5941411367928826880,0.889,0.021,2.615,0.022,-4.542,0.016,0.947,13.821858,0.002842,14.235997,0.003509,13.22867,0.0031,1.007327,,,1.222,1555.914,510.34,803.563,0.75,1.4685371858274572,0.0120281653550613,0.9912635645639882,0.0568855842242911,0.6750006565243727,0.0391287732332183,0.23712873156516082,2.4598007503914454,0.05814332682559207,0.09336280567602243
0.0697,0.1743,-0.0441,17,246.9347532011,0.0676,-49.16646700802,0.0486,5941411367902363136,0.7795,0.0884,2.393,0.1,-4.435,0.068,1.003,17.151314,0.002864,17.958157,0.021486,16.210352,0.00873,1.747805,,,1.346,1388.479,50.964,131.251,0.97,0.7979291243065082,0.0103023466758704,0.6047581708647966,0.035022763399864,0.7579096343806233,0.0449696880272614,0.25667642293593723,1.4026872951713047,0.03650660629519911,0.1010591624136418
0.1709,0.1023,-0.0084,17,246.95953296579,0.2314,-49.15380240093,0.1411,5941411745859486464,0.9833,0.2929,1.487,0.328,-4.139,0.22,0.883,18.986526,0.00362,20.215549,0.06708,17.947596,0.024784,2.267954,,,1.33,462.425,16.2,44.089,0.61,0.6157634242013422,0.0040870496434418,0.0,0.0943423619396827,0.0,0.1532120262941026,0.26085963665047596,0.6157634242013422,0.09443084893797181,0.10270618581124483
-0.0022,0.1731,-0.1193,18,246.96863461638,0.0563,-49.17900029489,0.0382,5940660745088310016,0.8174,0.0702,2.043,0.08,-4.569,0.053,1.064,16.632992,0.002853,17.239172,0.010065,15.839347,0.004802,1.399825,,,1.289,1464.166,112.267,277.796,0.99,0.902647624108072,0.0011948135940332,0.0,0.0267262918263845,0.0,0.0296087765730213,0.2711454776882419,0.902647624108072,0.026752985895289398,0.10675594802978691
