pmRApmDEcor,PlxpmRAcor,PlxpmDEcor,Nper,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,Source,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RUWE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BPRP,RVDR2,e_RVDR2,EBPRP,RFG,RFBP,RFRP,Pmemb,mass,er_mass,comp_mass,er_comp_mass
-0.3255,-0.026,0.0347,26,356.85832510589,0.0218,63.22309470973,0.0233,2016055385307632512,0.3309,0.0266,-2.972,0.028,-1.423,0.028,1.643,14.273888,0.002775,14.988549,0.003032,13.423123,0.002962,1.565426,,,1.297,3308.983,914.916,1091.912,0.99,7.497825228447069,0.7724575434904377,2.3310398712394633,0.8265825791663445
-0.2851,0.0047,-0.0597,26,356.85716248012,0.0215,63.22435016445,0.0198,2016055591466343936,0.3191,0.0255,-2.987,0.028,-1.25,0.028,1.028,15.461609,0.002778,16.173828,0.003814,14.610501,0.003038,1.563327,,,1.298,3062.1,417.595,902.552,0.99,3.4223415113106928,0.25310242490148627,1.8469525391647823,0.48485211505567066
-0.2875,-0.0284,-0.0352,27,356.85151827488,0.0575,63.2245124946,0.0512,2016055591461948672,0.411,0.067,-3.024,0.074,-1.316,0.071,1.046,17.359913,0.002911,18.227711,0.010284,16.415445,0.006938,1.812265,,,1.331,1155.343,109.685,170.922,0.97,1.678071478709847,0.013516130354371134,0.14294513075951762,0.2504882739276523
-0.2869,-0.0158,-0.0114,26,356.85446304353,0.0335,63.21487474553,0.0315,2016055385307638656,0.3227,0.0401,-3.122,0.043,-1.186,0.043,1.134,16.18417,0.002831,16.965075,0.006028,15.262371,0.003539,1.702703,,,1.337,1672.733,203.192,498.655,0.94,2.429629143569716,0.08765910968504266,1.5105722034217748,0.07167005344815332
-0.2449,0.0039,0.0112,26,356.85628853107,0.0515,63.22704016925,0.0445,2016055591466058752,0.3278,0.0589,-3.096,0.069,-1.293,0.062,1.022,17.078552,0.002846,17.894806,0.011723,16.195063,0.005133,1.699743,,,1.292,1526.695,95.355,252.001,0.98,1.8658297760989395,0.03878140854251059,0.8672255547750537,0.2444034207592602
-0.2477,0.0367,0.0245,27,356.83878164615,0.0086,63.21772475296,0.0081,2016055385307633536,0.3539,0.0104,-2.972,0.011,-1.434,0.011,0.864,10.154934,0.002945,10.851561,0.00423,9.321212,0.004422,1.530349,,,1.289,1045.334,341.529,316.48,0.99,18.775901638202654,0.09116392450731635,3.3823768798075395,4.564087304909288
-0.2699,-0.0505,-0.0273,27,356.85948029636,0.0637,63.21267608906,0.056,2016055385307642496,0.2832,0.0734,-3.08,0.081,-1.158,0.078,1.057,17.347591,0.00291,18.588852,0.017656,16.25177,0.006803,2.337082,,,1.386,1159.136,62.277,174.977,0.89,1.4291686303436342,0.03139219628809424,1.2255626010553728,0.20774875302300919
-0.2843,-0.0386,-0.0244,27,356.86891984189,0.0476,63.22547213251,0.0428,2016055419667370624,0.2863,0.056,-2.89,0.06,-1.327,0.058,1.037,16.95122,0.002825,17.711132,0.007488,16.078577,0.004558,1.632555,,,1.3,1737.515,156.256,301.204,0.98,2.0549502980606853,0.019633629814845253,0.356189836980705,0.39622069411907623
-0.2273,0.1057,-0.0679,26,356.83498472605,0.0146,63.22007049256,0.0124,2016055591466061440,0.3399,0.0164,-2.973,0.018,-1.435,0.016,0.918,8.306598,0.002872,9.037854,0.004806,7.396729,0.004347,1.641126,,,1.343,1342.488,277.435,325.77,1.0,19.11064021533862,0.0007264337359718397,5.070922270979812,6.219490552939141
-0.2386,-0.2224,-0.1455,21,356.83810282671,0.0987,63.21566672957,0.0738,2016055385303943168,0.2682,0.1028,-3.183,0.123,-1.556,0.099,1.0,17.644236,0.003084,18.682789,0.031202,16.46015,0.01042,2.222639,,,1.531,783.361,34.937,108.145,0.58,1.4180665198621047,0.03265830421277483,0.9961837994165041,0.4128805123019807
-0.338,-0.2123,0.1132,19,356.835341593,0.064,63.21562896953,0.0568,2016055385307957632,0.4079,0.0755,-2.927,0.092,-1.547,0.082,0.932,17.291475,0.002911,18.012583,0.040675,16.20285,0.026754,1.809732,,,1.521,1156.656,26.756,40.805,0.89,1.7351302700661604,0.022251010664722255,0.9086607439237058,0.24949077137373457
-0.265,-0.0121,0.006,26,356.87259925387,0.0573,63.21517139345,0.0507,2016055350947904256,0.467,0.0673,-2.957,0.074,-1.394,0.071,0.971,17.347666,0.002873,18.261322,0.013155,16.393806,0.005168,1.867516,,,1.326,1335.757,84.454,249.608,0.92,1.5947853227717925,0.029511017857928208,0.3918060943862033,0.38329071480594284
-0.2733,-0.0616,0.0186,26,356.86630627478,0.0823,63.21217385558,0.0681,2016055350947906176,0.406,0.0918,-3.059,0.102,-1.356,0.093,1.113,17.641714,0.002987,18.695518,0.022338,16.612787,0.006859,2.082731,,,1.361,942.122,48.988,173.287,0.97,1.4444982188411462,0.011805916431530991,0.33380864970827673,0.40602082279271895
-0.2824,-0.019,-0.0204,27,356.83338815757,0.0428,63.22472192432,0.0379,2016055587158926080,0.3343,0.0496,-2.915,0.055,-1.319,0.053,0.977,16.798054,0.002819,17.836195,0.016515,15.727441,0.007194,2.108754,,,1.407,1815.785,66.702,163.731,0.99,1.558636411908042,0.06640221276972233,1.4303015271221824,0.019211822023869517
-0.2143,0.0259,0.0212,26,356.87042586769,0.0578,63.21317394832,0.0494,2016055350947905792,0.2252,0.0657,-2.759,0.073,-1.341,0.068,0.967,17.242916,0.002885,18.36302,0.011865,16.192209,0.003931,2.170811,,,1.366,1270.402,94.144,392.143,0.79,1.4620995591647514,0.03276014159988843,1.2316682690209404,0.1459771543082377
-0.2503,-0.0729,-0.0599,26,356.83276059026,0.0824,63.22540631957,0.0716,2016055591466342784,0.3412,0.0955,-2.984,0.11,-1.191,0.102,0.962,17.975273,0.003195,19.111654,0.039952,16.856407,0.014083,2.255247,,,1.434,671.494,27.243,78.658,0.93,1.3669365710380124,0.0327649385992744,0.8773835324590716,0.42538785908551136
