pmRApmDEcor,PlxpmRAcor,PlxpmDEcor,Nper,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,Source,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RUWE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BPRP,RVDR2,e_RVDR2,EBPRP,RFG,RFBP,RFRP,Pmemb,mass,er_mass,comp_mass,er_comp_mass,q,e_q,r,mass_system,e_mass_system,r/rh
0.0558,-0.0813,0.0723,18,79.1121938747,0.0135,45.57467393815,0.0107,208709954319236992,0.6141,0.0154,-1.653,0.019,-1.387,0.015,0.918,13.619726,0.002782,13.9608,0.003094,13.107669,0.002897,0.853131,,,1.204,2849.665,812.269,1393.114,1.0,1.579148859648562,0.0182968981424115,1.521624166439551,0.0238241284871021,0.9635723428747476,0.018768429409327,0.126177379604464,3.1007730260881132,0.030039400456795592,0.06402692887187363
0.0652,0.0583,0.0309,18,79.12110648086,0.0133,45.57605632079,0.011,208709954319235456,0.6277,0.0152,-1.619,0.019,-1.37,0.016,1.049,13.699843,0.002763,14.079825,0.00292,13.142622,0.002864,0.937203,,,1.214,5371.313,1259.178,1685.531,1.0,1.7115593407706795,0.0263602065216421,0.4620704514111065,0.5916474695453994,0.2699704534947914,0.3457024557921801,0.2316505930449905,2.173629792181786,0.5922344035154813,0.11754782109529731
0.0291,0.0234,0.165,18,79.09640405215,0.0111,45.58152274891,0.0088,208710194837406208,0.6129,0.0131,-1.76,0.015,-1.366,0.013,1.083,12.550455,0.00276,13.24622,0.002888,11.739918,0.002807,1.506302,-30.76,0.43,1.27,6763.115,1458.652,3556.897,1.0,1.9295320034683388,0.0113158715249517,1.361744217565829,0.0418468634497165,0.7057380831818754,0.0220789680860761,0.2710663500181488,3.2912762210341677,0.04334984347086424,0.13754879017598806
0.1199,0.041,0.0236,18,79.13068398306,0.0284,45.58234752581,0.0228,208709950023258496,0.6311,0.0325,-1.648,0.039,-1.332,0.033,0.96,15.641495,0.002789,16.213612,0.004408,14.897596,0.003272,1.316015,,,1.263,2502.54,318.177,635.366,1.0,1.100434780942823,0.0171035138505652,1.0387305962598876,0.0227685191662311,0.9439274496303462,0.0253640289135526,0.4141144376012349,2.1391653772027106,0.028476931910925877,0.21013652149241627
0.1694,-0.046,-0.0358,18,79.12834912173,0.0301,45.58804656378,0.0251,208710160477662080,0.6495,0.0353,-1.693,0.043,-1.267,0.036,1.01,15.7067,0.002784,16.199957,0.004666,15.046816,0.003151,1.153141,,,1.233,2746.72,290.29,741.75,1.0,1.1947262416403543,0.0071153036777239,0.7292184148043469,0.0486896087819752,0.6103644411485705,0.0409155752403861,0.4379553969395853,1.9239446564447014,0.049206763252301285,0.22223427952621672
0.1085,0.0526,0.0165,18,79.13153928195,0.0136,45.58398148319,0.0111,208710057398447360,0.6301,0.0159,-1.786,0.019,-1.356,0.016,1.315,12.70352,0.002761,13.412613,0.00287,11.881037,0.002811,1.531576,-32.27,1.22,1.275,6191.92,1614.997,3163.671,1.0,1.9049570445573296,0.0132959556646771,1.2192828314219426,0.1093208509083766,0.6400579135921027,0.0575611887649562,0.44242422076996074,3.1242398759792724,0.11012643134310929,0.224501921051388
0.0689,0.011,0.0519,18,79.10911076469,0.0208,45.56249953983,0.0168,208709919959501440,0.634,0.0244,-1.693,0.031,-1.294,0.025,0.991,14.912166,0.002877,15.310622,0.004193,14.340166,0.003593,0.970456,,,1.215,1310.976,346.961,479.697,1.0,1.4063267352534343,0.0007864923389595,0.0,0.0679723925512225,0.0,0.0483332861754727,0.455434943883515,1.4063267352534343,0.0679769425565517,0.23110402870312838
0.1174,-0.0586,0.0091,18,79.1196454886,0.0224,45.56379467528,0.0178,208709885599761792,0.6108,0.0256,-1.647,0.033,-1.4,0.027,1.02,15.051235,0.002768,15.457436,0.003247,14.467852,0.003231,0.989584,,,1.219,4117.36,653.864,666.254,1.0,1.3702225856055967,0.0008585610198428,0.0,0.0565983340289166,0.0,0.0413059415481039,0.46002252815344513,1.3702225856055967,0.05660484556885225,0.2334319335357165
0.0451,-0.0032,0.0362,18,79.12016595198,0.0148,45.56031446998,0.012,208709885599762432,0.5992,0.0169,-1.662,0.021,-1.225,0.018,1.025,14.081112,0.002794,14.497573,0.003249,13.489953,0.003029,1.00762,,,1.22,2349.66,652.609,921.677,1.0,1.4673958801522906,0.0233466322809011,1.3790134614822451,0.0311843162740475,0.9397692062070716,0.0259843418826391,0.5528788732797705,2.8464093416345357,0.038955446606853794,0.2805505741616552
0.0254,0.1354,0.0299,18,79.11661707622,0.0114,45.60773832746,0.0093,208710980811624832,0.6518,0.0137,-1.669,0.016,-1.394,0.013,1.026,13.039843,0.002783,13.399114,0.002985,12.503286,0.002941,0.895827,,,1.211,2793.355,1022.484,1168.926,1.0,1.7607516672399788,0.0508087655318013,1.2150369714551217,0.7209921560839843,0.690067199175067,0.4099636400608721,0.8084526221329111,2.9757886386951005,0.7227802015754844,0.41023786272822804
