pmRApmDEcor,PlxpmRAcor,PlxpmDEcor,Nper,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,Source,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RUWE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BPRP,RVDR2,e_RVDR2,EBPRP,RFG,RFBP,RFRP,Pmemb,mass,er_mass,comp_mass,er_comp_mass
0.0226,0.0422,0.1153,16,101.17890845927,0.0283,-0.53275635391,0.0291,3107449937204283008,0.2284,0.0343,-0.088,0.035,1.098,0.033,1.015,15.534017,0.002794,16.03038,0.00452,14.855754,0.00325,1.174626,,,1.245,2350.124,305.373,651.698,0.99,2.164683191901467,0.007553209894012175,1.827077306895339,0.07592667557610387
-0.0737,0.135,0.1713,17,101.18106088505,0.0442,-0.53707181147,0.0455,3107449937204284288,0.1009,0.054,-0.101,0.053,0.993,0.051,0.978,16.506359,0.00284,16.929193,0.007683,15.852226,0.006237,1.076967,,,1.26,1577.183,151.679,194.65,0.95,1.9813341073573005,0.06836721853171723,0.45341494148338735,0.6347329364924671
-0.0463,0.1094,0.1066,17,101.17999162877,0.106,-0.52663687337,0.1092,3107449932907793920,0.2963,0.1304,-0.291,0.129,1.207,0.126,1.024,18.058878,0.003103,18.666862,0.019999,17.297699,0.010905,1.369164,,,1.263,761.269,54.826,102.988,0.87,1.3333873946113721,0.04268138597118545,1.1503468907402867,0.06992957989059198
-0.0647,0.1282,0.1436,17,101.17552852769,0.0481,-0.53798385634,0.049,3107426469502983552,0.2465,0.0578,-0.109,0.057,1.09,0.055,1.06,16.570162,0.002862,16.982073,0.009192,15.946882,0.01031,1.035191,,,1.244,1400.091,123.964,109.39,0.99,1.9938092974301205,0.001652783241184798,0.0,0.19449283152898778
-0.1063,0.1705,0.0785,17,101.1785074342,0.0925,-0.52567729616,0.0927,3107450005923755008,0.2193,0.1114,-0.161,0.105,1.165,0.104,0.974,17.714899,0.00337,18.049658,0.020066,16.795813,0.015696,1.253845,,,1.514,559.461,54.64,70.291,0.96,1.5270574228641507,0.05634936829971203,1.1822982264438295,0.11748968836504048
-0.0507,0.1087,0.0801,17,101.17995989646,0.1429,-0.52505074302,0.1485,3107450001626985344,0.2389,0.1774,-0.243,0.173,1.023,0.168,0.945,18.591997,0.003598,19.341133,0.048938,17.823418,0.013145,1.517715,,,1.218,469.173,22.222,84.523,0.88,1.2387382919596133,0.026414173630528375,0.9123331640432106,0.1579229349925991
-0.0418,0.1095,0.1009,17,101.18145009494,0.114,-0.52482937415,0.1194,3107449937204276608,0.2929,0.1414,-0.237,0.138,1.19,0.135,1.008,18.211466,0.00324,18.867998,0.027629,17.45978,0.012347,1.408218,,,1.237,637.219,39.499,90.272,0.9,1.2907310612709415,0.03858148757261351,1.108276750797001,0.06570622762425556
-0.082,0.1359,0.1901,17,101.1858748455,0.0354,-0.52668570991,0.0366,3107449937204275200,0.1914,0.044,-0.132,0.042,1.077,0.041,1.03,15.995735,0.002816,16.927727,0.005848,15.040472,0.003984,1.887255,,,1.322,1860.368,211.234,381.824,0.99,2.184206443183443,0.00035353133423304594,0.11027148702334967,0.25099508071683385
-0.0494,0.1358,0.1666,17,101.18629265056,0.0268,-0.53801459357,0.0271,3107449937204282112,0.1787,0.0322,-0.171,0.032,1.1,0.031,0.972,15.473967,0.002787,15.850859,0.004195,14.909204,0.003233,0.941655,,,1.221,2600.5,346.53,664.671,0.99,2.1276148462526825,0.041396120114346964,1.9694777670554555,0.11927563056252435
-0.0742,0.1521,0.1055,17,101.18456902232,0.076,-0.54063313466,0.0791,3107449726748108672,0.3072,0.0952,-0.172,0.091,1.119,0.088,1.064,17.506033,0.002978,17.990311,0.012548,16.886127,0.006741,1.104183,,,1.209,960.692,88.749,176.923,0.96,1.6694909639288198,0.0030758958905484127,0.0,0.21249234138914458
