pmRApmDEcor,PlxpmRAcor,PlxpmDEcor,Nper,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,Source,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RUWE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BPRP,RVDR2,e_RVDR2,EBPRP,RFG,RFBP,RFRP,Pmemb,mass,er_mass,comp_mass,er_comp_mass,q,e_q
0.0249,0.1031,0.0338,24,143.68308698852,0.0125,-48.04585700983,0.0126,5410176311999403904,0.4533,0.0156,-5.29,0.016,3.269,0.016,1.056,14.034056,0.002761,14.643586,0.002893,13.274823,0.002849,1.368763,,,1.261,6322.326,1421.834,1890.149,0.96,1.9363532177696297,0.0179005271886805,1.7150751438537228,0.0620182598730691,0.8857243234936321,0.03305845104942043
0.0723,0.162,0.0091,25,143.68168536971,0.0302,-48.04921465359,0.0311,5410176311999400832,0.3646,0.038,-5.352,0.037,3.36,0.038,0.985,16.180979,0.002785,16.829891,0.004857,15.39888,0.003436,1.431011,,,1.264,2699.002,273.096,541.277,0.99,1.3781833763667148,0.0304183987978025,1.0371750389386714,0.0779361060092703,0.7525667895320005,0.058938842829502694
-0.0293,0.0991,0.0227,25,143.6899140422,0.009,-48.04823272526,0.0096,5410176311999404544,0.4702,0.0115,-5.279,0.011,3.309,0.012,0.965,13.104397,0.002765,14.113338,0.002923,12.116387,0.002815,1.99695,35.72,0.87,1.332,4618.05,1247.551,2895.093,0.94,2.049617089504721,0.0726637862034217,0.9326183031622672,0.8514940636451264,0.45502074896712996,0.41575363270190235
0.0752,0.2165,-0.0597,24,143.67856323155,0.0966,-48.04877701887,0.1039,5410176311999400448,0.3936,0.1257,-5.405,0.124,3.192,0.117,0.946,18.281277,0.003177,19.097885,0.020465,17.450327,0.009604,1.647558,,,1.247,686.84,53.553,118.148,0.89,0.9686693244503112,0.0022652139584549,0.0,0.0759038072836265,0.0,0.07835884276267288
-0.01,0.1032,0.0517,24,143.68967349966,0.064,-48.04058364405,0.0719,5410176311999409152,0.4704,0.0837,-5.271,0.083,3.475,0.088,1.347,17.237885,0.002924,17.760975,0.016768,16.291307,0.010637,1.469667,,,1.455,1109.061,65.666,105.775,0.96,1.2043990048744753,0.0032054304125044,0.0,0.1231336072004288,0.0,0.10223655674081367
0.0127,0.2163,-0.0014,23,143.68655584466,0.0915,-48.03817041029,0.1013,5410176311999409920,0.4498,0.1194,-5.233,0.122,3.371,0.122,0.983,18.234135,0.003054,19.055424,0.017097,17.372814,0.008842,1.68261,,,1.271,824.013,64.367,129.402,0.96,0.9776034312120364,0.0049364088701921,0.1048289717151406,0.2077179727043356,0.10723056851915225,0.2124774121388482
0.0179,0.1415,0.0353,25,143.69063939404,0.0167,-48.05274183371,0.018,5410176243279924736,0.4238,0.0215,-5.279,0.021,3.451,0.022,1.013,14.990952,0.002776,15.531196,0.003319,14.286792,0.003039,1.244404,,,1.246,3215.824,603.91,901.475,0.99,1.797331381246439,0.0009940367502252,0.0,0.049963016495589,0.0,0.02779844441426262
-0.0434,0.0978,0.1064,24,143.69100522393,0.0327,-48.03805527281,0.0369,5410176346359149312,0.4234,0.0419,-5.173,0.043,3.196,0.046,1.071,16.233967,0.002799,16.850449,0.004323,15.473203,0.003212,1.377246,,,1.259,2211.469,328.816,682.26,0.89,1.431842777471643,0.0039437385400871,0.1477247554210382,0.275711146000274,0.1031710727918686,0.1925570674125409
0.009,0.2241,0.0482,23,143.67344883733,0.0505,-48.05170923996,0.0552,5410176208920181888,0.4309,0.0683,-5.135,0.067,3.41,0.063,1.071,17.006552,0.002837,17.665316,0.007577,16.226992,0.003816,1.438324,,,1.258,1607.559,154.118,416.96,0.96,1.2349104953958356,0.0016763150378976,0.0,0.0667888990577847,0.0,0.0540839998581244
0.0411,0.1151,0.0343,25,143.69041072374,0.0293,-48.05442800993,0.0315,5410176243279923840,0.43,0.0374,-5.385,0.038,3.438,0.039,1.012,16.227074,0.002787,16.851772,0.004164,15.461325,0.003095,1.390448,,,1.26,2575.284,351.259,810.235,0.95,1.4259285032042084,0.0092488307291306,0.5145648331271491,0.3576441261883597,0.36086299696714724,0.25082582908226636
