pmRApmDEcor,PlxpmRAcor,PlxpmDEcor,Nper,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,Source,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RUWE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BPRP,RVDR2,e_RVDR2,EBPRP,RFG,RFBP,RFRP,Pmemb,mass,er_mass,comp_mass,er_comp_mass
0.3649,0.0592,0.1444,27,204.23421658732,0.0487,-62.09400043324,0.0547,5865731226681318784,0.4132,0.0735,-5.452,0.057,-2.14,0.075,0.968,17.291485,0.002849,17.999304,0.007359,16.485125,0.004512,1.514179,,,1.262,1500.548,159.453,306.184,0.85,1.2403376769051944,0.004509348474126878,0.20022816540888264,0.25549196590757567
0.358,0.1628,0.2067,27,204.23223822543,0.0617,-62.09724122531,0.0665,5865731226681311104,0.3221,0.0944,-5.595,0.077,-2.148,0.094,0.999,17.665056,0.002903,18.365015,0.013522,16.842171,0.007705,1.522844,,,1.279,1189.586,82.059,151.175,0.96,1.1557923665593015,0.002154254439874386,0.0,0.1613229025197334
0.4713,0.1166,0.18,28,204.23734781044,0.0109,-62.09728193713,0.0127,5865731226681310848,0.3824,0.0178,-5.676,0.014,-2.262,0.017,0.995,14.208605,0.00276,14.602716,0.002837,13.625896,0.002832,0.97682,,,1.224,7026.036,2105.196,2243.817,1.0,2.0786813193579854,0.025908762682333986,1.9945603593258836,0.03533229765388227
0.4585,0.0532,-0.0295,27,204.22714218925,0.0076,-62.09938554426,0.0094,5865731226681307648,0.326,0.013,-5.803,0.009,-2.228,0.013,0.909,12.796554,0.00276,13.780857,0.002831,11.815958,0.002803,1.964899,-29.41,0.45,1.332,6915.293,2254.648,4001.581,0.79,2.5906747635125704,0.06262547018268426,2.0887325153993377,0.6270839300541057
0.399,0.0699,0.1296,27,204.22612048737,0.027,-62.09102118814,0.0303,5865734181618825344,0.3475,0.04,-5.687,0.031,-2.329,0.039,0.97,16.19198,0.002782,16.71464,0.004365,15.478134,0.003516,1.236506,,,1.26,2850.658,323.43,507.637,0.99,1.5666184705465858,0.001662031228178982,0.0,0.09872910844306593
0.4386,0.1447,0.1786,27,204.22731033871,0.0353,-62.10064093482,0.0391,5865731226681305472,0.3977,0.0553,-5.584,0.043,-2.18,0.051,1.045,16.691029,0.00283,17.296934,0.00918,15.806588,0.00838,1.490346,,,1.366,1676.389,124.141,137.399,0.99,1.3351830033439536,0.04399291218675981,1.0238305672347479,0.10053114284860128
0.3768,0.0583,0.0054,26,204.22793659756,0.0428,-62.0900056364,0.0516,5865734181618827904,0.4248,0.0657,-5.717,0.051,-2.362,0.072,1.031,17.10009,0.002831,17.765682,0.009347,16.288568,0.004876,1.477114,,,1.282,1673.118,121.704,271.525,0.99,1.2926321223099606,0.0025110818053923015,0.16160065046684122,0.2318454352476648
0.3282,0.0089,0.0977,27,204.24241529544,0.0567,-62.0919357278,0.0621,5865731222352183424,0.4791,0.0864,-5.755,0.068,-2.196,0.083,1.026,17.590082,0.002866,18.282856,0.011048,16.804403,0.00518,1.478453,,,1.251,1376.745,101.563,248.745,0.96,1.1710531147740348,0.0022955264557557027,0.0,0.12022219577142293
0.4363,0.1303,0.1529,28,204.23902201921,0.0141,-62.10065972209,0.0163,5865731226681305216,0.3855,0.0227,-5.711,0.018,-2.339,0.022,1.293,14.511271,0.002765,14.904133,0.003021,13.870252,0.00301,1.033881,,,1.265,4773.758,937.564,961.765,1.0,2.2124631968154707,0.0012681413953559914,0.0,0.10094075916684973
0.4121,0.1277,0.2167,27,204.23517247386,0.0455,-62.08953639633,0.0526,5865734177289473280,0.3289,0.0694,-5.739,0.054,-2.249,0.068,5.295,13.936943,0.002857,14.454538,0.002982,13.185111,0.002897,1.269427,,,1.292,1434.456,1032.565,1390.439,0.99,2.391252888602231,0.004304000089745994,0.8325894973669474,0.4005072682706206
0.4169,0.0961,0.1179,27,204.21871419791,0.0221,-62.09608969334,0.025,5865734147259074944,0.3401,0.0353,-5.679,0.026,-2.275,0.032,0.995,15.845534,0.002777,16.296106,0.005613,15.126822,0.006179,1.169285,,,1.295,3160.781,222.92,196.927,0.99,1.700592537843485,0.0019358584079927062,0.0,0.0813607724861176
0.4114,0.0767,0.1425,27,204.24654571902,0.0178,-62.09647674447,0.02,5865731226681312640,0.3823,0.0282,-5.674,0.021,-2.259,0.027,0.988,15.483473,0.002776,15.987714,0.003349,14.801387,0.002985,1.186327,,,1.245,3212.264,586.026,1024.356,1.0,1.8099260468846226,0.009010784066122567,0.9188862072346449,0.08862746823847908
0.4408,0.0634,0.1114,27,204.21993801693,0.0085,-62.09210344022,0.0102,5865734181618822528,0.3581,0.0137,-5.601,0.01,-2.25,0.013,1.046,13.222131,0.00279,13.533967,0.011036,12.408653,0.009684,1.125314,,,1.435,2462.628,101.688,117.081,0.99,2.4486828457034178,0.0237872283081521,2.346040954542529,0.05012637425128269
0.2774,0.1158,0.1593,28,204.21729879742,0.0836,-62.09793871572,0.0893,5865734147236020480,0.235,0.124,-5.577,0.101,-2.095,0.115,1.106,18.034151,0.003068,18.788397,0.015839,16.944481,0.015796,1.843916,,,1.51,805.171,69.639,69.831,0.83,0.9926569734791224,0.028054656486261424,0.8889041838647682,0.048782403186042156
0.3752,0.1656,0.1491,28,204.21800014635,0.0317,-62.09125074819,0.036,5865734177295187840,0.4718,0.0502,-5.807,0.039,-2.316,0.046,1.485,15.912916,0.002871,16.392958,0.007355,15.004067,0.00526,1.38889,,,1.438,1343.219,159.535,243.521,0.94,1.4922122973502574,0.03400654162880896,1.3789650555574808,0.04637941355744435
0.4436,0.1587,0.1329,28,204.21875757165,0.0132,-62.09045991825,0.0149,5865734181618827392,0.4285,0.0215,-5.738,0.016,-2.183,0.019,1.204,14.315884,0.002767,14.732872,0.005867,13.557686,0.006275,1.175186,,,1.34,4236.25,210.391,193.172,0.97,2.2384329743545313,0.015723254329613044,1.46060184319732,0.09733623038379309
0.4424,0.0826,0.1478,27,204.23318929537,0.0086,-62.08695863945,0.0104,5865734181618835456,0.3934,0.0137,-5.682,0.01,-2.228,0.014,0.943,13.398505,0.002764,14.332363,0.002892,12.440862,0.002836,1.891501,-29.85,2.04,1.324,5108.862,1430.623,2142.188,1.0,2.560685375441027,0.017182964112722087,1.463310617841385,0.12147134664693586
0.4132,0.0943,0.1528,28,204.21907125086,0.0116,-62.08920765519,0.0138,5865734181618830464,0.4227,0.0187,-5.81,0.014,-2.264,0.018,0.999,11.474973,0.003014,12.597931,0.005097,10.426717,0.004171,2.171214,-24.17,3.3,1.363,888.163,254.552,350.266,0.98,2.683679158084311,0.0003546638520144113,1.576548485510348,0.9839353219718981
0.4708,0.162,0.2135,27,204.23606118162,0.0218,-62.0867601008,0.0255,5865734181618835712,0.308,0.0343,-5.706,0.027,-2.267,0.034,1.031,15.793201,0.002777,16.361393,0.003836,15.032784,0.003715,1.328609,,,1.278,3116.475,412.426,442.637,0.98,1.5929421470430993,0.025610661629216974,1.2510953729342547,0.0528162261503553
0.5043,0.0425,0.0312,26,204.2450718941,0.0101,-62.08882995888,0.0123,5865731226681330560,0.3812,0.0168,-5.647,0.012,-2.313,0.016,0.986,13.885166,0.002771,14.810842,0.003174,12.9308,0.002893,1.880041,,,1.323,3724.546,717.941,1422.512,1.0,2.4837827163725423,0.0017662250670948158,0.21546926348275847,0.3935504161055957
0.413,0.1028,0.1356,28,204.21310558149,0.0189,-62.09858984182,0.0216,5865734147259070592,0.3744,0.0297,-5.76,0.023,-2.351,0.028,1.018,15.592471,0.002769,16.013994,0.003562,14.971457,0.003134,1.042537,,,1.238,4002.622,490.217,760.31,0.99,1.7915491499746938,0.0021646939513387414,0.0,0.0568423144721222
0.3335,0.1183,0.0437,27,204.21480215134,0.0455,-62.09046414975,0.0538,5865734147259088256,0.2672,0.072,-5.711,0.055,-2.132,0.073,1.127,17.044966,0.002887,17.550074,0.015926,16.069567,0.014947,1.480507,,,1.489,1259.807,69.244,73.939,0.91,1.3341849731505848,0.005869930997231194,0.192157450809335,0.2702511636197016
