pmRApmDEcor,PlxpmRAcor,PlxpmDEcor,Nper,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,Source,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RUWE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BPRP,RVDR2,e_RVDR2,EBPRP,RFG,RFBP,RFRP,Pmemb,mass,er_mass,comp_mass,er_comp_mass,q,e_q,r,mass_system,e_mass_system,r/rh
0.1707,0.1638,-0.0906,27,130.40788425613,0.023,-46.27347990899,0.025,5521983553482740352,0.6111,0.0279,-5.815,0.031,5.066,0.029,1.232,15.412441,0.002782,16.037252,0.003689,14.638179,0.003273,1.399074,,,1.267,2837.347,449.954,634.748,0.99,1.601656687397035,0.0394335770908103,1.22338969680157,0.0577439372275001,0.7638276707037553,0.0406626464751262,0.06966826623453154,2.825046384198605,0.06992402511805473,0.09924485854315869
0.1118,0.2699,-0.0188,26,130.41132603945,0.011,-46.27694776568,0.012,5521983553482744960,0.604,0.0135,-5.585,0.014,4.708,0.013,1.084,10.483435,0.002806,10.8027,0.003056,9.980849,0.003091,0.821851,,,1.209,2036.793,870.13,816.099,0.73,8.864103755974877,0.2488043994613144,8.012348807685115,0.3679277772667465,0.903909636920074,0.04864772412393,0.07562584284457659,16.876452563659992,0.4441559168532532,0.1077316327931958
0.0115,0.2016,0.1286,26,130.41257020276,0.0142,-46.27651685634,0.0176,5521983553482745344,0.6038,0.0187,-5.417,0.019,5.03,0.021,1.184,13.999718,0.002815,14.300527,0.029218,13.279943,0.013347,1.020583,,,1.367,1884.042,37.331,83.182,0.99,2.797527954672059,0.0712371590781073,1.568627367051049,0.1317156528140471,0.5607191036040717,0.0492002815650265,0.09540374884123003,4.366155321723108,0.1497456043753878,0.13590594498735886
0.0436,0.3611,-0.0936,25,130.41369536986,0.01,-46.27502618163,0.012,5521983553482745728,0.5624,0.0135,-5.802,0.013,4.997,0.013,0.905,13.525754,0.002762,13.957296,0.002983,12.908984,0.002899,1.048312,,,1.23,5621.896,1029.177,1376.922,1.0,3.2455934802276607,0.2270012626745483,1.7748561837694683,0.386892627418759,0.5468510442179505,0.1251911575714888,0.11835939388035141,5.0204496639971286,0.4485704832095285,0.16860705652363742
0.0866,0.2352,0.0157,26,130.40111989705,0.0338,-46.27777970187,0.0377,5521983553482737664,0.5477,0.0411,-5.479,0.045,4.981,0.044,1.607,15.565779,0.00281,16.095261,0.004288,14.852033,0.003189,1.243228,,,1.258,1960.607,333.489,703.422,1.0,1.6444351449400836,0.0021986920558278,0.0,0.0833447058548122,0.0,0.0506828780151429,0.16106971062350053,1.6444351449400836,0.08337370233341883,0.22944938219940336
0.0938,0.2205,-0.0443,27,130.40622884158,0.022,-46.28147328945,0.0243,5521983553482944256,0.6377,0.0265,-5.61,0.03,5.119,0.028,0.967,15.611707,0.002779,16.207443,0.004335,14.860124,0.003392,1.34732,,,1.26,2986.612,327.288,562.786,0.95,1.6163933836354538,0.0099804123038413,0.7424107522423214,0.385886679929169,0.4593007864042073,0.2387499911758132,0.1791186538163857,2.3588041358777754,0.3860157229654144,0.2551607269887408
0.0568,0.2687,-0.0144,27,130.39849833364,0.0229,-46.27522517273,0.0238,5521983622202211840,0.5572,0.0276,-5.585,0.031,4.907,0.029,1.05,15.742422,0.002971,16.251421,0.013639,14.99435,0.00647,1.257071,,,1.292,977.301,81.323,185.998,1.0,1.605231486081344,0.002221146111218,0.0,0.0,0.0,0.0,0.20466952670135033,1.605231486081344,0.002221146111218,0.2915588304894945
0.1144,0.2276,-0.0641,26,130.41659204312,0.0185,-46.27914218604,0.0211,5521983553482751360,0.5805,0.023,-5.884,0.025,5.117,0.023,0.954,15.216063,0.00277,15.760243,0.003274,14.50598,0.00332,1.254263,,,1.249,3763.406,633.996,603.586,0.98,1.724659446087204,0.0298688375037087,1.197021130123057,0.0346278918336336,0.6940623163829713,0.0234012099858889,0.20517047257548857,2.921680576210261,0.04573005955238615,0.29227244523984963
0.0279,0.2998,-0.0433,26,130.39765347373,0.0402,-46.27489599962,0.0419,5521983622202210560,0.5857,0.0495,-5.599,0.055,4.783,0.05,1.031,16.75144,0.003239,17.507477,0.02471,15.873098,0.013653,1.634378,,,1.307,637.769,44.221,81.239,1.0,1.2653279646622273,0.0021259292419188,0.0,0.120102606712665,0.0,0.0949181635645946,0.22337858823903442,1.2653279646622273,0.12012142071387072,0.31821053672733945
0.1114,0.2552,0.0272,27,130.39842259614,0.0094,-46.27066098535,0.0098,5521983622202208896,0.5715,0.0112,-5.979,0.012,4.891,0.011,0.938,13.21588,0.002764,13.50081,0.002864,12.75807,0.002828,0.74274,,,1.2,4907.761,1682.818,2362.023,0.99,4.061943314403245,0.0048166397702528,0.0,0.0,0.0,0.0,0.25771259909333555,4.061943314403245,0.0048166397702528,0.3671205245112102
