pmRApmDEcor,PlxpmRAcor,PlxpmDEcor,Nper,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,Source,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RUWE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BPRP,RVDR2,e_RVDR2,EBPRP,RFG,RFBP,RFRP,Pmemb,mass,er_mass,comp_mass,er_comp_mass,q,e_q,r,mass_system,e_mass_system,r/rh
-0.0252,0.2022,-0.0675,25,137.11681521592,0.0267,-58.45289975736,0.0255,5303578419169195264,7.372,0.0286,-15.623,0.034,14.133,0.031,1.015,15.564065,0.002887,17.30698,0.008363,14.301077,0.003057,3.005903,,,1.493,1259.977,137.713,869.161,1.0,0.356840010738895,0.0086706785958108,0.1788274560164791,0.0211877746682192,0.5011418300492366,0.0606119020687994,0.35254581695772097,0.535667466755374,0.02289328422710649,0.09204756356137772
0.0493,0.171,0.038,25,136.71835427994,0.0117,-58.75650849762,0.0113,5303193555737161728,7.4171,0.0121,-13.772,0.015,16.247,0.013,0.925,9.188351,0.002761,9.415392,0.002831,8.804362,0.002807,0.61103,22.37,1.67,1.188,6394.772,2277.438,3549.412,1.0,1.356347275403328,0.0014882051488408,0.0,0.2058250256582598,0.0,0.1517495035311329,0.5236150743039006,1.356347275403328,0.20583040577569764,0.13671270375465522
-0.0967,0.089,-0.1038,25,136.72778710648,0.0387,-58.76475965706,0.0412,5303193487017684352,7.6131,0.0439,-15.825,0.048,15.383,0.046,0.97,16.541115,0.002889,18.477127,0.014622,15.224847,0.003727,3.25228,,,1.537,1249.922,75.645,439.517,1.0,0.2583655295268274,0.0007063554733458,0.0,0.0,0.0,0.0,0.5334629361919859,0.2583655295268274,0.0007063554733458,0.1392839204575211
-0.0967,0.1328,0.245,25,136.99781659375,0.0111,-58.80139434671,0.0133,5303555982260448768,7.41,0.0133,-15.953,0.016,14.694,0.018,1.122,12.799525,0.002961,13.624623,0.004783,11.903173,0.003792,1.72145,20.63,2.96,1.3,1000.27,279.462,422.92,1.0,0.7167092689555197,0.0019135463145878,0.1589227061966723,0.1870546672209777,0.2217394319851266,0.2609916692397445,0.5410780077001338,0.8756319751521919,0.18706445463702817,0.14127216920407976
-0.1356,0.2039,0.0181,24,136.7672950687,0.0337,-58.3218986684,0.0374,5303625114056603136,7.381,0.0391,-15.622,0.051,14.376,0.049,0.964,16.349789,0.00294,18.14978,0.012224,15.075254,0.003601,3.074526,,,1.5,1058.107,91.227,477.042,1.0,0.2809307313735233,0.001274728484357,0.0,0.0,0.0,0.0,0.6422633220102615,0.2809307313735233,0.001274728484357,0.16769103790833223
-0.0546,0.0958,-0.0424,26,137.52347057736,0.0366,-58.37702888043,0.0347,5303591544590800256,8.0619,0.0385,-16.869,0.046,14.981,0.041,3.809,13.723092,0.002814,15.002087,0.003657,12.594976,0.002938,2.40711,,,1.413,1896.279,459.291,1178.927,1.0,0.6115884018626073,0.0125137354961409,0.500901967814903,0.0337103205100576,0.8190180949955786,0.0576104662303711,0.8402211326370644,1.1124903696775104,0.035958021149086986,0.21937661544087472
0.0836,0.173,-0.0205,28,136.28609761675,0.0181,-58.72456519971,0.0168,5303237811082368128,7.3181,0.0188,-15.058,0.022,14.633,0.02,0.973,14.978209,0.00297,16.498323,0.006464,13.776513,0.00377,2.72181,,,1.452,979.743,186.219,428.149,1.0,0.4760738009816072,0.0096166130037767,0.0,0.0915743211932808,0.0,0.192353204491542,0.898025708228069,0.4760738009816072,0.09207787762364292,0.23446903773017266
0.0947,0.1435,-0.0351,25,136.76732343775,0.0954,-58.97020818185,0.0949,5303177887696685696,7.2293,0.1039,-16.25,0.139,15.098,0.109,1.117,17.800423,0.003199,20.168047,0.058314,16.376846,0.005569,3.791201,,,1.644,668.139,18.64,225.278,1.0,0.1540349976037513,0.0113548346426721,0.0,0.018331922212587,0.0,0.1190114097300479,0.9632674811534274,0.1540349976037513,0.02156366485017719,0.2515032669036366
0.0146,0.3806,-0.0907,23,137.69572548533,0.0584,-58.83716020825,0.0598,5300552868095806592,8.1468,0.0649,-17.703,0.087,15.854,0.077,0.988,17.274117,0.002932,19.436869,0.021609,15.929388,0.003669,3.507481,,,1.551,1083.115,50.668,455.736,1.0,0.1917909385902226,0.0010912380456157,0.0,0.0,0.0,0.0,1.0970598164125296,0.1917909385902226,0.0010912380456157,0.28643562999352196
0.1434,-0.0151,-0.0206,25,136.35973114342,0.0168,-58.92487257116,0.0141,5303185721716747520,7.5481,0.0162,-15.831,0.021,15.134,0.017,1.018,8.443249,0.002766,8.574857,0.002857,8.190304,0.002822,0.384553,,,1.174,4484.044,1773.221,2562.2,1.0,1.584323141612716,0.0011634132533801,0.0,0.0,0.0,0.0,1.1044128159383657,1.584323141612716,0.0011634132533801,0.2883554533431842
0.1202,0.1302,-0.0807,27,136.00277228821,0.0284,-58.60214277093,0.027,5303243068122062080,7.2985,0.0295,-15.188,0.038,14.456,0.035,0.984,16.052246,0.00286,17.827353,0.008881,14.778867,0.003245,3.048486,,,1.501,1415.865,128.767,654.952,1.0,0.3170575184463295,0.000689052992331,0.0,0.0,0.0,0.0,1.1756748909184922,0.3170575184463295,0.000689052992331,0.30696154668121833
0.2005,0.0312,-0.1289,27,137.9322125465,0.0309,-58.40347061051,0.0274,5300586819832615424,8.0395,0.0309,-17.934,0.04,15.428,0.036,1.009,16.015486,0.002843,17.994406,0.010212,14.697681,0.003139,3.296724,,,1.534,1546.821,110.525,754.796,1.0,0.2700560038224048,0.0090489377881319,0.1932912677937075,0.0133443803191629,0.7157451234478771,0.0549259773794545,1.2673615323052552,0.46334727161611233,0.01612314365116008,0.33090036979251175
0.1897,0.2308,-0.0145,18,137.74190406346,0.2122,-58.96684016755,0.2233,5300534077635861888,7.9619,0.237,-13.688,0.275,13.587,0.264,3.206,3.421808,0.003588,3.38293,0.014158,3.542484,0.003936,-0.159554,,,1.128,472.372,78.22,391.126,1.0,6.141643799927135,0.0428833314717093,3.3340982097184426,0.5342349388441583,0.5428674013556434,0.0870682088705688,1.3330458527142108,9.475742009645579,0.5359533095335209,0.3480501454160141
0.0522,0.3192,0.0305,24,136.84999951426,0.0223,-59.14971074107,0.0222,5300164847881816576,7.2899,0.0243,-15.533,0.03,14.984,0.025,0.951,7.71038,0.002773,7.740518,0.002867,7.626997,0.002817,0.113521,,,1.16,3440.922,1649.064,2791.598,1.0,1.8852416075818927,0.0013292244074098,0.0,0.0,0.0,0.0,1.3633124380037223,1.8852416075818927,0.0013292244074098,0.35595256631909994
