pmRApmDEcor,PlxpmRAcor,PlxpmDEcor,Nper,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,Source,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RUWE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BPRP,RVDR2,e_RVDR2,EBPRP,RFG,RFBP,RFRP,Pmemb,mass,er_mass,comp_mass,er_comp_mass,q,e_q,r,mass_system,e_mass_system,r/rh
-0.0468,0.3,0.1003,19,75.50930910477,0.0151,37.39487335626,0.0084,186685735684214912,3.0208,0.0162,0.563,0.02,-12.335,0.013,1.073,13.145664,0.002808,13.634474,0.003492,12.489923,0.003288,1.14455,,,1.232,2004.487,517.278,624.325,1.0,0.95308000346113,0.0009359098647815,0.0,0.1033431678001679,0.0,0.1084307376346949,0.2240040782756812,0.95308000346113,0.1033474056677218,0.08024224002018994
-0.1054,0.1646,0.1971,19,75.49168496688,0.018,37.38067912425,0.0101,186685602541843072,3.0912,0.0198,0.679,0.024,-12.484,0.017,0.879,11.54903,0.002773,11.876178,0.002828,11.052876,0.002814,0.823302,13.33,3.18,1.201,3512.028,2362.545,2943.924,1.0,1.2955877378049985,0.0014615818898632,0.1065837130750771,0.2108449633812429,0.082266688673399,0.1627408098375617,0.2915420599690953,1.4021714508800756,0.21085002917917378,0.10443554479945602
-0.1268,0.2184,0.2555,19,75.55437219483,0.0175,37.40030878195,0.0095,186686427175539200,3.0784,0.0201,0.796,0.024,-12.518,0.015,0.973,9.781408,0.002766,9.894436,0.002807,9.559435,0.002806,0.335001,,,1.17,4436.366,3573.353,3688.018,1.0,1.9666547235762784,0.011294189937152,0.5720261793254151,0.3987141790987069,0.2908625354862544,0.202744135556033,0.31618523810852184,2.5386809029016932,0.39887410963948533,0.11326316896748814
-0.0678,0.3207,0.1914,19,75.5567874482,0.0176,37.39984067111,0.0104,186686427175538304,3.0895,0.02,0.68,0.023,-13.007,0.015,0.947,11.565245,0.002767,11.903963,0.002832,11.050667,0.002841,0.853296,11.67,2.37,1.207,4246.365,2233.027,2024.221,1.0,1.27980395441595,0.0081349840746653,0.650982349153555,0.1766502612589097,0.5086578666266401,0.1380670204684201,0.32605428831544625,1.930786303569505,0.1768374755778201,0.11679843806424417
-0.0607,0.0924,0.2699,20,75.41214856695,0.0371,37.40946200007,0.022,186732671086823424,3.0221,0.0436,0.672,0.048,-12.384,0.034,1.667,8.172496,0.002779,8.229694,0.002863,8.021542,0.002805,0.208153,,,1.172,2996.237,1687.555,3727.999,1.0,2.821693923100382,0.1351270719640178,1.7693605482622363,0.4822507501568877,0.6270561572171239,0.1735262519694352,0.3817557581834342,4.591054471362618,0.5008244319164649,0.13675169404525236
-0.047,0.0842,0.2719,21,75.42416213881,0.0125,37.38623233994,0.0072,186732293129704320,3.0712,0.0145,0.37,0.017,-12.297,0.011,1.004,12.171803,0.002792,12.626358,0.003184,11.552087,0.002963,1.074271,,,1.222,2407.768,707.442,1089.184,1.0,1.0476926642915372,0.0245309954702401,0.9225464703972768,0.040967686544864,0.8805506632244239,0.0442052855149745,0.40112135603060806,1.970239134688814,0.047750613395004374,0.1436887952022901
-0.0851,0.2114,0.2756,21,75.38179086823,0.0173,37.41350056846,0.0094,186732641023686912,3.05,0.0194,0.663,0.024,-12.376,0.015,0.921,13.923655,0.002787,14.485469,0.003218,13.214947,0.003164,1.270522,,,1.241,2577.151,676.832,728.078,1.0,0.8274681126518569,0.000566917723519,0.0,0.0,0.0,0.0,0.5002206038592237,0.8274681126518569,0.000566917723519,0.17918790616176838
-0.1166,0.4144,0.1243,19,75.57832751153,0.0701,37.49927346333,0.039,186688042083192320,3.191,0.0791,0.79,0.096,-12.402,0.06,1.035,16.891037,0.002867,18.164068,0.015497,15.787343,0.004103,2.376725,,,1.388,1370.168,71.223,360.943,1.0,0.503123807398549,0.0006634853515591,0.0,0.0,0.0,0.0,0.5042878488796759,0.503123807398549,0.0006634853515591,0.18064486557815182
0.0259,0.0926,0.1113,20,75.37772076147,0.0131,37.43758889153,0.0077,186733396937920768,3.1097,0.0143,0.781,0.017,-12.394,0.012,1.005,13.30726,0.002863,13.787177,0.003882,12.6664,0.003325,1.120777,,,1.226,1393.496,402.181,600.332,1.0,0.92430400816404,0.0005763879838116,0.0,0.0,0.0,0.0,0.505461953591769,0.92430400816404,0.0005763879838116,0.18106545074268024
-0.2074,0.3476,-0.1113,19,75.43968826681,0.0597,37.56056472337,0.0326,186736038342571520,3.1548,0.0591,0.796,0.08,-12.465,0.052,0.998,16.519226,0.002855,17.889584,0.013007,15.362176,0.004455,2.527408,,,1.427,1452.436,85.463,312.562,1.0,0.4809484100269927,0.0103896380455924,0.4403106734116719,0.0150343471011622,0.915504998523563,0.0369906518248421,0.7255714304663341,0.9212590834386646,0.018275014951475287,0.25991257535775364
