pmRApmDEcor,PlxpmRAcor,PlxpmDEcor,Nper,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,Source,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RUWE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BPRP,RVDR2,e_RVDR2,EBPRP,RFG,RFBP,RFRP,Pmemb,mass,er_mass,comp_mass,er_comp_mass,q,e_q
-0.1294,-0.1057,-0.1858,27,303.46453413382,0.0097,45.54367354365,0.0118,2081639020520996480,3.0257,0.0121,3.692,0.014,1.634,0.016,1.069,12.754292,0.00311,13.137217,0.005367,12.203918,0.004322,0.933299,,,1.208,752.862,236.807,328.944,1.0,0.9872568257463,0.0011984407560194,0.0,0.1198734395103108,0.0,0.12142072496657039
-0.0205,-0.1406,-0.0343,28,303.62358502437,0.0357,45.59862707801,0.0421,2081643074970182144,2.9311,0.0434,4.15,0.048,1.272,0.051,2.087,15.335049,0.003152,16.285341,0.006979,14.321352,0.004737,1.963989,,,1.373,709.635,169.724,283.58,1.0,0.6582188028957787,0.0021398205606049,0.0,0.1122461235175253,0.0,0.1705301079575786
0.0821,-0.2448,-0.1215,28,303.67996332318,0.0194,45.54278047405,0.0212,2081641941098822272,2.9453,0.0232,3.727,0.027,1.619,0.026,1.407,14.88836,0.003223,15.679531,0.006899,13.984921,0.00517,1.694611,,,1.317,649.008,172.062,249.456,1.0,0.6899312722879695,0.0006969869529461,0.0,0.0,0.0,0.0
-0.0314,-0.1752,-0.068,28,303.61976696491,0.0207,45.62057547547,0.0252,2081646132986902528,2.9136,0.0251,3.273,0.028,1.183,0.031,0.965,8.339063,0.00277,8.300218,0.002858,8.374118,0.002841,-0.0739,,,1.159,3756.322,1750.82,2030.203,1.0,2.8538031843578566,0.0295238423302747,0.8186821174173196,0.5300321459810714,0.28687406402258037,0.18575205695990438
-0.1344,-0.0736,-0.0988,27,303.70791601804,0.0692,45.59601912716,0.0795,2081643246768907008,3.098,0.0844,4.149,0.094,1.169,0.097,1.12,17.77142,0.003109,19.642702,0.036683,16.477921,0.004544,3.164782,,,1.515,753.549,29.683,302.749,1.0,0.2690616985977535,0.012893530079613,0.2118031678602829,0.0166760617692803,0.7871918186948194,0.0725557143507617
-0.1032,-0.1479,-0.1199,28,303.73655543347,0.0875,45.53870263213,0.0944,2081641838019627904,3.0779,0.1035,3.68,0.118,1.695,0.125,0.983,18.286213,0.003233,20.134964,0.053021,16.996754,0.006302,3.13821,,,1.512,641.811,20.506,192.127,1.0,0.2626727622756487,0.0144453236304806,0.0,0.0528984735107422,0.0,0.20138545410060663
-0.0142,-0.1631,-0.1179,27,303.38968297591,0.0421,45.47500677875,0.0467,2081638402045681280,3.1177,0.0513,3.719,0.054,1.729,0.06,1.012,16.9149,0.003165,18.408613,0.017648,15.714893,0.005031,2.69372,,,1.454,697.583,62.304,259.382,1.0,0.4339551863239942,0.0222448323392373,0.2293132960912532,0.0449355898930179,0.5284262138534419,0.10703321891416212
0.0322,-0.2891,-0.1119,26,303.45362189293,0.0948,45.68623359584,0.1144,2082396618392716160,2.8031,0.1236,3.602,0.132,1.458,0.133,1.329,17.786514,0.004392,19.485683,0.035591,16.44268,0.004527,3.043003,,,1.603,317.435,30.6,304.575,1.0,0.2875699538255361,0.0186546235412284,0.1903137244632488,0.030493083849173,0.6617997531783483,0.11439809959195964
-0.0822,-0.0539,0.0321,27,303.33400255051,0.098,45.59875010293,0.1311,2082390193121560576,2.8757,0.1265,3.648,0.134,1.545,0.18,2.497,16.900713,0.006388,18.381895,0.015755,15.562422,0.003895,2.819473,,,1.629,188.398,70.021,399.425,1.0,0.3928905240277127,0.0167496988488183,0.3314598047205112,0.0231257653771162,0.8436441819022633,0.068979250828985
-0.0209,-0.1798,-0.0304,27,303.69812290486,0.0176,45.6721004098,0.0193,2081737529891330560,3.0168,0.021,3.467,0.023,1.372,0.024,0.995,15.170914,0.002835,16.297176,0.00495,14.114444,0.003351,2.182733,,,1.371,1626.098,265.584,585.162,1.0,0.6291485553776316,0.0101298144467813,0.5732914137972198,0.0260812972951387,0.9112178815273845,0.043974522005753094
