pmRApmDEcor,PlxpmRAcor,PlxpmDEcor,Nper,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,Source,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RUWE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BPRP,RVDR2,e_RVDR2,EBPRP,RFG,RFBP,RFRP,Pmemb,mass,er_mass,comp_mass,er_comp_mass
-0.147,-0.1911,0.1135,28,344.45651842953,0.0852,59.32607055812,0.0838,2013510939296172672,2.2303,0.1002,5.462,0.107,-0.829,0.104,1.01,17.993801,0.00302,19.851423,0.050411,16.687273,0.006177,3.16415,,,1.533,878.48,21.571,196.999,0.53,0.7642089737896227,0.017048888124088977,0.691595621280537,0.045188783605621625
-0.0515,-0.0013,0.0662,28,344.26584955899,0.0799,59.31836330196,0.0698,2013516643012715392,2.3255,0.0869,5.355,0.103,-0.96,0.089,1.008,17.647194,0.003059,19.459782,0.033265,16.332748,0.007848,3.127033,,,1.549,816.542,32.754,148.022,0.82,0.8019841509881697,0.01783414768400746,0.7282045351921833,0.037364818831911444
-0.0952,-0.0707,0.2932,26,344.52745639399,0.0891,59.440010974,0.089,2013524958069642624,2.1824,0.1128,5.835,0.112,-1.736,0.109,0.985,18.013868,0.00324,19.683178,0.057532,16.763874,0.008429,2.919304,,,1.487,636.9,18.894,136.514,0.76,0.7718645611049253,0.018715938194226085,0.6770517781720479,0.06174950433486679
-0.1773,-0.1872,0.0457,27,344.49358319283,0.0256,59.32316444616,0.0262,2013510290766116352,2.3762,0.0309,5.338,0.034,-0.839,0.034,0.947,15.830233,0.003749,17.016607,0.013638,14.742197,0.007267,2.27441,,,1.39,426.975,81.33,161.799,0.9,1.2303752910891663,0.037271253542062885,1.056244120673428,0.08703915149098654
-0.2029,-0.1651,0.1547,27,344.3068307076,0.0132,59.50709833019,0.0125,2013528192189726848,2.3394,0.0154,5.642,0.017,-0.809,0.016,1.008,14.429648,0.003242,15.194278,0.006973,13.571855,0.005651,1.622423,,,1.286,635.691,169.886,220.945,0.75,2.4821742012585517,0.005592391931421156,0.0,0.0
-0.0509,-0.0814,0.0885,27,344.1900091207,0.0632,59.27205002203,0.0556,2013516441159062784,2.32,0.0706,5.566,0.085,-0.998,0.07,1.033,17.400188,0.002933,19.041294,0.018249,16.190371,0.005461,2.850924,,,1.443,1080.648,60.204,231.311,0.85,0.8346757839065728,0.02068728210250348,0.7493059132863964,0.04801266654678725
-0.143,-0.1113,0.0165,28,344.06967770453,0.0575,59.46752663174,0.0557,2014272935215484032,2.2416,0.0673,5.558,0.075,-1.019,0.073,1.018,17.407835,0.003004,19.080088,0.027891,16.174377,0.005545,2.90571,,,1.466,907.749,39.124,226.592,0.71,0.8318863619646336,0.02177274097873197,0.7479960998856126,0.06349880294679032
-0.1835,-0.0912,0.2035,24,344.03866308261,0.0801,59.4909367225,0.0811,2014273592343729024,2.5569,0.0985,5.703,0.108,-1.547,0.11,1.162,17.694292,0.003296,17.703089,0.120018,16.143427,0.044401,1.559662,,,2.475,600.121,9.049,24.502,0.89,0.9956609806205775,0.019050651870103838,0.0,0.0
-0.1547,-0.1176,0.2155,28,344.72208949478,0.0716,59.34644059871,0.0715,2013509019455813376,2.2956,0.0891,5.375,0.091,-0.981,0.087,1.042,17.642435,0.003162,19.511173,0.033475,16.356054,0.00492,3.155119,,,1.506,700.341,32.547,267.916,0.76,0.7970940103855255,0.01901608931552077,0.7267519855787447,0.03948074498822547
-0.0509,-0.1917,0.0351,27,344.44392674672,0.1267,59.1946124985,0.1253,2013505377323396608,2.3136,0.1542,4.951,0.174,-1.007,0.159,1.901,17.610445,0.003457,19.218899,0.022699,16.262589,0.005106,2.95631,,,1.621,520.105,48.198,253.896,0.68,0.8172233667883265,0.019106512229971225,0.7352822835027536,0.03766425597404277
-0.212,-0.2352,0.1224,28,344.21680383426,0.0269,59.59549625694,0.0288,2014280425635071872,2.4731,0.0332,5.087,0.036,-1.097,0.036,2.587,11.729293,0.00276,12.022081,0.002839,11.269176,0.00281,0.752906,,,1.197,6755.343,2067.412,3224.85,0.93,6.983899655073535,0.011498509422106958,0.0,0.0
-0.2419,-0.1081,-0.0152,28,343.93783503987,0.0512,59.37059229574,0.0528,2013520152010722944,2.4048,0.0619,5.467,0.065,-1.085,0.07,0.97,17.18499,0.002904,19.202795,0.030168,15.839628,0.00481,3.363167,,,1.566,1182.743,36.144,277.104,0.95,0.8420791514268948,0.019004025637723368,0.772367361870853,0.031655496850608165
-0.0735,-0.1424,0.1547,28,344.68340056641,0.0814,59.54850548331,0.0851,2013526538617707392,2.1867,0.1013,5.946,0.105,-1.691,0.104,1.07,17.966234,0.003142,19.738316,0.031114,16.709574,0.006749,3.028742,,,1.481,718.903,35.037,176.693,0.74,0.7718356555337941,0.01918959285468426,0.6821161495239955,0.05912335764957808
-0.2137,-0.0506,0.101,28,344.8793168671,0.0923,59.37613860869,0.0856,2013602099985509760,2.2224,0.1066,5.957,0.115,-2.005,0.101,0.943,18.115818,0.003193,19.734339,0.045996,16.869135,0.007048,2.865204,,,1.49,672.867,23.648,167.758,0.75,0.7678508151114565,0.017217478236895737,0.655909328910981,0.06954469801382698
