pmRApmDEcor,PlxpmRAcor,PlxpmDEcor,Nper,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,Source,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RUWE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BPRP,RVDR2,e_RVDR2,EBPRP,RFG,RFBP,RFRP,Pmemb,mass,er_mass,comp_mass,er_comp_mass
0.0435,0.1976,0.0453,22,31.86169023607,0.0386,60.26573877741,0.0559,507587382602314624,0.444,0.076,-0.763,0.07,-0.542,0.084,0.985,17.429214,0.002828,18.257908,0.009841,16.540421,0.004891,1.717487,,,1.292,1707.847,115.054,270.299,0.99,1.554880123386452,0.003179312136367331,0.0,0.13285071486026231
-0.0033,0.088,-0.0538,24,31.84925697884,0.0061,60.25818165293,0.0094,507587348242581248,0.3422,0.0122,-0.901,0.011,-0.544,0.014,0.999,12.781885,0.00276,13.310432,0.002877,12.076534,0.002802,1.233898,,,1.252,6532.678,1547.074,4241.968,0.99,9.418664475632646,0.004236501668949319,0.0,0.014574217199120868
0.1166,0.1459,0.0214,23,31.86650459781,0.0684,60.25769983042,0.1011,507587343941289728,0.3647,0.1406,-0.992,0.116,-0.738,0.158,1.002,18.378191,0.002973,19.430813,0.031858,17.397408,0.008651,2.033405,,,1.314,972.583,34.212,132.586,0.88,1.2183538473973037,0.00453245171692541,0.0,0.20715831839247473
-0.0166,0.1122,-0.017,24,31.84383095747,0.0078,60.26315691903,0.0117,507587416962055424,0.3797,0.0151,-0.816,0.014,-0.446,0.018,1.016,14.076014,0.002763,14.646998,0.002935,13.338293,0.002829,1.308705,,,1.259,5375.394,1194.317,2311.237,1.0,5.9653087638753615,0.00650467198201113,0.13125135619740422,0.315003213886943
-0.0392,0.0768,0.0242,24,31.84794561346,0.0111,60.25746949669,0.0166,507587348242581504,0.3621,0.0213,-0.707,0.019,-0.553,0.025,1.318,14.465613,0.002772,15.036844,0.003695,13.682123,0.003132,1.354721,,,1.295,3585.658,448.321,762.892,0.99,4.76559993191546,0.2164903699909292,2.1613766292090997,0.5163567216175915
0.0527,0.1016,0.0405,24,31.84929437663,0.05,60.26918174035,0.0757,507587416962051072,0.3444,0.0985,-0.983,0.086,-0.652,0.113,1.011,17.913448,0.002879,18.906778,0.014184,16.949181,0.004779,1.957598,,,1.314,1302.587,78.074,279.852,0.93,1.281519312086997,0.0036889704856404386,0.0,0.1823760808680947
0.1154,0.1651,0.078,23,31.87354128848,0.0316,60.26406211147,0.0463,507587382602386560,0.4452,0.0629,-0.793,0.057,-0.525,0.077,1.014,17.105776,0.002806,18.095148,0.00983,16.115654,0.003977,1.979494,,,1.339,2039.513,115.193,383.111,0.99,1.383591022966836,0.06841132325460662,1.247552612153475,0.021261568971250276
0.0549,0.0676,-0.0051,23,31.86679847021,0.0064,60.26965916074,0.0096,507587382604105088,0.4189,0.0123,-0.909,0.011,-0.515,0.014,1.026,12.376297,0.003082,12.994259,0.005103,11.585722,0.006466,1.408537,,,1.282,785.954,254.13,186.135,0.99,8.818193653776202,0.2951939395713741,7.956127357633577,0.4213954901188124
0.0374,0.1443,-0.007,22,31.85318142192,0.0694,60.2710205932,0.1079,507587447020531584,0.531,0.143,-0.77,0.117,-0.663,0.155,1.056,18.375685,0.002961,19.489611,0.026002,17.376646,0.005733,2.112965,,,1.316,1000.641,41.998,216.795,0.94,1.2142789416096205,0.012979938664947954,0.2671907057618266,0.3319925387489463
-0.0405,-0.0191,0.0744,23,31.84243671052,0.0066,60.25574502288,0.0095,507212032517347968,0.3932,0.0124,-0.882,0.011,-0.683,0.014,1.01,12.774036,0.002767,13.298668,0.0029,12.074757,0.002872,1.223911,,,1.249,4340.505,1370.529,1593.632,0.97,9.437904920898768,0.004223856814189086,0.0,0.061302636629532975
-0.0328,-0.0246,0.0699,23,31.83740266454,0.0083,60.25700102934,0.0124,507212101236824576,0.3703,0.016,-0.775,0.014,-0.49,0.018,1.065,12.970322,0.002761,13.485265,0.002861,12.278261,0.002812,1.207004,,,1.248,5933.54,1722.206,3081.16,1.0,8.893999384728463,0.005329930313581119,0.0,0.0
0.0475,0.037,0.0348,24,31.86638380291,0.0223,60.27389980943,0.034,507587382602309120,0.5052,0.044,-0.762,0.04,-0.475,0.05,1.025,16.467846,0.002784,17.181362,0.005057,15.62768,0.003407,1.553682,,,1.288,2727.114,257.46,555.178,0.96,2.126655851475964,0.05253714876292558,1.1035918037639258,0.18100315623543245
-0.0351,0.0029,0.0522,23,31.83377100686,0.0063,60.25955137885,0.0093,507212105542437888,0.371,0.0119,-0.792,0.01,-0.438,0.014,0.973,13.170822,0.002831,13.74931,0.003359,12.420912,0.003594,1.328399,,,1.265,1670.357,580.546,479.135,1.0,6.6983238120861355,0.24097039000325976,5.8946582229028115,0.3186006392080997
-0.0091,0.0935,0.0125,24,31.83685442621,0.0236,60.27011985864,0.0343,507587416962050944,0.414,0.0449,-0.809,0.041,-0.512,0.053,1.0,16.523422,0.002787,17.311676,0.004767,15.637561,0.003307,1.674115,,,1.303,2597.399,280.916,611.709,1.0,1.7599029323338806,0.06656230995501071,1.4301447663458629,0.09585821285791765
0.1035,0.246,0.1152,23,31.88555521525,0.0367,60.26193746092,0.0512,507575631571794048,0.3643,0.0713,-1.015,0.067,-0.292,0.08,1.002,17.302538,0.002816,18.156216,0.008686,16.388687,0.004111,1.767529,,,1.307,1860.895,131.998,359.664,0.67,1.5830023789902126,0.010615060893632408,0.5695778380672093,0.3724057417528636
0.009,0.2112,0.0365,23,31.83671144099,0.0428,60.25216005877,0.0607,507212036824479104,0.3729,0.0834,-0.79,0.076,-0.613,0.092,1.001,17.596703,0.002839,18.481668,0.011342,16.706421,0.006065,1.775248,,,1.277,1582.14,98.766,201.636,0.99,1.4864664039946751,0.019968606065095346,0.0,0.10093735224000856
0.1018,0.2058,0.0467,23,31.88788189354,0.0658,60.26401174892,0.1027,507575627270519040,0.2532,0.138,-0.744,0.115,-0.467,0.153,0.961,18.36484,0.002961,19.634039,0.029188,17.288708,0.006175,2.345331,,,1.359,1000.521,37.369,197.095,0.96,1.167257628838834,0.02942318279589987,0.9465814588915957,0.17573555265180366
-0.0976,0.0606,0.0357,23,31.8274792623,0.0218,60.26031280941,0.0327,507212105532934528,0.3461,0.0419,-0.776,0.038,-0.473,0.05,1.138,16.087608,0.002788,16.676891,0.017465,15.153015,0.015382,1.523876,,,1.417,2540.321,62.977,71.776,1.0,2.1816073767732074,0.14619222148217972,1.7208772076720962,0.19415725890227825
-0.0161,0.2275,-0.0461,22,31.87668420247,0.0338,60.2753575797,0.0466,507587485681601152,0.4292,0.064,-0.805,0.061,-0.45,0.076,0.979,17.122099,0.002804,17.893209,0.00827,16.252069,0.004637,1.64114,,,1.295,2091.422,139.473,293.109,0.99,1.6871578739974518,0.008324435105384716,0.2024197957155769,0.26945621585690044
-0.0942,-0.0813,0.1415,23,31.82619709081,0.0088,60.26057744346,0.0137,507212105542437504,0.367,0.0176,-0.791,0.016,-0.608,0.021,0.983,14.305277,0.002764,14.855353,0.002996,13.565939,0.003319,1.289414,,,1.269,4862.058,995.186,603.883,1.0,5.464701971524705,0.0044948995293863534,0.0,0.07240953663832074
0.0622,0.089,-0.057,23,31.83162468125,0.0525,60.25285693201,0.0803,507212105532939008,0.2309,0.103,-0.91,0.088,-0.481,0.127,0.987,17.96913,0.002895,18.848349,0.028103,16.988222,0.019177,1.860126,,,1.362,1223.448,38.826,57.225,0.95,1.2792141224535196,0.003911237979658257,0.0,0.12457277899897376
0.0686,0.0714,0.0967,24,31.88377548465,0.0236,60.25255243588,0.0344,507575592910760832,0.3239,0.0466,-0.872,0.04,-0.644,0.055,1.016,16.571646,0.00279,17.439198,0.007307,15.627712,0.003421,1.811485,,,1.33,2485.875,160.78,548.493,0.98,1.669848033713271,0.03813349762830012,1.414533581644217,0.08843407026505827
0.0573,0.0734,0.1099,24,31.87756880998,0.0277,60.24654972228,0.0408,507575592910752640,0.3286,0.0546,-0.725,0.049,-0.369,0.062,2.065,15.608146,0.002795,16.270136,0.003598,14.732826,0.003033,1.53731,,,1.337,2306.902,477.976,912.593,0.98,2.939981844792673,0.0903113532597743,1.4883481328382544,0.16866685085835895
0.0626,0.0959,0.0667,24,31.89785112289,0.007,60.25593352294,0.0104,507575631571797504,0.3669,0.0138,-0.761,0.012,-0.395,0.016,0.957,13.783911,0.002763,14.44619,0.002963,12.977415,0.002824,1.468775,,,1.279,5448.847,1089.869,2484.685,1.0,5.197275844000049,0.1543921352954407,4.663979752510839,0.18593797966965497
0.0608,0.0395,-0.0016,23,31.81829502643,0.0082,60.25420969442,0.0127,507212105542439680,0.3889,0.0158,-0.665,0.013,-0.401,0.02,0.968,8.436033,0.002771,9.499405,0.002832,7.404045,0.002809,2.09536,-34.08,0.25,1.361,3667.753,2247.018,3313.353,0.99,15.150519888248041,0.06304598985688034,5.031713263573633,5.409016387974391
0.0598,0.0642,-0.0448,23,31.81998296684,0.0271,60.27297149856,0.0417,507587623122274176,0.4255,0.053,-0.688,0.046,-0.307,0.066,1.008,16.850391,0.002793,17.62167,0.006,15.96312,0.003443,1.65855,,,1.309,2373.925,204.402,538.27,0.95,1.7813456155743095,0.04521557520845918,1.1303131055812041,0.0601946732657953
0.1003,0.0474,-0.1053,23,31.81477047034,0.0541,60.26485937899,0.0871,507212105542437120,0.3802,0.1094,-0.842,0.091,-0.469,0.137,1.061,17.954592,0.00289,18.975033,0.02416,16.992563,0.007795,1.98247,,,1.304,1244.543,45.241,149.168,0.98,1.2743849620739993,0.0037841466157686643,0.0,0.20638216570755918
0.0687,0.1447,0.0471,24,31.88446464263,0.0501,60.28029649143,0.0733,507587481380282368,0.3245,0.0968,-0.641,0.087,-0.45,0.111,1.083,17.807634,0.002866,18.742373,0.015043,16.865313,0.006141,1.87706,,,1.309,1378.477,73.452,198.481,0.96,1.2992077399672766,0.003698443906712847,0.0,0.14657697137019404
0.0701,0.1243,0.0893,24,31.86330290598,0.0528,60.24035488699,0.0798,507200285792442880,0.3005,0.1067,-0.651,0.09,-0.488,0.123,1.021,18.018085,0.002883,19.027205,0.017372,17.040344,0.005215,1.98686,,,1.322,1277.259,63.323,246.428,0.96,1.2676354708030317,0.0025500782762059096,0.0,0.1787166986243018
0.0201,0.1027,0.0073,24,31.82163023129,0.02,60.27633833667,0.0296,507587623120478336,0.4004,0.0386,-0.837,0.035,-0.625,0.046,0.968,16.249182,0.002777,16.949875,0.003914,15.416445,0.003126,1.53343,,,1.287,3125.307,395.486,770.512,0.99,2.090341895968939,0.21867600571087661,1.4543837928423835,0.2648357910655186
-0.0014,0.0949,0.0517,24,31.84946393092,0.0156,60.28528400076,0.0232,507587451321780096,0.3256,0.0308,-0.592,0.027,-0.546,0.035,1.079,15.629623,0.00277,16.254847,0.003569,14.829805,0.003085,1.425041,,,1.287,3857.203,488.009,825.136,0.84,3.1217643313091514,0.11513449867030374,0.6521069747200652,0.5482100331155072
0.0025,0.0619,0.1376,23,31.87649358277,0.0169,60.24007535134,0.0249,507575597212065664,0.2928,0.0336,-0.88,0.029,-0.47,0.039,1.014,15.797485,0.002776,16.375887,0.00377,15.037131,0.003038,1.338756,,,1.274,3191.656,428.217,903.572,0.98,2.956473188659846,0.006235107124737995,0.0,0.06149662771145144
0.0268,0.1025,0.1064,23,31.8786784168,0.0135,60.24044038089,0.02,507575597212065152,0.374,0.0272,-0.819,0.023,-0.446,0.031,1.044,15.293399,0.002766,15.86797,0.003298,14.544245,0.002889,1.323725,,,1.266,4379.048,617.299,1450.067,1.0,3.633110280142773,0.005212953878940454,0.0,0.04253447814548001
0.0679,0.111,0.0986,24,31.9067679581,0.0111,60.27076598806,0.0167,507575734651002624,0.3426,0.0218,-0.795,0.02,-0.442,0.026,1.027,14.974203,0.002763,15.56142,0.003067,14.221159,0.002893,1.340261,,,1.264,5178.966,852.547,1423.481,1.0,4.1484225274758595,0.004307042704269508,0.0,0.10188815233775815
-0.0194,0.0481,0.1959,24,31.87673998276,0.0604,60.23879374448,0.0899,507575592912293376,0.428,0.1244,-0.698,0.101,-0.328,0.137,1.017,18.049124,0.002922,18.915861,0.016278,17.077055,0.006232,1.838806,,,1.357,1116.141,67.702,194.848,0.96,1.2679562045137427,0.003962884223682309,0.0,0.18122954546101414
0.0705,0.1085,0.0882,24,31.91046948825,0.0175,60.26772366438,0.0259,507575730349744896,0.3612,0.0351,-0.834,0.031,-0.588,0.041,1.046,16.002533,0.002772,16.682678,0.004119,15.180795,0.003037,1.501884,,,1.285,3538.468,358.372,905.275,1.0,2.21092318111338,0.19861507410070217,1.7170456913118255,0.26936884341207984
0.0463,0.143,0.2432,23,31.87844618089,0.0223,60.23796172026,0.0332,507575597212065920,0.3829,0.0474,-0.821,0.039,-0.657,0.055,0.994,16.331614,0.002783,16.940372,0.00387,15.559981,0.003228,1.380391,,,1.271,2798.116,404.783,668.79,0.99,2.3683704641615795,0.006001153552161277,0.0,0.058672697561489434
0.2236,0.2996,0.2076,23,31.80465180406,0.0386,60.25800716265,0.057,507212311700868864,0.394,0.0792,-0.739,0.075,-0.451,0.097,1.011,17.386944,0.00283,18.219852,0.009006,16.502878,0.006381,1.716974,,,1.287,1686.186,126.799,189.193,0.99,1.5677968559894893,0.002889492305707507,0.0,0.13615424969117454
0.102,0.2448,0.1186,23,31.89860894296,0.0378,60.28179516156,0.0535,507587485681518592,0.3637,0.0742,-0.667,0.069,-0.392,0.083,0.929,17.378843,0.002814,18.240017,0.009877,16.456219,0.004269,1.783798,,,1.313,1902.974,114.588,336.024,0.97,1.566180989398232,0.008419049812882473,0.33158569311515457,0.3530865672581536
0.0645,0.1147,0.1248,22,31.88260456911,0.055,60.23675463941,0.0848,507575592910743552,0.4403,0.1198,-0.843,0.094,-0.618,0.134,0.963,18.034794,0.002894,19.046001,0.016444,17.04241,0.005566,2.003592,,,1.336,1225.788,66.997,225.462,0.97,1.2654097112305407,0.003146547580710086,0.11831520629387424,0.22119485780201867
0.0999,0.1454,0.0766,24,31.90839885115,0.0528,60.27719019425,0.0787,507575764709491712,0.3972,0.1055,-0.694,0.092,-0.734,0.121,1.061,17.924477,0.002888,18.889641,0.019496,16.896282,0.010326,1.993359,,,1.383,1256.421,56.27,109.208,0.93,1.283724851877496,0.00388993031901023,0.14389671605109147,0.2595885012336582
0.0804,0.1138,0.0324,24,31.83522901317,0.0518,60.23560106358,0.0751,507211998158084992,0.4385,0.1041,-0.959,0.09,-0.479,0.119,1.001,18.016262,0.002883,18.974533,0.030941,16.996584,0.00883,1.977949,,,1.377,1277.32,35.234,129.608,0.96,1.270085588114176,0.004309596716254755,0.12737498525659458,0.24474653477977548
0.0312,0.1326,0.0221,24,31.82836391932,0.0089,60.28834575867,0.0132,507587657480209152,0.3939,0.0172,-0.688,0.016,-0.444,0.02,1.032,14.416885,0.002763,14.991636,0.00294,13.67365,0.002836,1.317986,,,1.262,5279.637,1169.771,2140.824,0.99,5.211946477647405,0.004410433930303978,0.0,0.1739660670589968
