pmRApmDEcor,PlxpmRAcor,PlxpmDEcor,Nper,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,Source,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RUWE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BPRP,RVDR2,e_RVDR2,EBPRP,RFG,RFBP,RFRP,Pmemb,mass,er_mass,comp_mass,er_comp_mass
0.1068,-0.2631,-0.1287,23,296.26485129884,0.1045,23.95410101338,0.1331,2020518028142653440,0.4739,0.1875,-1.525,0.123,-5.259,0.186,1.05,18.728163,0.003231,20.041595,0.053508,17.546301,0.010826,2.495295,,,1.466,643.751,20.319,103.796,0.86,1.0053245014767551,0.06631332350460972,0.6613652180993144,0.21198107510724074
0.0952,-0.198,-0.1115,25,296.2801632335,0.0242,23.97092342915,0.0319,2020519196369666944,0.4423,0.0433,-1.617,0.028,-5.173,0.042,2.447,14.786578,0.002781,15.335637,0.00304,13.98359,0.003122,1.352047,,,1.319,2899.399,899.794,775.412,0.97,2.352884131467217,0.15325726310973917,1.8039372412176728,0.15218934418788105
0.1602,-0.2069,-0.128,23,296.27645971758,0.033,23.97485047917,0.0305,2020519192057083520,0.3634,0.0418,-1.56,0.038,-5.055,0.04,1.21,15.557386,0.002825,16.137098,0.022848,14.543527,0.006933,1.593572,,,1.496,1740.947,47.877,171.055,0.59,1.8820394009490082,0.06467085404415764,1.4195225846338855,0.07714799727839415
0.0379,-0.153,-0.0985,25,296.27218868721,0.0083,23.97706233133,0.0107,2020519196369676032,0.5236,0.0145,-1.695,0.01,-5.148,0.014,1.044,13.754176,0.00276,14.249607,0.002977,13.07584,0.002842,1.173767,,,1.246,6488.416,1045.125,2000.284,0.99,3.708883637772138,0.3299037514732045,2.615034267246882,0.5248490003450673
0.1466,-0.2439,-0.1658,25,296.28247457752,0.0107,23.96356865914,0.0127,2020518062498296064,0.4696,0.0177,-1.621,0.013,-5.166,0.017,1.038,14.286401,0.002762,14.752939,0.003062,13.601902,0.003905,1.151037,,,1.263,5758.817,860.832,397.446,0.99,3.5693732627974066,0.024932646744231762,0.0,0.09015837942560395
0.0715,-0.2017,-0.1387,23,296.27666708245,0.0092,23.97624097547,0.012,2020519196369672448,0.4926,0.017,-1.594,0.011,-5.151,0.016,0.969,10.236339,0.002762,10.599766,0.002808,9.683714,0.002796,0.916052,,,1.219,5654.998,3449.395,6118.181,0.99,13.973023144207732,0.004820258034406375,0.0,0.0861720297296808
0.2043,-0.254,-0.1205,24,296.28458431067,0.0202,23.96165555272,0.0236,2020518062498293248,0.465,0.0308,-1.685,0.024,-5.174,0.032,1.03,15.60904,0.002774,16.25284,0.00407,14.818416,0.002977,1.434424,,,1.273,3404.12,366.404,1045.323,0.99,1.9239266659871632,0.00512951209514903,0.5061684620835851,0.38415816549566006
0.1363,-0.2483,-0.1202,23,296.28604642058,0.0839,23.97188729623,0.1032,2020518436137323520,0.4663,0.1408,-1.657,0.099,-5.174,0.138,0.965,18.427601,0.003157,19.75671,0.033218,17.297989,0.009172,2.458721,,,1.405,704.5,32.801,124.26,0.96,1.062812901918477,0.05428216253195509,0.8064444371370957,0.14559876604062572
0.104,-0.2037,-0.134,25,296.28702590621,0.0193,23.95588190262,0.0232,2020517993778812800,0.4634,0.0323,-1.805,0.022,-4.943,0.031,1.009,15.785762,0.002772,16.466503,0.004112,14.968258,0.002942,1.498245,,,1.281,3615.573,359.399,1162.588,0.98,1.8679718029967651,0.002084842620991986,0.13704367534016387,0.23826925028641802
0.0554,-0.1865,-0.1245,25,296.24555376239,0.02,23.96927541742,0.0249,2020518852772310400,0.5438,0.0345,-1.779,0.024,-4.957,0.035,0.98,15.843469,0.002771,16.49774,0.003678,15.054643,0.003037,1.443097,,,1.267,3713.491,453.037,904.764,0.98,1.852610442621211,0.002468918631976215,0.0,0.08699269632233811
0.0266,-0.1629,-0.1123,25,296.25551005992,0.0095,23.98471613553,0.0125,2020518882819424128,0.4705,0.0168,-1.808,0.011,-5.233,0.017,1.374,12.268125,0.002761,12.69706,0.003026,11.630003,0.002984,1.067057,,,1.246,6162.356,927.674,1025.56,0.98,7.556687908424989,0.1267660737504592,2.0875189017931293,0.8278435451675862
0.1051,-0.2165,-0.1346,23,296.2951394043,0.0514,23.96803397103,0.0636,2020518436137322880,0.5101,0.0897,-1.648,0.061,-5.021,0.082,1.03,17.680794,0.002907,18.891306,0.016484,16.535746,0.008428,2.35556,,,1.446,1170.055,66.83,136.518,0.98,1.244625189272839,0.04006421706244485,1.042388149140676,0.11606894946897663
0.0921,-0.2139,-0.1565,24,296.28898561365,0.0474,23.98126858674,0.0583,2020519226411073920,0.458,0.0807,-1.696,0.056,-5.175,0.076,0.95,17.538141,0.002933,18.717564,0.012226,16.465231,0.005625,2.252333,,,1.376,1081.452,91.216,222.319,0.98,1.271199247008596,0.0398506239745676,1.0794831867307613,0.11469576722999374
0.0137,-0.1287,-0.1215,24,296.25915309928,0.0077,23.94132006704,0.0093,2020517925059349120,0.492,0.0131,-1.776,0.009,-5.062,0.013,0.935,13.310586,0.00276,13.764423,0.002845,12.672575,0.002808,1.091848,,,1.235,7125.117,1947.732,3402.418,1.0,5.1256935152049445,0.0035789277802431552,0.0,0.04383093362198309
0.0632,-0.2056,-0.1025,25,296.28353997721,0.0126,23.94387787231,0.0163,2020517955100704256,0.524,0.0223,-1.69,0.015,-5.185,0.021,0.983,14.934385,0.002762,15.517356,0.002994,14.184729,0.002888,1.332627,,,1.264,5575.865,1000.474,1458.286,0.99,2.4576658492005943,0.1422726131853514,1.4577131687204636,0.17475139848884308
0.051,-0.1674,-0.1223,24,296.27299301552,0.0222,23.99074280696,0.0278,2020519265089159040,0.4158,0.0371,-1.848,0.027,-5.071,0.036,1.041,16.022369,0.002779,16.881937,0.003702,15.079051,0.004025,1.802886,,,1.332,3028.658,446.357,374.317,0.92,1.5939533190641173,0.005269646257206953,0.4703519359343305,0.4286147083998725
0.0408,-0.1795,-0.1296,23,296.28296383405,0.0286,23.94023655945,0.0358,2020517959419070592,0.4926,0.0507,-1.732,0.033,-5.038,0.047,1.022,16.592426,0.002916,17.764816,0.008042,15.527873,0.003901,2.236943,,,1.368,1139.146,143.959,398.221,0.99,1.4536573010443743,0.027096216217336315,1.260089976570831,0.13999841665466814
0.0184,-0.108,-0.1135,25,296.2756299166,0.0107,23.99343260574,0.0128,2020519299448896000,0.541,0.0175,-1.904,0.012,-4.88,0.017,1.403,13.258252,0.002761,13.735439,0.002882,12.596362,0.002823,1.139077,,,1.242,6261.624,1505.969,2537.21,0.92,4.8388290698707035,0.23519672645466402,2.3537979088378975,0.5881616510666761
0.138,-0.2516,-0.1109,22,296.24436678267,0.1048,23.94415746498,0.1314,2020518680959692800,0.5094,0.1795,-1.955,0.121,-4.922,0.182,1.05,18.572081,0.003212,20.18993,0.047984,17.292641,0.00754,2.897289,,,1.531,657.375,22.665,155.005,0.83,0.991978294178126,0.05194580895261726,0.815185650587996,0.08726817339393671
0.0675,-0.1552,-0.0948,25,296.29081162521,0.0109,23.94201119698,0.0137,2020517993778805760,0.5102,0.0191,-1.851,0.013,-5.173,0.018,0.94,14.529811,0.002762,15.086383,0.002968,13.783324,0.003358,1.303059,,,1.272,5712.411,1073.15,581.275,0.99,2.6712071736825127,0.15597195156039498,1.8477699496741402,0.19073419464179234
0.0061,-0.1252,-0.1337,23,296.30306846509,0.0144,23.97811806451,0.018,2020518474815362304,0.4791,0.0249,-1.665,0.017,-5.032,0.023,1.002,15.15448,0.002768,16.045105,0.003146,14.216877,0.002857,1.828228,,,1.318,4142.916,746.773,1761.693,0.99,1.6947591887162101,0.06765948317565623,1.6109772526155492,0.028107356943110538
0.0763,-0.1899,-0.1095,25,296.27503457433,0.0198,23.99906730425,0.0242,2020519299448899584,0.526,0.0327,-1.665,0.024,-5.083,0.033,1.003,15.872924,0.002819,16.936852,0.005151,14.836903,0.004356,2.099949,,,1.365,1818.626,250.731,324.615,0.99,1.5540150366469712,0.028034639162806563,1.386268855909776,0.12851954407987806
0.088,-0.2823,-0.0974,24,296.23015081834,0.0125,23.9664446314,0.016,2020518951533149440,0.4587,0.0218,-1.659,0.015,-4.857,0.021,0.984,14.743126,0.002763,15.255856,0.002996,14.046928,0.002903,1.208927,,,1.252,5240.585,995.74,1357.282,0.95,2.873110029341021,0.003159111610833221,0.0,0.07932078621741655
0.0825,-0.1716,-0.186,24,296.25152006185,0.0134,23.99842807351,0.0166,2020519471247611520,0.4865,0.0236,-1.723,0.016,-5.116,0.022,1.01,14.95799,0.002762,15.464547,0.003019,14.274426,0.002854,1.190121,,,1.245,5458.777,941.865,1813.76,0.99,2.626514110886053,0.0037608772012475387,0.0,0.04509997484793923
0.1235,-0.1786,-0.0769,22,296.26251564785,0.0789,23.92834141398,0.0853,2020517856339864064,0.4078,0.1189,-1.559,0.093,-4.933,0.118,1.054,18.105043,0.003144,19.303988,0.026648,16.997662,0.010437,2.306326,,,1.408,717.24,40.969,107.955,0.91,1.1772975040002038,0.053467498250058955,0.7675217982731399,0.259771317135116
0.0508,-0.2151,-0.0045,25,296.24148694635,0.0221,23.99313198974,0.0294,2020519093290495232,0.4623,0.0384,-1.702,0.026,-5.04,0.04,0.951,16.157648,0.002859,17.115519,0.004861,15.189635,0.003633,1.925883,,,1.327,1423.809,272.744,466.727,0.99,1.5404015184934345,0.025493762242540723,1.1190186514962095,0.3806298953525418
0.0118,-0.1738,-0.0768,25,296.22989835202,0.007,23.95064033646,0.0093,2020518715337433984,0.5181,0.012,-1.88,0.008,-5.337,0.012,0.813,12.775699,0.00276,13.294851,0.002846,12.084633,0.002812,1.210218,,,1.245,7145.325,1931.695,3082.98,0.98,5.024858898058313,0.1770436292469848,4.531697855649196,0.25131262167477025
0.0671,-0.2074,-0.1122,23,296.27856655024,0.0239,23.9271481424,0.0298,2020517650181423872,0.5325,0.0428,-1.892,0.028,-5.285,0.04,0.985,16.285225,0.00278,17.06592,0.004768,15.4094,0.003153,1.65652,,,1.296,2919.451,280.795,739.109,0.97,1.55991550955245,0.002505524473109494,0.0,0.09162167915883133
0.1994,-0.3254,-0.209,22,296.25941938282,0.0878,24.00565261382,0.1117,2020519466935880448,0.5746,0.1603,-1.81,0.109,-5.137,0.161,0.973,18.450272,0.003599,19.810755,0.02559,17.325953,0.008093,2.484802,,,1.393,468.869,42.682,142.915,0.95,1.0416356895618784,0.05280650203369326,0.8340631307933386,0.1148056751224878
0.1082,-0.149,-0.1492,25,296.26264997462,0.0125,23.92352802715,0.016,2020517821980123648,0.5038,0.0221,-1.427,0.015,-5.055,0.022,1.535,10.473377,0.002762,10.872666,0.002807,9.889414,0.002799,0.983253,,,1.223,5809.936,3503.121,4987.612,0.86,13.258958120220331,0.0029561443031221723,0.0,0.0
0.0399,-0.2084,-0.1227,23,296.2825492747,0.0552,23.92480579383,0.0723,2020517650185516544,0.3732,0.0972,-1.702,0.065,-4.76,0.093,0.978,17.86182,0.0029,19.104462,0.014656,16.775507,0.00568,2.328955,,,1.376,1198.818,75.461,219.442,0.77,1.202364034884822,0.04147636944077348,0.9723418116397639,0.1310825717467221
0.0951,-0.1863,-0.2304,23,296.2973621051,0.0485,23.99789055848,0.0586,2020519333812791424,0.565,0.0841,-1.786,0.058,-5.135,0.081,1.009,17.471159,0.00311,18.54146,0.010857,16.427734,0.005596,2.113726,,,1.371,752.435,103.475,223.827,0.98,1.3580196517417125,0.031557813032285435,0.6467413949422263,0.34662907995765413
0.0734,-0.1952,-0.1272,25,296.25084650399,0.0168,24.00528784781,0.021,2020519539967091840,0.4968,0.0288,-1.734,0.02,-5.235,0.028,0.979,15.540297,0.002771,16.19618,0.003228,14.743685,0.002934,1.452496,,,1.273,3744.973,668.694,1195.994,0.99,1.9377598998010928,0.017652741864362418,1.0568542665687932,0.15853081534096936
0.0968,-0.21,-0.0073,24,296.23017435504,0.1115,23.99219815541,0.1379,2020519127650240256,0.3447,0.1843,-1.734,0.133,-5.217,0.182,1.045,18.881464,0.003423,20.328472,0.048798,17.749527,0.012126,2.578945,,,1.385,534.468,22.286,92.003,0.91,0.9676748964952847,0.06510614195495479,0.5808476562653175,0.21256139194383317
0.038,-0.2385,-0.0236,24,296.22295134069,0.0355,23.9432743765,0.0459,2020518715333362816,0.5086,0.0609,-1.687,0.041,-5.277,0.059,0.978,17.013832,0.003093,18.177372,0.009501,15.95631,0.005446,2.221062,,,1.363,772.804,119.541,232.152,0.98,1.3867636650451696,0.03270301699489231,1.1638923029017236,0.12628933098154188
0.0171,-0.1179,-0.0843,25,296.25465022073,0.0103,24.01363719002,0.0122,2020519574326831872,0.4829,0.0171,-1.833,0.012,-4.963,0.017,1.247,13.030519,0.002762,13.482817,0.002841,12.394885,0.002817,1.087932,,,1.234,5697.457,2038.651,2805.652,0.99,5.736221209945037,0.0026926939684052812,0.0,0.0
0.0753,-0.1973,-0.0235,25,296.22784002563,0.0123,23.93013252943,0.0163,2020517169144858240,0.5453,0.0217,-1.816,0.014,-5.161,0.022,0.967,14.941572,0.002762,15.524085,0.002954,14.194375,0.002913,1.32971,,,1.262,5627.44,1120.63,1297.499,0.99,2.486380638925995,0.10868389792781878,1.4057637781402132,0.14880283390927204
0.0254,-0.1451,-0.1153,25,296.24593807523,0.0077,24.01205403138,0.0098,2020519539967097344,0.5137,0.0133,-1.594,0.009,-5.2,0.013,1.016,13.499714,0.002759,13.98305,0.002866,12.836615,0.002813,1.146436,,,1.24,8177.347,1654.478,3068.382,0.99,4.820357425694751,0.15463661626082914,0.5519021195471125,0.7272415339492936
0.0172,-0.1456,-0.0708,26,296.25708600705,0.0061,23.91397423538,0.0082,2020517821979872512,0.4664,0.0115,-1.802,0.007,-5.213,0.011,0.912,12.658718,0.002774,13.127442,0.002929,12.010586,0.00291,1.116857,,,1.236,3398.775,1216.412,1311.962,0.98,5.534250314226199,0.3033437107339626,4.25461685532175,0.4787825777450813
0.1362,-0.2399,-0.0915,23,296.32556323901,0.0824,23.96020201645,0.1002,2020518195624704512,0.4559,0.1382,-1.95,0.098,-4.984,0.129,1.017,18.321249,0.003225,19.62019,0.020512,17.22093,0.006844,2.39926,,,1.379,647.491,53.428,173.737,0.87,1.0979368495173745,0.0528965995731155,0.8013865532545652,0.16153114367801114
0.0295,-0.1104,-0.0703,25,296.29239960461,0.0292,23.91694283265,0.0377,2020517684541149568,0.5018,0.0497,-1.814,0.035,-5.215,0.048,0.954,16.760225,0.002801,17.633074,0.006062,15.840479,0.003549,1.792595,,,1.307,2153.791,201.763,495.073,0.99,1.4950565531138889,0.0023091770199313707,0.0,0.11917596913065426
0.1547,-0.3016,-0.0925,23,296.21072286979,0.0708,23.95473267099,0.087,2020518917183847680,0.4984,0.1213,-1.668,0.083,-5.128,0.117,1.008,18.081676,0.003111,19.345823,0.018107,17.008232,0.005163,2.337591,,,1.358,751.643,60.687,249.935,0.97,1.144253851670085,0.047487905082706665,0.9141173383519536,0.1262205441080052
0.0092,-0.1929,-0.1211,25,296.32065855765,0.0222,23.99103205731,0.0292,2020518577894358656,0.5429,0.0392,-1.607,0.026,-5.111,0.038,0.986,16.139851,0.002778,16.884981,0.003783,15.29551,0.00309,1.589471,,,1.281,3041.808,424.991,817.807,0.98,1.7659391714194805,0.003495781505810678,0.0,0.033428912203333064
0.0561,-0.1884,-0.1167,25,296.25877692171,0.0356,24.01881109715,0.0436,2020519574326831232,0.5179,0.0584,-1.624,0.043,-5.123,0.058,0.985,16.959909,0.00286,18.057037,0.006627,15.925981,0.003801,2.131057,,,1.355,1419.439,180.615,420.63,0.98,1.4019045023568366,0.03340469195362302,1.140671608899262,0.225529229383994
-0.009,-0.1156,-0.0597,25,296.30222740279,0.0163,23.9182831712,0.0203,2020517684541143936,0.519,0.0281,-1.674,0.019,-5.308,0.027,1.226,15.12841,0.002763,15.712255,0.003129,14.383191,0.002917,1.329064,,,1.26,5358.162,766.352,1277.191,0.98,2.373357516841254,0.03374835773934051,1.2495228948792307,0.1282949428530831
0.0247,-0.1143,-0.0809,26,296.25840137262,0.0057,23.90702451816,0.0078,2020516138352691456,0.4936,0.011,-1.574,0.007,-5.453,0.01,0.876,12.505986,0.002768,12.96198,0.002895,11.871158,0.002934,1.090822,,,1.232,4107.519,1408.559,1195.745,0.84,6.656844606919991,0.18121010606794768,2.826156265567379,0.6507369655958856
0.0867,-0.1751,-0.1475,25,296.21479128298,0.0344,23.93269965229,0.0452,2020517237864340352,0.4897,0.061,-1.889,0.04,-5.029,0.06,0.963,17.074366,0.003036,18.298162,0.008839,15.971969,0.004437,2.326194,,,1.397,851.278,129.455,314.742,0.97,1.364043279730866,0.031821092087948075,1.190588151856884,0.10422322531878554
-0.0353,-0.0913,-0.1655,24,296.33183842093,0.018,23.97600164328,0.0223,2020518303016668928,0.5172,0.0313,-1.667,0.021,-5.151,0.03,1.008,15.672464,0.002773,16.528986,0.003401,14.751522,0.002987,1.777464,,,1.313,3471.678,558.346,1019.028,0.99,1.6360194131751937,0.05315902146384878,1.3716837886923876,0.09209571944331388
