pmRApmDEcor,PlxpmRAcor,PlxpmDEcor,Nper,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,Source,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RUWE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BPRP,RVDR2,e_RVDR2,EBPRP,RFG,RFBP,RFRP,Pmemb,mass,er_mass,comp_mass,er_comp_mass,q,e_q,r,mass_system,e_mass_system,r/rh
-0.1386,-0.1624,0.0873,27,313.21951810205,0.0065,37.74035110401,0.0087,1872447106455974144,0.7858,0.0101,1.787,0.009,-0.516,0.011,0.901,12.709628,0.00276,12.958211,0.002849,12.302481,0.002816,0.65573,,,1.189,6894.848,1886.978,2855.333,1.0,1.9753050970524808,0.0465443163323689,1.664300700498477,0.0531378065024455,0.8425537416887752,0.0334337545243731,0.5090711313371061,3.6396057975509577,0.07063993107824328,0.045044111870024654
0.0196,-0.1144,0.0463,27,313.20108359696,0.076,37.78902680797,0.0849,1872449610409137920,0.7833,0.1063,1.432,0.107,-0.463,0.115,1.014,18.312069,0.003119,19.30876,0.024626,17.344776,0.006798,1.963984,,,1.316,743.107,44.375,175.136,1.0,0.681984400884211,0.0077855110215822,0.3878558960604769,0.1341481519065631,0.5687166679437409,0.1968097861506282,0.7056255788826091,1.0698402969446879,0.13437388452304824,0.06243582783815658
-0.0796,-0.1429,0.0485,27,313.1968252339,0.0159,37.80139130466,0.0184,1872449614716960128,0.8462,0.023,1.709,0.021,-0.432,0.024,0.975,15.357015,0.002772,15.878428,0.003402,14.668622,0.003021,1.209806,,,1.242,3626.86,557.93,938.187,1.0,1.0942893020830389,0.0285264350483579,0.9262864322759756,0.0519925571220276,0.8464730766468604,0.0523867237828401,0.9609965047256928,2.0205757343590145,0.059304160837629974,0.08503179889983202
0.028,-0.1662,0.055,27,313.28838035224,0.0761,37.75929318063,0.0967,1872445727758523648,0.7981,0.1113,1.729,0.104,-0.54,0.121,0.99,18.32402,0.003489,19.2554,0.021447,17.373579,0.007265,1.881821,,,1.318,507.32,51.059,161.86,1.0,0.6924402085757215,0.0037868059534449,0.0,0.1353181506296256,0.0,0.1954221446902414,1.0457411705531499,0.6924402085757215,0.13537112612795643,0.09253025633129862
0.023,-0.0913,0.0463,28,313.28522240727,0.0499,37.78486840276,0.0586,1872449060653302912,0.8878,0.0703,1.507,0.066,-0.178,0.074,1.028,17.555597,0.003016,18.383007,0.022659,16.569759,0.010073,1.813248,,,1.382,884.9,48.283,112.176,1.0,0.7372343105562947,0.0146038845780022,0.6330064715044661,0.0378448399707514,0.8586231845704774,0.054077903928939,1.092119430464127,1.370240782060761,0.04056482906631548,0.096633941256979
-0.0929,-0.1515,0.0608,27,313.17542850798,0.0084,37.79672649465,0.0104,1872448205967703424,0.8276,0.0125,1.698,0.012,-0.375,0.013,0.968,13.810001,0.002761,14.128797,0.002884,13.323448,0.00282,0.805348,,,1.2,6151.731,1490.019,2651.793,1.0,1.585513304975501,0.0167471834647663,1.0809090099282583,0.0493700917547536,0.6817407375493202,0.0319600361362927,1.1235679333522932,2.6664223149037594,0.05213323425489091,0.09941659734379862
-0.1253,-0.2546,0.0893,27,313.29920807121,0.0072,37.73159116231,0.0094,1872445422828694272,0.7853,0.0112,1.659,0.01,-0.466,0.011,0.923,12.766899,0.002763,13.064228,0.002883,12.301536,0.002825,0.762692,,,1.198,5215.191,1492.567,2444.549,1.0,1.8936507768249515,0.0435249450691883,1.6897380196652982,0.046523296880063,0.8923176545246901,0.0320036520461929,1.3961430357774107,3.58338879649025,0.06370901031931307,0.12353484458043089
-0.0083,-0.0734,0.0263,28,313.19589757966,0.0153,37.84117329225,0.0174,1872450027033864832,0.8173,0.0212,1.714,0.02,-0.414,0.023,1.096,15.043934,0.002769,15.547926,0.003043,14.35179,0.002884,1.196136,,,1.252,3982.091,893.721,1489.497,1.0,1.132562001102831,0.0276987346308075,1.0360805918093725,0.0404593660901753,0.9148113664421816,0.0421515108683356,1.7415402009473195,2.1686425929122035,0.04903244032848785,0.15409660224018748
-0.0498,-0.0922,0.0572,28,313.27245018188,0.0136,37.84285388218,0.0176,1872449545997449344,0.803,0.0198,1.691,0.018,-0.445,0.021,0.991,14.979204,0.002773,15.39979,0.003103,14.381679,0.002908,1.018111,,,1.222,3496.464,799.253,1327.64,1.0,1.2788627179166072,0.0026296960801921,0.1348284800781355,0.240651055704491,0.1054284233868231,0.1881759566796203,1.86483719704694,1.4136911979947426,0.2406654231774066,0.1650062833115967
-0.1158,-0.1451,0.0094,27,313.13483860805,0.0127,37.81301660564,0.015,1872460197516459904,0.82,0.018,1.789,0.017,-0.44,0.019,1.15,11.260895,0.002772,11.435928,0.002834,10.950223,0.002798,0.485705,,,1.178,3614.933,2178.421,5141.781,1.0,3.0415206954078204,0.1201766982274943,2.7417978379290395,0.24783629255789,0.9014562491942562,0.0889289931000196,1.875941613488171,5.78331853333686,0.2754365021301684,0.16598883475802495
-0.1858,-0.1326,-0.0238,27,313.12022403139,0.0074,37.72534155042,0.0097,1872447617542075904,0.8005,0.0114,1.859,0.01,-0.528,0.012,0.963,12.807762,0.00276,13.06305,0.002849,12.392228,0.002825,0.670822,,,1.19,6802.423,1885.201,2456.598,1.0,1.855166962895182,0.0432920738531063,1.6907422842539654,0.047242671563188,0.9113693365988932,0.0331783509818506,1.9654562917575655,3.5459092471491473,0.06407865225588052,0.1739093569282476
-0.1182,-0.135,0.0638,27,313.22723928782,0.0194,37.66624603351,0.023,1872443636122309248,0.846,0.0277,1.769,0.027,-0.413,0.029,1.011,15.670127,0.002782,16.220049,0.003504,14.959533,0.003148,1.260516,,,1.247,2807.43,512.285,744.815,1.0,1.050428263390314,0.0236361422662094,0.8342004537994779,0.050266071341343,0.794152711682615,0.0510805708917039,2.0637958456107253,1.8846287171897917,0.055545883279694765,0.1826107300612622
0.0429,-0.1842,0.1056,26,313.30383757307,0.1199,37.68590910741,0.1416,1872444460746139776,0.8662,0.1723,1.929,0.166,-0.693,0.173,1.012,18.889055,0.004202,19.552341,0.064873,17.646585,0.024701,1.905756,,,1.716,342.227,16.752,44.238,1.0,0.6460468057948197,0.0070446773495496,0.0,0.0808564779814314,0.0,0.1251557584623534,2.096586158614003,0.6460468057948197,0.08116278402396604,0.18551211345594285
-0.0669,-0.1505,0.0136,27,313.26236131013,0.0188,37.66682505943,0.0225,1872443704841745664,0.8028,0.0274,1.762,0.026,-0.408,0.028,0.959,15.639946,0.002799,16.226542,0.003989,14.891717,0.003161,1.334825,,,1.261,2210.346,380.822,730.588,1.0,1.009735061146492,0.0238289394425277,0.9243432665592352,0.037325683894662,0.9154314850765908,0.0428156615804006,2.1376039774195705,1.934078327705727,0.044283462298694336,0.18914149077712294
-0.1091,-0.1157,0.0677,27,313.20318874408,0.0225,37.65738821357,0.0259,1872443464323634304,0.8331,0.0321,1.764,0.032,-0.365,0.034,0.994,16.039568,0.002815,16.584269,0.005148,15.331022,0.003465,1.253246,,,1.248,1887.345,250.946,528.608,1.0,1.033431352412081,0.0057217371226009,0.3515518208100575,0.2621702344007999,0.3401791710591301,0.2536960573357772,2.2864384073928106,1.3849831732221385,0.26223266402466056,0.20231079915298233
-0.2165,-0.1841,-0.0162,26,313.145110279,0.0454,37.67582322813,0.0522,1872446625420219264,0.7511,0.0661,1.58,0.065,-0.21,0.07,1.047,17.197674,0.002905,17.883034,0.009197,16.349665,0.004383,1.533369,,,1.305,1179.705,123.892,321.245,1.0,0.8342487752781989,0.0042641450859623,0.2501924443351887,0.2232166391120847,0.2999014823267273,0.2675704285465164,2.311804228275503,1.0844412196133875,0.22325736473811744,0.20455524163494737
