pmRApmDEcor,PlxpmRAcor,PlxpmDEcor,Nper,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,Source,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RUWE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BPRP,RVDR2,e_RVDR2,EBPRP,RFG,RFBP,RFRP,Pmemb,mass,er_mass,comp_mass,er_comp_mass
0.2698,-0.0342,0.118,27,182.40542582781,0.0129,-62.9920584422,0.014,6054366911894817408,0.334,0.0173,-9.559,0.018,0.429,0.019,1.027,14.524802,0.002768,15.462884,0.003445,13.562327,0.002926,1.900557,,,1.327,4046.01,537.389,1232.919,1.0,2.248581549092665,0.0008722908584950654,0.328829310577337,0.4882647063029089
0.2862,0.0498,0.1425,27,182.41792100719,0.0147,-62.98884875442,0.0145,6054366907544088064,0.2983,0.0183,-9.562,0.02,0.39,0.021,0.972,14.716183,0.002764,15.277755,0.003126,13.986757,0.00289,1.290998,,,1.256,4825.175,770.378,1439.747,1.0,2.152809841568013,0.0026944676763179616,0.4103674374020428,0.38753847532995556
0.32,0.0095,0.0747,26,182.41346249242,0.0713,-62.98678301437,0.0676,6054366907543627904,0.2095,0.0869,-9.449,0.091,0.438,0.102,1.021,17.871193,0.002947,18.531277,0.026573,17.016356,0.011032,1.514921,,,1.32,1037.226,41.086,101.723,0.98,1.1667878071067774,0.02846916463823835,0.5595794661157859,0.3449107303444082
0.2768,0.0117,0.1384,27,182.40028527913,0.0262,-62.98653548863,0.0256,6054366907544097280,0.3637,0.0337,-9.596,0.034,0.423,0.037,0.894,16.068632,0.002781,16.58684,0.003875,15.388134,0.003223,1.198706,,,1.238,2874.021,403.868,672.815,0.99,1.6720486862921051,0.0127628237912023,1.0005708539399458,0.07417184426776632
0.3155,0.0662,0.1249,27,182.42195175706,0.0318,-62.9873046495,0.0287,6054366946254564736,0.3015,0.0379,-9.513,0.041,0.453,0.042,1.057,16.265087,0.002792,16.929523,0.004323,15.469646,0.00352,1.459878,,,1.269,2417.929,328.868,506.05,1.0,1.4255535422486574,0.01752487518282527,1.3724430815229716,0.020273522810236394
0.2035,-0.0675,0.1328,27,182.39801090546,0.0141,-62.99327334437,0.0146,6054366911894813824,0.2823,0.0184,-9.496,0.019,0.425,0.021,1.046,14.718169,0.002775,15.616816,0.004656,13.738995,0.005725,1.877821,,,1.354,3275.487,291.247,217.188,1.0,2.2478064612141897,0.0007397841836487693,0.10429972926562883,0.2530702598541692
0.2192,-0.0213,0.1681,27,182.40974309544,0.0202,-62.99735511136,0.0209,6054363956957311232,0.3481,0.0262,-9.613,0.028,0.504,0.03,1.011,15.591224,0.002795,16.163733,0.003704,14.858521,0.003323,1.305211,,,1.255,2309.714,445.655,601.382,1.0,1.6476427587230085,0.02397954828470278,1.5686984424479937,0.02941919762707189
0.2175,-0.049,0.1214,27,182.41206658466,0.0201,-62.99852220703,0.0215,6054363956957310208,0.3562,0.0262,-9.604,0.028,0.42,0.032,1.036,15.511482,0.002773,16.066973,0.003363,14.784572,0.003243,1.282401,,,1.257,3460.901,578.586,657.181,0.99,1.6843468380301245,0.027881968115930324,1.585959713104586,0.037523152558964254
0.2055,-0.0402,0.1327,27,182.40130062157,0.0177,-62.99777534273,0.0184,6054363956957308928,0.3131,0.0227,-9.504,0.024,0.495,0.027,0.942,15.319757,0.002776,15.877501,0.003628,14.540503,0.003603,1.336999,,,1.297,3224.27,468.306,476.338,1.0,1.7827338142406217,0.041032992210306526,1.614861296740318,0.06365080412596562
0.2495,0.0048,0.1393,27,182.41574059083,0.02,-62.98202897347,0.0205,6054366907564610944,0.2965,0.0261,-9.489,0.027,0.308,0.029,0.898,15.559724,0.002773,16.139168,0.00362,14.794552,0.003132,1.344616,,,1.277,3445.641,470.77,763.05,0.98,1.667691070676615,0.029981846718726335,1.5723913266178084,0.03959204513326857
0.2157,-0.016,0.1334,27,182.4107530115,0.0163,-62.99953875686,0.0171,6054363956957308032,0.3051,0.0211,-9.546,0.023,0.41,0.025,1.045,14.996902,0.002767,15.614617,0.003081,14.219839,0.003019,1.394778,,,1.272,4283.972,831.057,941.471,1.0,2.0166302612881597,0.015579757489217071,1.3631272488231798,0.08458166615828096
0.2032,0.0096,0.3547,22,182.4094588902,0.1856,-62.99969096706,0.1623,6054363956941351296,0.2649,0.2205,-9.703,0.236,0.221,0.241,1.061,18.954741,0.004072,19.041483,0.125236,17.522406,0.007731,1.519077,,,2.244,362.13,8.672,150.579,0.87,1.0378259106300969,0.013404861670816415,0.14064477510904883,0.22533871875109387
0.3668,-0.0622,0.05,25,182.42997451816,0.0412,-62.98552679176,0.0406,6054366946254568192,0.2978,0.0522,-9.406,0.056,0.526,0.063,0.948,16.945896,0.00281,17.582409,0.00798,16.190027,0.004496,1.392382,,,1.248,1965.702,145.222,307.999,0.99,1.3515842584859927,0.03460736186894668,1.0032174383000179,0.08913936072149914
0.2617,0.015,0.1241,27,182.39035003106,0.0135,-62.98415192443,0.0138,6054366980614301312,0.3058,0.0174,-9.472,0.018,0.567,0.02,0.99,14.618625,0.002766,15.206721,0.003022,13.850986,0.003665,1.355736,,,1.276,4559.215,934.404,456.832,1.0,2.184633053810647,0.0019148293598017807,0.2687553993600476,0.3517801086604512
0.2726,0.0311,0.1322,27,182.38696678354,0.0141,-62.98500545502,0.0145,6054366980614300288,0.3168,0.0182,-9.505,0.019,0.451,0.021,1.104,14.633956,0.002809,15.199588,0.003956,13.894954,0.003141,1.304634,,,1.262,1980.056,387.142,752.25,1.0,2.1787180306080907,0.001331850988082135,0.23670668630835906,0.3119010087395432
0.2841,0.0208,0.1177,27,182.38557832887,0.0458,-62.98648047603,0.0455,6054366980614298368,0.2476,0.0588,-9.615,0.061,0.648,0.066,1.135,17.046696,0.002838,17.646923,0.006734,16.266617,0.004121,1.380306,,,1.281,1599.571,177.165,358.008,0.9,1.3713397483099883,0.019110332392413977,0.7740245609494762,0.2190423623728072
0.261,0.0098,0.1388,27,182.42662544988,0.0249,-62.9806114122,0.0257,6054366946254573056,0.3834,0.0324,-9.518,0.033,0.37,0.037,1.222,15.728726,0.002783,16.220314,0.003802,14.971274,0.006902,1.24904,,,1.307,2758.467,420.341,171.975,0.98,1.622638112734079,0.031325223771582436,1.5236222397845975,0.0409281473531891
