pmRApmDEcor,PlxpmRAcor,PlxpmDEcor,Nper,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,Source,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RUWE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BPRP,RVDR2,e_RVDR2,EBPRP,RFG,RFBP,RFRP,Pmemb,mass,er_mass,comp_mass,er_comp_mass,q,e_q,r,mass_system,e_mass_system,r/rh
-0.061,-0.2556,0.1029,23,219.02567141603,0.0163,-59.96967140064,0.0193,5878781536337638144,0.7537,0.0267,-7.403,0.025,-6.158,0.025,1.045,15.176704,0.002767,15.719297,0.003133,14.467204,0.002919,1.252093,,,1.249,4216.881,762.299,1265.175,1.0,1.3574231062106064,0.0111539063379943,0.8787436196416648,0.0580834179229429,0.6473616189537047,0.0431188405647101,0.1340068897319948,2.236166725852271,0.05914467908618656,0.07028797470094911
-0.0796,-0.238,0.0038,23,219.00139674443,0.0077,-59.96854193912,0.0091,5878781497659461632,0.6876,0.0127,-7.375,0.012,-6.017,0.012,0.959,12.720905,0.002765,13.508855,0.002921,11.849869,0.002859,1.658986,,,1.29,4768.488,1256.917,1735.868,1.0,2.033180008156356,0.005095591090132,1.3974000553361048,0.036390480982653,0.6872977551078899,0.0179810032558197,0.2121126434554611,3.4305800634924606,0.03674550523134309,0.11125523580739671
-0.0607,-0.2495,0.0272,23,219.01709131271,0.0118,-59.95818272589,0.0134,5878781605057123712,0.7222,0.0191,-7.314,0.018,-6.251,0.017,1.076,14.166152,0.002765,14.60781,0.002936,13.536016,0.003405,1.071794,,,1.235,4657.587,1188.633,556.443,1.0,1.6756329031585102,0.0070552255589849,0.6494432380467166,0.3520755203201663,0.3875808578493168,0.2101212851711021,0.35536356514100936,2.3250761412052268,0.3521462028993128,0.18639179915468765
-0.029,-0.262,0.0058,23,218.98930685827,0.0164,-59.96684441043,0.0187,5878781570697380480,0.7256,0.0267,-7.246,0.024,-5.945,0.024,0.977,15.188907,0.002766,15.742518,0.003234,14.472434,0.00291,1.270084,,,1.25,4414.562,663.922,1313.608,1.0,1.33692349030709,0.0131583472547835,0.952300545104883,0.0482861383826035,0.7123074371938372,0.0367914846531703,0.36177359816143595,2.289224035411973,0.05004691061775345,0.18975392657718854
-0.0505,-0.2306,-0.0215,23,219.04845796043,0.0105,-59.97398036735,0.0125,5878593863449624576,0.7192,0.0177,-7.321,0.016,-5.921,0.016,0.972,14.14922,0.002759,14.63794,0.002918,13.488343,0.002834,1.149597,,,1.236,7156.297,1269.289,2188.846,1.0,1.5120002143689868,0.0269554835840123,1.40394337513762,0.0368663588737286,0.9285338466195504,0.0294708181505878,0.3868431983581062,2.9159435895066066,0.04566975489155273,0.20290318649890254
-0.0432,-0.2722,0.0304,23,218.98391539153,0.0261,-59.97867979971,0.0285,5878781398898681856,0.6804,0.0409,-7.427,0.039,-6.255,0.037,0.997,16.118326,0.002784,16.762411,0.004484,15.301405,0.005274,1.461006,,,1.294,2708.901,309.332,242.578,0.99,1.099794200134582,0.0251187337994338,0.8881036229020437,0.0541617977978446,0.8075180090905792,0.0525874797380697,0.4209288301922045,1.9878978230366258,0.05970302444919706,0.22078144658547297
-0.0096,-0.2627,0.063,22,219.04066601763,0.0585,-59.98572349564,0.0611,5878593824768878592,0.6442,0.0888,-7.187,0.088,-6.331,0.082,0.999,17.506027,0.002951,18.270569,0.010297,16.645796,0.004806,1.624773,,,1.288,1028.458,109.543,277.458,0.99,0.9066910290361654,0.0014010431922745,0.0,0.1105180609415181,0.0,0.1218916448958378,0.4268012638284608,0.9066910290361654,0.11052694113337132,0.22386159767086627
0.0275,-0.295,-0.0319,23,219.02849635578,0.0685,-59.95535005125,0.0733,5878781532021199360,0.6142,0.1096,-7.118,0.102,-6.323,0.098,0.992,17.838665,0.002968,18.649996,0.011127,16.988329,0.005878,1.661667,,,1.265,985.14,100.795,209.853,0.99,0.8572283791273796,0.0016278200020477,0.0,0.0461272520917763,0.0,0.0538097585368461,0.4477025002970406,0.8572283791273796,0.04615596584946899,0.2348245084813493
-0.0271,-0.247,0.0546,23,219.01326582537,0.0284,-59.99411478288,0.0315,5878593721698572800,0.8017,0.0445,-7.364,0.042,-6.182,0.041,0.983,16.345936,0.002798,16.956133,0.004325,15.545058,0.003748,1.411075,,,1.294,2239.738,328.562,433.911,1.0,1.1153825503101995,0.0045048699421381,0.3165402459173851,0.2889808713839457,0.2837952286678252,0.2590893135857035,0.5167685693875247,1.4319227962275847,0.289015982047741,0.27105036318654147
-0.0324,-0.304,-0.0184,22,218.99168017314,0.0082,-59.99194867594,0.0099,5878781394580247808,0.708,0.0141,-7.314,0.013,-6.086,0.013,0.962,13.155283,0.002761,13.67336,0.002888,12.464842,0.002812,1.208518,,,1.245,5912.882,1460.381,3077.39,1.0,1.976083389565475,0.0059633546090844,0.373167074038617,0.4966252372464259,0.1888417644766871,0.2513186015603271,0.5527074819859894,2.349250463604092,0.4966610392090993,0.2899006878568065
-0.0739,-0.1248,-0.0509,23,219.00742013085,0.0117,-59.94984903327,0.0138,5878781605061862144,0.6635,0.0195,-7.369,0.018,-5.915,0.017,1.057,10.283011,0.002761,11.031551,0.002813,9.43525,0.002801,1.596301,-33.67,0.52,1.283,5904.84,3022.279,4477.974,1.0,2.1949013468040843,0.0003413079191243,1.5816482773551268,0.7162098893787806,0.7206010783391732,0.3263062062678882,0.5682760818600129,3.776549624159211,0.7162099707034668,0.29806657661269853
0.0359,-0.293,-0.033,22,219.06339073193,0.0983,-59.96271146608,0.1018,5878595336597881344,0.6736,0.1559,-7.387,0.145,-6.218,0.133,0.987,18.375113,0.003101,19.354048,0.025269,17.415134,0.009848,1.938913,,,1.313,763.114,43.231,114.954,1.0,0.7786363595235609,0.0065750923567199,0.2858890200541536,0.227563084098984,0.3671662857217276,0.2922749323012204,0.6178914042103455,1.0645253795777145,0.2276580529745009,0.324090317101819
-0.0306,-0.1346,-0.0055,23,218.99654508418,0.0129,-59.99646507544,0.0151,5878593726010668032,0.7172,0.0203,-7.324,0.019,-6.112,0.019,1.021,14.549704,0.002762,15.100481,0.00298,13.834205,0.002876,1.266276,,,1.25,5698.062,1036.465,1560.646,1.0,1.3825854609357002,0.0179662011907198,1.3222902380682553,0.0219634181514809,0.9563895147381064,0.0201695551135119,0.6217054828465935,2.7048756990039555,0.028375625493056927,0.3260908400840939
-0.0425,-0.1832,0.0823,23,219.02902865975,0.0087,-59.99798536531,0.011,5878593760370404864,0.7145,0.015,-7.511,0.013,-6.167,0.014,1.022,13.54033,0.002758,13.981576,0.002861,12.920546,0.002814,1.06103,,,1.228,8305.307,1716.07,2950.654,1.0,1.7554260252652352,0.0819781695965405,1.0658162440987484,0.7325731028497604,0.6071553165777576,0.4182813939545539,0.6271944363992648,2.8212422693639834,0.7371456920509845,0.3289698519708441
-0.0324,-0.2187,0.0367,23,219.07085118155,0.0088,-59.97356746372,0.0106,5878595272199277568,0.7066,0.0148,-7.328,0.013,-6.264,0.013,0.966,13.429146,0.002758,13.932201,0.002855,12.757358,0.002815,1.174844,,,1.238,8805.036,1800.756,2904.235,1.0,1.8943431431927955,0.0052770076550077,0.7514708373474969,0.3393852469773042,0.3966920354677349,0.1791606257161135,0.6575590984115621,2.6458139805402925,0.339426269866722,0.34489642559397377
0.0284,-0.2662,0.0578,22,219.07099355527,0.0513,-59.98115256294,0.0548,5878595267878385920,0.6112,0.0778,-7.29,0.074,-6.15,0.072,0.981,17.281738,0.002892,18.006552,0.010825,16.403013,0.007143,1.603539,,,1.318,1234.691,103.802,165.128,1.0,0.9430289465422316,0.0036842443818416,0.1790489733613389,0.2397484987271375,0.1898658296946779,0.2542334676833251,0.6889931139932183,1.1220779199035704,0.23977680517218794,0.361383886025086
-0.0053,-0.1472,-0.0551,23,219.06548429258,0.0389,-59.95723783387,0.047,5878595340918907008,0.67,0.0668,-6.998,0.059,-6.164,0.06,3.475,14.567916,0.002803,15.072777,0.003184,13.870663,0.002905,1.202114,,,1.256,2100.717,708.101,1345.1,0.99,1.4150316197346695,0.0302199197488342,1.2724999959094383,0.0450804032757917,0.8992731880776226,0.0371992809265143,0.7028443926578022,2.687531615644108,0.054272334657115964,0.36864902236471125
-0.013,-0.2478,0.1347,23,219.00455361265,0.0887,-59.94109380199,0.0912,5878781811195915008,0.8052,0.1304,-7.317,0.127,-6.027,0.119,0.999,18.19017,0.003072,19.050493,0.018347,17.309027,0.009428,1.741467,,,1.276,798.618,59.874,120.568,1.0,0.8090562777148947,0.0017944897284813,0.0,0.0237861706740806,0.0,0.0293998963103808,0.7831068694559601,0.8090562777148947,0.023853765084827106,0.4107475066285208
-0.0605,-0.1593,-0.0394,23,218.95657435454,0.011,-59.96033153312,0.0127,5878781669458152960,0.7115,0.0179,-7.282,0.017,-6.053,0.016,1.012,12.965046,0.002761,13.371511,0.002849,12.375908,0.002817,0.995603,,,1.223,6264.901,1886.223,2788.964,1.0,1.8397036868684096,0.0155572468731798,1.790494059310564,0.0190678793044367,0.973251329597751,0.0132348758125464,0.7887607543627546,3.6301977461789736,0.024609184290456033,0.4137130266856285
0.0291,-0.1733,-0.087,23,219.05780363305,0.0097,-59.94674542425,0.0113,5878783013806800000,0.7289,0.0164,-7.339,0.015,-6.204,0.014,1.236,13.342357,0.00277,14.103178,0.003053,12.484859,0.002879,1.61832,-38.41,1.45,1.287,3805.486,876.105,1532.825,1.0,2.015709783749493,0.0001092607528821,0.0,0.1255123405468939,0.0,0.0622670691776987,0.8057712974646831,2.015709783749493,0.12551238810361146,0.4226352293096051
0.0061,-0.2911,-0.0442,23,218.95164870948,0.0169,-59.98057083761,0.0194,5878781433258421504,0.7595,0.0277,-7.178,0.026,-6.168,0.025,1.024,15.195827,0.002766,15.697301,0.003254,14.51829,0.002932,1.179011,,,1.243,4492.449,648.793,1205.646,1.0,1.382773754789286,0.000898463299014,0.0,0.0588485526494054,0.0,0.0425583378666114,0.8095232254030778,1.382773754789286,0.058855410840716375,0.4246031536196244
0.0365,-0.1886,0.0174,23,219.08639712433,0.0087,-59.97526534556,0.0112,5878595272199273984,0.7057,0.0153,-7.273,0.013,-5.924,0.014,1.094,12.80408,0.00276,13.632721,0.002866,11.907822,0.002808,1.724899,,,1.299,6710.098,1655.635,3396.159,1.0,2.035902523394427,0.0065724991189406,0.8096645321931593,0.4946034629428393,0.3976931718927382,0.2429440328820961,0.8477820622388762,2.845567055587586,0.49464713008337274,0.44467030211460434
-0.0206,-0.1678,-0.0011,23,219.02660913449,0.0223,-60.00769238316,0.0275,5878593657291187072,0.6898,0.0373,-7.31,0.033,-6.006,0.036,0.956,15.915333,0.002779,16.544695,0.003972,15.135872,0.003729,1.408823,,,1.269,2974.08,384.075,438.829,1.0,1.1572913513962382,0.0167081966906884,0.8747110831601427,0.0470119466144757,0.755826164349046,0.0420624912082925,0.8526969337808393,2.032002434556381,0.049892754595602794,0.44724820215609334
-0.0667,-0.2038,-0.0222,23,218.95338280326,0.0078,-59.98872649639,0.0091,5878781428939985920,0.7077,0.0131,-7.403,0.012,-6.151,0.012,0.965,12.529247,0.002759,13.320673,0.002881,11.65521,0.002804,1.665463,,,1.291,8056.574,1514.766,3949.903,1.0,2.0855689310930763,0.0136896783005978,1.4639607944510802,0.0405099088379673,0.7019479301908269,0.0199629218056787,0.8575900754094414,3.5495297255441565,0.04276049585814317,0.4498147046373253
-0.0789,-0.1456,0.0226,23,219.02049955407,0.0077,-60.00856679945,0.0098,5878593657291186944,0.7158,0.0128,-7.231,0.011,-6.111,0.012,0.912,11.870486,0.002759,12.661871,0.002852,10.99672,0.002801,1.665151,-33.69,0.64,1.291,8033.892,1840.513,4394.275,1.0,2.156977617046916,0.0514089539868943,1.8313137644699613,0.1040740513652476,0.8490184367222058,0.052321369382469,0.8665303225464738,3.9882913815168775,0.11607880391183746,0.45450395506202146
0.0553,-0.1538,-0.0062,23,219.08873036073,0.0126,-59.96682213943,0.0151,5878595306559019008,0.678,0.0209,-7.172,0.019,-6.134,0.02,1.0,14.61496,0.003015,15.103851,0.005051,13.950027,0.004576,1.153824,,,1.239,887.413,257.857,299.357,1.0,1.5137117185535198,0.0107339676780158,0.963617342747647,0.0573974390284377,0.6365923781500914,0.0381861031023472,0.8862658210483325,2.477329061301167,0.05839250011033875,0.4648554244691804
0.0753,-0.2179,-0.0236,22,219.08115896369,0.0616,-59.95561059631,0.0645,5878595370957142528,0.7049,0.0952,-7.518,0.089,-5.757,0.084,1.022,17.624041,0.002897,18.450733,0.011078,16.75082,0.006165,1.699913,,,1.279,1214.326,101.277,197.478,0.8,0.8865288655680721,0.0036652983245878,0.2103804488171272,0.2379379339457818,0.2373080640553301,0.2683945588340955,0.8869625362383546,1.0969093143851993,0.23796616318753272,0.4652208586625116
-0.0271,-0.2588,0.0617,23,218.96927011732,0.0724,-60.00112124935,0.0778,5878781360222472192,0.6077,0.1115,-7.119,0.105,-6.167,0.1,0.997,17.983418,0.002953,18.975775,0.016913,16.978899,0.007133,1.996876,,,1.352,1021.014,65.089,165.398,1.0,0.7745137137151916,0.0191784366279134,0.6944025421687661,0.0340950731736952,0.8965658449581895,0.0493025551256246,0.8935162682382702,1.4689162558839577,0.039118875830096655,0.4686583576592284
-0.0384,-0.1503,-0.0647,23,219.01013197544,0.01,-60.01035409251,0.0127,5878593657291186688,0.7314,0.0175,-7.362,0.014,-6.039,0.016,1.024,13.886189,0.00276,14.318494,0.002894,13.273928,0.002968,1.044566,,,1.227,6735.583,1412.458,1072.108,1.0,1.7671862615796965,0.0007821881627272,0.0,0.0995272523234795,0.0,0.0563196163796065,0.9119582300746473,1.7671862615796965,0.0995303258981074,0.4783313539475801
-0.0496,-0.1792,0.0089,23,218.99480044276,0.0114,-60.00901703128,0.0138,5878593691650926080,0.7012,0.0189,-7.233,0.017,-6.05,0.018,0.983,14.423189,0.002762,14.878891,0.003104,13.782552,0.002904,1.096339,,,1.236,5767.336,798.19,1347.453,1.0,1.59831470156953,0.0062571958382277,0.6064131773687059,0.3324984306188136,0.3794078705358925,0.208035942756038,0.9152059137072321,2.204727878938236,0.3325573016244448,0.4800347969978616
-0.051,-0.1652,-0.0677,23,218.99433866353,0.0128,-60.01005369036,0.0157,5878593691650925824,0.6784,0.0216,-6.981,0.019,-6.131,0.02,1.014,14.642614,0.002987,15.101045,0.006197,13.990803,0.00442,1.110242,,,1.243,941.378,196.223,316.76,0.98,1.53994651864577,0.0014396393762039,0.0,0.1717648853808221,0.0,0.1115395134188635,0.9408651088304186,1.53994651864577,0.1717709184100163,0.49349330544673464
0.0043,-0.1904,-0.0007,23,219.01002376497,0.0281,-59.93401450628,0.0301,5878781811215961472,0.6938,0.0444,-7.301,0.041,-6.19,0.04,1.036,16.229929,0.002796,16.821918,0.005267,15.482416,0.004513,1.339502,,,1.258,2289.512,243.061,306.125,1.0,1.14047870440458,0.0010986023251279,0.0,0.0436053894628848,0.0,0.0382342864399649,0.9441937724928301,1.14047870440458,0.04361922646355207,0.49523922334513126
-0.0545,-0.2753,0.1249,22,218.97611587751,0.1227,-59.93951309121,0.1241,5878781845555664512,0.6905,0.182,-6.92,0.175,-6.361,0.161,1.072,18.652582,0.003255,19.460735,0.044597,17.818291,0.014782,1.642445,,,1.252,626.471,24.393,74.794,0.95,0.7504849785258552,0.0037836450308813,0.0,0.039399518254862,0.0,0.0524987433222884,0.9453140645276534,0.7504849785258552,0.039580778269696984,0.4958268278956049
0.1015,-0.2093,0.0129,22,219.09442876782,0.0479,-59.9652327528,0.0528,5878595306559019776,0.7904,0.0748,-7.335,0.069,-6.058,0.07,1.008,17.256853,0.002857,17.99217,0.007761,16.426352,0.005331,1.565819,,,1.273,1434.817,149.92,238.996,1.0,0.9457466139911463,0.001386150918976,0.0,0.0954355033697109,0.0,0.1009102247450439,0.9611404586874284,0.9457466139911463,0.09544556939848113,0.5041279323726526
-0.0914,-0.181,-0.0302,23,218.93742769796,0.0096,-59.96985902006,0.0113,5878781639416860416,0.7269,0.0156,-7.372,0.014,-6.046,0.014,0.934,12.959411,0.00276,13.485516,0.002855,12.265306,0.002805,1.220209,,,1.244,6514.15,1800.905,3778.777,1.0,1.9928118556318968,0.0060461974329329,1.3446263005812733,0.0775571793198929,0.674738208115943,0.0389722697180477,0.9628751027964206,3.33743815621317,0.07779249685834763,0.5050377708256742
-0.0365,-0.2265,0.0475,23,218.97852931119,0.0264,-60.00868125592,0.0295,5878593691650927360,0.6957,0.0409,-7.396,0.039,-6.09,0.038,1.006,16.201986,0.002786,16.771172,0.005583,15.440357,0.004109,1.330814,,,1.278,2634.13,224.532,359.886,1.0,1.148627845871525,0.0011475265749651,0.0,0.0629126677385492,0.0,0.0547720203412046,0.9831316888670805,1.148627845871525,0.06292313230618245,0.5156625559550779
-0.0364,-0.2633,0.0752,23,218.93537687071,0.0683,-59.97389903586,0.0721,5878781635100393600,0.7721,0.103,-7.403,0.098,-6.189,0.092,0.992,17.859829,0.002934,18.692614,0.014219,17.018387,0.007852,1.674227,,,1.25,1075.831,77.873,147.925,1.0,0.8528393736250761,0.0016020234711869,0.0,0.0359629804195052,0.0,0.0421685273120553,0.9852759055811592,0.8528393736250761,0.0359986449724979,0.516787219399278
-0.033,-0.1975,0.0474,23,218.97708707863,0.0221,-60.00867214965,0.0258,5878593691650927232,0.6945,0.0353,-7.205,0.033,-6.019,0.033,1.052,15.920486,0.002777,16.467207,0.005159,15.154665,0.006121,1.312542,,,1.291,3106.694,250.213,199.275,1.0,1.2121802994296298,0.0015614438549883,0.0,0.159588656521543,0.0,0.1316542238779451,0.9912629187634611,1.2121802994296298,0.15959629506120532,0.5199274686202955
