pmRApmDEcor,PlxpmRAcor,PlxpmDEcor,Nper,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,Source,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RUWE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BPRP,RVDR2,e_RVDR2,EBPRP,RFG,RFBP,RFRP,Pmemb,mass,er_mass,comp_mass,er_comp_mass
0.4735,-0.3448,-0.0637,15,264.46965096555,0.0739,-36.3111335751,0.0549,5962732960041589760,0.396,0.0797,-0.372,0.112,-2.166,0.072,1.106,16.57465,0.002883,17.362785,0.007685,15.700465,0.005411,1.66232,,,1.293,1279.11,151.616,234.218,0.9,1.7498674038537387,0.002315400352156,0.0,0.0964876905625132
0.3779,-0.3676,-0.0329,16,264.45771129144,0.0455,-36.30676266113,0.0336,5962732990011710336,0.4686,0.0499,-0.284,0.06,-2.477,0.04,0.95,15.946774,0.002805,16.749998,0.004876,15.045257,0.003483,1.704741,,,1.312,2073.117,271.514,521.004,0.91,1.78116697434651,0.0248659229066268,1.5558377884843566,0.0873008973845555
0.4277,-0.2293,-0.001,16,264.47264703471,0.0338,-36.31124903254,0.0248,5962732955651964544,0.4995,0.0349,-0.292,0.051,-2.185,0.033,0.914,15.185316,0.00279,15.759192,0.003289,14.446267,0.003141,1.312925,,,1.259,2466.144,623.673,753.028,0.86,2.974653516111605,0.0034855485177614,0.0,0.0
0.3369,-0.2173,0.0274,16,264.46982777535,0.0148,-36.31670475598,0.0111,5962732925681842816,0.4,0.0158,-0.418,0.02,-2.236,0.014,0.692,11.708724,0.002992,12.272465,0.004797,10.973979,0.004438,1.298486,,,1.26,929.925,278.232,314.591,0.93,8.86820454801433,0.0820927811592834,8.503936504374435,0.1406575006960129
0.2694,-0.3047,-0.0056,15,264.4626269959,0.0299,-36.29695580615,0.0226,5962733028761103360,0.4246,0.0324,-0.349,0.039,-2.31,0.027,0.98,15.027927,0.002795,15.643685,0.003915,14.191678,0.003058,1.452007,,,1.321,2320.29,395.35,867.971,1.0,2.8419009130059503,0.1077140589193805,1.7462864176652468,0.1679800046323557
0.5916,-0.0598,0.1181,14,264.45243384579,0.0225,-36.31440053202,0.0151,5962732994362587008,0.3997,0.0188,-0.322,0.027,-2.22,0.018,0.858,12.17864,0.002968,12.698272,0.0061,11.273275,0.033989,1.424996,,,1.418,984.026,200.141,32.052,0.63,8.343065906919385,0.1323903273624394,7.208372787622383,0.6178260736115
0.4026,-0.2465,0.102,16,264.46394490297,0.1341,-36.32058668318,0.0986,5962732921301263488,0.4585,0.1469,-0.598,0.192,-2.497,0.123,1.115,17.684519,0.003196,18.710428,0.031642,16.572435,0.012389,2.137993,,,1.454,670.418,34.447,89.944,0.96,1.3337962965125347,0.0239538931539678,0.8530668152959919,0.368085803046332
0.4887,-0.3419,-0.0371,12,264.45119275558,0.0696,-36.31405843427,0.0582,5962732994362600832,0.4348,0.0714,-0.509,0.102,-2.468,0.081,1.096,16.437357,0.003138,17.07221,0.055791,15.245073,0.070083,1.827137,,,1.666,722.925,19.485,15.505,0.99,1.691246716252512,0.0758975614249794,1.4096404199194972,0.1073750382352044
0.2502,-0.1999,0.0762,17,264.48122777585,0.0172,-36.31323436258,0.0133,5962686024633895552,0.4445,0.0185,-0.328,0.023,-2.369,0.016,0.96,13.561399,0.002799,14.120348,0.007533,12.79874,0.003811,1.321608,,,1.283,2201.533,155.176,418.349,1.0,4.375869607380232,0.1385366910287785,3.9375602680857047,0.1684728460160074
0.3577,-0.2704,0.1087,16,264.48297327415,0.0174,-36.30239894806,0.0131,5962733063120803584,0.4267,0.0196,-0.355,0.026,-2.281,0.017,0.861,10.755747,0.002811,11.228011,0.00305,10.100471,0.002906,1.127541,,,1.239,1954.684,881.235,1337.98,1.0,11.100388720672468,0.3238680107777524,9.738021016768265,0.6959300293797867
0.1862,-0.484,0.1546,14,264.47965642112,0.0515,-36.29776796618,0.0446,5962733063120813824,0.2549,0.0699,-0.024,0.073,-2.363,0.048,1.0,16.281624,0.002842,16.911894,0.013802,15.393825,0.00997,1.518069,,,1.359,1559.626,80.325,113.438,0.97,1.9314818784424572,0.006419698299847,0.0,0.178074073079238
0.3638,-0.2621,0.2217,16,264.48632333978,0.0195,-36.30559261738,0.0154,5962733058731200896,0.4239,0.0227,-0.177,0.027,-2.281,0.019,0.893,13.197126,0.002812,13.652993,0.003194,12.543693,0.003052,1.109301,,,1.245,1925.394,698.798,877.638,1.0,6.486348227907578,0.0071479524370176,0.0,0.0
0.553,-0.3441,-0.0617,15,264.45416426556,0.0958,-36.32246607148,0.0708,5962731448174265728,0.3429,0.1008,-0.319,0.145,-2.196,0.094,1.07,17.233313,0.002978,18.259169,0.015977,16.198288,0.008857,2.060881,,,1.374,959.908,69.015,129.166,0.95,1.3858662268023718,0.0185770857093422,1.067598896826279,0.2125795966063922
0.2587,-0.2302,0.0783,17,264.48410229376,0.0318,-36.3183702634,0.0247,5962686024633887104,0.4248,0.0345,-0.316,0.041,-2.372,0.029,0.99,15.384087,0.0028,16.023598,0.004599,14.541241,0.008814,1.482357,,,1.317,2167.666,296.984,129.856,1.0,2.339583105631844,0.1429488200307593,1.729369985676079,0.1472693600048857
0.3334,-0.2833,0.023,16,264.44654266539,0.0181,-36.29577849807,0.0136,5962733200559822848,0.4459,0.0196,-0.258,0.025,-2.245,0.017,0.987,13.540048,0.002783,14.11501,0.003169,12.793017,0.002993,1.321993,,,1.265,2764.042,722.345,1003.738,1.0,4.395198676305123,0.1423799001492054,3.954305824803256,0.1715076794121736
0.3176,-0.2694,0.0351,15,264.47717082659,0.015,-36.29053637412,0.0113,5962733127450694272,0.4213,0.0159,-0.414,0.02,-2.358,0.014,0.785,12.407407,0.002795,12.869414,0.003239,11.752119,0.003202,1.117295,,,1.244,2306.51,659.733,691.446,1.0,8.468267921820116,0.2031524594956244,0.5514610684394436,1.3914728812111608
0.321,-0.2709,-0.0218,15,264.44170953753,0.0175,-36.30081558788,0.0125,5962733200559820032,0.4094,0.0184,-0.368,0.023,-2.324,0.015,0.857,10.105423,0.002816,10.660392,0.003258,9.381585,0.003742,1.278807,,,1.255,1865.765,645.421,435.322,1.0,12.771334112589132,0.0416129381746411,2.411168506819182,3.718208004854896
0.2871,-0.3838,0.0807,16,264.44022892853,0.0681,-36.31350915381,0.0533,5962731516932617216,0.3171,0.0834,-0.079,0.092,-2.269,0.059,0.955,16.839933,0.002913,17.833126,0.014108,15.883346,0.006601,1.94978,,,1.306,1150.158,78.507,181.493,0.99,1.4550388972574624,0.0246663502981694,1.10523720123727,0.1141417353901587
0.3909,-0.2865,-0.0019,16,264.47076660414,0.0254,-36.3288425591,0.0194,5962685985889575680,0.3788,0.0258,-0.225,0.034,-2.261,0.025,1.086,14.434702,0.002789,15.04512,0.003722,13.651684,0.00312,1.393436,,,1.279,2530.023,440.848,777.841,0.99,3.187840376408933,0.2093089432949681,2.670648567267645,0.3719006230600267
-0.3809,-0.4663,0.1778,11,264.47568190894,0.118,-36.28744027625,0.0876,5962733127450698496,0.3837,0.1439,-0.527,0.179,-2.397,0.114,1.0,17.225782,0.003576,,,,,,,,,476.167,,,0.99,6.968489340173409,4.329797590582541,2.445041548115819,3.5924043418018274
0.3047,-0.2798,0.027,16,264.46074299407,0.0151,-36.28309494338,0.0115,5962733230529925888,0.4252,0.0165,-0.414,0.021,-2.292,0.014,0.806,12.623594,0.002796,13.121319,0.003321,11.946132,0.003224,1.175187,,,1.244,2274.765,602.577,672.4,1.0,7.956120244605694,0.003110329042827,0.0,0.0
0.2759,-0.239,0.0915,17,264.46616319919,0.0444,-36.33355973825,0.0342,5962685985889565824,0.4909,0.048,-0.399,0.057,-2.309,0.041,0.931,16.110172,0.002824,16.823662,0.005432,15.278549,0.003494,1.545113,,,1.281,1753.295,232.97,516.093,1.0,1.9667995478733105,0.0303844779868887,1.1649434965527938,0.1376686580455678
0.3063,-0.2866,0.0182,16,264.43828581198,0.0178,-36.29347591967,0.0129,5962733196168905984,0.3986,0.0192,-0.291,0.023,-2.352,0.015,0.72,11.106857,0.002832,11.608976,0.0031,10.428819,0.003088,1.180158,,,1.243,1655.821,804.21,820.608,1.0,10.817636990911431,0.1645633941873421,7.899616191959961,0.9137577246551482
0.2449,-0.1198,0.1831,17,264.48910871765,0.1632,-36.3268880101,0.1276,5962685955849372672,0.2419,0.1685,-0.123,0.191,-2.402,0.145,1.104,18.093176,0.003479,19.22879,0.024755,16.939491,0.011256,2.289299,,,1.473,510.973,44.141,99.568,0.96,1.245827367055137,0.0301040184804828,1.018272151847288,0.1376514653608407
0.2927,-0.1563,0.1551,17,264.48010893315,0.0196,-36.33345647834,0.0149,5962685990274128128,0.4227,0.0207,-0.367,0.024,-2.274,0.017,0.814,13.730444,0.002804,14.309392,0.003573,12.979895,0.003025,1.329497,,,1.266,2082.489,486.442,929.086,1.0,4.096878979748555,0.1417540721905606,3.6302891935692823,0.1674653231662425
0.263,-0.3151,0.0189,16,264.43084259908,0.0608,-36.29737720034,0.0488,5962731723052631808,0.364,0.0695,-0.35,0.081,-2.183,0.057,1.023,16.576765,0.002913,17.303825,0.012039,15.573769,0.01065,1.730057,,,1.431,1148.785,92.71,105.633,0.93,1.758967826031367,0.0100597298807679,0.4805787933031424,0.4844886567903551
0.273,-0.2094,-0.0044,16,264.43097663977,0.0146,-36.31916475168,0.0109,5962731512541726592,0.4095,0.0158,-0.549,0.019,-2.269,0.013,0.699,11.997464,0.002826,12.466134,0.003531,11.338506,0.003451,1.127628,,,1.243,1723.747,501.552,534.716,0.98,9.52633118212745,0.0037536345523113,0.0,0.0
0.4575,-0.3146,-0.0692,15,264.44512800752,0.0656,-36.33314193597,0.0483,5962731448213655296,0.3945,0.0729,-0.267,0.101,-2.116,0.061,1.041,16.510429,0.002917,17.37612,0.008387,15.558913,0.004475,1.817206,,,1.338,1134.763,137.275,310.366,0.62,1.685009451320882,0.0499557432671096,1.2714599433112292,0.0766473495322447
0.308,-0.3371,0.0396,15,264.43753944424,0.0588,-36.32811079819,0.0445,5962731482572854656,0.2741,0.0663,-0.421,0.073,-2.28,0.05,0.959,16.467804,0.002858,17.273308,0.007268,15.585971,0.006211,1.687337,,,1.294,1427.03,161.778,195.68,0.81,1.7739113827362447,0.0104367393661435,0.5562419885833048,0.4686938221640093
0.3552,-0.3152,0.0523,16,264.43283626137,0.1045,-36.32358820341,0.0807,5962731482534161792,0.355,0.1196,-0.22,0.138,-2.314,0.091,1.023,17.631212,0.003016,18.674564,0.036159,16.594488,0.013483,2.080076,,,1.371,885.373,30.116,82.305,0.99,1.3541332558996972,0.0133218719519895,0.4528778694766135,0.4542144018372748
0.3483,-0.2206,0.2287,15,264.43015093461,0.0919,-36.29402618105,0.0746,5962733269279326848,0.4629,0.1036,-0.219,0.102,-2.31,0.076,1.137,16.8769,0.00295,17.786102,0.012222,15.904253,0.00584,1.881849,,,1.345,1030.645,91.244,211.63,1.0,1.5302314796811836,0.0436014000656379,0.9633985574812968,0.1215765213337027
0.3094,-0.3242,0.0227,16,264.45112124503,0.0283,-36.27778430721,0.0221,5962733230529933312,0.4457,0.0316,-0.169,0.039,-2.267,0.027,1.051,14.921772,0.002804,15.473961,0.003846,14.153622,0.005051,1.320339,,,1.29,2079.512,410.187,257.863,1.0,3.2692166707881443,0.0037672181549688,0.0,0.1677727240746057
0.3412,-0.3881,0.1961,14,264.44018562061,0.115,-36.33474798047,0.0936,5962731409466344576,0.4999,0.1508,-0.209,0.161,-2.346,0.103,1.076,17.472162,0.003053,18.523287,0.022977,16.497295,0.008588,2.025991,,,1.309,825.781,47.606,133.68,0.99,1.377299863169511,0.0064564449480685,0.2597230165106836,0.3836660610987109
0.3435,-0.346,0.0202,16,264.42822944132,0.0762,-36.32350244351,0.0599,5962731482572877440,0.5215,0.0872,-0.43,0.101,-2.329,0.067,1.158,16.917906,0.002961,17.711731,0.016877,15.978076,0.007478,1.733655,,,1.349,1001.158,65.231,156.496,1.0,1.654669657022158,0.0040837341439489,0.0,0.0912127458154187
0.254,-0.3016,-0.0172,15,264.42758084081,0.0231,-36.32569399713,0.0177,5962731482572874368,0.461,0.0257,-0.383,0.03,-2.295,0.021,0.827,14.306461,0.002778,14.815874,0.003175,13.61997,0.002926,1.195904,,,1.246,3042.619,717.046,1234.459,1.0,4.168699892332436,0.0058187098314025,0.0,0.0
0.2197,-0.3666,0.0724,16,264.420894961,0.0483,-36.30514347509,0.0388,5962731787420871552,0.4984,0.0603,-0.113,0.066,-2.314,0.041,1.021,16.130955,0.002829,16.839399,0.00596,15.312405,0.003343,1.526995,,,1.272,1688.859,206.154,589.744,1.0,1.9741101859410048,0.0279162813803569,1.0648823532277851,0.2066126871333853
0.5475,-0.1503,0.1181,15,264.42546745046,0.1904,-36.29045044054,0.1326,5962733269240978176,0.3709,0.1984,-0.01,0.291,-2.439,0.174,1.073,18.37878,0.003376,19.375406,0.071387,17.36364,0.017467,2.011766,,,1.362,556.459,15.221,62.968,0.91,1.2559212880697983,0.0054734778315019,0.0,0.137623634767553
0.3565,-0.5033,-0.0869,13,264.49929793653,0.0316,-36.28169339768,0.0249,5962733093090973312,0.359,0.038,-0.181,0.047,-2.41,0.029,1.125,14.673285,0.002786,15.24378,0.003358,13.89201,0.003052,1.35177,,,1.293,2645.538,580.995,877.769,0.98,3.095796280054928,0.1488614013226707,2.2070035310077336,0.2760440856551929
0.4121,-0.2631,0.0428,16,264.49173843102,0.1132,-36.34000916429,0.0864,5962685917172725248,0.4416,0.1157,-0.388,0.147,-2.445,0.108,1.028,17.740585,0.003205,18.816433,0.023115,16.699654,0.015259,2.116779,,,1.367,663.49,47.317,72.373,0.99,1.3322890999611452,0.0191955817157789,0.607703056487737,0.4400713914085162
0.3307,-0.207,0.1202,17,264.48313010478,0.1403,-36.34402603027,0.1092,5962685921489383808,0.5212,0.1532,-0.221,0.181,-2.334,0.132,0.98,18.229784,0.00333,19.439543,0.066204,17.226767,0.011875,2.212776,,,1.298,580.586,16.414,94.061,0.99,1.2546521696661612,0.0262433871915185,0.4406008716769765,0.4226083832914084
0.2933,-0.2376,0.0909,17,264.47602084026,0.0564,-36.34584371607,0.0435,5962684444085885312,0.3753,0.0613,-0.282,0.073,-2.262,0.052,0.987,16.6145,0.00287,17.414059,0.008853,15.73494,0.004137,1.679119,,,1.294,1351.965,129.23,355.424,0.99,1.738320486478224,0.0023897086132658,0.0,0.0529843391950018
0.5739,-0.4189,-0.1638,16,264.51222130137,0.0847,-36.32265765611,0.0629,5962686058993575552,0.4118,0.0791,-0.465,0.115,-2.343,0.078,1.035,16.846567,0.002923,17.631233,0.011959,15.902089,0.005859,1.729144,,,1.357,1112.368,93.365,210.735,0.99,1.68170752181778,0.0029308933054036,0.0,0.0542630967174511
0.385,-0.295,-0.0052,16,264.48998409164,0.0396,-36.34316698448,0.03,5962685917170071424,0.3531,0.0403,-0.251,0.052,-2.376,0.037,1.235,15.365833,0.002797,16.148876,0.00385,14.471085,0.003334,1.677792,,,1.312,2250.271,409.378,594.885,0.99,2.348493796896188,0.0810284790660325,1.6793243036455694,0.1265358746014307
-0.5958,-0.3721,0.3971,12,264.46288268294,0.1542,-36.34849582059,0.1336,5962684512740340352,0.3523,0.169,-0.149,0.194,-2.253,0.147,1.154,16.818781,0.003462,17.607658,0.026456,15.368565,0.200035,2.239094,,,1.951,518.158,41.27,5.428,1.0,1.4496643543607974,0.0382375217583629,1.340796409105107,0.03375908928385
0.233,-0.2122,0.072,17,264.51592758053,0.0215,-36.29918842502,0.0171,5962686093353356544,0.483,0.0239,-0.216,0.028,-2.368,0.02,0.946,14.292431,0.002774,14.737609,0.003175,13.663713,0.002867,1.073896,,,1.232,3402.382,716.566,1649.232,1.0,4.199282947264756,0.0086238931091227,0.0,0.0
0.2614,-0.4126,0.0427,15,264.48120843713,0.026,-36.26807368493,0.0191,5962733166200085376,0.4492,0.03,-0.27,0.037,-2.25,0.023,0.966,14.616241,0.002776,15.137818,0.00315,13.914739,0.002903,1.22308,,,1.252,3174.138,743.168,1354.25,1.0,3.6780846083895127,0.0047754446866879,0.0,0.0
0.3324,-0.2957,0.0753,16,264.43868229962,0.1332,-36.27221189349,0.1011,5962733303639094016,0.3287,0.146,-0.011,0.173,-2.159,0.114,1.065,17.94919,0.003323,18.973709,0.023557,16.737473,0.01357,2.236237,,,1.567,584.555,46.417,81.758,0.96,1.2874371697694276,0.028540481957373,0.9623661711099046,0.2567118429431873
0.1734,-0.2715,0.1448,16,264.51426797902,0.0196,-36.2930109012,0.0152,5962686162072843264,0.3941,0.0222,-0.307,0.026,-2.34,0.018,0.976,13.789696,0.002775,14.269197,0.003067,13.129443,0.002924,1.139754,,,1.24,3322.532,852.59,1239.31,1.0,5.132679108790663,0.0062997185329886,0.0,0.0
0.377,-0.2909,0.0161,16,264.48032912484,0.0546,-36.34806730707,0.0421,5962685921489330944,0.3489,0.0558,-0.324,0.071,-2.363,0.051,1.028,16.302731,0.00286,16.963266,0.006649,15.149128,0.008803,1.814138,,,1.613,1416.79,179.89,130.039,0.99,1.6719243819396887,0.0516890823429513,1.5347783847475327,0.0808305310109627
0.4166,-0.2374,0.0574,16,264.50927665153,0.0583,-36.28399913649,0.0436,5962686540029978112,0.3515,0.0632,-0.241,0.078,-2.358,0.051,0.976,16.399431,0.002899,17.116383,0.005661,15.514196,0.006157,1.602186,,,1.326,1204.978,220.446,197.839,0.99,1.814311925492651,0.0025556405104516,0.0,0.1195190745117816
0.3469,-0.1917,0.093,16,264.44300992773,0.0722,-36.26748500886,0.0527,5962733299249427968,0.4568,0.0759,-0.193,0.098,-2.324,0.061,1.079,16.641758,0.00289,17.421858,0.00848,15.705107,0.004667,1.716751,,,1.351,1243.048,135.585,290.183,1.0,1.7364450267984828,0.0030684735050924,0.0,0.2092816886896744
0.2655,-0.3741,0.15,16,264.41327408092,0.0781,-36.29184469891,0.0643,5962731791772307456,0.4528,0.0971,-0.355,0.101,-2.216,0.069,1.117,16.786621,0.002933,17.56307,0.014413,15.744081,0.034558,1.81899,,,1.454,1079.087,76.781,31.521,0.99,1.6850589365480182,0.0191734149339003,0.8360112732499705,0.4179296719228527
0.3147,-0.3351,0.041,16,264.41211997555,0.055,-36.29398408233,0.0427,5962731791810604544,0.3878,0.0635,-0.106,0.073,-2.313,0.048,1.03,16.453415,0.002847,17.171232,0.00685,15.605799,0.004286,1.565434,,,1.293,1511.06,173.547,333.772,1.0,1.7951518230826673,0.0028255785559318,0.0,0.0
0.2444,-0.3701,0.0334,16,264.41174497826,0.025,-36.32395760583,0.018,5962731585652117504,0.4651,0.0287,-0.311,0.033,-2.317,0.021,1.001,14.444094,0.002779,14.974158,0.003394,13.729733,0.003027,1.244425,,,1.258,3025.919,561.609,924.45,1.0,3.941411681674682,0.0044924793086235,0.0,0.0
0.2942,-0.308,0.0108,16,264.41396925589,0.0736,-36.32877204795,0.0543,5962731585613479296,0.3925,0.0794,-0.256,0.096,-2.358,0.062,0.985,16.944666,0.002958,17.725464,0.009816,15.923517,0.022165,1.801947,,,1.431,1007.91,115.367,49.378,1.0,1.648075594376773,0.0295374060603015,0.1080816664892511,0.2694004785714158
