pmRApmDEcor,PlxpmRAcor,PlxpmDEcor,Nper,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,Source,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RUWE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BPRP,RVDR2,e_RVDR2,EBPRP,RFG,RFBP,RFRP,Pmemb,mass,er_mass,comp_mass,er_comp_mass,q,e_q
0.096,0.1147,-0.0135,24,147.27853342953,0.0307,-65.26375633522,0.0311,5249101191420682880,0.5606,0.0325,-6.955,0.042,3.944,0.042,1.019,15.992551,0.002808,16.387474,0.004012,15.431486,0.003316,0.955988,,,1.21,2000.782,376.62,605.956,1.0,1.15908947962161,0.0021181298883609,0.0,0.158502917427831,0.0,0.13674778368239096
0.1156,0.0427,-0.0328,24,147.29498708627,0.0218,-65.25897091193,0.023,5249102668889437312,0.5459,0.0227,-6.992,0.03,4.022,0.031,1.051,15.288533,0.002781,15.616024,0.003198,14.789401,0.003041,0.826623,,,1.203,2870.123,694.951,897.736,1.0,1.3283735207572611,0.00250761367526,0.1801395231801147,0.2650997101427457,0.1356090891343748,0.19956730851839888
0.0678,0.1088,-0.0523,23,147.29962987608,0.0212,-65.25896925417,0.0218,5249102595874231296,0.5494,0.0223,-6.991,0.03,4.08,0.03,1.018,15.244671,0.002773,15.567705,0.003309,14.739505,0.003512,0.8282,,,1.209,3476.949,610.358,508.884,1.0,1.3368209230181105,0.0062420139390908,0.4317201380374652,0.3171480466480976,0.3229453778018228,0.23724527911328405
0.0248,0.0753,0.031,23,147.27348000872,0.0466,-65.26873364102,0.0509,5249101187116028544,0.609,0.0498,-6.995,0.061,3.888,0.066,0.986,16.899641,0.002966,17.395937,0.008003,16.268311,0.00682,1.127626,,,1.212,989.114,144.752,174.472,0.98,0.9732024377443806,0.0008906693918046,0.0,0.042795125357237,0.0,0.04397350818029648
0.0231,0.0819,-0.0625,24,147.29090586403,0.0314,-65.25294963797,0.0328,5249102668889435648,0.5502,0.0328,-6.98,0.041,3.974,0.044,0.913,16.152466,0.002812,16.553734,0.003987,15.579355,0.003508,0.974379,,,1.215,1938.523,381.159,510.696,1.0,1.1215447475164115,0.0010422966189019,0.0,0.0893066494846399,0.0,0.07962825351587952
0.0331,0.0637,0.0078,24,147.31233453292,0.0125,-65.26261770245,0.0131,5249102600169965184,0.5423,0.0132,-6.929,0.017,4.044,0.018,1.074,13.872422,0.002792,14.049517,0.002987,13.573317,0.002867,0.4762,,,1.171,2413.414,1019.305,1644.746,1.0,1.784060682657186,0.0119407774805259,1.0797968605148969,0.0444797056197451,0.6052467110629016,0.025258679012385238
-0.0125,0.0805,-0.0311,23,147.31057037815,0.0178,-65.26583856752,0.0178,5249102600169964928,0.5383,0.0182,-7.022,0.023,4.021,0.024,0.959,14.79643,0.002773,15.075209,0.003245,14.354751,0.00292,0.720458,,,1.193,3513.866,655.112,1261.096,1.0,1.4668181669639473,0.0067212615336804,0.5869991401715018,0.2826785927477188,0.4001853490719205,0.19272422145765863
0.0419,0.0875,-0.0295,24,147.28855578063,0.0473,-65.27384881071,0.0504,5249101118398503680,0.5542,0.0494,-7.095,0.062,4.001,0.068,0.986,16.967121,0.002905,17.355717,0.015101,16.250731,0.007984,1.104986,,,1.321,1180.147,73.158,145.131,0.99,0.9727315289506978,0.0016174673712025,0.0,0.0407814165664578,0.0,0.04192463732562408
0.0016,0.1117,-0.0123,23,147.28091681202,0.0148,-65.27507929815,0.0156,5249101118396028800,0.5479,0.0161,-6.999,0.02,4.071,0.021,0.935,11.512542,0.00277,11.59232,0.002839,11.345634,0.002818,0.246686,,,1.165,3759.768,2074.673,2754.179,1.0,3.2985480212788003,0.0228596235350883,1.7050357139260912,0.1754659552579542,0.5169049239019637,0.05331538903825693
-0.0548,-0.0025,0.0435,24,147.29893281487,0.0124,-65.24892429655,0.0131,5249102668889438720,0.555,0.0133,-6.877,0.017,4.059,0.018,0.901,11.927801,0.002771,11.983523,0.0029,11.808854,0.002829,0.174669,,,1.159,3691.533,1374.645,2326.144,1.0,3.109608900855509,0.0009651642615775,0.0,0.0485044793085676,0.0,0.015598257161928995
