pmRApmDEcor,PlxpmRAcor,PlxpmDEcor,Nper,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,Source,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RUWE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BPRP,RVDR2,e_RVDR2,EBPRP,RFG,RFBP,RFRP,Pmemb,mass,er_mass,comp_mass,er_comp_mass
-0.1408,-0.1519,0.2051,26,354.49531902161,0.1382,60.55543480864,0.1289,2012231352574977024,0.223,0.1694,-3.838,0.173,-1.654,0.162,1.045,18.88125,0.003381,20.037256,0.0416,17.858089,0.011072,2.179167,,,1.33,554.234,26.158,101.333,0.9,1.2115297941858996,0.035692703274220486,0.33309110700951633,0.38147424454970014
-0.1905,-0.1634,0.0881,27,354.5155871748,0.0172,60.55553136991,0.0159,2012231146420947840,0.3319,0.021,-3.873,0.022,-1.734,0.02,1.175,14.816669,0.002772,15.553957,0.003273,13.952478,0.002932,1.601479,,,1.301,3576.104,634.252,1203.82,0.98,3.713573952213065,0.18838038304474608,2.472245236395166,0.6475264832600722
-0.1461,-0.134,0.152,27,354.51085182905,0.0535,60.57405220336,0.0528,2012231421298843392,0.3443,0.0677,-3.892,0.074,-1.717,0.068,1.05,17.456568,0.002866,18.328451,0.013616,16.485741,0.004983,1.84271,,,1.354,1377.21,81.47,262.955,0.96,1.709269759999723,0.033509040186131135,1.0415742636674248,0.09116102860914496
-0.2028,-0.1625,0.1786,27,354.47074791064,0.1009,60.57534009259,0.1022,2012233993979798144,0.216,0.1285,-3.647,0.136,-1.939,0.129,1.041,18.518478,0.003126,19.578653,0.029955,17.518816,0.013189,2.059837,,,1.33,735.01,36.404,84.226,0.91,1.323308703065703,0.02587896177517704,0.22673594145158943,0.3483756118482921
-0.2121,-0.2202,0.0889,27,354.51721138656,0.0146,60.54917638475,0.0139,2012231142121451648,0.277,0.0181,-3.861,0.019,-1.68,0.017,0.967,14.770768,0.002767,15.458691,0.003444,13.939576,0.002942,1.519114,,,1.29,4268.46,537.929,1165.06,0.98,4.013363268306584,0.0022571572306030853,0.0,0.16048315285771764
-0.2503,-0.1595,0.1409,26,354.50483486904,0.13,60.54287073579,0.1238,2012231073403701376,0.3305,0.1602,-3.539,0.165,-1.952,0.158,1.011,18.840742,0.003303,19.910042,0.031436,17.827484,0.01686,2.082558,,,1.341,595.806,34.675,65.297,0.87,1.2395331861429135,0.018980942704550963,0.15176163486414138,0.267736543035653
-0.2276,-0.1704,0.0834,27,354.53434617641,0.0557,60.57231743644,0.0577,2012231382639668736,0.2214,0.0713,-3.799,0.074,-1.688,0.07,1.032,17.551634,0.002899,18.532608,0.015061,16.560518,0.005948,1.97209,,,1.343,1203.926,73.359,206.692,0.96,1.4839514963698608,0.051395675024397736,1.3086371626075866,0.06478006423949191
-0.1942,-0.1985,0.0999,27,354.49978933526,0.0144,60.53929544151,0.0139,2012231077701007488,0.3221,0.018,-3.792,0.018,-1.717,0.017,1.062,14.780189,0.002773,15.520748,0.00306,13.915511,0.002927,1.605237,,,1.3,3475.11,863.48,1229.035,0.99,3.725790500106187,0.19087021984544997,2.5397534957292334,0.6925640390501372
-0.1994,-0.2246,0.1051,26,354.5333138878,0.0329,60.54871563224,0.0309,2012231112061216896,0.3503,0.0406,-3.867,0.043,-1.729,0.038,1.015,16.457813,0.002801,17.26383,0.004954,15.55694,0.003563,1.70689,,,1.31,2166.818,265.246,490.032,0.97,2.2183274270679565,0.13234296710520094,1.6167336338188136,0.1954593030080012
-0.1915,-0.1737,0.112,26,354.51637675226,0.0321,60.54148691256,0.0302,2012231077701480448,0.2848,0.0397,-4.115,0.04,-1.44,0.038,1.039,16.365549,0.002809,17.158907,0.006266,15.475745,0.003516,1.683162,,,1.305,1990.075,193.506,507.43,0.84,2.317024020805296,0.14965308657114978,1.6145471806934315,0.23328947443507117
-0.1778,-0.1773,0.1313,27,354.49142265133,0.0289,60.537932567,0.0279,2012230699743885056,0.3243,0.0361,-3.731,0.037,-1.76,0.035,1.029,16.313459,0.002792,17.094027,0.004507,15.4256,0.003501,1.668427,,,1.307,2416.673,306.762,513.448,0.98,2.3470698730377104,0.17571559149315855,1.652408342126448,0.28635679056609165
-0.2063,-0.1678,0.1183,26,354.51903721042,0.0342,60.54096752662,0.0323,2012231077701481216,0.2722,0.0423,-3.823,0.043,-1.752,0.041,0.979,16.57077,0.002796,17.367111,0.006345,15.667789,0.003392,1.699323,,,1.315,2288.669,190.518,562.751,0.98,2.194074413031926,0.15563882465721227,1.4620219781850365,0.23782626264032977
-0.1462,-0.1629,0.2028,25,354.45338020655,0.0895,60.57885273089,0.0886,2012234028339546752,0.4122,0.1134,-3.879,0.118,-1.631,0.109,0.986,18.34347,0.003065,19.245117,0.025367,17.360088,0.011855,1.885029,,,1.357,808.527,43.062,94.23,0.92,1.390864589050208,0.0047401417833973,0.0,0.15921822335381045
-0.1306,-0.2472,0.0764,27,354.49625988446,0.0246,60.53502059752,0.024,2012230699738804480,0.2658,0.0312,-3.789,0.032,-1.692,0.029,0.958,15.953259,0.002784,16.68149,0.003943,15.096097,0.003326,1.585393,,,1.298,2705.775,389.721,599.974,0.98,2.9957784232995324,0.005136418783144605,0.0,0.20449328136172093
-0.19,-0.1498,0.1274,28,354.49743092081,0.0877,60.59346241008,0.0839,2012234440656435584,0.4274,0.1071,-3.745,0.111,-1.838,0.106,1.008,18.284227,0.003046,19.249233,0.021671,17.333017,0.009997,1.916216,,,1.309,836.506,50.521,113.104,0.9,1.406133186380021,0.004808502375833292,0.0,0.15225560217860423
-0.2231,-0.2456,0.2104,27,354.43311945873,0.1279,60.57055287096,0.1238,2012234028339532672,0.2401,0.1629,-3.773,0.175,-1.794,0.158,1.096,18.826725,0.003359,19.946974,0.05269,17.810913,0.021356,2.136061,,,1.331,565.275,20.635,51.279,0.92,1.236580157638959,0.026395961013585417,0.2723139687051212,0.3257208480526555
