pmRApmDEcor,PlxpmRAcor,PlxpmDEcor,Nper,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,Source,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RUWE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BPRP,RVDR2,e_RVDR2,EBPRP,RFG,RFBP,RFRP,Pmemb,mass,er_mass,comp_mass,er_comp_mass,q,e_q
-0.0892,0.1342,0.1756,21,44.77862329063,0.059,60.5657192331,0.0696,464626096052258432,0.4714,0.1045,-0.127,0.101,0.308,0.098,0.989,17.699928,0.003048,18.667477,0.020049,16.732672,0.007383,1.934805,,,1.323,832.674,54.687,158.844,0.71,1.1203488237656127,0.0273269923331915,0.7460792965687559,0.1631175802979845,0.6659348238177314,0.14649862191564106
-0.0839,0.0848,0.1535,20,44.78243784547,0.0978,60.56632945804,0.1179,464626091752463360,0.4464,0.1753,0.015,0.163,0.108,0.167,0.936,18.578262,0.003629,19.876665,0.054432,17.481823,0.011356,2.394842,,,1.375,459.585,19.973,98.629,0.69,0.8804983929980454,0.0433170556744715,0.7301946613988052,0.0532313922227336,0.8292969836237124,0.07293431459625864
-0.1171,0.0341,0.2011,20,44.78327687535,0.0769,60.5703766039,0.0941,464626096055621888,0.4784,0.1383,0.089,0.131,-0.114,0.13,1.024,18.099215,0.003583,19.338547,0.027599,16.982758,0.008456,2.355789,,,1.409,474.048,39.542,136.022,0.6,0.9770644605389278,0.0287190526729912,0.8557257910838887,0.0560944881843649,0.8758130355205926,0.06291860302473755
-0.0119,0.1717,0.0994,20,44.78354724757,0.0973,60.55116044789,0.1139,464626057391934464,0.56,0.1636,-0.127,0.163,0.071,0.166,0.977,18.409214,0.003092,19.240425,0.028749,17.519676,0.01198,1.720749,,,1.292,774.155,37.946,93.192,0.82,1.033570713671282,0.0074826074608519,0.0,0.0287300666020862,0.0,0.02779690467431679
-0.1105,0.0815,0.1687,22,44.77041292464,0.017,60.57287084233,0.0201,464626851966501120,0.4717,0.0295,-0.338,0.029,-0.016,0.028,1.079,15.255404,0.002771,15.897269,0.003204,14.460457,0.00298,1.436812,,,1.277,3727.298,689.663,1037.828,0.97,1.5072242342288789,0.0673759927110296,1.3767401374580084,0.0167982240529231,0.913427548597221,0.042325786485738086
-0.1331,0.0592,0.154,21,44.81257249722,0.0195,60.56416642123,0.024,466127238658536320,0.4761,0.0347,-0.547,0.033,-0.066,0.035,2.399,12.575971,0.002788,12.89555,0.002894,12.041366,0.002859,0.854184,,,1.229,2543.261,1410.852,1742.509,0.73,4.122259188567219,0.1219412118927916,3.760692616205209,0.1451085169131011,0.9122892191338214,0.04435538818228538
-0.0628,0.1512,0.1948,22,44.79037901486,0.0502,60.54611775546,0.0628,464625992973049472,0.5434,0.0895,-0.216,0.083,0.285,0.088,1.116,17.316328,0.003182,18.277702,0.010464,16.344034,0.005936,1.933668,,,1.33,682.221,107.659,207.205,0.84,1.152619948612466,0.0289950940367267,0.9831218182997788,0.081378328354479,0.8529453437651062,0.07379129026610538
-0.0216,0.0747,0.1792,23,44.75433304168,0.0693,60.54798201195,0.0876,464625954312700032,0.3835,0.1235,-0.453,0.113,0.071,0.123,1.071,18.068171,0.002949,18.905376,0.016672,17.185068,0.010341,1.720308,,,1.285,1034.182,66.053,109.033,0.79,1.0971055901710516,0.0050892592351569,0.0,0.0389399773396259,0.0,0.035493372459759955
-0.08,0.0616,0.1754,21,44.82024094861,0.1212,60.57148378329,0.1502,466127234360003200,0.4282,0.2146,-0.247,0.208,-0.163,0.214,0.968,18.888979,0.003568,20.193722,0.060409,17.769138,0.011357,2.424583,,,1.399,478.979,17.992,98.627,0.68,0.8400900852131648,0.0350711363077348,0.6224956315998383,0.107051240920229,0.7409867614874732,0.13112922453265197
0.0445,0.0642,0.1372,22,44.77447358476,0.0915,60.53829564188,0.1188,464625988672398592,0.4081,0.1656,-0.3,0.153,0.221,0.18,0.91,18.591005,0.004342,19.980816,0.038523,17.423574,0.013592,2.557241,,,1.435,323.506,28.258,81.62,0.77,0.8730673664626271,0.0413925809352562,0.7324921050379843,0.0470771018228553,0.8389869249217206,0.067005393089448
