pmRApmDEcor,PlxpmRAcor,PlxpmDEcor,Nper,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,Source,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RUWE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BPRP,RVDR2,e_RVDR2,EBPRP,RFG,RFBP,RFRP,Pmemb,mass,er_mass,comp_mass,er_comp_mass,q,e_q,r,mass_system,e_mass_system,r/rh
-0.0835,0.1595,0.1339,18,81.00348053015,0.0146,42.31174104463,0.0092,195052473713222400,0.2433,0.017,-0.001,0.02,-0.41,0.016,0.96,13.927152,0.002776,14.214164,0.002982,13.460683,0.002929,0.753481,,,1.204,3205.689,1031.887,1216.384,1.0,4.742178880205483,0.1894274243449787,3.832686334619713,0.3170246601975394,0.8082120964727588,0.074239310466334,0.1587064942499706,8.574865214825195,0.36930662635178635,0.08042379299161839
-0.1672,0.1777,0.1501,18,81.00359767653,0.0497,42.30818323589,0.03,195052469418123904,0.1923,0.0523,0.085,0.061,-0.429,0.045,1.074,16.195154,0.002792,16.594675,0.00623,15.591077,0.003692,1.003598,,,1.236,2395.159,194.927,448.94,1.0,2.144093682501467,0.0787674558727403,1.528961588924017,0.098341307388831,0.7131039102452887,0.0528204461362931,0.21305191964288567,3.673055271425484,0.12599732077948578,0.10796308974501544
0.012,0.1521,0.1072,18,80.99539908372,0.1169,42.31516046223,0.0738,195052679867876992,0.2006,0.1362,0.009,0.167,-0.142,0.12,1.012,18.215849,0.003007,18.733944,0.01966,17.39934,0.00974,1.334604,,,1.343,901.983,55.79,116.349,0.97,1.2890238554000262,0.0242325005366264,0.1816906400870551,0.3281724292385167,0.1409521160728794,0.2546036695124251,0.44391559251596535,1.4707144954870812,0.3290658860996789,0.22495220429999657
-0.0778,0.1868,0.1322,18,81.00803943277,0.0684,42.31403617527,0.044,195052473713219712,0.2035,0.079,-0.097,0.094,-0.352,0.069,0.993,17.292253,0.002855,17.79454,0.007123,16.64476,0.004983,1.14978,,,1.221,1449.927,165.676,262.973,1.0,1.5624044568165276,0.0214773972947827,0.9682146204662082,0.0756728514299493,0.6196952499988325,0.0491770090733431,0.44855043650374615,2.530619077282736,0.07866167451877133,0.2273008903772949
-0.2127,0.2762,0.0001,17,80.99386274651,0.0259,42.31536713671,0.0158,195052679871654400,0.2215,0.026,0.016,0.036,-0.326,0.025,1.013,14.954983,0.002783,15.240496,0.00327,14.486837,0.003051,0.753658,,,1.205,2794.457,636.439,880.305,1.0,3.9492233179063816,0.0040411975818393,0.0,0.0,0.0,0.0,0.5108999738001642,3.9492233179063816,0.0040411975818393,0.25889623437596204
-0.1418,0.2361,0.1011,17,80.99244472297,0.0612,42.3144572658,0.0385,195052679871655040,0.1844,0.0668,-0.161,0.083,-0.339,0.059,0.992,16.964619,0.002822,17.367119,0.005688,16.352898,0.004382,1.014221,,,1.24,1774.057,219.032,321.284,0.99,1.7914810863722537,0.0302951374584989,0.808722469695343,0.3150885382215043,0.4514267417318955,0.1760471806348862,0.5307074914109141,2.600203556067597,0.3165415964327496,0.2689336036942947
-0.1554,0.2477,0.0933,17,80.99124407413,0.0525,42.31381633433,0.0324,195052679871655168,0.1441,0.0563,-0.024,0.07,-0.374,0.05,0.997,16.627289,0.002812,17.001709,0.004603,16.053743,0.004667,0.947966,,,1.228,1938.659,296.615,290.18,1.0,2.046667040278856,0.0357037508400452,0.7765861456574248,0.3951340873194171,0.3794394155835019,0.1931756616457993,0.5644674044365047,2.823253185936281,0.3967438780697149,0.2860412858305324
-0.1187,0.2563,0.117,16,81.00796538063,0.0242,42.30440207754,0.0144,195052400697800448,0.1856,0.0279,0.102,0.032,-0.479,0.024,1.18,14.644435,0.002785,14.88758,0.006768,14.030382,0.014968,0.857198,,,1.321,2686.41,176.08,73.83,1.0,3.621272803048425,0.1295620875373206,3.2191965698744904,0.1635703031963532,0.8889682564551716,0.0552436194391085,0.5664796508940187,6.840469372922915,0.2086661894384791,0.2870609825563156
0.006,0.2634,0.2021,16,81.0128454293,0.0692,42.30792044735,0.042,195052404993744384,0.191,0.0866,0.036,0.097,-0.304,0.07,0.943,17.270992,0.002857,17.670441,0.007904,16.690096,0.004735,0.980345,,,1.221,1434.038,146.815,283.822,1.0,1.6527288406536258,0.004083145165957,0.0,0.0561343808543074,0.0,0.0339646646645962,0.6490762461555973,1.6527288406536258,0.056282686399484444,0.32891643094563644
-0.0868,0.1797,0.1033,18,80.99217054653,0.0125,42.31722708112,0.0081,195052679871654272,0.2265,0.0144,-0.003,0.018,-0.385,0.013,1.044,13.497284,0.002799,13.76519,0.003166,13.050591,0.003088,0.714599,,,1.202,2195.298,725.866,821.257,1.0,6.127300421258614,0.0545410018619964,0.3149636855191979,0.8234880882488033,0.0514033365209961,0.1343973371746843,0.6669872222157118,6.442264106777811,0.8252922829954119,0.3379927364726659
