pmRApmDEcor,PlxpmRAcor,PlxpmDEcor,Nper,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,Source,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RUWE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BPRP,RVDR2,e_RVDR2,EBPRP,RFG,RFBP,RFRP,Pmemb,mass,er_mass,comp_mass,er_comp_mass
0.0371,0.1781,0.0802,26,118.0254785766,0.0604,-28.12765358334,0.079,5600680406738347520,0.1286,0.0984,-2.059,0.085,2.744,0.111,0.972,18.083355,0.002958,18.698389,0.013684,17.300825,0.009505,1.397564,,,1.277,1010.001,81.046,119.488,0.85,1.1891042415022803,0.03392237656319393,0.6059708726639408,0.3471958401992459
0.0729,0.2006,-0.0733,27,118.03158529366,0.0576,-28.13034391698,0.0762,5600679655130347520,0.2767,0.094,-2.089,0.081,2.981,0.099,0.996,17.960703,0.002923,18.544827,0.013518,17.250481,0.006942,1.294346,,,1.233,1112.017,82.086,170.791,0.97,1.2486849652129925,0.0037357985654601134,0.0,0.1438097282797228
0.0238,0.2021,0.0552,26,118.02049020975,0.0776,-28.12959659313,0.1008,5600680376684857344,0.2413,0.1263,-1.936,0.111,2.966,0.139,1.044,18.467043,0.003083,19.116447,0.023105,17.688395,0.010514,1.428053,,,1.261,784.477,47.338,107.103,0.95,1.1191332747357965,0.01750720476016363,0.24334563190749992,0.3279842960094843
0.0543,0.1761,0.1102,26,118.03045805427,0.0597,-28.12013436387,0.08,5600680411044588288,0.2643,0.0982,-2.185,0.084,3.056,0.114,0.974,18.068007,0.002979,18.735367,0.014128,17.287611,0.007078,1.447756,,,1.256,958.573,78.395,166.922,0.81,1.1398323387549325,0.03668180172159851,0.9132356526298864,0.08384311585746018
0.0424,0.2519,0.0366,27,118.03345944035,0.0182,-28.13406128465,0.0232,5600679655130347904,0.2506,0.0293,-2.038,0.026,2.937,0.031,0.984,15.777427,0.002776,16.072258,0.00346,15.308447,0.00316,0.763811,,,1.201,3245.544,530.463,732.408,1.0,2.1956142120120905,0.0027905022792960752,0.0,0.0
0.0542,0.2102,0.0011,27,118.0204280335,0.0319,-28.12232688491,0.042,5600680411044594048,0.207,0.0518,-1.941,0.045,2.933,0.054,1.006,16.923447,0.002821,17.383839,0.005475,16.285261,0.004272,1.098577,,,1.232,1794.536,230.464,335.657,0.99,1.5748692099445267,0.00820690867922661,0.2712323907397611,0.3566782302483239
0.0484,0.1978,0.0273,27,118.01800626649,0.0279,-28.12289384952,0.0363,5600680411044595072,0.2956,0.0449,-1.983,0.039,2.874,0.048,0.98,16.689573,0.002804,17.063713,0.004241,16.137768,0.004327,0.925945,,,1.214,2092.791,339.93,328.35,0.99,1.6796287639005525,0.002799122567986481,0.0,0.0
0.0001,0.1837,0.0578,27,118.03544558986,0.0163,-28.11976425752,0.0215,5600680789001707904,0.2835,0.027,-2.03,0.023,3.006,0.028,1.069,15.484136,0.002773,15.797368,0.003088,14.994646,0.003039,0.802722,,,1.204,3497.378,820.869,902.4,0.99,2.3857335196551204,0.010305325536472737,0.19129637762224014,0.3808706960073882
0.0899,0.221,0.0008,26,118.03553737998,0.0121,-28.13577163403,0.0158,5600679655130347008,0.2677,0.0197,-2.041,0.018,2.947,0.021,1.003,14.830028,0.002766,15.10849,0.003085,14.378021,0.002937,0.730469,,,1.199,4413.732,825.595,1185.116,1.0,2.826813278997993,0.001884316847883944,0.0,0.0
0.0278,0.206,0.0023,27,118.01567888542,0.0288,-28.12398283726,0.0368,5600680376684857984,0.213,0.0461,-1.976,0.04,3.082,0.048,1.003,16.71843,0.002803,17.098764,0.004918,16.16296,0.00415,0.935804,,,1.213,2108.649,268.105,353.396,0.98,1.6660578658514313,0.002694205887822803,0.0,0.0
0.0747,0.2228,-0.0328,26,118.03032776253,0.0435,-28.13974135395,0.0536,5600679620770612224,0.2179,0.0686,-2.102,0.062,3.005,0.073,0.997,17.452717,0.002867,17.978209,0.012268,16.723324,0.00597,1.254885,,,1.271,1367.825,90.883,205.716,0.97,1.3891439872985305,0.015889953913709728,0.2962595098914107,0.367682281007308
-0.0085,0.1592,0.0942,26,118.04209096182,0.0875,-28.12464722247,0.1141,5600680028781230976,0.2032,0.144,-1.864,0.123,2.886,0.156,1.047,18.568008,0.003115,19.244997,0.027902,17.783262,0.009378,1.461735,,,1.256,747.328,39.108,121.266,0.89,1.0933689347173354,0.0195086488304614,0.3239132376526049,0.34458038199792895
0.0541,0.1929,-0.006,28,118.01012592901,0.0431,-28.12037041145,0.0548,5600680445404336000,0.2863,0.0683,-2.078,0.061,3.026,0.073,0.969,17.509655,0.002859,18.067841,0.008072,16.799816,0.004756,1.268024,,,1.243,1422.872,143.344,281.86,0.97,1.3695303448012353,0.011145775972544576,0.25932777218205,0.3435539770848853
-0.0255,0.2415,0.0381,26,118.01176836389,0.06,-28.11717526504,0.0755,5600680475457841408,0.1409,0.0976,-1.965,0.087,2.85,0.105,1.004,17.999004,0.002918,18.576021,0.012735,17.281244,0.007158,1.294777,,,1.242,1130.847,87.377,164.697,0.94,1.2411553184478357,0.0027126870861450565,0.0,0.1178216822027745
0.0117,0.2333,0.0404,28,118.04205746374,0.0283,-28.14011302338,0.0373,5600679586410868480,0.2329,0.0454,-2.03,0.041,2.982,0.049,1.014,16.651209,0.002804,17.104073,0.004622,16.019815,0.003695,1.084257,,,1.231,2092.484,294.62,448.248,0.99,1.628127795656722,0.01652218130825909,1.0482028102431544,0.053354058333376315
