pmRApmDEcor,PlxpmRAcor,PlxpmDEcor,Nper,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,Source,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RUWE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BPRP,RVDR2,e_RVDR2,EBPRP,RFG,RFBP,RFRP,Pmemb,mass,er_mass,comp_mass,er_comp_mass
-0.2314,0.1795,0.2551,18,76.78305030782,0.064,30.83912680487,0.0376,157206557631780224,0.2842,0.071,0.696,0.087,-0.839,0.057,0.983,16.719383,0.002833,17.15217,0.005593,16.105972,0.005321,1.046198,,,1.227,1643.409,223.997,239.616,0.92,1.5195730875441302,0.0481347370138509,1.251961070764793,0.1187831783289391
-0.2392,0.0952,0.2498,17,76.78415160344,0.0213,30.84828469537,0.0125,157206561928939520,0.2162,0.0241,0.708,0.03,-0.729,0.018,0.925,14.244752,0.002764,15.143892,0.003125,13.309993,0.00287,1.833899,,,1.312,4838.67,771.054,1617.578,1.0,1.9216626089135884,0.0507428656583415,0.1871546327366985,0.4479385621988203
-0.2821,0.166,0.2549,17,76.7913659664,0.0887,30.84023656518,0.0508,156455934787931520,0.184,0.0996,0.524,0.127,-0.78,0.076,1.0,17.284468,0.002922,17.788204,0.006869,16.606356,0.005807,1.181849,,,1.242,1114.466,172.971,213.197,0.95,1.3244904630305652,0.0300824557425994,1.213951581288846,0.0436975368938143
-0.2558,0.0894,0.2668,17,76.77910800183,0.0332,30.8514613459,0.0194,157206630648416384,0.2492,0.037,0.681,0.048,-0.686,0.029,1.082,15.259629,0.002774,16.09057,0.003904,14.359687,0.002973,1.730884,,,1.302,3377.15,397.537,1058.642,0.99,1.8564412606142628,0.0412760693570396,0.148903587420477,0.3654189113865915
-0.1851,0.2133,0.2409,18,76.78264447333,0.1095,30.83344331057,0.0633,157206527567661184,0.2588,0.12,0.685,0.147,-0.564,0.092,0.972,17.702991,0.002942,18.160309,0.015512,16.944794,0.008374,1.215515,,,1.322,1051.84,71.154,137.514,0.92,1.2698835452997492,0.0405855574103112,1.0553856376167507,0.0811896257227571
-0.2606,0.1557,0.2916,18,76.7751016208,0.1242,30.82958507505,0.0721,157206523275206784,0.2961,0.1332,0.812,0.164,-0.887,0.105,1.05,17.810194,0.00299,18.256128,0.014659,17.152388,0.008123,1.103741,,,1.252,934.535,75.445,142.324,0.86,1.331934799018153,0.0067244386115984,0.0,0.2227327249990486
-0.4701,0.3868,-0.0227,16,76.76701979286,0.2166,30.85131459348,0.1257,157206630648417408,0.4513,0.2074,1.099,0.3,-0.895,0.175,1.064,18.351936,0.003268,18.952852,0.021512,17.667097,0.014835,1.285755,,,1.208,617.587,50.902,74.515,0.7,1.1524444846262043,0.0386546503918048,0.6419515100794151,0.3461523542387164
-0.1518,0.0447,0.2841,17,76.7822994572,0.0851,30.85917887875,0.0492,157206729430490240,0.2616,0.098,1.08,0.118,-0.676,0.071,1.019,17.296257,0.002965,17.799259,0.014403,16.613276,0.007056,1.185984,,,1.246,990.9,76.836,167.53,0.77,1.3220538954434031,0.0302353402372679,1.2109767388580457,0.0445444316084394
-0.4497,0.4008,-0.0272,17,76.76333023963,0.2199,30.83474412684,0.1234,157206591991512704,0.3401,0.211,0.782,0.298,-0.706,0.169,0.995,18.440874,0.003182,19.01759,0.034575,17.708544,0.016279,1.309046,,,1.253,682.519,31.505,67.697,0.86,1.1191916382183826,0.0438874212042254,0.726393193301507,0.3269893580316584
-0.1632,0.0165,0.3857,16,76.80476227106,0.0659,30.84190210707,0.0373,156456042163820032,0.2196,0.0795,0.734,0.094,-0.677,0.058,1.039,16.698914,0.002861,17.120335,0.010594,16.075268,0.008369,1.045067,,,1.24,1411.374,106.239,137.597,0.99,1.5314584292033917,0.0477163206017459,1.247005065608259,0.1254967750502181
