pmRApmDEcor,PlxpmRAcor,PlxpmDEcor,Nper,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,Source,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RUWE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BPRP,RVDR2,e_RVDR2,EBPRP,RFG,RFBP,RFRP,Pmemb,mass,er_mass,comp_mass,er_comp_mass
-0.3614,0.1645,0.0167,15,93.68934719282,0.0917,12.86851574362,0.0853,3344073906175376000,0.2801,0.0954,1.069,0.11,-2.124,0.09,1.027,17.561716,0.002986,18.177443,0.018523,16.77869,0.010579,1.398752,,,1.277,943.542,59.292,106.402,0.89,1.176532149088335,0.03499650201363643,0.8505154753495325,0.11111376438709882
-0.3973,0.0325,0.1151,15,93.68104185494,0.1046,12.86630740407,0.0955,3344073528214546560,0.2228,0.1073,0.81,0.13,-2.069,0.106,1.146,17.586905,0.003065,18.235882,0.026974,16.811014,0.00813,1.424868,,,1.259,809.16,40.469,142.19,0.9,1.1475755263945897,0.03555403833267784,0.9041965445505424,0.07635440645419114
-0.4689,0.0224,0.1328,16,93.68810797781,0.0292,12.86168657085,0.0269,3344072776600100352,0.2841,0.03,0.922,0.038,-1.999,0.031,0.943,15.35043,0.002781,15.71779,0.004063,14.799698,0.003268,0.918092,,,1.216,2908.073,367.698,638.013,0.99,2.0288063586109213,0.027617526929876665,1.3072248146813872,0.0639031388507905
-0.382,0.0807,0.0521,16,93.6893832359,0.0125,12.87109144906,0.0115,3344073906171435520,0.3123,0.0128,0.936,0.015,-2.027,0.013,1.007,13.165273,0.00277,13.450524,0.002921,12.704678,0.002911,0.745847,,,1.201,3794.109,1255.308,1310.22,1.0,2.8883393953895444,0.049280275156992355,2.7117446012445625,0.25404964898034993
-0.3755,0.1024,0.0807,16,93.68447832026,0.0452,12.86095686624,0.0415,3344073532515051904,0.3611,0.0463,0.845,0.055,-1.955,0.046,1.158,16.023048,0.002812,16.411173,0.006366,15.457011,0.003746,0.954162,,,1.216,1926.118,189.759,434.303,0.98,1.7656795350421783,0.011840512674916885,0.4239090124426537,0.40780146997326866
-0.3601,0.1105,0.086,16,93.6930676412,0.0214,12.86468304822,0.0196,3344073154557221504,0.3232,0.0224,0.983,0.026,-1.971,0.022,1.493,13.731735,0.002805,14.023861,0.003053,13.263597,0.003842,0.760264,,,1.202,2065.756,876.203,411.156,0.99,2.665180239248053,0.03983545025884156,2.5193228548353326,0.06947479377754909
-0.3918,0.0436,0.0974,16,93.69063440007,0.1762,12.86020784469,0.1585,3344072772302369920,0.2931,0.1866,0.805,0.218,-1.919,0.179,1.074,18.544437,0.003591,19.326706,0.036001,17.718985,0.017208,1.607721,,,1.253,471.359,30.249,63.94,0.83,0.9607878421313021,0.027007237149720077,0.6982400972882304,0.1458743446592887
-0.3885,0.2245,-0.0241,14,93.67706668825,0.0726,12.86739806314,0.069,3344073532514344832,0.1511,0.0798,0.883,0.087,-1.953,0.071,0.959,17.099941,0.002939,17.663523,0.013007,16.388117,0.006384,1.275406,,,1.242,1062.821,85.463,189.095,0.87,1.3421569249261274,0.013895848228206976,0.633042809412184,0.2876643339007915
-0.3761,0.1005,0.0506,16,93.68884165983,0.0149,12.85794400716,0.0138,3344072776600100608,0.3157,0.0157,0.884,0.018,-2.021,0.015,0.964,13.734875,0.00277,14.040682,0.002904,13.252667,0.002882,0.788014,,,1.203,3832.199,1348.267,1502.868,0.99,2.7286321336797648,0.09254418487265294,2.015773403878724,0.9500853462151497
-0.3442,0.1561,0.0149,16,93.69359880714,0.1259,12.87280400291,0.1157,3344073906171677056,0.3212,0.1332,0.661,0.154,-2.052,0.126,0.953,18.156536,0.003245,18.836493,0.02595,17.38316,0.014159,1.453333,,,1.246,633.284,42.083,78.216,0.75,1.082463001688773,0.014521073930874652,0.25353696327959513,0.3138061233125085
-0.341,0.1015,-0.0092,16,93.69526396007,0.1967,12.86175014709,0.1779,3344073150257419520,0.1775,0.1982,0.978,0.24,-2.245,0.198,1.091,18.641609,0.003628,19.412529,0.032634,17.818645,0.01629,1.593884,,,1.255,460.13,33.393,67.65,0.64,0.9644873138906462,0.021960618771234258,0.5297073985474909,0.26993607204510917
-0.351,0.0987,0.0515,15,93.69026778914,0.102,12.87841859705,0.0927,3344073906175376256,0.237,0.1009,1.239,0.12,-2.124,0.1,1.075,17.665079,0.003039,18.249403,0.017366,16.901756,0.012669,1.347647,,,1.274,847.52,63.343,87.856,0.53,1.2084896404842003,0.004940717305769596,0.0,0.22100513552659587
