pmRApmDEcor,PlxpmRAcor,PlxpmDEcor,Nper,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,Source,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RUWE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BPRP,RVDR2,e_RVDR2,EBPRP,RFG,RFBP,RFRP,Pmemb,mass,er_mass,comp_mass,er_comp_mass,q,e_q
-0.1454,0.0487,0.1022,16,94.86988895095,0.0154,18.55030868833,0.0135,3370789221230860800,0.6689,0.0174,-0.561,0.02,-1.41,0.015,0.868,11.752173,0.0028,11.879112,0.00329,11.510429,0.003063,0.368683,,,1.171,2173.306,623.053,859.049,0.99,3.3226361900781303,0.211436408280337,2.227689342409533,0.4894465885256036,0.6704583995869707,0.15336082594228426
-0.1538,0.0267,0.1584,16,94.86229703418,0.0422,18.54581826933,0.039,3370789221230998272,0.7399,0.0479,-0.486,0.054,-1.314,0.042,1.021,16.141932,0.002838,16.654831,0.006518,15.454204,0.003535,1.200627,,,1.245,1598.659,184.329,500.368,0.96,1.0719352565659237,0.0119212281067117,0.6432985813466159,0.1073310753144863,0.6001282049510173,0.10035050896633942
-0.1883,0.056,0.0705,16,94.86691671656,0.1222,18.53763975396,0.1152,3370789221230983040,0.7664,0.136,-0.726,0.158,-1.3,0.123,0.97,17.936602,0.003899,18.694532,0.029497,17.09078,0.0151,1.603752,,,1.278,393.624,36.974,73.163,0.8,0.7712096101873714,0.0054634436583815,0.2280552149634,0.2144994808707356,0.2957110647363331,0.27814171694452333
-0.3223,0.1405,0.0216,16,94.8486022463,0.0208,18.54896515208,0.018,3370789878362458368,0.6746,0.0218,-0.438,0.027,-1.201,0.021,1.377,12.513439,0.002766,12.699328,0.002858,12.188148,0.002839,0.51118,,,1.179,4468.358,1750.091,2073.176,0.96,2.7185797358685253,0.0413500204464704,1.5903516934625386,0.0831681311923149,0.5849935804639759,0.031860198299692756
-0.2736,0.1176,0.0412,16,94.84637523219,0.0149,18.54861280537,0.0131,3370789874066389504,0.6985,0.0159,-0.492,0.02,-1.388,0.016,1.019,12.594786,0.002768,12.750723,0.00288,12.320907,0.002829,0.429816,,,1.17,4078.181,1519.337,2315.134,0.99,2.642587460732889,0.1237865427425208,1.5231117066049804,0.2275876592807689,0.5763713516534148,0.09025585567432211
0.0605,0.1769,0.1847,15,94.84930977968,0.0387,18.57501542205,0.0343,3370790084521196672,0.6878,0.0436,-0.562,0.052,-1.296,0.039,0.951,15.866116,0.002814,16.326033,0.004902,15.218233,0.004369,1.1078,,,1.239,1906.083,269.381,322.949,0.98,1.1498871970867557,0.0055663100530148,0.2805208391294758,0.2816343470711237,0.24395509389110218,0.24492630361152076
-0.2628,0.107,0.1289,17,94.82754444084,0.0187,18.54755183512,0.0167,3370789908425628800,0.6812,0.0209,-0.563,0.026,-1.291,0.021,0.951,11.438015,0.002802,11.539306,0.00286,11.236148,0.002895,0.303158,,,1.168,2138.316,1724.94,1405.657,0.99,3.9979006249462334,0.001531750836975,0.0,0.0,0.0,0.0
-0.098,0.0013,0.0462,17,94.8451256844,0.1601,18.51189387688,0.142,3370788641407400832,0.6078,0.171,-0.518,0.209,-1.575,0.16,1.014,18.48996,0.003713,19.285196,0.058843,17.536093,0.01585,1.749104,,,1.362,436.206,18.472,69.588,0.6,0.7073001147159025,0.0065638359191019,0.111550432160074,0.1795715013986084,0.15771301296180318,0.25388725596037637
-0.2208,0.0516,0.1071,17,94.8426855743,0.0145,18.51171260536,0.0128,3370788637115311744,0.6745,0.0164,-0.548,0.019,-1.293,0.015,0.945,12.062807,0.002763,12.195441,0.002893,11.816568,0.002833,0.378873,,,1.17,5261.8,1419.087,2205.46,0.99,3.176736019281412,0.1181970596778185,1.6835704014877555,0.2740884476935792,0.5299686191327238,0.08850447817391023
-0.1761,0.0749,0.0796,17,94.83126436426,0.0134,18.51659145634,0.0118,3370788705834788096,0.6909,0.0147,-0.531,0.018,-1.312,0.014,0.969,13.271735,0.002772,13.472037,0.002845,12.932549,0.002891,0.539489,,,1.178,3614.535,1962.312,1431.497,0.99,2.088844080178814,0.0396185477090054,1.3450508623049826,0.0636367837823671,0.6439211404375574,0.03282194231609932
-0.1845,0.0624,0.078,17,94.81558233423,0.0204,18.54178989868,0.0181,3370789908425628928,0.7007,0.0224,-0.516,0.028,-1.364,0.022,1.03,11.465901,0.00278,11.563282,0.002865,11.266234,0.00282,0.297048,,,1.169,2922.31,1663.704,2633.05,0.99,3.9711785916136257,0.0014056502918829,0.0,0.0,0.0,0.0
-0.3135,0.1579,0.0169,16,94.86340873538,0.0228,18.49233597725,0.02,3370788435253455232,0.6723,0.024,-0.681,0.031,-1.388,0.024,1.032,14.581157,0.002779,14.90282,0.003337,14.077158,0.003302,0.825662,,,1.209,3010.779,592.937,614.538,0.95,1.4986808919223844,0.0117562694713032,0.7270815349412474,0.2168172332433398,0.48514766476311516,0.1447220946354653
-0.1484,0.1178,0.1221,17,94.8107956117,0.0152,18.553780508,0.0133,3370790118880632960,0.6638,0.0169,-0.486,0.02,-1.328,0.015,0.993,12.627052,0.002772,12.769165,0.002884,12.369173,0.002841,0.399992,,,1.17,3606.09,1489.533,2028.394,0.99,2.7708668900719484,0.0338710557499611,0.792939346142796,0.5324950499450944,0.28617013288653737,0.19220817254598935
-0.1765,0.0951,0.079,17,94.80980490813,0.0149,18.55450359634,0.0131,3370790114584706176,0.7203,0.0164,-0.553,0.02,-1.323,0.015,1.047,13.642649,0.002784,13.819956,0.002941,13.318008,0.003027,0.501947,,,1.184,2723.888,1168.198,924.954,0.96,1.982643451659812,0.0108369772539483,0.3705622803640369,0.3962519224843576,0.1869031368468258,0.1998630155920099
-0.2898,0.252,-0.127,15,94.81695747681,0.1044,18.58133322289,0.0939,3370790325039056256,0.7748,0.1188,-0.305,0.142,-1.262,0.112,0.928,17.670506,0.003594,18.302237,0.033929,16.878187,0.010226,1.424049,,,1.279,470.608,32.109,110.357,0.75,0.8161781184139099,0.00198256195437,0.0,0.0266959306424537,0.0,0.03270846159700075
-0.1859,0.0774,0.0903,17,94.80513880102,0.0174,18.54947303499,0.0154,3370789740923512704,0.6836,0.0192,-0.559,0.023,-1.274,0.018,0.948,14.124881,0.002778,14.369945,0.002951,13.728773,0.003032,0.641171,,,1.185,3087.062,1129.207,915.812,0.99,1.6947523675332097,0.0107328695799914,0.4662310208544304,0.380280289891841,0.2751027405455413,0.2243936988822279
-0.2254,0.1537,0.0068,15,94.88922683857,0.1176,18.47852817613,0.1183,3370776989163692416,0.6368,0.151,-0.732,0.152,-1.363,0.115,1.01,17.805557,0.003401,18.6672,0.046342,16.901541,0.011373,1.765659,,,1.296,544.366,23.471,98.478,0.78,0.7272804585005217,0.0151396970214637,0.648546881522269,0.0336548413136701,0.8917424824797542,0.04985943363986564
-0.2009,0.0799,0.088,17,94.82607577374,0.0264,18.49529886137,0.0236,3370788607052153472,0.6962,0.0292,-0.476,0.035,-1.317,0.027,1.087,15.009332,0.002775,15.391993,0.004631,14.41006,0.005002,0.981933,,,1.241,3323.869,293.704,261.511,0.99,1.3414539931022902,0.0136533293257562,0.849660351257047,0.0627181012690523,0.6333876194233802,0.047196173984936626
-0.1763,0.0709,0.0813,17,94.80345294699,0.017,18.5242011608,0.0151,3370789500405348352,0.6772,0.0186,-0.587,0.023,-1.456,0.018,0.967,14.063883,0.002772,14.315423,0.002941,13.659321,0.002975,0.656102,,,1.186,3566.839,1168.26,1051.616,0.97,1.695167028159811,0.0149821866646951,0.9267082571254778,0.0985266076121514,0.5466766647363748,0.058322542832595504
-0.1381,0.0186,0.1008,16,94.86049049852,0.022,18.62626559345,0.0191,3370796372352990976,0.705,0.0239,-0.707,0.029,-1.258,0.022,1.015,14.649604,0.002773,14.991248,0.003053,14.134762,0.003046,0.856486,,,1.206,3479.709,876.824,889.422,0.95,1.4686442287353612,0.0119889984694741,0.7732455561394199,0.1692560612980486,0.5265029753361412,0.11532658599889867
0.0154,-0.0029,0.0298,16,94.85464927575,0.1517,18.62618172534,0.131,3370799322994232192,0.6505,0.1635,-0.572,0.192,-1.546,0.147,0.929,18.463123,0.004252,19.355089,0.045641,17.600182,0.022868,1.754908,,,1.251,335.226,23.833,47.836,0.68,0.7071397390048009,0.0037209573249606,0.0,0.1273048262322955,0.0,0.18002782082570984
-0.0367,0.0293,0.0791,16,94.96050925633,0.0535,18.51866631481,0.0469,3370782800256642816,0.6944,0.0586,-0.624,0.071,-1.34,0.057,0.922,16.586815,0.003009,17.139208,0.011596,15.848586,0.006239,1.290622,,,1.267,898.76,96.468,194.566,0.96,0.9846221758051256,0.0103559320003677,0.5773126231937714,0.1278204292037451,0.5863290888423297,0.12996311976671335
-0.2558,0.1264,0.0009,15,94.789206988,0.0365,18.52119709063,0.0317,3370789397326137472,0.6261,0.038,-0.528,0.046,-1.339,0.036,0.951,15.682011,0.002797,16.154892,0.006623,15.038659,0.005255,1.116233,,,1.23,2256.288,180.741,243.79,0.96,1.1632987753815751,0.0155706683026556,0.7568457605224985,0.0745550491884859,0.6506030750992965,0.06467826041299586
-0.1752,0.1766,0.0172,16,94.91784210418,0.06,18.4675809136,0.0537,3370776714285766144,0.5453,0.0681,-0.63,0.082,-1.386,0.061,1.176,16.374922,0.003038,16.963299,0.006596,15.609748,0.005082,1.353551,,,1.274,849.149,181.645,255.614,0.75,0.9478085776839108,0.0260145292972724,0.8428861470958394,0.0413610388984021,0.889299977803047,0.05000109170611758
-0.0855,0.0417,0.083,15,94.87249039793,0.1384,18.64415800588,0.1256,3370799361649721984,0.56,0.1424,-0.624,0.181,-1.384,0.141,0.985,18.095694,0.003932,18.241053,0.071794,17.042749,0.063565,1.198303,,,1.745,387.137,15.134,17.097,0.78,0.7918028725824747,0.004046497937452,0.0,0.0142145948308328,0.0,0.0179521890145103
0.0415,0.1184,-0.0108,16,94.97403535856,0.091,18.52632688742,0.0857,3370782899039096576,0.5393,0.1115,-0.511,0.125,-1.362,0.092,0.95,17.584421,0.003035,18.332396,0.017319,16.773157,0.010133,1.559238,,,1.253,853.158,63.521,111.454,0.83,0.8079930725787208,0.0116920525112276,0.5030522360203499,0.1005992226543144,0.622594738856921,0.12483058719308994
-0.0438,0.0401,0.0442,16,94.90580813092,0.1348,18.45863807712,0.1201,3370776336330893824,0.5578,0.1457,-0.625,0.182,-1.317,0.138,0.921,18.115627,0.003254,18.832218,0.035453,17.300983,0.011447,1.531235,,,1.266,627.406,30.72,97.796,0.79,0.7518479070597479,0.0019708292610709,0.0,0.0278184287113321,0.0,0.03700007468281936
-0.1026,0.0958,0.057,16,94.82196229961,0.0573,18.63835370922,0.0493,3370799499089186816,0.6313,0.0609,-0.508,0.075,-1.382,0.058,1.016,16.740978,0.002872,17.280844,0.007551,16.054253,0.005362,1.226591,,,1.233,1341.844,154.73,237.089,0.95,0.9705977270209832,0.0014803797440403,0.0,0.0277645674360356,0.0,0.028605638219710523
0.0904,0.0416,0.0651,17,94.93962801841,0.1373,18.63685767324,0.1247,3370796574215177984,0.6629,0.1566,-0.651,0.169,-1.381,0.132,0.98,18.342657,0.004037,19.112976,0.040999,17.48023,0.021265,1.632746,,,1.288,367.903,26.544,51.504,0.84,0.724285730127189,0.0022291940634877,0.0,0.0709841233127163,0.0,0.09800569079312256
-0.3593,0.1773,-0.016,16,94.79693872457,0.0169,18.62283627937,0.0151,3370793589214196224,0.6421,0.0188,-0.612,0.023,-1.422,0.018,1.003,12.935462,0.002877,13.110081,0.004219,12.629671,0.004572,0.48041,,,1.175,1312.579,343.041,299.804,0.91,2.3428902292800573,0.0967403580818252,1.437006017511094,0.1480262052785468,0.6133475651365318,0.06806787583648402
-0.2976,0.0062,0.1477,16,94.76557655825,0.039,18.52867545698,0.0343,3370789667907565056,0.623,0.0435,-0.509,0.056,-1.438,0.042,1.476,15.150385,0.002781,15.561734,0.003517,14.559175,0.003215,1.002559,,,1.222,2891.414,506.996,679.339,0.93,1.3086336713044169,0.0127601707212603,0.7488581030187896,0.1699645301271284,0.572244257074896,0.12999918361195945
-0.1519,-0.0689,0.1612,16,94.84971123151,0.0434,18.43317335412,0.0379,3370776374985656704,0.6551,0.048,-0.526,0.062,-1.38,0.046,1.015,16.079638,0.002855,16.613903,0.007209,15.386698,0.004377,1.227205,,,1.24,1450.954,163.329,321.953,0.97,1.0571142867337162,0.0213478980837604,0.7735139737961848,0.0608836175616529,0.7317221832146429,0.05945957430291608
-0.0121,0.1342,0.0725,17,94.89305291922,0.0193,18.67449907231,0.0178,3370799872749748736,0.7213,0.0224,-0.727,0.025,-1.423,0.02,1.202,10.776281,0.002778,10.858227,0.00283,10.603818,0.002829,0.254409,,,1.166,3076.234,2287.136,2338.542,0.69,4.584972495142302,0.0012532248306782,0.0,0.0,0.0,0.0
-0.0982,0.0518,0.078,17,94.9064162105,0.0267,18.42429073547,0.0237,3370775481632436736,0.6597,0.0295,-0.456,0.036,-1.364,0.027,1.027,15.089147,0.002776,15.495029,0.003473,14.509341,0.003289,0.985688,,,1.217,3217.431,525.206,623.524,0.98,1.3265867947233565,0.0133174695457283,0.7540646444876136,0.1381499939539689,0.5684246575399272,0.10429565474121869
-0.2429,-0.0052,0.2027,15,94.80445007742,0.0634,18.66118817726,0.0538,3370800323722905856,0.7894,0.0715,-0.42,0.088,-1.261,0.066,0.949,17.034414,0.002957,17.629284,0.010662,16.302954,0.008081,1.32633,,,1.245,1010.98,105.514,143.17,0.86,0.9158772132124228,0.0018675319966456,0.0,0.1170665318745779,0.0,0.1278190244126384
