pmRApmDEcor,PlxpmRAcor,PlxpmDEcor,Nper,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,Source,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RUWE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BPRP,RVDR2,e_RVDR2,EBPRP,RFG,RFBP,RFRP,Pmemb,mass,er_mass,comp_mass,er_comp_mass
-0.1323,-0.2382,-0.0097,26,283.57691052581,0.1102,36.92868518843,0.124,2093908814362027904,2.9636,0.1381,1.136,0.151,-2.755,0.155,0.972,18.507755,0.003418,19.909632,0.147253,17.180395,0.046828,2.729237,,,1.629,536.662,7.375,23.227,1.0,0.3307334525942024,0.0089855469355105,0.0,0.0159175198317675
-0.0858,-0.196,0.0591,25,283.46461849828,0.0509,36.93725887492,0.0646,2093921149512835840,2.8174,0.0646,1.203,0.066,-2.864,0.078,1.067,17.13728,0.003131,18.641117,0.02254,15.929866,0.005572,2.711251,,,1.461,730.127,48.542,225.105,1.0,0.524935302844285,0.0014124089370574,0.0,0.0
-0.1028,-0.0698,-0.0292,27,283.51078044948,0.0126,36.88412384533,0.0144,2093908986165449472,2.7903,0.0153,1.101,0.017,-2.93,0.018,1.021,9.765833,0.002772,9.807134,0.002819,9.671852,0.002809,0.135282,,,1.157,3557.333,2676.937,3365.74,1.0,2.0884405732679654,0.0014043979418444,0.0,0.0
0.0126,-0.1716,-0.2122,26,283.53462374317,0.0103,36.87496996183,0.0113,2093908264610948992,2.811,0.0131,1.315,0.014,-2.735,0.016,1.0,13.776731,0.003432,14.302882,0.008002,13.082502,0.006989,1.22038,,,1.245,530.73,144.759,169.427,1.0,0.9022263837843753,0.0010249092099259,0.0,0.0300893595318792
-0.1252,-0.1786,0.0638,25,283.59069248691,0.0131,36.90933987621,0.0148,2093908745647333888,2.8187,0.016,0.812,0.017,-3.066,0.018,1.008,14.470268,0.00314,15.171317,0.006011,13.648988,0.005253,1.522329,,,1.277,720.952,203.928,243.953,1.0,0.7658253864445477,0.0035198570898877,0.4627411500104578,0.0624407231562781
0.6177,0.1715,0.1831,14,283.53485790549,0.0399,36.87150976051,0.0592,2093908264605957376,2.9104,0.0465,1.116,0.049,-2.779,0.065,1.632,14.446442,0.003953,,,,,,,,,383.056,,,1.0,3.1126006472618317,1.9521712305980168,1.1222645764133812,1.519915918721216
-0.0926,0.0546,-0.0226,27,283.53524715759,0.0126,36.87128660239,0.0126,2093908264612438912,2.8188,0.0141,1.156,0.017,-3.097,0.017,1.197,11.72834,0.002785,11.978015,0.00439,11.232429,0.006882,0.745586,-31.29,14.25,1.241,2658.288,320.385,172.584,1.0,1.3321675124240746,0.0011506265869257,0.0,0.0406873078878907
0.0599,-0.0423,0.0217,26,283.56841551921,0.0621,36.87180231372,0.0613,2093908363391849856,2.8107,0.0689,1.167,0.081,-2.865,0.082,0.915,17.413593,0.002977,19.038206,0.024816,16.154318,0.005943,2.883888,,,1.505,963.974,44.03,206.897,1.0,0.4827231313751293,0.0023567459996599,0.0,0.0245129559581193
-0.0326,-0.196,-0.0218,28,283.43907500108,0.0172,36.90444539017,0.0191,2093921012073854336,2.8705,0.0214,1.263,0.023,-3.431,0.024,1.028,15.192127,0.002921,16.159096,0.005198,14.218844,0.00417,1.940251,,,1.329,1119.51,247.574,350.3,1.0,0.6989697521897132,0.0029153711506444,0.4374317055124831,0.0727777006196179
0.0869,-0.2465,-0.1205,25,283.48044067862,0.0126,37.0024850022,0.015,2093921974146600960,2.8137,0.0164,1.484,0.016,-2.345,0.018,1.061,11.543968,0.00277,11.800878,0.002844,11.126191,0.002825,0.674686,-20.69,2.27,1.191,3793.396,1970.859,2443.049,0.9,1.374425652669372,0.0010345142104506,0.0,0.0
-0.1159,-0.2323,0.0403,24,283.62052139118,0.0101,36.922469669,0.011,2093932041545255680,2.8587,0.0123,0.979,0.013,-2.918,0.014,1.254,12.361268,0.002868,12.659761,0.007309,11.743274,0.018628,0.916488,-17.92,3.33,1.295,1362.342,160.732,58.95,1.0,1.1868418713226394,0.002287522245021,0.1324959644218262,0.2351316525104992
-0.0975,-0.2487,0.014,25,283.62104013079,0.0106,36.92204276863,0.0119,2093932041549971072,2.8223,0.0129,1.106,0.014,-2.895,0.015,1.284,12.437957,0.00325,12.746587,0.006274,11.882022,0.007331,0.864565,-32.16,7.44,1.248,629.696,193.216,160.153,1.0,1.1638567970815306,0.0010754781103919,0.0,0.0
0.058,-0.1993,0.0013,26,283.48969452128,0.0522,37.00812744656,0.0567,2093922008506348288,2.764,0.0645,1.393,0.065,-3.446,0.07,0.936,17.228897,0.00359,18.800556,0.027119,16.005878,0.007601,2.794678,,,1.469,471.78,40.25,153.565,0.99,0.5100447212184831,0.0015512826598889,0.0,0.0146033635500593
-0.02,-0.1375,-0.0147,25,283.53802798631,0.0085,36.85188769555,0.0097,2093908157232365184,2.8297,0.0103,1.389,0.011,-2.9,0.012,0.857,11.738564,0.002765,12.003817,0.003133,11.306558,0.002922,0.697259,-19.47,1.65,1.195,4607.71,761.811,1248.99,1.0,1.323244919065222,0.0010909260928525,0.0,0.0
0.0727,-0.1263,-0.1207,19,283.4315042488,0.0602,36.97170597046,0.0647,2093922180304989568,2.8434,0.0735,1.404,0.075,-2.884,0.078,1.103,5.551799,0.002882,5.471029,0.00313,5.663815,0.003487,-0.192786,,,1.161,1283.936,765.019,519.234,1.0,5.68841573088704,0.0663518236615141,5.434494365995991,0.115027713321686
-0.081,-0.1339,-0.0973,21,283.59966521226,0.0578,36.87097296789,0.0723,2093908436409671168,2.9,0.0738,1.278,0.079,-3.138,0.095,1.083,17.291828,0.0038,18.825342,0.018874,16.082951,0.008421,2.742392,,,1.458,414.877,58.165,136.656,1.0,0.5004020114945896,0.0018013646334741,0.0,0.0
-0.0504,-0.0834,0.0717,25,283.59264925536,0.016,36.85205892627,0.0181,2093905374093557504,2.781,0.0202,1.339,0.022,-3.192,0.024,1.09,8.772223,0.002804,8.783749,0.002993,8.718276,0.002835,0.065473,,,1.16,2077.21,1001.802,2162.593,1.0,2.9024968815512,0.0053104585814173,0.1076501132984706,0.3005069518928121
0.0153,-0.2159,-0.097,29,283.40471469221,0.0101,36.90464448309,0.0111,2093919706403780224,2.8154,0.0126,1.29,0.014,-3.339,0.014,0.93,11.534108,0.00277,11.787346,0.00284,11.126728,0.002808,0.660618,-19.71,2.2,1.187,3849.538,2043.692,3410.615,1.0,1.3767764979935295,0.0009616857917245,0.0,0.0326262850095862
-0.0037,-0.1573,-0.14,28,283.40619071532,0.029,36.89925836516,0.033,2093919706403779072,2.8622,0.0362,1.008,0.039,-2.829,0.04,1.532,15.420698,0.00302,16.50083,0.00698,14.375911,0.004535,2.124919,,,1.37,878.918,169.695,303.681,1.0,0.6792283930926435,0.0040645198146208,0.4812455501848491,0.0459948544843393
0.1777,-0.1561,0.0261,26,283.47212548438,0.0583,36.83443178556,0.0649,2093907336897963648,2.7893,0.0726,1.295,0.081,-3.262,0.085,0.98,17.394308,0.003394,18.27536,0.070318,15.987768,0.013,2.287592,,,1.86,547.809,15.453,85.509,1.0,0.5307067950383314,0.0045929144018508,0.0,0.0
-0.0915,-0.235,0.103,27,283.61072161274,0.0099,37.01416129947,0.0109,2093933656457718016,2.8205,0.0119,0.865,0.012,-3.024,0.014,0.979,10.820783,0.002764,11.010716,0.002879,10.493372,0.002805,0.517344,-20.52,5.62,1.178,5103.637,1527.326,3735.67,1.0,1.5951340477746143,0.0012324877985335,0.0,0.0
-0.0277,-0.2185,0.1072,27,283.63245265951,0.0576,37.00074480287,0.0666,2093933622097983232,2.8789,0.0715,1.172,0.072,-2.97,0.081,1.032,17.408701,0.003078,19.00742,0.033294,16.176445,0.006536,2.830975,,,1.476,791.446,32.726,183.692,1.0,0.4822907683717016,0.0014190421740391,0.0,0.0080119399140899
0.012,-0.186,-0.0032,28,283.43656985782,0.0101,36.83980748438,0.0116,2093907504397313024,2.8297,0.0125,1.004,0.013,-2.955,0.014,1.073,12.995406,0.003039,13.401446,0.005169,12.414982,0.004308,0.986465,-15.46,4.25,1.217,846.578,249.528,330.723,1.0,1.0469122824534234,0.0008873062992161,0.0,0.0
-0.0001,-0.1352,0.0192,26,283.52188676092,0.0343,36.81480906135,0.0371,2093907817934312448,2.9256,0.0418,1.363,0.045,-3.225,0.049,1.441,15.978196,0.002991,17.466932,0.00685,14.773311,0.004597,2.693622,,,1.461,933.197,173.564,297.221,1.0,0.597117783634123,0.009438237876216,0.5560289671733221,0.0194128335622165
-0.1901,-0.274,0.1954,24,283.63969512802,0.0557,36.85863762142,0.0722,2093905236655648896,2.8048,0.0708,0.944,0.071,-3.056,0.096,1.03,17.405893,0.00309,18.943478,0.037404,16.160809,0.006155,2.782669,,,1.501,776.509,29.108,197.917,1.0,0.4853619331272026,0.0018599875276604,0.0,0.0
0.1368,-0.3001,-0.1191,27,283.39174366539,0.0827,36.87371335972,0.0873,2093919362806372224,2.7463,0.1006,1.056,0.107,-2.848,0.108,1.049,17.994976,0.00324,19.865919,0.052015,16.697269,0.007816,3.16865,,,1.52,636.973,20.904,148.7,1.0,0.3689850121416058,0.0276228785144424,0.0,0.1028009814727207
-0.0579,-0.2149,0.0579,24,283.52129726617,0.0131,37.05330956092,0.0158,2093945609347180544,2.8334,0.0164,1.333,0.016,-3.059,0.018,1.693,13.323464,0.003127,13.761948,0.005318,12.652633,0.005911,1.109315,,,1.265,733.962,239.794,208.35,1.0,0.9872187348446524,0.0008233762683918,0.0,0.0243220778053368
0.1943,-0.2791,-0.1438,25,283.44193006985,0.1357,37.03647648948,0.1542,2093923000637633152,2.8714,0.1769,1.042,0.171,-3.006,0.186,0.971,18.788651,0.003529,20.744904,0.09802,17.457535,0.011615,3.287369,,,1.554,492.426,11.081,96.301,1.0,0.2711770676416732,0.0178460557967912,0.0,0.0626290451038583
0.0359,-0.1952,-0.0531,28,283.4067388971,0.0182,36.84652261527,0.0205,2093919294086889216,2.7721,0.0218,1.219,0.024,-3.621,0.025,1.248,15.022913,0.002795,16.043921,0.003996,14.018895,0.003324,2.025025,,,1.344,2311.843,379.614,600.884,0.92,0.6954043901226329,0.0080514837174773,0.6044408382271292,0.0354976075527858
0.048,-0.204,-0.0035,25,283.54145627793,0.0402,36.80349231174,0.0455,2093907749214839680,2.9126,0.0515,1.38,0.052,-2.748,0.058,0.992,16.902803,0.003094,18.603546,0.020813,15.635878,0.005298,2.967669,,,1.503,771.086,52.64,241.104,1.0,0.4679080155168401,0.0149468411545754,0.413812723668002,0.022290161492379
0.0181,-0.239,-0.1143,26,283.44093650752,0.01,37.0469745963,0.0119,2093923069356858880,2.8133,0.013,1.191,0.012,-2.797,0.014,0.976,11.589895,0.002795,11.858557,0.002917,11.168475,0.002853,0.690082,-19.61,0.83,1.187,2303.769,1277.226,1825.142,1.0,1.3609204037238658,0.0010025655732,0.0,0.0
0.195,-0.263,-0.1525,26,283.51706182216,0.1059,36.79976140647,0.1131,2093906336167156992,2.8241,0.1318,1.337,0.137,-2.772,0.156,0.955,18.481392,0.003295,20.079391,0.098506,17.197556,0.012932,2.881836,,,1.54,600.723,11.026,85.985,1.0,0.3234406310918387,0.0080914003115481,0.0,0.0168473697662658
-0.054,-0.2825,0.0107,26,283.68756067547,0.1155,36.90384717244,0.1192,2093928880449430528,2.7581,0.1415,1.351,0.156,-3.262,0.156,1.077,18.453794,0.003322,20.113298,0.115994,17.105959,0.015472,3.007339,,,1.614,584.777,9.363,71.344,1.0,0.3281721517796434,0.0059459070252455,0.0,0.0155691788331548
0.1007,-0.2625,-0.1232,25,283.43658167763,0.0342,37.04958039159,0.0426,2093923073658232832,2.9007,0.0459,1.235,0.044,-2.963,0.048,1.019,16.49667,0.002912,17.810442,0.015649,15.35445,0.004108,2.455992,,,1.422,1153.114,70.509,360.173,1.0,0.6094009794513782,0.000947133135465,0.0,0.0
-0.0355,-0.1869,0.0573,25,283.63281955774,0.063,36.82757254652,0.0738,2093905034795567232,2.8311,0.0794,0.801,0.081,-3.089,0.096,1.042,17.747223,0.00301,19.313694,0.047809,16.480558,0.006516,2.833136,,,1.523,895.781,22.749,184.394,1.0,0.4329486757557128,0.0033477344510097,0.0,0.0
0.0195,-0.1727,-0.0413,28,283.46798214666,0.0153,36.80107551235,0.0177,2093906477906013184,2.8219,0.0194,1.068,0.02,-2.834,0.023,1.03,14.736356,0.003189,15.480819,0.007094,13.892026,0.005625,1.588793,,,1.281,675.951,166.477,222.305,1.0,0.7363122862656981,0.0017996673104281,0.0,0.1442624905432841
-0.0215,-0.1692,0.0909,23,283.65336214722,0.0103,36.83944351252,0.0113,2093905172234536832,2.8521,0.0127,0.854,0.013,-3.307,0.015,1.036,12.909643,0.002883,13.29268,0.003871,12.353303,0.003987,0.939377,,,1.212,1280.114,404.573,381.174,1.0,1.0641953223209828,0.0010239206336242,0.0,0.0
0.0294,-0.2046,-0.0157,27,283.69641135681,0.1389,36.91325963847,0.1469,2093929258406595712,2.8176,0.1683,1.417,0.179,-2.827,0.188,0.974,18.9492,0.003678,20.775833,0.1193,17.560204,0.012132,3.21563,,,1.648,445.761,9.103,91.96,1.0,0.2544849563258906,0.0182623421854878,0.0,0.0671802109262168
0.0389,-0.1955,-0.1185,27,283.36451094389,0.029,36.99420628802,0.031,2093925341400900736,2.8569,0.0351,1.203,0.037,-3.034,0.037,1.017,16.056629,0.00306,17.240318,0.010921,14.965827,0.003937,2.274491,,,1.393,815.164,102.832,390.954,1.0,0.6478543510275293,0.0009200454440852,0.0,0.0263144135625404
0.1806,-0.1463,-0.0883,27,283.44908260821,0.0901,37.06127272487,0.1139,2093923103716895744,2.8067,0.1151,1.189,0.117,-3.518,0.134,1.027,18.25769,0.003368,20.063704,0.07151,16.980816,0.009267,3.082888,,,1.502,560.569,15.195,122.859,0.99,0.3482966053638996,0.004133982988851,0.0,0.0190983969755618
0.1192,-0.2142,-0.1441,27,283.3440805396,0.0954,36.91805793426,0.1194,2093920458018169088,2.8456,0.1259,1.368,0.127,-3.193,0.14,1.023,18.234392,0.003225,19.925035,0.053335,16.909889,0.012725,3.015146,,,1.578,647.47,20.385,87.454,1.0,0.355723678300553,0.0080974060875555,0.0,0.0252221054530656
-0.026,-0.1264,0.001,27,283.70422248176,0.0083,36.95021243787,0.0088,2093929602008603904,2.8228,0.0099,1.001,0.011,-3.272,0.011,0.949,13.157971,0.003163,13.609023,0.005935,12.525409,0.004989,1.083614,,,1.232,699.362,207.266,262.556,1.0,1.0150226101503588,0.0012221271677836,0.0,0.0750785399091536
-0.0316,-0.0602,0.0201,28,283.63209501847,0.0902,37.05542951081,0.101,2093934030115709952,2.8955,0.1076,1.181,0.118,-3.137,0.129,1.05,18.233612,0.003242,20.15542,0.054956,16.914541,0.007746,3.240879,,,1.542,635.358,19.782,150.262,1.0,0.3336889398067246,0.0284685429314322,0.0,0.0985700295315777
0.0044,-0.2296,-0.0093,26,283.59880620863,0.0622,36.79366038927,0.0684,2093904652539972608,2.6544,0.0768,1.403,0.081,-3.246,0.085,1.07,17.558857,0.003136,19.083845,0.033711,16.297873,0.00819,2.785973,,,1.523,725.095,32.318,140.999,0.99,0.4647248971386168,0.0025215395104294,0.0,0.0
0.0562,-0.1672,-0.1139,28,283.401818333,0.0128,36.81151859665,0.0151,2093907062020010752,2.8175,0.0158,0.936,0.016,-2.956,0.018,1.146,9.711267,0.00277,9.812183,0.002852,9.514385,0.002832,0.297798,,,1.165,3818.657,1840.107,2245.255,1.0,2.044886439705856,0.020224877935867,1.2316709871927325,0.059263134319366
-0.0637,-0.2209,0.1023,24,283.67463430918,0.0837,36.83515241823,0.0993,2093927884021607680,2.6903,0.1049,1.282,0.104,-3.158,0.131,1.128,17.906765,0.003488,19.541252,0.040798,16.610401,0.012264,2.930851,,,1.55,507.542,26.675,90.911,1.0,0.4082747882127253,0.0030365447509515,0.0,0.0
-0.0124,-0.1689,0.0206,28,283.71710832406,0.0085,36.91624060366,0.0098,2093929224051468672,2.8473,0.0105,1.492,0.011,-2.79,0.013,1.168,13.060187,0.003121,13.46222,0.005936,12.486181,0.005005,0.976039,-14.43,15.6,1.215,740.749,207.214,261.303,1.0,1.0337838232329464,0.0009555648145831,0.0,0.0
-0.042,-0.2639,-0.0181,26,283.33883011046,0.0096,36.99884534486,0.0104,2093923932651617280,2.8403,0.0121,1.131,0.012,-3.068,0.013,1.012,13.215435,0.003505,13.64206,0.007474,12.620749,0.005938,1.021311,,,1.217,501.065,156.589,207.133,1.0,1.0039498023120283,0.0011447259350252,0.0,0.0
-0.1105,0.0021,-0.0482,27,283.64447869129,0.0416,37.06540335126,0.0449,2093935511883630208,2.9039,0.0485,1.164,0.053,-2.775,0.058,0.954,16.880842,0.002901,18.516691,0.016497,15.638399,0.004196,2.878292,,,1.483,1195.568,66.775,346.513,1.0,0.4946297213922579,0.0181752755609228,0.3768508962980808,0.035570522514575
0.0653,-0.2095,-0.1073,27,283.39200909969,0.0188,37.05911517277,0.0228,2093925959876237824,2.8201,0.0242,1.461,0.024,-3.026,0.026,1.02,15.385796,0.003301,16.322319,0.008612,14.411326,0.005256,1.910993,,,1.339,597.189,133.264,243.774,1.0,0.6946959017728799,0.000676628928249,0.0,0.0
0.0465,-0.159,-0.0353,26,283.57692679428,0.0321,36.7689418046,0.0352,2093904450679955584,2.7973,0.0393,1.33,0.041,-3.262,0.046,1.059,16.378014,0.002904,17.849478,0.014137,15.162814,0.003826,2.686664,,,1.476,1184.44,78.342,414.738,1.0,0.569856852323885,0.0153273549611828,0.4635891690171836,0.0312826530640973
-0.0075,-0.1223,0.0287,26,283.70537221711,0.0091,36.82851831552,0.0105,2093927639204020608,2.8401,0.0115,0.918,0.012,-2.918,0.013,1.017,10.665604,0.00278,10.839057,0.002965,10.36315,0.002848,0.475907,,,1.174,2957.468,1081.405,1904.448,1.0,1.6503896039913422,0.0010562624632089,0.0,0.0
0.0163,-0.2625,0.0104,23,283.70562670219,0.0555,36.82591368028,0.0561,2093927643503450240,2.895,0.0671,0.657,0.069,-2.683,0.067,1.029,17.282917,0.003086,18.719954,0.056205,16.024672,0.00922,2.695282,,,1.534,781.329,19.341,123.558,0.95,0.5087903883535778,0.0023307863977065,0.0,0.0
0.1477,-0.187,-0.0874,27,283.37395660675,0.1308,36.7789265511,0.145,2093901044766137472,2.8763,0.1553,1.186,0.172,-3.151,0.183,1.045,18.734512,0.00349,20.574644,0.127995,17.370987,0.013959,3.203657,,,1.611,506.74,8.485,79.381,1.0,0.2817195082676057,0.0161802659353209,0.0,0.0584447994408929
-0.1051,0.059,-0.0794,28,283.59361535305,0.0906,37.11966676555,0.1036,2093947670931896448,2.8624,0.1099,1.322,0.124,-3.01,0.132,1.193,17.987141,0.003201,19.643478,0.072898,16.666933,0.008549,2.976545,,,1.578,666.167,14.905,134.352,1.0,0.3956284068282104,0.0027879819280642,0.0,0.0
-0.1396,-0.0871,-0.0545,26,283.55641607488,0.0461,37.12877135269,0.0537,2093947022395975680,2.7986,0.0553,1.066,0.063,-2.787,0.071,1.012,16.97957,0.003255,18.474085,0.025741,15.786235,0.005406,2.68785,,,1.447,626.61,42.429,234.473,1.0,0.548758536084115,0.0011983073406579,0.0,0.0
