pmRApmDEcor,PlxpmRAcor,PlxpmDEcor,Nper,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,Source,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RUWE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BPRP,RVDR2,e_RVDR2,EBPRP,RFG,RFBP,RFRP,Pmemb,mass,er_mass,comp_mass,er_comp_mass
0.3729,-0.0232,-0.1723,23,175.92996695863,0.1448,-62.52888363758,0.1461,5333357557753854976,0.3297,0.1726,-6.397,0.209,0.665,0.249,1.012,18.805437,0.003461,19.804804,0.066853,17.757324,0.016308,2.04748,,,1.394,518.24,16.255,67.575,0.91,0.8235080414960012,0.020633243744686277,0.5805953062215888,0.09546446659128278
0.2662,0.0746,0.015,28,175.92509396665,0.0207,-62.53313492842,0.02,5333357557758422144,0.4218,0.0244,-6.292,0.027,0.725,0.029,0.835,8.310892,0.002796,8.287579,0.002918,8.287958,0.002835,-0.00038,,,1.171,2292.71,1268.61,2153.579,0.99,10.749293267132236,0.25299909921738895,9.647818875126212,1.3569699207264485
0.2436,-0.0516,-0.0118,23,175.92319240578,0.0304,-62.53354198922,0.0304,5333357454674620160,0.4415,0.0379,-6.54,0.044,0.627,0.048,1.548,15.011263,0.006502,13.503963,0.565158,13.223214,0.328218,0.280749,,,5.092,184.372,1.921,3.308,0.98,2.1177021422310123,0.0321634345332519,1.3706964993080888,0.09580035421109107
0.192,0.0568,0.019,26,175.94649654492,0.0162,-62.52136672216,0.0144,5333357592118354688,0.4363,0.0181,-6.342,0.021,0.749,0.021,0.922,14.471463,0.002798,14.62592,0.00295,14.211206,0.003059,0.414714,,,1.164,2238.626,1133.614,865.066,1.0,1.9187421325788412,0.002231225417623115,0.0,0.0
0.2477,0.1104,-0.074,27,175.9199435626,0.0173,-62.51864729829,0.0171,5333358348032409728,0.4091,0.0208,-6.419,0.022,0.74,0.025,0.923,14.919051,0.002776,15.17232,0.003104,14.502603,0.003014,0.669718,,,1.192,3185.758,798.667,953.079,1.0,1.6848352440084873,0.0022040668057837793,0.0,0.13983860023591937
0.2633,0.0184,-0.0714,25,175.91621448731,0.013,-62.51798494539,0.0132,5333358343702552832,0.4278,0.0154,-6.363,0.018,0.726,0.02,0.906,14.096059,0.002799,14.212698,0.002898,13.891838,0.002888,0.32086,,,1.159,2204.142,1384.766,1457.855,1.0,2.155221520912172,0.00257739809255302,0.0,0.0
0.1499,0.2065,-0.0931,25,175.94155196328,0.012,-62.51552905972,0.0118,5333357592118178816,0.422,0.0148,-6.349,0.016,0.707,0.018,1.155,13.447808,0.002784,13.638806,0.002973,13.110387,0.003032,0.528419,,,1.183,2736.467,1057.989,914.799,1.0,2.4231179605972506,0.060337447247423855,1.6936580204979783,0.07579840701222816
0.2738,0.1567,0.0184,26,175.90113675543,0.0646,-62.52498188825,0.0612,5333358313672658432,0.3591,0.0768,-6.257,0.085,0.646,0.09,1.23,17.342602,0.003166,18.075632,0.011416,16.459219,0.007389,1.616413,,,1.319,696.642,98.085,158.691,0.94,1.0437987621359055,0.02288009420934712,0.9082121692964086,0.06469436442493554
0.27,0.1794,-0.0092,27,175.9449820895,0.017,-62.51370966331,0.016,5333357965744223744,0.4667,0.0205,-6.469,0.023,0.742,0.024,0.907,9.631729,0.00282,9.624971,0.003149,9.594139,0.003232,0.030832,,,1.166,1809.09,744.239,665.91,0.98,8.763040877622675,0.3094929306790266,6.471492308583866,0.8909994877160002
0.2581,0.1053,-0.0571,27,175.95386118437,0.0201,-62.51453693115,0.0193,5333357970075306752,0.3985,0.024,-6.447,0.025,0.871,0.027,0.808,8.944877,0.002784,8.912688,0.002907,8.943589,0.00287,-0.030901,,,1.168,2742.101,1332.072,1618.075,0.98,9.627768136911785,0.14897302395667267,9.020229100480472,0.24105735902424572
0.2806,0.125,0.0135,25,175.91052197837,0.0358,-62.51270175834,0.0326,5333358348032407296,0.4239,0.0414,-6.34,0.044,0.747,0.05,1.007,16.420094,0.003414,16.931921,0.010276,15.67121,0.00975,1.260711,,,1.292,538.704,109.784,116.217,1.0,1.2056313937691119,0.012893552631404537,0.8384402058882046,0.18533202148957226
0.276,0.1076,-0.0748,27,175.96708744292,0.0173,-62.53451351427,0.0192,5333357519068760320,0.3511,0.0221,-6.535,0.024,0.801,0.028,0.986,15.131505,0.002777,15.374954,0.003772,14.681832,0.00408,0.693122,,,1.216,3146.042,427.864,364.758,0.81,1.628396512277593,0.0019208186024302517,0.0,0.04309777371646681
