pmRApmDEcor,PlxpmRAcor,PlxpmDEcor,Nper,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,Source,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RUWE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BPRP,RVDR2,e_RVDR2,EBPRP,RFG,RFBP,RFRP,Pmemb,mass,er_mass,comp_mass,er_comp_mass,q,e_q,r,mass_system,e_mass_system,r/rh
-0.0065,0.0765,0.0019,24,28.0630310458,0.0207,57.04737262209,0.024,505685227486849024,0.7497,0.0423,-1.092,0.031,0.274,0.039,0.986,16.114067,0.002822,16.671347,0.004314,15.401886,0.003404,1.269461,,,1.245,1786.175,330.028,556.773,0.99,0.8354800794433471,0.0177297237206528,0.7672317847194866,0.0258891603536059,0.9183124811673162,0.0366055671146843,0.2374652959019648,1.6027118641628337,0.031378204649491946,0.0614233299351296
-0.0199,0.059,-0.0075,24,28.05861768487,0.0272,57.0454031998,0.0305,505685223183873280,0.7294,0.054,-1.029,0.042,0.233,0.05,0.988,16.637331,0.002824,17.156969,0.005999,15.961587,0.00393,1.195382,,,1.234,1749.372,204.439,392.213,0.99,0.8371990038234988,0.0031969561535439,0.1881570873265632,0.2070422340137782,0.2247459522374576,0.2473049774095538,0.24205535402120765,1.0253560911500619,0.2070669147740985,0.06261060512500016
-0.0843,0.2542,-0.0539,23,28.03289877,0.0169,57.06898713149,0.0201,505685605443959552,0.7842,0.0365,-1.111,0.025,0.146,0.032,1.189,15.40089,0.002849,15.806474,0.004591,14.796521,0.003623,1.009953,,,1.234,1502.177,297.779,469.745,0.98,1.0133084357014277,0.0222669796025206,0.7806490041996672,0.0493618508079599,0.7703962354357486,0.0515713511706293,0.37149662259149846,1.793957439901095,0.05415173769886207,0.09609218699748172
0.0189,0.1236,0.0141,24,28.01443664601,0.0184,57.05518087665,0.0228,505685468005013504,0.8481,0.038,-1.079,0.027,0.234,0.036,1.824,11.445365,0.002794,11.491225,0.002825,11.330159,0.002815,0.161066,,,1.163,2347.229,2451.593,2914.107,0.98,2.9704559668220467,0.0065059647477809,0.1390941006201504,0.34827765938673,0.0468258416127813,0.1172472497549418,0.425955360164047,3.109550067442197,0.3483384210867335,0.11017861168140797
-0.004,0.0967,0.0278,23,28.01572051254,0.0113,57.04092959434,0.0142,505683990536459392,0.8026,0.0248,-1.068,0.017,0.324,0.024,1.161,10.209445,0.002766,10.240525,0.002813,10.113787,0.002802,0.126739,,,1.164,4518.94,3021.239,4140.584,1.0,3.375303468729696,0.0592643698216573,3.090768116800472,0.252389167029545,0.9157008089597616,0.076484268030712,0.5172823466956252,6.466071585530168,0.25925384696128567,0.13380146404138454
-0.0341,0.1403,0.0274,23,28.00064913995,0.0199,57.0571102262,0.0238,505685468005012608,0.7131,0.0433,-1.102,0.029,0.266,0.039,0.96,16.104548,0.002793,16.562719,0.003804,15.481668,0.003153,1.081052,,,1.223,2381.397,419.992,738.959,0.99,0.9246166633461554,0.0043938386756443,0.3488347838069935,0.2157476832862269,0.3772750347636744,0.2333443253989663,0.5952315429159349,1.2734514471531488,0.2157924203063714,0.1539639858087542
0.0031,0.0703,-0.0171,23,28.0282629733,0.0618,57.03077285806,0.0707,505683780074843392,0.8043,0.1313,-1.055,0.094,0.441,0.117,1.059,18.090658,0.00324,18.856909,0.018574,17.240248,0.007735,1.616661,,,1.279,636.782,59.125,150.505,0.96,0.6531122009610931,0.0023529161984988,0.0,0.0937838253166149,0.0,0.1435952737961509,0.6001023516765136,0.6531122009610931,0.09381333650209066,0.1552238806174485
-0.0234,0.1352,0.0262,23,27.9935541612,0.0109,57.04932323879,0.0133,505683990536268800,0.7277,0.0239,-1.093,0.016,0.19,0.021,1.035,14.731588,0.002763,15.067575,0.002973,14.221034,0.002902,0.84654,,,1.206,5117.663,1058.102,1359.833,0.99,1.1920631770040604,0.0133929930585621,0.7547038994433781,0.0618894511185273,0.6331073000175456,0.0524029271041705,0.6914861643782707,1.9467670764474385,0.06332200583382741,0.17886143176777503
-0.0407,0.192,0.0071,24,27.99521072137,0.0163,57.07615756623,0.0197,505685571084218112,0.7768,0.0348,-0.992,0.024,0.318,0.031,0.982,15.677813,0.002795,16.09387,0.003663,15.085116,0.003163,1.008754,,,1.221,2302.027,457.415,729.146,0.99,0.999913837636372,0.0081364261059504,0.5404876770120725,0.1653383063243575,0.5405342507207365,0.1654110420531947,0.810921319265836,1.5404015146484444,0.1655383851799475,0.20975480882587308
0.0116,0.1314,0.0581,24,28.12668703212,0.0114,57.05012261584,0.0136,505682341268821888,0.7747,0.0235,-1.18,0.017,0.12,0.022,1.243,10.719085,0.002766,10.755873,0.002816,10.616992,0.002804,0.138881,,,1.163,4537.249,2866.134,3837.267,0.95,3.390723250374032,0.043327378760441,0.0,0.4220331134732353,0.0,0.124466988990234,0.944411621215216,3.390723250374032,0.42425135311294343,0.24428372316105196
