pmRApmDEcor,PlxpmRAcor,PlxpmDEcor,Nper,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,Source,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RUWE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BPRP,RVDR2,e_RVDR2,EBPRP,RFG,RFBP,RFRP,Pmemb,mass,er_mass,comp_mass,er_comp_mass,q,e_q
-0.2676,-0.059,-0.0162,25,333.46738061311,0.0223,55.70730318292,0.0224,2006103946086808064,0.4677,0.025,-1.907,0.03,-2.062,0.028,1.311,14.868525,0.002769,15.162003,0.002957,14.397367,0.002908,0.764635,,,1.203,3936.748,1109.737,1326.076,0.99,1.7359772067328902,0.0020468091214437,0.0,0.1328138714423687,0.0,0.07650669082938276
-0.2957,-0.0855,0.003,26,333.45599752484,0.0132,55.69949887994,0.0127,2006103946086597504,0.477,0.0142,-1.755,0.017,-2.278,0.016,0.971,14.007205,0.002771,14.210364,0.002898,13.659202,0.002895,0.551163,,,1.181,3711.108,1384.278,1405.376,1.0,2.261956347125399,0.0024316143222742,0.0,0.1133130507288615,0.0,0.050095153636746825
-0.2542,-0.0558,-0.0236,25,333.46340100882,0.0348,55.69696190132,0.0353,2006103739928381056,0.5117,0.0395,-1.783,0.046,-2.243,0.044,0.947,16.444256,0.002801,16.948774,0.004809,15.773652,0.003812,1.175122,,,1.236,2155.427,277.215,417.961,0.99,1.2250952255785088,0.0018439429246369,0.0,0.1267209691862775,0.0,0.10343764838887354
-0.257,-0.0489,-0.0781,26,333.47626511668,0.0406,55.70769092581,0.0413,2006105217397129344,0.4926,0.0467,-1.853,0.055,-2.359,0.053,0.963,16.797302,0.00288,17.33576,0.006557,16.0965,0.003702,1.23926,,,1.244,1297.737,182.974,446.304,0.99,1.1496318209910086,0.0016726246691135,0.0,0.0799999168908193,0.0,0.06958742393008707
-0.2419,-0.0605,-0.0501,26,333.47609580217,0.0237,55.69799459071,0.0237,2006105217397132416,0.4373,0.027,-1.895,0.032,-2.232,0.031,1.064,15.621192,0.002786,16.038187,0.003391,15.028909,0.003053,1.009278,,,1.22,2617.65,563.459,876.572,1.0,1.4516916650879486,0.0018877182204824,0.0,0.1392338352064828,0.0,0.09591143805185899
-0.2523,-0.0765,-0.026,25,333.4615007371,0.0335,55.69204189377,0.0337,2006103739928170752,0.495,0.0377,-1.817,0.045,-2.278,0.042,0.976,16.382608,0.002802,16.873835,0.004353,15.730155,0.003718,1.14368,,,1.229,2123.597,324.907,441.736,1.0,1.240240378533685,0.0018358801427959,0.0,0.0665282184050995,0.0,0.053641390456707
-0.3171,-0.0683,0.0122,26,333.47171886797,0.0119,55.71974742234,0.0114,2006105423555554176,0.4883,0.0126,-1.812,0.015,-2.333,0.014,1.011,12.577827,0.002761,12.724078,0.002828,12.307615,0.00281,0.416463,,,1.174,6123.811,2351.656,3268.232,1.0,3.538630827762121,0.0018727473592347,0.0,0.0,0.0,0.0
-0.2496,-0.0305,-0.0885,26,333.47922053351,0.0941,55.71919301673,0.0922,2006105419243974016,0.522,0.1066,-1.904,0.122,-2.257,0.117,0.991,18.241035,0.003063,18.965258,0.020276,17.43763,0.007843,1.527628,,,1.254,811.599,54.061,148.123,0.98,0.8687349915085792,0.0027770044304829,0.0,0.1058665704142741,0.0,0.12186290577571214
-0.4741,0.0668,-0.0726,22,333.44299213612,0.0476,55.72107071786,0.0375,2006104010501354752,0.4739,0.0443,-1.983,0.074,-2.417,0.055,1.059,16.328445,0.002835,16.756128,0.016914,15.601987,0.005887,1.154141,,,1.311,1627.426,65.081,209.441,0.75,1.26402831442479,0.0036914830327949,0.0,0.2233702782650619,0.0,0.17671303381104164
-0.199,-0.0237,-0.0289,26,333.50196265722,0.076,55.70079115479,0.0764,2006105148681266688,0.3282,0.0857,-1.925,0.101,-2.122,0.095,0.941,17.921297,0.002957,18.571096,0.013163,17.154564,0.005767,1.416533,,,1.252,1010.831,84.404,215.139,0.93,0.9251990226017144,0.0024337083259085,0.0,0.0568136653007398,0.0,0.06140696640705091
-0.3945,0.07,-0.0839,24,333.43629709668,0.0363,55.6862095453,0.034,2006103705568429568,0.4272,0.0393,-1.887,0.051,-2.276,0.045,0.989,16.347912,0.002795,16.851532,0.004381,15.689197,0.003647,1.162335,,,1.228,2299.156,321.445,462.447,0.99,1.2482073986442588,0.0020876604430735,0.0,0.1624212145456364,0.0,0.13012357940038674
