pmRApmDEcor,PlxpmRAcor,PlxpmDEcor,Nper,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,Source,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RUWE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BPRP,RVDR2,e_RVDR2,EBPRP,RFG,RFBP,RFRP,Pmemb,mass,er_mass,comp_mass,er_comp_mass
0.0927,0.1033,-0.0121,29,121.80296657614,0.0558,-36.06326679663,0.0641,5544789447559528320,0.3267,0.0736,-2.767,0.073,2.376,0.083,1.026,17.633806,0.00297,18.492426,0.011598,16.627016,0.006527,1.86541,,,1.393,980.167,96.445,184.014,0.99,1.491099754515407,0.032785098269191196,1.3937787851801124,0.03824137021013679
0.0757,0.1325,0.0084,28,121.79226263945,0.0263,-36.06067791303,0.0297,5544789451860580736,0.2887,0.0345,-2.832,0.034,2.348,0.039,1.099,16.085112,0.002794,16.870317,0.00452,15.187004,0.003601,1.683313,,,1.314,2352.017,305.298,476.945,1.0,2.362905761860698,0.025175742381605734,1.5065635615373876,0.13269827861533304
0.0497,0.1095,0.1123,27,121.7881489799,0.0765,-36.05183386528,0.0899,5544789516279015040,0.1896,0.1049,-3.13,0.098,2.204,0.12,1.008,18.202076,0.00301,19.108065,0.024075,17.267395,0.00678,1.84067,,,1.31,895.33,45.404,175.708,0.86,1.4977702827196964,0.015483553132398457,0.20859511758043883,0.3141475289576423
0.0537,0.0977,0.0095,29,121.7872944241,0.0189,-36.04761830769,0.0214,5544789520580054912,0.3254,0.0248,-2.844,0.024,2.352,0.027,0.943,15.610076,0.002796,16.927256,0.004765,14.485441,0.003145,2.441814,,,1.402,2280.001,281.095,748.191,1.0,2.5220549392537106,0.009648483317034724,1.40050060708508,0.11969424322231158
0.0001,0.1704,-0.0115,28,121.78496932484,0.0612,-36.05669287678,0.0743,5544789516279012480,0.3927,0.0824,-2.95,0.08,2.431,0.093,0.94,17.85051,0.002942,18.635872,0.01466,16.980234,0.006278,1.655638,,,1.29,1051.363,75.438,193.053,0.97,1.6406802024591962,0.0039962253227033145,0.0,0.16757776009027042
0.0749,0.0955,-0.0247,29,121.79205943936,0.0179,-36.06719736119,0.0212,5544789451860582528,0.2799,0.024,-2.895,0.023,2.452,0.028,0.969,15.492014,0.002779,16.727926,0.00412,14.397788,0.002894,2.330138,,,1.386,3015.479,358.203,1410.404,1.0,2.627772180520144,0.06298536078530713,0.7221124037976003,0.6535398057973366
0.1091,0.1017,-0.0223,28,121.78955713158,0.0556,-36.06542319594,0.0659,5544789447559527680,0.3574,0.0748,-2.701,0.073,2.437,0.085,1.03,17.678082,0.002909,18.55759,0.016169,16.730349,0.006829,1.827242,,,1.33,1164.752,68.171,174.178,0.99,1.5026965053587922,0.046378694063840945,1.3271007875980292,0.06225677371793579
0.0425,0.1516,0.1126,27,121.78311767075,0.069,-36.05149563769,0.0813,5544789516279015808,0.351,0.0951,-2.875,0.089,2.394,0.107,1.016,17.996588,0.002999,18.859316,0.017499,17.093172,0.007831,1.766144,,,1.295,916.754,62.851,148.39,0.99,1.578701826129895,0.006953534627768119,0.143609365907109,0.24559904270858635
0.0386,0.0701,0.0434,28,121.78332851623,0.0234,-36.05988682219,0.0265,5544789520580060672,0.2261,0.0305,-2.802,0.03,2.337,0.033,0.993,15.983506,0.002785,16.720699,0.004215,15.122522,0.003292,1.598177,,,1.298,2687.726,343.651,621.445,0.99,2.406304787150047,0.030277060203594136,1.5159629756535231,0.15966546348731278
0.0037,0.1756,-0.0446,28,121.78106387583,0.0626,-36.0551175832,0.073,5544789516281278464,0.2203,0.0843,-2.98,0.082,2.453,0.091,1.016,17.850243,0.00295,18.672667,0.014601,16.980772,0.005375,1.691895,,,1.278,1030.962,75.756,236.324,0.98,1.6382724194506018,0.004202799117504992,0.0,0.19041263782396542
