pmRApmDEcor,PlxpmRAcor,PlxpmDEcor,Nper,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,Source,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RUWE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BPRP,RVDR2,e_RVDR2,EBPRP,RFG,RFBP,RFRP,Pmemb,mass,er_mass,comp_mass,er_comp_mass,q,e_q,r,mass_system,e_mass_system,r/rh
-0.3471,0.3833,-0.449,21,105.12796624747,0.012,-20.57769527463,0.0158,2932049313997400832,0.437,0.0253,-2.614,0.019,3.856,0.022,1.035,14.697681,0.002766,14.986952,0.002942,14.241506,0.002896,0.745446,,,1.196,4534.235,1164.107,1397.346,1.0,1.557031776626505,0.0176149362345711,1.1226874847249737,0.0646559974730958,0.7210433990996703,0.0423187927773845,0.1187538240010149,2.6797192613514786,0.0670125658946811,0.04960333250991291
-0.2932,0.3592,-0.3789,22,105.13014304752,0.0085,-20.58717736968,0.0111,2932049309691915648,0.4473,0.0174,-2.559,0.014,3.857,0.016,0.985,13.891723,0.002795,14.296722,0.004362,13.253017,0.005078,1.043705,,,1.257,2315.47,323.834,255.882,1.0,1.8823522207569017,0.0245146103147381,0.1560879566416947,0.357913990635029,0.0829217587019559,0.1901449470151548,0.28375035455446385,2.0384401773985963,0.3587525481598355,0.11852218911830968
-0.4343,0.3153,-0.3711,21,105.13629990576,0.0568,-20.58015153449,0.0709,2932049348357136384,0.4243,0.1072,-2.539,0.09,3.877,0.098,0.975,17.779148,0.0029,18.293831,0.012694,17.121239,0.00575,1.172592,,,1.223,1202.275,87.674,215.951,1.0,0.9184851833457434,0.0015843017331717,0.0,0.0601469654048438,0.0,0.065484959905121,0.3109223099828487,0.9184851833457434,0.06016782744451729,0.1298718829188831
-0.3192,0.3051,-0.3474,21,105.13217538198,0.0219,-20.58810347732,0.0283,2932049313997410048,0.4534,0.0431,-2.547,0.033,3.869,0.039,0.992,16.124182,0.002784,16.548841,0.004266,15.502554,0.003407,1.046288,,,1.237,2708.505,336.405,555.401,1.0,1.1302640160962536,0.0267452496740394,1.0244489590665973,0.0428320487136796,0.9063802301738986,0.0435439303620422,0.3472109163607754,2.154712975162851,0.05049646301611358,0.14502959109062383
-0.2609,0.3413,-0.3809,22,105.12753500692,0.0105,-20.5891920093,0.0133,2932049313997414784,0.4412,0.0211,-2.502,0.016,3.85,0.018,1.11,14.36758,0.002765,14.755281,0.002964,13.79376,0.00291,0.961521,,,1.222,4781.085,1085.898,1312.222,1.0,1.563879776240905,0.025235613899955,1.4047982308013738,0.0384400750123946,0.8982776375419885,0.0285356160822054,0.35909379449543066,2.9686780070422785,0.045983427187043444,0.14999305530111562
-0.4711,0.3548,-0.3437,17,105.12238502329,0.0722,-20.58784148383,0.0869,2932047836519276416,0.44,0.1267,-2.422,0.12,3.833,0.128,0.99,17.94187,0.003175,18.17907,0.075002,16.908117,0.060461,1.270952,,,1.674,687.973,14.486,17.977,0.99,0.9204316994474708,0.0108988053098363,0.2339286461737729,0.2809095443608106,0.2541510101338304,0.3052080897177229,0.3788890524376703,1.1543603456212437,0.2811208922691089,0.1582615112442271
-0.2823,0.335,-0.3861,22,105.12283322901,0.0161,-20.58944370715,0.0193,2932047836528669312,0.4281,0.0301,-2.457,0.024,3.867,0.026,1.006,15.381843,0.00277,15.726117,0.00348,14.840037,0.003472,0.88608,,,1.221,3749.757,521.913,525.274,1.0,1.3083649605405636,0.0336587879027892,1.1442752807133103,0.0578961404578275,0.8745841681976426,0.0496422511143997,0.42469986222621986,2.452640241253874,0.06696922489470397,0.1773966325727864
-0.2669,0.3249,-0.3855,22,105.13837330402,0.0164,-20.5854222313,0.0202,2932049245277924736,0.4429,0.0317,-2.633,0.026,3.777,0.027,1.012,15.47096,0.002771,15.772026,0.003431,14.981263,0.003241,0.790763,,,1.21,3658.131,543.659,658.275,1.0,1.4001742553342191,0.0011841775073116,0.0,0.1167668402196029,0.0,0.0833945059157875,0.43987553270803714,1.4001742553342191,0.11677284466535487,0.18373549227101407
-0.2485,0.3521,-0.3934,22,105.12348228234,0.0067,-20.59070198573,0.0088,2932047836528670592,0.4262,0.0139,-2.559,0.011,4.011,0.012,1.049,13.243215,0.002758,13.943733,0.002863,12.425473,0.002807,1.51826,82.45,2.42,1.274,8879.983,1691.471,3504.684,0.99,1.933733929583432,0.0327744444810036,0.0,0.2406130247926538,0.0,0.1244292304704438,0.45983746908478795,1.933733929583432,0.24283490669775756,0.19207356960003746
-0.2643,0.3185,-0.3981,22,105.1357592827,0.0149,-20.58987535168,0.0186,2932049245277932288,0.4043,0.0298,-2.492,0.023,3.91,0.025,1.262,14.870694,0.002767,15.237669,0.003021,14.316379,0.002942,0.92129,,,1.219,4339.216,936.633,1162.586,1.0,1.392032524579848,0.0202567479855954,1.3248542332462092,0.0249938230701852,0.9517408608294444,0.0226758007605264,0.48266373100525256,2.716886757826057,0.032171835984532264,0.20160807233730924
-0.3428,0.4062,-0.3624,20,105.11909486604,0.0278,-20.5888378762,0.0342,2932047836528671360,0.4095,0.0528,-2.621,0.043,3.877,0.045,1.006,16.405512,0.002789,16.842857,0.004138,15.775589,0.004215,1.067268,,,1.237,2520.7,355.28,343.714,1.0,1.096691839723891,0.026390950688776,0.9334465772496215,0.0504134550722036,0.8511475543436442,0.0503252990655319,0.49475755449926895,2.0301384169735126,0.05690341580761648,0.20665964817611984
-0.339,0.3471,-0.4307,18,105.11521090994,0.0294,-20.58698062768,0.039,2932047836529129856,0.48,0.0582,-2.581,0.044,3.708,0.051,1.031,16.54398,0.002911,16.706142,0.046617,15.431684,0.034546,1.274458,,,1.797,1154.533,23.332,31.532,1.0,1.0881204344240412,0.0198444605799841,1.0051552029695416,0.0298101664484905,0.9237536316479396,0.0321614341063659,0.5725824966252341,2.0932756373935826,0.03581129206545404,0.23916703490082847
-0.3042,0.3024,-0.377,22,105.12104804753,0.0685,-20.5938646598,0.0861,2932047832224395520,0.3053,0.133,-2.56,0.103,3.864,0.112,0.97,18.216976,0.002977,18.935375,0.01403,17.316116,0.011662,1.619259,,,1.339,962.599,78.963,95.881,0.99,0.7836501069956703,0.0192851737697453,0.7137810461397378,0.0300812687682572,0.9108415091988004,0.0444515152461368,0.6186519731441983,1.497431153135408,0.035732347502471735,0.2584102010182267
-0.2507,0.3554,-0.3622,22,105.11069322868,0.0143,-20.57868775365,0.0182,2932050791466166272,0.3887,0.0277,-2.491,0.022,3.798,0.024,0.984,15.152986,0.002773,15.474569,0.003297,14.659014,0.003143,0.815556,,,1.203,3468.663,618.415,749.963,1.0,1.4332565427813215,0.0150491044391834,1.026585512529201,0.0528445201861184,0.71626082413484,0.0376294541687397,0.6863001770784535,2.4598420553105225,0.0549455990787481,0.28666677617845554
-0.3684,0.3133,-0.3774,20,105.1385306738,0.0279,-20.56636068259,0.0356,2932049348357121024,0.3882,0.0536,-2.594,0.043,3.801,0.047,0.975,16.497421,0.002795,16.893229,0.004481,15.931828,0.003592,0.961401,,,1.212,2306.401,309.693,480.043,1.0,1.1591381665914575,0.0012491085732808,0.0,0.131077807871006,0.0,0.11308212571108,0.7088783230051215,1.1591381665914575,0.13108375943836906,0.2960976411571553
-0.3816,0.368,-0.3807,19,105.14695415887,0.0296,-20.57995932839,0.035,2932049279638139136,0.367,0.0549,-2.608,0.047,3.795,0.048,1.04,16.454529,0.002794,16.841581,0.00411,15.889677,0.003478,0.951904,,,1.216,2337.339,359.798,523.058,1.0,1.168719553451267,0.0013703215433765,0.0,0.1028519626063132,0.0,0.0880039717848375,0.7238216531019149,1.168719553451267,0.10286109076372217,0.30233945255002714
-0.3577,0.3282,-0.3853,20,105.14638585955,0.0406,-20.58489382461,0.0538,2932049279637656832,0.4405,0.0846,-2.516,0.065,3.9,0.069,1.01,17.180193,0.002834,17.627625,0.007359,16.560938,0.004828,1.066687,,,1.225,1634.029,159.439,275.577,1.0,1.0252146508268156,0.0013631355953118,0.0,0.0671022499343903,0.0,0.0654519030529593,0.7240928142634013,1.0252146508268156,0.06711609408263111,0.3024527162480186
-0.3226,0.4022,-0.363,21,105.13243913605,0.0162,-20.59811542282,0.0202,2932047767809194752,0.4775,0.0316,-2.624,0.026,3.97,0.029,1.149,15.08972,0.002765,15.587859,0.003067,14.413599,0.002977,1.17426,,,1.243,4616.139,852.832,1045.194,0.96,1.3287530310936655,0.0174746515273896,1.2769684602548124,0.0213849267191141,0.961027693162641,0.0204634143232404,0.744891107213868,2.605721491348478,0.027616635145969175,0.31114013873347696
-0.271,0.3586,-0.3531,22,105.10863265603,0.0201,-20.58293199281,0.0258,2932050791466172416,0.4815,0.0389,-2.394,0.031,3.651,0.034,1.138,15.685748,0.002808,16.037102,0.003866,15.112774,0.003284,0.924328,,,1.238,1997.576,405.817,626.877,0.94,1.2638919449668145,0.0326976242007556,1.034683991561815,0.0702786352184416,0.818649090756712,0.059501734625398,0.7681921904102916,2.2985759365286293,0.07751271635377398,0.32087297375884394
-0.2952,0.3209,-0.3278,21,105.14105042457,0.047,-20.59593850652,0.0625,2932049245277935616,0.4602,0.0912,-2.439,0.072,3.842,0.08,1.051,17.460577,0.002851,18.015938,0.00828,16.775896,0.005158,1.240042,,,1.226,1479.615,139.273,250.278,0.99,0.950030703590539,0.0101726654122496,0.6492789631899758,0.046344569106172,0.6834294520546501,0.0493280229560387,0.8066105561880614,1.5993096667805147,0.047447889386424046,0.3369202799251354
-0.3652,0.3243,-0.3549,21,105.13737406085,0.0318,-20.56266678005,0.0397,2932052303294616704,0.3781,0.0593,-2.716,0.048,3.789,0.053,0.991,16.761463,0.002799,17.225023,0.005776,16.149086,0.004296,1.075937,,,1.213,2210.183,214.664,332.424,0.98,1.0851987966117522,0.0092869270517031,0.6916505391410507,0.0525680197591279,0.6373491578690905,0.0487470155939489,0.8197217369140641,1.7768493357528028,0.05338205424540832,0.34239680468229955
-0.3296,0.3471,-0.4033,22,105.13077893601,0.0082,-20.56088293683,0.0101,2932052303294620416,0.4573,0.016,-2.496,0.013,3.826,0.014,1.017,13.719127,0.002762,14.008871,0.002845,13.265091,0.002827,0.74378,,,1.195,5669.257,1959.756,2384.873,1.0,1.796910507321486,0.0111973679928158,1.4667231660192552,0.0319099691824019,0.8162471976445754,0.018472321407272,0.8197847216174787,3.263633673340741,0.03381755732143253,0.3424231133187817
-0.2813,0.3926,-0.3861,22,105.10868687673,0.0124,-20.57304827979,0.0154,2932052268934911232,0.4234,0.0245,-2.492,0.019,3.835,0.02,1.0,14.782131,0.002765,15.098165,0.003069,14.290261,0.002966,0.807903,,,1.204,4630.548,849.932,1080.424,1.0,1.4312758961540966,0.0273630672508056,1.324164675827899,0.0373976917518746,0.9251638201872816,0.0315524776881838,0.8207233334844357,2.7554405719819957,0.04633923605046095,0.3428151703908472
-0.3247,0.3535,-0.3739,22,105.14405564998,0.0075,-20.56645029123,0.0096,2932049451436331392,0.4251,0.0153,-2.516,0.012,3.913,0.013,1.042,13.504478,0.00276,14.130429,0.002878,12.740701,0.002818,1.389729,,,1.258,6912.714,1539.965,2736.815,1.0,1.905676691873816,0.0044415139253172,0.3253865997533969,0.5420941621395368,0.1707459618627388,0.2844630964516083,0.8450032813393391,2.231063291627213,0.5421123570549883,0.3529568760319205
-0.3587,0.3439,-0.3124,22,105.1223796247,0.0203,-20.56068913248,0.0255,2932052303294625024,0.4635,0.0384,-2.561,0.032,3.8,0.036,0.955,15.857826,0.002775,16.215,0.003414,15.323131,0.003127,0.89187,,,1.211,3320.351,552.088,769.22,1.0,1.2922946713904064,0.0076617078426376,0.5946256628143646,0.2646346441771607,0.4601316371401536,0.2047970414089851,0.853418065754029,1.886920334204771,0.26474553190911154,0.3564717215775893
-0.4044,0.4004,-0.4025,20,105.11265067169,0.0621,-20.56573791197,0.0738,2932052337654375936,0.3197,0.1181,-2.479,0.096,4.115,0.098,0.994,17.836481,0.002909,18.384951,0.013141,17.162378,0.007761,1.222572,,,1.221,1164.294,84.551,149.93,0.73,0.9074354883236896,0.0017080442703101,0.0,0.114356044617834,0.0,0.1260211288728464,0.862131889463489,0.9074354883236896,0.11436879974829402,0.360111475484709
-0.3403,0.3478,-0.2825,22,105.12079034844,0.0181,-20.56070516404,0.023,2932052303294626048,0.3517,0.0345,-2.571,0.028,3.798,0.033,0.954,15.579271,0.002825,15.912894,0.003767,15.071436,0.003321,0.841458,,,1.205,1744.301,429.013,602.636,1.0,1.3615754993619815,0.0076111960434969,0.5958649600627917,0.2881448616392427,0.4376290263316335,0.2116402015092144,0.8713462532111931,1.9574404594247732,0.2882453669953966,0.363960304376659
-0.3073,0.345,-0.3776,22,105.11744364948,0.0086,-20.56209907922,0.0107,2932052372014106112,0.4351,0.0168,-2.474,0.014,3.831,0.015,0.972,13.850788,0.00278,14.171579,0.003103,13.356701,0.002912,0.814878,,,1.203,2910.616,799.333,1304.732,1.0,1.8476193727392949,0.0055391901565806,0.2498033551275489,0.4236624017915562,0.13520282305613,0.2293021333155268,0.8717777929085435,2.0974227278668436,0.4236986114201706,0.3641405580003126
-0.8622,0.421,-0.385,15,105.14945573499,0.0613,-20.57196574625,0.0791,2932049451426829312,0.4248,0.0581,-2.469,0.086,3.677,0.105,1.147,15.863886,0.003044,,,,,,,,,839.274,,,0.99,0.8194237817183772,0.576877799855115,0.3001645495950902,0.4368492199261876,0.3663117379454481,0.5922153555880426,0.894005247723261,1.1195883313134674,0.7236195387880269,0.3734249397143201
-0.314,0.3186,-0.3555,21,105.11309308081,0.0683,-20.59698485571,0.0877,2932047836528683904,0.303,0.1319,-2.506,0.106,3.776,0.114,1.388,17.612284,0.00316,18.216112,0.012413,16.780663,0.005754,1.43545,,,1.321,701.652,89.763,215.736,0.98,0.8656675935936604,0.0201091142204191,0.7930102944125602,0.0306818802224575,0.916067899828066,0.0413405617897488,0.8999584412596567,1.6586778880062205,0.03668452328591842,0.3759115816474606
-0.4303,0.3748,-0.3421,21,105.14972027595,0.0184,-20.57173766045,0.0241,2932049451436332032,0.4888,0.035,-2.494,0.029,3.687,0.031,1.709,14.200209,0.002775,14.338068,0.006824,13.599338,0.00672,0.73873,,,1.371,3299.502,174.347,177.606,0.99,1.759733422570043,0.0197121297529616,0.72307291532779,0.5249172179260421,0.410899120317759,0.2983291096043651,0.9071784852974402,2.482806337897833,0.5252872107091638,0.37892738554392563
-0.2306,0.3307,-0.4144,22,105.11910483446,0.0079,-20.60097407647,0.0103,2932047836528683264,0.4173,0.0168,-2.601,0.012,3.89,0.014,1.01,13.769537,0.002767,14.155339,0.002989,13.202978,0.002851,0.952361,,,1.218,4246.719,1014.082,1849.654,1.0,1.8753951293103488,0.0010851830343801,0.0,0.2333510896140891,0.0,0.124427693112278,0.9175149800301784,1.8753951293103488,0.2333536128846107,0.38324492722755676
-0.2717,0.33,-0.3448,21,105.13964897915,0.0682,-20.60013507119,0.0898,2932049245277941248,0.4191,0.1374,-2.584,0.102,3.81,0.113,1.055,18.100851,0.00295,18.725916,0.015083,17.345594,0.007248,1.380322,,,1.252,1031.411,73.25,162.317,0.99,0.8524758619145275,0.0104002089528425,0.5266118469005081,0.1503754345581655,0.6177439977219065,0.1765593877865829,0.9227295860411189,1.3790877088150357,0.15073465316515608,0.38542306202064486
-0.2357,0.3729,-0.3425,22,105.14646854473,0.0141,-20.59542911785,0.018,2932049245277930752,0.419,0.0279,-2.554,0.022,3.861,0.024,1.028,15.160704,0.002768,15.537033,0.003292,14.603735,0.002971,0.933298,,,1.216,4055.769,621.266,1064.286,1.0,1.3215408834696576,0.0229026782916258,1.2515483042787832,0.0301390385132565,0.9470371442409624,0.0280976947755902,0.9359397445822553,2.5730891877484408,0.03785359052234367,0.39094092969469174
-0.2989,0.3637,-0.4197,22,105.10493451169,0.0121,-20.57379334766,0.0152,2932050860185641984,0.3845,0.0238,-2.564,0.019,3.825,0.021,0.983,14.781163,0.002766,15.090294,0.002972,14.301703,0.00293,0.78859,,,1.2,4524.667,1061.028,1213.084,1.0,1.459486054521561,0.0304358934226003,1.280888925432477,0.0499150726222579,0.8776301229218455,0.0387895890618552,0.9473742423741526,2.740374979954038,0.05846245019939863,0.395717105963765
-0.3577,0.4105,-0.3266,19,105.13411893493,0.0335,-20.60287864014,0.0437,2932047767809198336,0.4823,0.0661,-2.515,0.054,4.015,0.059,1.022,16.852978,0.002811,17.409945,0.008545,16.137682,0.004251,1.272263,,,1.248,1942.391,134.437,338.551,0.96,0.9812522227782092,0.0182028921592173,0.909633253155524,0.0256219654864541,0.9270126803688544,0.0312655918286352,0.9517188710406098,1.8908854759337332,0.03142976930155771,0.39753185224404086
-0.305,0.3564,-0.4004,22,105.1133063433,0.0128,-20.59950328577,0.0163,2932047802168948992,0.4547,0.0254,-2.386,0.02,3.682,0.022,1.037,14.972124,0.002766,15.251602,0.003045,14.526076,0.002914,0.725526,,,1.195,4390.245,889.556,1289.933,0.96,1.5343051648868686,0.0033362036410942,0.1712468464831553,0.3037164958165692,0.1116119859348724,0.1979506626363568,0.9762298929396659,1.705552011370024,0.3037348186919487,0.4077700772413786
-0.3501,0.3163,-0.3227,21,105.15333559505,0.0272,-20.57623987512,0.0352,2932049279637643392,0.4563,0.0516,-2.433,0.043,3.843,0.047,1.001,16.470316,0.002794,16.926668,0.005334,15.827344,0.004477,1.099324,,,1.237,2341.836,238.819,310.147,0.99,1.0649757064375336,0.025394092782346,0.9566477859420388,0.0416012665107886,0.8982813224370496,0.0445501226221753,0.9869905029814521,2.0216234923795726,0.048739361131841456,0.412264771390408
-0.3322,0.3376,-0.4012,22,105.14121623388,0.0069,-20.55947344493,0.0086,2932052406373826944,0.4507,0.0136,-2.576,0.011,3.785,0.012,0.972,13.128302,0.002758,13.784629,0.002834,12.342245,0.002812,1.442384,,,1.264,8806.753,2198.167,3074.065,1.0,1.9613285171907404,0.0446003085778036,0.126259204840188,0.3267418284904176,0.0643743277750492,0.1665985273642395,1.006081977737607,2.0875877220309285,0.32977175441583345,0.42023925792505695
-0.3177,0.3486,-0.4013,22,105.12893529897,0.0113,-20.55616706182,0.0136,2932052303294616192,0.3733,0.0217,-2.586,0.018,3.806,0.019,1.023,14.551554,0.002768,14.866156,0.003169,14.069605,0.00289,0.796551,,,1.199,4074.519,722.573,1440.562,1.0,1.487014937980036,0.0291953306493592,1.3901516938468956,0.0411017880665497,0.9348606112426016,0.0331796140970842,1.009627552901482,2.8771666318269316,0.05041551659948532,0.42172024049780404
-0.2721,0.343,-0.3979,22,105.14255644276,0.0105,-20.60098747804,0.0133,2932049039119510016,0.4255,0.021,-2.664,0.016,3.717,0.018,1.041,14.475585,0.002761,14.867568,0.002883,13.903845,0.002876,0.963723,,,1.218,6009.505,1496.029,1558.554,0.99,1.5046158339746944,0.0244998374466001,1.4155810848299362,0.031641707316834,0.940825593394456,0.0260180724032689,1.0108490829391374,2.9201969188046304,0.04001799191406304,0.4222304721567707
-0.2945,0.2859,-0.3878,21,105.11695355267,0.042,-20.60256756173,0.0541,2932047836528688512,0.3871,0.0837,-2.62,0.064,3.749,0.071,0.979,17.350739,0.002836,17.977161,0.010149,16.583748,0.004576,1.393414,,,1.26,1611.835,111.27,299.385,0.99,0.8980432552634662,0.0192512858655064,0.831097386638185,0.0285618517204182,0.9254536257213573,0.0374847950027019,1.0119574366517217,1.729140641901651,0.03444403259164935,0.42269343019796557
-0.3282,0.3294,-0.3939,21,105.13729179188,0.0194,-20.55709073002,0.0233,2932052406374330240,0.4076,0.0365,-2.534,0.03,3.904,0.033,1.001,15.774773,0.002772,16.145126,0.003209,15.233709,0.003269,0.911417,,,1.208,3601.438,684.72,637.33,1.0,1.2897200302698764,0.01235916857284,0.8591803201199616,0.0604036251333122,0.6661758365807318,0.0472677565619347,1.0318705619268322,2.148900350389838,0.06165506448830932,0.43101111918728535
-0.3676,0.3356,-0.3831,22,105.14954075658,0.0116,-20.56491903303,0.0144,2932049451436326784,0.4302,0.0226,-2.619,0.018,3.956,0.02,1.044,14.625464,0.002769,14.90906,0.003769,14.107173,0.007158,0.801888,,,1.237,3956.033,428.48,164.711,1.0,1.4727316768361465,0.0278051594759107,1.3770291101365315,0.0381685421474782,0.9350169700259237,0.0313578476403846,1.0474152369903473,2.849760786972678,0.04722249996711998,0.43750411166496334
