pmRApmDEcor,PlxpmRAcor,PlxpmDEcor,Nper,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,Source,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RUWE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BPRP,RVDR2,e_RVDR2,EBPRP,RFG,RFBP,RFRP,Pmemb,mass,er_mass,comp_mass,er_comp_mass,q,e_q
0.1472,0.1037,0.0821,23,56.97774555775,0.0422,59.06242557033,0.0361,473267398452189568,0.5557,0.0534,0.493,0.062,-2.287,0.058,1.048,16.563797,0.002801,17.312714,0.006658,15.719763,0.003508,1.592951,,,1.28,2162.15,179.592,510.5,0.96,1.3032963811243852,0.0013254677832555,0.0,0.074491975807872,0.0,0.05715658915864247
0.2186,0.0521,0.0437,22,56.97340054677,0.0465,59.06282847423,0.0404,473267604610620544,0.6202,0.0582,0.302,0.071,-2.578,0.068,1.027,16.843374,0.002825,17.599588,0.009509,15.974322,0.004446,1.625266,,,1.299,1745.67,119.443,313.678,0.98,1.232661436322848,0.0016327942835945,0.0,0.0696197459189884,0.0,0.056479211458639475
0.2069,0.0494,0.1022,23,56.99165318926,0.0278,59.06627361566,0.0252,473267398452186112,0.5454,0.0357,0.537,0.041,-2.572,0.041,1.117,15.741563,0.002779,16.456913,0.004438,14.90564,0.003082,1.551273,,,1.284,3005.573,314.631,829.302,0.96,1.4628931177731213,0.0201953774598596,1.121848906189993,0.0439850770273499,0.7668700416731193,0.03187654421347222
0.2506,0.0436,0.0394,22,56.97365218304,0.012,59.06456164731,0.0107,473267604610619264,0.5905,0.0152,0.676,0.018,-2.384,0.018,1.051,13.971903,0.00276,14.405189,0.002872,13.35487,0.002828,1.050319,,,1.23,6793.35,1595.965,2341.942,0.95,2.6033495940845297,0.0017984152103315,0.0,0.0,0.0,0.0
0.1095,-0.0274,0.2292,23,56.99841661276,0.12,59.06414152609,0.1169,473267394149392512,0.5158,0.1619,0.263,0.179,-2.717,0.19,0.948,18.635382,0.003242,19.596786,0.049388,17.647379,0.012407,1.949408,,,1.345,635.525,22.019,89.808,0.85,0.8636560925459388,0.0073644194467497,0.0,0.1880582865290705,0.0,0.2177467259852248
0.2826,0.0659,0.0666,22,56.96885023999,0.0103,59.06463685065,0.0093,473267501531467520,0.5999,0.013,0.579,0.015,-2.44,0.016,0.957,13.449433,0.002759,13.866969,0.002925,12.844894,0.002815,1.022075,,,1.228,7411.105,1238.288,2915.242,1.0,2.946799945556912,0.0015746522107498,0.0,0.0,0.0,0.0
0.1833,0.0235,0.137,23,56.99154215708,0.0541,59.06876412034,0.0497,473267398452184064,0.6854,0.0698,0.457,0.081,-2.362,0.08,1.003,17.283352,0.002937,18.128048,0.010966,16.372599,0.005224,1.755449,,,1.307,1068.098,102.376,245.85,0.98,1.12331522204759,0.0073100350684199,0.2414772561935754,0.2902128127905683,0.21496838238638688,0.2583576377267617
0.2636,0.0197,0.0606,23,57.0040757553,0.0273,59.0536193387,0.0249,473267329732713728,0.6008,0.0343,0.426,0.041,-2.72,0.041,0.983,15.882073,0.002793,16.70023,0.004893,14.987812,0.003187,1.712418,,,1.301,2382.688,270.153,704.997,0.84,1.3226788456544756,0.0260279627701794,1.2361576955199678,0.0341458581918042,0.9345864263129602,0.031696659448990055
0.1429,0.1116,0.0667,23,57.0092774457,0.0418,59.06304674731,0.0363,473267364092445952,0.6169,0.0523,0.479,0.063,-2.592,0.058,1.011,16.679863,0.002809,17.467083,0.008551,15.806244,0.003909,1.660839,,,1.292,1982.131,134.315,396.542,0.99,1.261832278445223,0.0110629902765274,0.4701970100685603,0.3203789702025543,0.3726303551593382,0.25392082343642997
0.1405,0.0043,0.1646,23,56.96685434143,0.0771,59.06792025139,0.0751,473267501531403520,0.4691,0.1028,0.692,0.114,-2.57,0.119,0.999,17.930248,0.003041,19.012667,0.069681,17.009192,0.02809,2.003475,,,1.251,844.16,15.594,38.845,0.8,0.9129392787729416,0.0318855301607486,0.7604322212099376,0.0618086537321201,0.8329493964067525,0.07368865002318915
0.2422,0.0729,0.1222,23,57.01152446515,0.0233,59.06173182603,0.0207,473267364092446592,0.592,0.0285,0.678,0.034,-2.528,0.033,1.013,15.49239,0.002772,16.188171,0.003648,14.67291,0.003027,1.515262,,,1.277,3601.554,461.904,924.379,0.88,1.5068532832794317,0.0299228380568606,1.256832514076068,0.0454827012024943,0.8340775628406023,0.03442963165431467
0.2866,-0.0595,0.0581,22,56.99731651106,0.0596,59.04642543634,0.0559,473267329732718208,0.6057,0.078,0.34,0.091,-2.496,0.095,1.013,17.436676,0.002859,18.322786,0.016122,16.522861,0.005684,1.799925,,,1.297,1422.212,68.376,219.254,0.98,1.077746537814029,0.0101346960712848,0.4566931094701878,0.2831370854897274,0.4237481573325107,0.26274234537139635
