pmRApmDEcor,PlxpmRAcor,PlxpmDEcor,Nper,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,Source,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RUWE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BPRP,RVDR2,e_RVDR2,EBPRP,RFG,RFBP,RFRP,Pmemb,mass,er_mass,comp_mass,er_comp_mass
-0.229,0.1295,0.351,10,160.99401396545,0.1276,-59.5491072551,0.1361,5350363905936140416,0.4289,0.1762,-6.212,0.146,2.124,0.15,1.304,17.003115,0.005119,17.365547,0.092647,15.551487,0.072149,1.81406,,,2.122,251.685,11.724,15.06,0.7,1.5696169719627877,0.0608254535086462,0.9887792376819596,0.3893389806030804
0.5097,-0.1173,-0.3257,23,160.99348040721,0.014,-59.55044876615,0.0183,5350363905936139904,0.4014,0.0168,-6.443,0.021,2.09,0.025,0.934,11.570413,0.002778,11.789976,0.003439,11.156472,0.003467,0.633504,,,1.209,3085.328,539.866,527.563,0.99,9.610874213350275,0.9870531237564,4.974491489342338,1.6855773695190084
0.3203,0.0593,-0.0818,25,160.99013112509,0.0141,-59.54825837496,0.0154,5350363910256783744,0.4191,0.0162,-6.618,0.02,2.182,0.019,0.951,8.697861,0.0028,8.7838,0.007377,8.351714,0.005975,0.432086,,,1.249,2188.017,158.989,205.477,0.98,19.544665421297065,2.319163567174427,9.995356322507858,8.571262197739916
0.1444,0.1252,-0.0842,19,160.99523320819,0.0153,-59.55195315012,0.0173,5350363905936141568,0.4192,0.0186,-6.381,0.018,2.241,0.019,0.969,13.984647,0.002826,14.595432,0.012654,13.145484,0.005699,1.449948,,,1.325,1729.759,87.967,218.48,0.97,2.1588285909901184,0.0823506957321036,2.0193930647904885,0.0280066611279356
0.1828,0.2989,0.0906,21,160.99768123767,0.0124,-59.54758849458,0.0137,5350363910256795136,0.4295,0.0155,-6.568,0.017,2.078,0.016,1.157,13.478323,0.011206,13.909863,0.032901,12.768196,0.028203,1.141667,,,1.297,99.962,33.119,38.687,0.99,3.42359839127114,0.1055762570381392,2.063815087247983,0.06139621035665
-0.0144,0.2835,-0.0562,22,160.99534438645,0.0117,-59.5465388882,0.0102,5350363905936142080,0.3995,0.0127,-6.554,0.015,1.947,0.012,0.885,12.40485,0.002775,12.57552,0.003015,12.064774,0.002995,0.510746,,,1.195,3305.928,949.486,996.717,0.99,6.13527381646257,0.0069788790428805,0.0,0.0
0.056,0.054,-0.0453,21,160.99967485559,0.0606,-59.55242109815,0.0675,5350363910241945088,0.4157,0.0766,-6.232,0.077,2.146,0.071,3.949,12.925641,0.002875,13.574643,0.022922,11.961051,0.010915,1.613592,,,1.422,1322.867,47.721,102.891,0.87,4.461808594486106,0.2529351565315672,2.23533850057523,0.4606723143883141
0.2503,0.0821,0.001,26,160.99946524543,0.0114,-59.55305577982,0.0132,5350363910256781824,0.453,0.0137,-6.451,0.016,1.963,0.015,0.883,10.978518,0.002802,11.141409,0.004342,10.631021,0.00369,0.510387,,,1.204,2128.956,326.388,449.674,0.97,11.964586481678625,2.2700498457704827,4.613598364092642,3.503551597981247
0.2682,-0.0456,-0.1958,23,160.98503241689,0.012,-59.54713832206,0.0172,5350363910256780800,0.4432,0.0165,-6.266,0.018,2.077,0.023,0.841,10.854255,0.002789,10.937397,0.005491,10.574459,0.004898,0.362938,,,1.216,2522.119,229.601,269.692,0.94,11.43377306263928,0.1406448827605078,0.0,0.0
-0.0078,0.1956,-0.045,21,160.9869664217,0.0503,-59.55316147347,0.0514,5350363807162633216,0.33,0.0586,-6.302,0.068,1.995,0.059,1.06,16.639524,0.011771,17.195375,0.052325,15.31842,0.064086,1.876955,,,1.856,94.872,20.779,16.958,0.8,1.6008244512422447,0.0519783613451701,1.3220258874000723,0.1689548127719091
