pmRApmDEcor,PlxpmRAcor,PlxpmDEcor,Nper,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,Source,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RUWE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BPRP,RVDR2,e_RVDR2,EBPRP,RFG,RFBP,RFRP,Pmemb,mass,er_mass,comp_mass,er_comp_mass
0.2691,0.1203,0.0633,29,164.10759866791,0.0106,-59.2272833962,0.0103,5338757774767670144,0.4092,0.0125,-4.639,0.014,2.274,0.013,0.862,10.288422,0.002788,10.547278,0.002952,9.849596,0.002885,0.697682,,,1.202,2550.601,1126.132,1483.136,1.0,9.210182310503216,0.021401446723345874,2.031433135622154,1.6545448820876831
0.2892,0.2504,0.0433,25,164.10845600235,0.0099,-59.22415420436,0.0087,5338763650283175296,0.4126,0.0114,-4.688,0.013,2.367,0.011,0.848,12.458179,0.002762,12.722607,0.00285,12.015712,0.002826,0.706895,,,1.201,5690.699,1865.512,2430.819,0.97,5.944782729845141,0.018359394906543303,0.4889074168588059,0.6187961370584252
0.3287,0.0673,-0.064,28,164.1128861985,0.0341,-59.22947224977,0.0322,5338757568609272576,0.4905,0.0387,-4.618,0.045,2.242,0.042,0.992,16.351213,0.003122,16.598263,0.033168,15.339496,0.026789,1.258767,,,1.646,739.338,32.851,40.751,0.98,1.6097912701306887,0.011221095770874887,0.43860387898692765,0.3746044673440636
0.3163,0.1283,0.0588,29,164.09473326188,0.0117,-59.22346020994,0.0114,5338757774767668736,0.4024,0.0135,-4.632,0.015,2.226,0.013,0.881,13.74886,0.002773,14.016244,0.002909,13.30336,0.00286,0.712884,,,1.201,3428.468,1320.94,1730.217,1.0,3.766338195745307,0.0038666095528700224,0.0,0.059968265205324695
0.181,0.2014,0.0878,29,164.1116993061,0.021,-59.23148595998,0.0198,5338757568609236352,0.4232,0.0248,-4.693,0.027,2.218,0.024,0.979,15.518357,0.002776,15.893683,0.003503,14.957658,0.003391,0.936026,,,1.219,3228.917,512.517,563.398,1.0,1.9535520950624354,0.0029910113436696566,0.0,0.0656593145247427
0.3029,0.13,0.0318,29,164.11553779308,0.028,-59.22689553309,0.0259,5338763444124744960,0.3661,0.0322,-4.675,0.037,2.138,0.033,0.968,16.060911,0.002793,16.530804,0.004428,15.409974,0.00336,1.12083,,,1.237,2388.929,315.763,580.083,0.98,1.66023840915284,0.002456962396171461,0.0,0.09540634425433729
0.3191,0.1643,0.0549,27,164.09840064402,0.0634,-59.22160776741,0.0601,5338763650283174272,0.5013,0.0695,-4.56,0.078,2.329,0.069,0.971,17.457552,0.002883,18.112284,0.013706,16.618868,0.010017,1.493416,,,1.308,1277.436,80.91,112.86,0.95,1.2374021925648855,0.0031975436392026498,0.11954953797816889,0.19365232415979805
0.3031,0.2333,0.1396,28,164.11215122028,0.0505,-59.22223633659,0.0481,5338763650283178624,0.4613,0.0584,-4.603,0.067,2.238,0.059,1.011,17.195019,0.002877,17.845503,0.010189,16.402088,0.007206,1.443415,,,1.272,1313.882,110.797,163.432,0.98,1.297410296357241,0.002366602870713688,0.0,0.1601274325602101
0.2489,0.1049,-0.0396,27,164.09488518025,0.1207,-59.23366675731,0.1132,5338757774727269760,0.4449,0.137,-4.731,0.155,2.025,0.141,0.95,18.631546,0.003563,19.533169,0.032375,17.798962,0.014917,1.734207,,,1.222,480.685,33.661,74.093,0.86,0.9519944064062033,0.003069978367640158,0.0,0.11336803145145796
0.2438,0.1203,0.0529,29,164.08729025355,0.1254,-59.22719892164,0.1139,5338757774727298944,0.2751,0.1391,-4.672,0.155,2.37,0.134,1.01,18.641577,0.003703,19.452635,0.026487,17.837179,0.013084,1.615456,,,1.227,438.944,41.22,84.936,0.81,0.9533119150309113,0.0040698046171714795,0.0,0.09149690981105989
0.2582,0.1771,0.0679,29,164.12078652287,0.0218,-59.22433294684,0.0204,5338763439781979008,0.3846,0.0252,-4.683,0.028,2.111,0.025,0.996,15.544703,0.002776,15.895198,0.003725,14.989554,0.004215,0.905643,,,1.227,3236.064,439.834,343.62,0.98,1.9411186839628198,0.00390873890653709,0.0,0.04120422600020784
