pmRApmDEcor,PlxpmRAcor,PlxpmDEcor,Nper,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,Source,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RUWE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BPRP,RVDR2,e_RVDR2,EBPRP,RFG,RFBP,RFRP,Pmemb,mass,er_mass,comp_mass,er_comp_mass,q,e_q,r,mass_system,e_mass_system,r/rh
0.1628,0.3837,0.0189,29,168.60878938497,0.0094,-57.5641517967,0.0095,5339935351709369728,0.4425,0.0128,-1.73,0.013,-1.276,0.011,0.99,13.231657,0.002758,13.900135,0.002861,12.44471,0.002808,1.455425,-22.17,1.73,1.261,9502.558,1718.485,3391.29,1.0,1.3640314452278028,0.0010412361311746,0.9763402228679122,0.3886421403571269,0.7157754509866571,0.2849222107974486,0.11890758597143991,2.340371668095715,0.38864353517593675,0.03140870613616936
0.1102,0.3418,0.0386,29,168.60776794573,0.0249,-57.56111044858,0.0243,5339935351709374976,0.4179,0.0328,-1.653,0.034,-1.215,0.029,1.069,15.76749,0.002777,16.162022,0.003668,15.19315,0.003457,0.968872,,,1.219,3134.217,456.014,532.023,1.0,1.1713051767958955,0.0333049557859008,0.9029203744017948,0.0943776399504985,0.770866886178829,0.0835028727635913,0.17127683830736934,2.0742255511976904,0.10008176158784746,0.045241721445934205
0.24,0.3286,0.0013,28,168.60731115648,0.0094,-57.55940148042,0.0096,5339935351709378816,0.4557,0.0126,-1.389,0.013,-1.32,0.011,0.992,13.060775,0.002759,13.746784,0.00286,12.261466,0.002808,1.485318,-24.5,1.64,1.264,7555.408,1723.1,3441.685,0.62,1.3658493894407275,0.0007126637627766,0.6501255281982884,0.5373927514662872,0.4759862494535319,0.3934495726125207,0.2264601178834101,2.015974917639016,0.5373932240158462,0.05981804471138375
0.1793,0.2685,0.0685,28,168.60168355428,0.0523,-57.56157311061,0.0487,5339935351716750208,0.4755,0.0653,-1.604,0.069,-1.277,0.059,1.021,17.171412,0.002899,17.642275,0.014721,16.482292,0.006186,1.159983,,,1.264,1206.368,75.116,196.658,1.0,0.9668338260405028,0.0076020467922856,0.641744542399946,0.0486450766331337,0.6637588850486308,0.0505837514414435,0.2847847660990599,1.6085783684404489,0.04923550137934568,0.0752241411461461
0.1273,0.3175,0.0766,28,168.62565859461,0.0375,-57.56006414752,0.034,5339941227207741824,0.4435,0.0473,-1.827,0.048,-1.479,0.041,1.016,16.604164,0.00281,17.008198,0.004135,15.997536,0.00392,1.010662,,,1.236,1962.495,355.698,394.331,0.88,1.067458180796204,0.0028643355035433,0.3022819010994774,0.2813394441725444,0.2831791507504387,0.2635612509115064,0.2937343270693389,1.3697400818956815,0.28135402478939786,0.07758811253003021
0.1465,0.3086,0.0904,29,168.60716541325,0.0222,-57.57010875865,0.0217,5339935351709355520,0.4319,0.0291,-1.57,0.029,-1.201,0.026,0.964,15.635424,0.002774,16.010012,0.003353,15.092236,0.003107,0.917776,,,1.208,3371.01,583.711,793.897,1.0,1.2377233200342932,0.0005484434272548,0.0,0.1733310814871926,0.0,0.1400402486416674,0.3097055984867679,1.2377233200342932,0.17333194916031117,0.0818068254613609
0.1331,0.3278,0.0853,29,168.61591792639,0.0282,-57.55602517219,0.0258,5339941227224857728,0.4217,0.0355,-1.538,0.036,-1.202,0.031,1.017,16.031931,0.002784,16.410746,0.00361,15.473334,0.003292,0.937411,,,1.216,2725.403,474.074,621.525,1.0,1.166061220319436,0.0027018736280995,0.2024827459952724,0.2827706554492793,0.1736467541042171,0.2425010280292679,0.3124019452745624,1.3685439663147085,0.2827835633560007,0.0825190488507028
0.1587,0.3491,0.0919,29,168.62768723956,0.0204,-57.56097569708,0.019,5339941227224856832,0.4361,0.0262,-1.676,0.027,-1.211,0.023,1.004,15.34607,0.002768,15.883907,0.003117,14.658388,0.002973,1.225519,,,1.235,4141.652,781.979,1058.554,1.0,1.3270282745437902,0.0007248062177774,0.224351141349897,0.3164887760560584,0.1690628192734063,0.2384943906993121,0.3191730736812204,1.5513794158936873,0.3164896060118171,0.08430760069621811
0.1291,0.3641,0.0367,29,168.62345059073,0.0194,-57.56998330406,0.019,5339935351709368064,0.4331,0.0257,-1.668,0.026,-1.206,0.023,0.945,15.304581,0.002769,15.683604,0.003084,14.74851,0.003089,0.935094,,,1.214,3882.71,826.672,818.598,1.0,1.2360276617777384,0.0270692106626509,0.9281898017430906,0.2677703138121143,0.7509458165427345,0.2172611380817468,0.3363810626458834,2.164217463520829,0.2691350648372247,0.08885298494710486
0.0979,0.2655,0.0771,29,168.60391374126,0.0283,-57.57010995625,0.0276,5339935317349614848,0.4586,0.0365,-1.631,0.037,-1.185,0.033,1.02,16.052156,0.002787,16.457666,0.003608,15.477207,0.003421,0.980459,,,1.214,2600.403,474.709,548.633,1.0,1.1339874498797828,0.0130859648900561,0.8113654391015698,0.0629215520128997,0.7154977237072464,0.0560979419261516,0.35053480738957105,1.9453528889813527,0.06426790944799608,0.09259160940700781
