pmRApmDEcor,PlxpmRAcor,PlxpmDEcor,Nper,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,Source,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RUWE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BPRP,RVDR2,e_RVDR2,EBPRP,RFG,RFBP,RFRP,Pmemb,mass,er_mass,comp_mass,er_comp_mass
-0.1123,-0.2113,-0.0936,25,296.1350275869,0.0805,29.49949630446,0.1001,2031971086696754944,0.6339,0.1253,0.378,0.113,-2.682,0.137,0.993,18.397087,0.003067,19.153664,0.019317,17.470514,0.01334,1.683149,,,1.349,806.336,56.802,83.229,0.99,0.7612960825494299,0.008041057899200827,0.4358423036168497,0.1503061637332094
-0.2283,-0.0951,-0.0811,27,296.1104906005,0.0079,29.50599905648,0.0101,2031971743882827392,0.6064,0.0122,0.348,0.011,-2.453,0.014,0.942,13.335714,0.002771,13.521241,0.002863,13.025311,0.002817,0.495931,,,1.172,3635.236,1689.615,2776.363,1.0,1.9608264186940914,0.011711612740640268,1.2043430017302421,0.05637115939644786
-0.0549,-0.1808,-0.1293,27,296.11256131205,0.076,29.52509984059,0.0947,2031971915619063040,0.5358,0.1184,0.244,0.106,-2.291,0.133,0.988,18.393528,0.003042,19.160833,0.020334,17.513557,0.011891,1.647276,,,1.304,842.092,53.905,93.929,1.0,0.7662648230507378,0.004662668772576757,0.22068723011170022,0.20239618628243927
-0.1414,-0.1014,-0.0486,27,296.12224744467,0.0133,29.53965410376,0.0167,2031971950041279360,0.6244,0.0204,0.336,0.019,-2.457,0.023,0.988,15.050609,0.002768,15.457628,0.003145,14.455391,0.002987,1.002237,,,1.227,4137.359,747.654,1019.174,1.0,1.2483950632382894,0.024323179327070354,1.1737409231949707,0.034236203275718254
-0.0856,-0.1636,-0.0429,28,296.13671692679,0.0113,29.54280842883,0.014,2031977825557636480,0.579,0.0174,0.262,0.016,-2.477,0.019,0.972,14.639133,0.002764,14.946837,0.003226,14.145899,0.002966,0.800939,,,1.209,5077.639,670.415,1080.208,1.0,1.4876680060287528,0.012825920540134185,0.9568515997705015,0.06044559472274899
-0.1457,-0.1572,-0.0013,25,296.09739927802,0.0288,29.53341636871,0.0386,2031972117489025024,0.54,0.0463,0.313,0.041,-2.416,0.051,0.99,16.664259,0.002833,17.140614,0.006974,15.9607,0.00575,1.179914,,,1.272,1650.957,169.872,215.954,1.0,1.0347197996865432,0.004602312379324551,0.4928386841398338,0.1753316202592664
-0.0846,-0.2014,-0.0467,28,296.16590360974,0.0134,29.51741530337,0.0176,2031976932204323968,0.5899,0.0212,0.374,0.019,-2.412,0.024,0.968,15.054528,0.002764,15.456383,0.002998,14.47693,0.002887,0.979453,,,1.217,4857.413,990.655,1462.536,1.0,1.2500696319071023,0.02531570107489043,1.1674551758391372,0.03658097590153662
-0.1949,-0.1296,0.0123,27,296.11612083656,0.0147,29.54837087755,0.0185,2031972151848824192,0.6009,0.0224,0.269,0.021,-2.476,0.026,1.925,13.58576,0.002778,13.767566,0.002887,13.217865,0.002977,0.549701,,,1.204,3079.362,1463.135,1044.764,1.0,1.853259942471986,0.014004297265720006,1.201476982513964,0.054125103395613806
-0.1143,-0.1625,-0.0214,28,296.17061734037,0.0092,29.52616126056,0.0116,2031976966564066432,0.5944,0.0143,0.328,0.013,-2.504,0.016,1.025,14.089407,0.002761,14.429769,0.002887,13.573824,0.002909,0.855945,,,1.207,6059.509,1466.039,1322.112,1.0,1.488138924008741,0.019817136151725014,1.4322422987879577,0.023609848271579418
-0.2005,-0.142,-0.0673,27,296.1496732401,0.0239,29.47498114288,0.0308,2031970713090559360,0.5582,0.0366,0.307,0.033,-2.346,0.043,0.903,16.298029,0.002813,16.762993,0.003895,15.667315,0.003443,1.095677,,,1.225,1910.112,399.52,538.232,1.0,1.1024979204674268,0.003332063660483078,0.5018155694272481,0.1734043969785828
