pmRApmDEcor,PlxpmRAcor,PlxpmDEcor,Nper,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,Source,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RUWE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BPRP,RVDR2,e_RVDR2,EBPRP,RFG,RFBP,RFRP,Pmemb,mass,er_mass,comp_mass,er_comp_mass,q,e_q
-0.2183,0.1245,0.1627,17,94.91142177071,0.0144,26.24020885037,0.0128,3432138504021408640,0.3395,0.0159,-0.412,0.019,-2.121,0.015,1.051,13.537892,0.002826,13.716311,0.003178,13.22975,0.0032,0.486561,,,1.174,1733.385,714.075,692.977,0.96,2.2167388152951646,0.0302681889027317,2.101938513892548,0.0495781316352813,0.9482120759511623,0.02584259846712343
-0.2793,0.2902,0.0826,16,94.90155303928,0.0931,26.23806507879,0.0857,3432138568446437632,0.4388,0.1052,-0.485,0.122,-1.959,0.092,0.981,17.507303,0.003047,17.995728,0.010628,16.886789,0.013309,1.108938,,,1.208,834.54,105.868,83.43,0.87,1.1021735357450633,0.0016775792379767,0.0,0.0784677166743372,0.0,0.07119361346422953
-0.0729,0.294,0.1829,16,94.91919328475,0.1145,26.21861010457,0.1027,3432138293568506240,0.4951,0.1381,-0.277,0.146,-1.971,0.105,0.984,17.998295,0.003202,18.535788,0.023676,17.351856,0.017757,1.183931,,,1.206,665.23,46.18,61.915,0.89,1.0011177492335006,0.0020489285599386,0.0,0.0737361268132201,0.0,0.07365380033435197
-0.1721,0.017,0.2849,17,94.89684927224,0.0156,26.2251616778,0.0139,3432138469661676544,0.354,0.0179,-0.466,0.02,-2.072,0.016,1.092,13.739525,0.00279,13.909272,0.002978,13.440866,0.00299,0.468406,,,1.174,2487.191,1044.426,1009.423,0.95,2.13411834527492,0.0285107117233776,2.040102826562924,0.0411135939297474,0.9559464361851568,0.023113497908955977
-0.1878,0.0411,0.3209,17,94.89470579659,0.042,26.22986306985,0.0362,3432138469661676288,0.3011,0.0493,-0.437,0.053,-2.081,0.041,0.994,16.107651,0.002825,16.503611,0.004539,15.539656,0.003607,0.963955,,,1.214,1744.296,303.284,475.036,0.96,1.3905316830590686,0.0189557535998887,1.0298954764253572,0.0485072440788019,0.7406486950082734,0.036315703774877195
-0.3051,-0.0639,0.3202,16,94.89512634916,0.0141,26.22484627641,0.0119,3432138469661676928,0.3211,0.0158,-0.416,0.02,-2.025,0.016,0.989,13.601716,0.002778,13.820488,0.002956,13.23075,0.002849,0.589738,,,1.185,3035.598,1111.738,1886.835,0.97,2.367879294640513,0.0157858314800684,0.975101752386186,0.6389790678231247,0.4118038257242433,0.2698668533222708
-0.0603,0.3012,0.1393,16,94.91879135676,0.1312,26.21386347189,0.1224,3432138259208762240,0.3755,0.1623,-0.141,0.177,-2.277,0.126,1.071,18.283775,0.003646,18.982779,0.038352,17.671692,0.023466,1.311087,,,1.121,454.749,28.385,46.6,0.83,0.941223369225209,0.0025414331952177,0.0,0.1256739297460505,0.0,0.13352189698551795
-0.0336,0.3037,0.182,16,94.89805814591,0.1547,26.24806668985,0.1468,3432138568446450944,0.4557,0.1985,-0.41,0.207,-2.129,0.148,0.995,18.567478,0.003553,19.169529,0.034058,17.883688,0.020392,1.285841,,,1.207,483.947,31.987,53.749,0.85,0.8972167595107101,0.0024945261195787,0.0,0.1026476532251999,0.0,0.11440674969243549
-0.1025,0.0417,0.1797,17,94.93612802977,0.0146,26.22724352437,0.0129,3432138327928082944,0.3121,0.0165,-0.54,0.019,-2.04,0.015,1.031,11.582776,0.002769,12.456684,0.002932,10.669163,0.002828,1.787521,,,1.301,4011.682,1206.276,2339.764,0.94,2.6326051334916896,0.0858478973616391,0.9613957138975988,0.9690531722835116,0.36518796596832426,0.36828924774049676
-0.1679,0.0993,0.2397,17,94.91335414478,0.0246,26.254340431,0.0214,3432138675820095488,0.3449,0.0277,-0.468,0.031,-2.136,0.025,0.937,15.079565,0.002784,15.295019,0.003631,14.719021,0.003573,0.575998,,,1.181,2742.139,467.132,486.338,0.93,1.8507605792991029,0.0015050730036282,0.0,0.0649018256826766,0.0,0.03506765078563291
-0.1265,0.3092,0.1383,15,94.93523865778,0.1774,26.24291236308,0.1615,3432138396647751168,0.0924,0.2137,-0.384,0.234,-2.222,0.169,1.115,18.586788,0.003588,19.226847,0.048654,17.914583,0.023779,1.312263,,,1.184,472.419,22.352,45.977,0.84,0.8926799345575995,0.0022625725799592,0.0,0.0890923752106821,0.0,0.09980326851956756
-0.1887,0.2765,0.068,16,94.93292586083,0.0946,26.21662398594,0.0823,3432138229143502592,0.2578,0.1025,-0.385,0.13,-2.149,0.096,0.937,17.582357,0.00297,18.028725,0.010779,16.985943,0.010513,1.042782,,,1.21,980.14,104.281,107.116,0.94,1.0879100955922678,0.0024499568264542,0.0,0.0307487673064704,0.0,0.02826407019389824
-0.196,0.1032,0.2415,16,94.88649878752,0.0388,26.24841350191,0.0336,3432150323771410560,0.4066,0.0437,-0.293,0.047,-1.85,0.037,3.369,12.076043,0.002767,12.778205,0.003092,11.242417,0.003012,1.535788,,,1.287,4282.794,815.37,957.33,0.94,2.64310904018684,0.050973507314677,2.489973233865989,0.251036838192907,0.942062244125189,0.09669991140837371
-0.0901,0.1326,0.2267,16,94.92534883453,0.0438,26.25952310302,0.038,3432138710179829888,0.3374,0.0495,-0.424,0.055,-2.008,0.042,0.917,16.288223,0.002819,16.651239,0.00416,15.752561,0.004356,0.898679,,,1.209,1829.531,351.862,324.513,0.96,1.4091057203392217,0.0015579676542945,0.0,0.0971262571491655,0.0,0.06892758701297712
-0.0429,0.1102,0.2629,15,94.91792146483,0.1418,26.20245846764,0.1205,3432138190489273600,0.1873,0.1658,-0.628,0.206,-2.184,0.142,1.12,18.063469,0.003293,18.561579,0.027047,17.391994,0.017108,1.169584,,,1.24,602.363,40.358,64.325,0.83,0.9928667973888536,0.00249631731894,0.0,0.0742974487505446,0.0,0.07483123511224256
-0.2282,-0.0003,0.2962,16,94.88028398835,0.0247,26.23955443726,0.0212,3432150289411675392,0.329,0.028,-0.483,0.032,-2.078,0.025,1.01,15.01281,0.002794,15.202432,0.003113,14.689698,0.003294,0.512733,,,1.176,2331.556,786.117,620.052,0.95,1.8786456131092188,0.0017728857658927,0.0,0.0292881282793168,0.0,0.015590022979823216
-0.0184,0.2991,0.1699,16,94.92809451628,0.1715,26.26172553913,0.1584,3432138637165945088,0.4657,0.2161,-0.256,0.225,-2.122,0.16,1.153,18.566893,0.004376,19.132751,0.04632,17.657412,0.024676,1.47534,,,1.403,319.373,23.483,44.284,0.86,0.8611558313897268,0.0281327107989733,0.6769369268743176,0.0919230495503199,0.7860794785328015,0.10978937120386216
-0.2122,0.1104,0.2348,17,94.88260925284,0.0332,26.21233253568,0.0295,3432138091704559488,0.3165,0.0376,-0.469,0.042,-2.138,0.033,2.48,14.039563,0.002795,14.230942,0.003159,13.700388,0.002872,0.530554,,,1.183,2302.307,732.566,1591.192,0.94,2.256172922249489,0.0010186494859425,0.0,0.050926090371789,0.0,0.0225718914847244
-0.0351,0.2911,0.2322,16,94.89640276705,0.1716,26.20029881499,0.169,3432137881251624960,0.0215,0.225,-0.664,0.232,-1.917,0.166,0.986,18.674662,0.003602,19.262535,0.039707,18.004398,0.022168,1.258137,,,1.202,468.113,27.411,49.37,0.78,0.8798786166678966,0.0031626378151613,0.0,0.0744645944766841,0.0,0.08463053092332416
0.0426,0.1377,0.2084,17,94.94492874889,0.0351,26.21042319518,0.0297,3432137473229257344,0.2041,0.0384,-0.507,0.044,-2.155,0.033,0.94,15.706173,0.002825,15.965131,0.003594,15.283195,0.003689,0.681935,,,1.193,1737.002,479.125,449.802,0.94,1.601965208351302,0.0017372228833922,0.0,0.024967080604407,0.0,0.015585282672962929
-0.1938,0.2356,0.1396,17,94.8860539318,0.0494,26.20292725451,0.0443,3432138053050321536,0.3882,0.0562,-0.416,0.066,-2.055,0.049,1.012,16.523386,0.002839,16.894203,0.00564,15.980223,0.004423,0.91398,,,1.21,1587.652,221.514,316.363,0.93,1.3418838939433355,0.0016110314159389,0.0,0.0364586823382304,0.0,0.02716977415318017
