pmRApmDEcor,PlxpmRAcor,PlxpmDEcor,Nper,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,Source,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RUWE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BPRP,RVDR2,e_RVDR2,EBPRP,RFG,RFBP,RFRP,Pmemb,mass,er_mass,comp_mass,er_comp_mass
-0.0499,0.1585,-0.1077,26,140.5914667911,0.085,-53.87735457183,0.0843,5310756336003641216,0.3334,0.0966,-4.317,0.107,4.16,0.122,1.037,18.044128,0.00303,18.881744,0.014179,17.192215,0.007312,1.689529,,,1.258,861.015,78.1,160.643,0.88,0.9337284817785644,0.025368077184255187,0.8490943132076098,0.039282108716330706
0.0672,0.231,-0.0762,26,140.55882518725,0.0099,-53.8661863444,0.0096,5310756026769526784,0.3661,0.0112,-4.5,0.012,3.779,0.013,0.982,13.351488,0.002762,13.689468,0.002879,12.823977,0.002826,0.865491,,,1.215,5589.913,1529.065,2418.491,0.93,3.3257622940978058,0.08419929655797748,1.6893667911893209,0.2512620510970163
0.0256,0.2085,-0.1341,28,140.5705707403,0.0378,-53.85172463471,0.0373,5310756443406942592,0.3746,0.0427,-4.428,0.047,4.19,0.051,1.003,16.716335,0.002815,17.369116,0.005584,15.920268,0.003615,1.448848,,,1.274,1887.628,224.473,472.525,0.95,1.2030814049430072,0.02636257282190773,1.1199815485288664,0.034422690820505905
0.0094,0.1415,-0.0662,27,140.60143812268,0.009,-53.88247550287,0.0086,5310756134169429888,0.3795,0.0099,-4.341,0.011,4.171,0.011,0.831,11.815076,0.002765,12.103455,0.002918,11.342948,0.002833,0.760507,,,1.206,4776.796,1269.826,2207.26,0.97,4.2008821601857065,0.0044325034370760125,1.534501385354349,0.3566542979505693
0.0869,0.2076,-0.0409,28,140.60518707818,0.0171,-53.84953461925,0.0168,5310756477766820480,0.3623,0.0192,-4.334,0.022,4.02,0.022,0.946,15.016432,0.002766,15.384258,0.003078,14.461194,0.002892,0.923064,,,1.219,4551.293,835.664,1423.823,0.98,1.7591618774192737,0.0388172946570883,1.6434832190561568,0.043145907113863506
0.0296,0.1933,-0.1438,27,140.59361055485,0.024,-53.88794555175,0.0236,5310756134169426560,0.3852,0.0272,-4.391,0.03,4.076,0.033,1.006,15.833205,0.002776,16.285463,0.003531,15.204065,0.003181,1.081398,,,1.23,3175.812,501.604,710.691,0.98,1.5210373606677898,0.032203666935728875,1.24444977023479,0.051208133886260866
0.031,0.2094,-0.1224,28,140.57307480623,0.0215,-53.84469869149,0.0214,5310756443406945408,0.4487,0.0245,-4.362,0.028,4.045,0.029,0.982,15.630835,0.002772,16.048742,0.003273,15.026734,0.003108,1.022008,,,1.228,3532.558,634.824,792.623,0.91,1.59778146243884,0.027294099803173294,1.2985914214414636,0.044014351841804376
0.0299,0.1842,-0.1339,28,140.59149017153,0.0447,-53.84305062261,0.045,5310756546486165376,0.3586,0.0508,-4.469,0.056,4.21,0.06,1.028,17.044086,0.002821,17.740906,0.006392,16.242016,0.003854,1.49889,,,1.263,1795.541,188.802,408.404,0.92,1.1291533776187572,0.02532854996003275,1.0416130380291369,0.03718587531118175
0.0085,0.3554,-0.1417,27,140.56134426485,0.0589,-53.88871355871,0.0544,5310755928010993536,0.2787,0.0686,-4.635,0.076,3.961,0.075,0.962,17.348972,0.002864,18.012705,0.008874,16.563059,0.004353,1.449646,,,1.262,1391.091,128.883,324.964,0.79,1.0765099998140157,0.03013783729101503,0.9666037798275212,0.047209595665355625
0.0241,0.1437,-0.0816,28,140.63495232645,0.0108,-53.87069867964,0.0108,5310756202888912896,0.3775,0.0121,-4.349,0.013,4.016,0.014,1.142,13.661646,0.002761,13.966259,0.002896,13.175991,0.002822,0.790268,,,1.206,6058.334,1398.016,2572.941,0.99,3.0585905738315136,0.05053181518747858,1.6765228042399354,0.14134335209577006
