pmRApmDEcor,PlxpmRAcor,PlxpmDEcor,Nper,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,Source,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RUWE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BPRP,RVDR2,e_RVDR2,EBPRP,RFG,RFBP,RFRP,Pmemb,mass,er_mass,comp_mass,er_comp_mass,q,e_q,r,mass_system,e_mass_system,r/rh
-0.0644,-0.0315,0.1197,26,158.65438609674,0.0398,-59.75301362867,0.0382,5254512747164191232,0.4875,0.0457,-6.389,0.051,2.686,0.049,1.028,16.743814,0.003177,17.255239,0.00857,16.01228,0.009796,1.24296,,,1.278,686.265,133.996,115.624,0.93,1.18406309075182,0.020256225495424,0.7628208268624687,0.0445445436477418,0.644240017969073,0.0392012547571844,0.1584889745079905,1.9468839176142887,0.0489339456830025,0.028796759490201294
-0.0887,-0.0314,0.1126,27,158.66748327092,0.0283,-59.75567179485,0.027,5254512777192284416,0.435,0.0324,-6.705,0.038,2.808,0.035,0.914,16.112791,0.002791,16.563375,0.00438,15.493136,0.003567,1.070239,,,1.224,2440.264,321.63,488.558,0.98,1.402622326832043,0.0065307553815283,0.3223193992202097,0.3703066690284795,0.2297977103702597,0.2640124166027989,0.32572328364901293,1.7249417260522528,0.3703642529899736,0.05918250836512507
-0.0591,-0.0317,0.0768,27,158.66025869177,0.1365,-59.74782042813,0.1278,5254512777194095360,0.4189,0.1536,-6.338,0.182,2.533,0.169,1.011,18.858398,0.00349,19.771263,0.052842,17.9391,0.021341,1.832163,,,1.294,506.793,20.576,51.315,0.76,0.8642975636478419,0.0074971210400066,0.0,0.1744019523389474,0.0,0.2017846164032546,0.395213400423778,0.8642975636478419,0.17456301957609746,0.07180856128723559
-0.0408,0.0215,0.0961,26,158.66707010143,0.0341,-59.74144328889,0.0319,5254512781523947520,0.3576,0.0378,-6.494,0.043,2.83,0.04,1.01,16.397753,0.002809,16.860704,0.004217,15.773577,0.003717,1.087128,,,1.221,1993.437,343.363,442.229,0.97,1.337678591539622,0.0021538160632559,0.0,0.1557394661168893,0.0,0.1164251764974712,0.6829417546457889,1.337678591539622,0.15575435862282652,0.1240875557142262
-0.1105,-0.0521,0.062,27,158.61912659873,0.0603,-59.76737720296,0.0611,5254512403566778112,0.4472,0.0706,-6.393,0.086,2.862,0.087,1.016,17.589314,0.003415,18.373913,0.0131,16.740843,0.008641,1.63307,,,1.272,537.96,84.825,132.767,0.96,0.980713136144235,0.0178610471757969,0.8356665849253155,0.0660185726435183,0.8521009397414788,0.0690825332312673,0.7720400857394446,1.8163797210695507,0.06839202395092242,0.1402763361606097
-0.0363,-0.0009,0.1088,27,158.6600054464,0.0699,-59.77595260995,0.0667,5254512369207049600,0.3561,0.0778,-6.785,0.091,3.091,0.085,0.972,17.730835,0.002963,18.289797,0.01924,16.848768,0.020412,1.441029,,,1.382,995.736,57.035,53.695,0.62,1.0143256795846465,0.0023602020440662,0.0,0.1277918629767746,0.0,0.125987013391107,0.7848975854729823,1.0143256795846465,0.12781365653467375,0.14261248811453217
0.0193,0.1051,0.1196,28,158.68936162867,0.0113,-59.74334036102,0.0109,5254512880270453760,0.3834,0.013,-6.522,0.015,2.868,0.013,0.828,12.10421,0.002761,12.179229,0.002886,11.945516,0.002835,0.233713,,,1.164,5925.08,1468.326,2164.408,0.98,5.309759790501764,0.0046172628290906,0.0,0.0,0.0,0.0,0.9278882823936533,5.309759790501764,0.0046172628290906,0.16859327776468686
0.0322,0.132,0.0891,27,158.68456506026,0.0106,-59.740219954,0.0098,5254512884603174016,0.4436,0.0119,-6.529,0.014,2.796,0.012,0.949,13.475608,0.00278,13.614605,0.002971,13.224867,0.00294,0.389738,,,1.168,2932.545,1062.506,1172.852,0.99,3.20613882962791,0.0027449574991885,0.0,0.0,0.0,0.0,0.9332800398733914,3.20613882962791,0.0027449574991885,0.1695729367211254
0.0006,0.02,0.1566,28,158.69052020697,0.0134,-59.77037646047,0.0141,5254511991249946112,0.447,0.0162,-6.558,0.018,2.704,0.017,0.984,14.4153,0.002773,14.608004,0.00286,14.083302,0.002899,0.524702,,,1.179,3434.279,1724.991,1382.897,0.99,2.249675061907229,0.0046997142775821,0.0,0.2156277783161864,0.0,0.0958484102736959,0.9542672349552352,2.249675061907229,0.2156789885358918,0.17338621907102994
-0.1021,-0.1538,0.1322,26,158.64952893271,0.1052,-59.7807819643,0.1,5254512334847301504,0.4724,0.1212,-6.528,0.154,2.825,0.134,1.028,18.477341,0.004563,19.355478,0.022743,17.594782,0.012619,1.760696,,,1.272,298.522,48.103,88.221,0.95,0.910368680016483,0.0077970290880187,0.1968676286960779,0.2587738745591379,0.2162504411866558,0.2842577664815955,0.958110032161131,1.107236308712561,0.2588913127490914,0.17408443866170703
