pmRApmDEcor,PlxpmRAcor,PlxpmDEcor,Nper,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,Source,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RUWE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BPRP,RVDR2,e_RVDR2,EBPRP,RFG,RFBP,RFRP,Pmemb,mass,er_mass,comp_mass,er_comp_mass
-0.152,-0.0521,0.1288,21,233.86009900589,0.0276,-57.6606377278,0.0287,5882618179096962304,0.4244,0.043,-3.622,0.047,-5.708,0.046,0.976,16.118092,0.002783,16.956175,0.004337,15.201629,0.003357,1.754546,,,1.314,2761.071,327.045,581.507,1.0,1.8045692770710189,0.0210276341188416,1.1293114088398872,0.1289330181345881
-0.2266,-0.1078,-0.0243,22,233.84662481851,0.0511,-57.66388517118,0.0527,5882616907786902400,0.4601,0.0776,-3.645,0.09,-5.765,0.085,0.983,17.241686,0.002837,18.15024,0.010033,16.289438,0.004797,1.860802,,,1.326,1605.623,112.666,278.24,1.0,1.4612462407826037,0.0025734530684424,0.0,0.1032815804886466
-0.2593,-0.0341,0.0385,22,233.84960309453,0.0264,-57.66086585924,0.0269,5882616907786902912,0.4334,0.0399,-3.536,0.046,-5.687,0.043,0.997,16.019758,0.002778,16.835396,0.003748,15.121427,0.003014,1.713969,,,1.305,3059.497,433.77,952.188,1.0,1.8866962605034563,0.0052987215438693,0.1311411801220298,0.3107405471986588
-0.2158,-0.1615,0.1014,21,233.84513878099,0.0385,-57.65980535369,0.0383,5882616907786903424,0.392,0.059,-3.466,0.069,-5.691,0.063,0.968,16.678429,0.002822,17.549391,0.005762,15.76074,0.003559,1.788651,,,1.305,1784.779,215.342,491.31,0.98,1.6480477372543851,0.006273273029282,0.1201179918797113,0.28482313646057
-0.1779,-0.1595,0.0367,22,233.85437430461,0.0691,-57.65579574174,0.071,5882618385255400064,0.444,0.1058,-3.445,0.122,-5.769,0.108,1.212,17.524254,0.002999,18.469517,0.009182,16.515074,0.004577,1.954443,,,1.37,916.412,124.113,299.21,0.98,1.3689188188243393,0.0189870171953661,0.3373671460305663,0.4014856900500423
-0.2604,-0.0305,0.0705,22,233.85557365158,0.0116,-57.67392336401,0.0122,5882616701628471040,0.4524,0.0185,-3.639,0.02,-5.753,0.02,1.023,14.11006,0.002775,15.217478,0.003132,13.06465,0.002886,2.152828,,,1.364,3281.362,762.642,1472.457,1.0,2.324733289598457,0.0170468983775013,2.070502659608098,0.0364516130767598
-0.1836,-0.0896,0.1488,22,233.83732320268,0.0142,-57.66388145345,0.0145,5882616907786645504,0.481,0.0218,-3.534,0.025,-5.861,0.024,0.926,14.618736,0.002764,15.515429,0.003193,13.674149,0.002873,1.84128,,,1.322,4920.341,699.46,1585.071,0.99,2.22681769591426,0.0096284063903636,1.596551127395708,0.5245460206942016
-0.2403,-0.0964,0.1628,22,233.83469726798,0.0192,-57.66886060829,0.0198,5882616873426902144,0.4702,0.0288,-3.645,0.033,-5.708,0.032,0.991,15.342563,0.002767,16.169289,0.003389,14.439302,0.002924,1.729986,,,1.306,4259.999,564.202,1241.927,1.0,2.066938069110536,0.042272112781246,0.7973085724041158,0.7234617161079926
-0.2661,-0.0549,0.1487,22,233.83765346619,0.0938,-57.65675237209,0.0945,5882616903453773568,0.3526,0.137,-3.603,0.166,-6.013,0.153,0.981,18.356371,0.003192,19.305029,0.030468,17.228941,0.01289,2.076088,,,1.492,673.783,35.785,86.274,0.95,1.1499607805626442,0.037149812952505,0.4415581533337568,0.3958002708059223
-0.1717,-0.1444,0.1109,21,233.83149542403,0.0192,-57.66249675442,0.0189,5882616907786648960,0.4683,0.0289,-3.569,0.034,-5.698,0.03,1.039,15.273123,0.002768,16.148394,0.003768,14.335629,0.002942,1.812764,,,1.322,4046.577,428.869,1165.292,1.0,2.1124045160164933,0.0130544757627907,0.5455591759016855,0.5762954048995453
