pmRApmDEcor,PlxpmRAcor,PlxpmDEcor,Nper,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,Source,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RUWE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BPRP,RVDR2,e_RVDR2,EBPRP,RFG,RFBP,RFRP,Pmemb,mass,er_mass,comp_mass,er_comp_mass
0.3201,0.2772,0.204,26,197.0951808478,0.0699,-61.2175803381,0.0819,5863627719167662592,0.3648,0.1135,-4.526,0.088,-0.984,0.117,0.92,17.955851,0.002962,18.854057,0.014999,17.007023,0.006619,1.847034,,,1.326,997.821,73.672,180.875,0.96,1.1275055643739342,0.02627731761859289,0.9147073736959709,0.15726909888302948
0.2452,0.1057,0.0968,27,197.11065044005,0.0185,-61.21996230246,0.0231,5863627826568137344,0.3055,0.0294,-4.399,0.023,-0.946,0.031,0.994,15.586746,0.002779,16.261452,0.003502,14.77164,0.002991,1.489812,,,1.281,2973.748,513.132,1006.821,0.99,1.9367590718176002,0.06536281127187893,1.7262448840129525,0.06952382755312747
0.1755,0.1043,0.0748,26,197.10326698697,0.0414,-61.20832757692,0.0493,5863628582482387456,0.3528,0.0617,-4.476,0.052,-1.113,0.07,1.034,16.954466,0.002822,17.664,0.00719,16.131939,0.004052,1.532061,,,1.275,1785.286,163.854,369.545,0.94,1.411086659187457,0.0539201645914907,1.1920154036491821,0.11319718366582524
0.3697,0.2343,0.2827,26,197.11433289486,0.0236,-61.21198464661,0.027,5863627826568141952,0.3309,0.0381,-4.584,0.031,-1.008,0.039,0.972,15.934229,0.002775,16.466833,0.003673,15.232558,0.003188,1.234275,,,1.247,3288.846,454.475,703.811,0.99,1.8906516941674156,0.05990059228100126,1.4186403053466257,0.08339491432553367
0.2885,0.2214,0.1749,27,197.06581692792,0.037,-61.21493783402,0.0437,5863628445043430016,0.4091,0.0592,-4.483,0.048,-1.017,0.059,1.002,16.86405,0.002822,17.696972,0.008638,15.954618,0.004141,1.742353,,,1.309,1779.502,132.819,354.865,0.96,1.4110499974711892,0.02194248441165839,1.2348999532296114,0.06362423050901882
0.2105,0.0911,0.0743,27,197.0767420678,0.029,-61.22947432682,0.0345,5863627689129176960,0.2245,0.0468,-4.444,0.036,-1.037,0.048,1.06,16.447001,0.0028,16.964018,0.0048,15.707346,0.006896,1.256672,,,1.282,2177.174,278.003,172.178,0.91,1.7700646838850704,0.015581304085529839,0.8373491218893696,0.24156020485901622
0.3198,0.199,0.2224,26,197.05389193144,0.0199,-61.22386921867,0.0228,5863628445043424384,0.3981,0.0324,-4.553,0.028,-0.969,0.031,0.971,15.650273,0.002773,16.196707,0.003618,14.929973,0.002961,1.266734,,,1.256,3493.463,471.491,1094.918,0.96,1.8970574145049337,0.06475923023793398,1.717361471315844,0.07147925279055975
0.3286,0.1634,0.1629,26,197.07745999669,0.0427,-61.19679953232,0.0487,5863628543800498944,0.2525,0.0672,-4.47,0.053,-0.884,0.067,0.978,17.104696,0.002832,17.811813,0.011354,16.192776,0.010354,1.619038,,,1.353,1658.764,98.653,108.888,0.96,1.3240985276131951,0.05019549659022977,1.2032492381615334,0.05946759794430852
0.1941,0.119,0.042,26,197.10651514695,0.0392,-61.23956359704,0.0487,5863627654769434112,0.203,0.064,-4.489,0.049,-1.089,0.068,1.063,16.981543,0.002826,17.585495,0.012188,16.185482,0.004535,1.400013,,,1.292,1728.678,91.516,303.736,0.85,1.5427876060672534,0.003495874340305201,0.14747814888304275,0.24678809084791306
0.3938,0.134,0.088,27,197.10809357965,0.007,-61.19313586165,0.0086,5863628646879612928,0.321,0.0116,-4.699,0.009,-0.929,0.012,0.858,12.596853,0.002764,13.202251,0.002865,11.818188,0.002905,1.384064,,,1.278,4888.859,1666.887,1341.907,0.98,5.820273620195297,0.12177237786284892,5.496572405094586,0.1510072529438748
0.327,0.1621,0.1565,27,197.04033936992,0.0084,-61.23072138265,0.0099,5863626967574669952,0.3145,0.0134,-4.5,0.011,-0.852,0.013,0.983,11.861492,0.002765,12.553391,0.002877,11.026819,0.002799,1.526571,,,1.291,4615.072,1547.021,4804.815,0.98,7.564078843373783,0.203380307931365,6.699879674254155,0.30641876147824015
0.3147,0.1589,0.1985,26,197.03635519105,0.0442,-61.22972987025,0.0477,5863626967574670080,0.3895,0.069,-4.536,0.056,-1.058,0.064,0.955,17.130388,0.002826,17.844128,0.012082,16.226915,0.006486,1.617212,,,1.343,1731.572,92.363,185.43,0.95,1.2806025732097968,0.05069405804442654,1.2042067571145105,0.04541566722957582
0.2349,0.1216,0.1649,26,197.02752580287,0.083,-61.22556869148,0.0965,5863627031972849152,0.4114,0.131,-4.683,0.108,-1.06,0.128,1.031,18.194323,0.003001,19.210625,0.01867,17.2246,0.00713,1.986025,,,1.313,913.167,58.815,165.461,0.89,1.086154809759433,0.022985752240747528,0.9319265527696848,0.09733869201165382
0.2588,0.2502,0.1629,27,197.11415526141,0.0158,-61.24954054754,0.0177,5863627448610996736,0.3674,0.0238,-4.482,0.02,-1.023,0.024,1.06,14.895635,0.002768,15.228497,0.003855,14.337117,0.005646,0.891379,,,1.238,4057.841,408.142,221.195,0.98,3.1770520462412013,0.004244581768607028,0.0,0.061311480230167414
-0.0481,-0.002,0.3053,25,197.03526952768,0.1379,-61.24234049267,0.1515,5863626211644313728,0.3581,0.21,-4.364,0.191,-0.985,0.207,0.981,18.917387,0.003375,19.581398,0.071871,18.009134,0.028385,1.572264,,,1.365,556.852,15.118,38.437,0.83,1.0510444068581577,0.005227560069901178,0.0,0.11613656582959617
0.3263,0.1602,0.079,23,197.01835419745,0.0168,-61.22828903463,0.021,5863627036294146944,0.3097,0.0277,-4.524,0.022,-0.996,0.028,1.047,15.152467,0.00277,15.81511,0.003716,14.339941,0.002947,1.475169,,,1.284,3821.596,442.461,1145.832,0.99,2.506693170489329,0.06943967159054742,1.6916454064978532,0.09104690804380804
0.1134,0.1209,0.0313,26,197.03945823585,0.0121,-61.24514919256,0.0164,5863626211660416128,0.33,0.0196,-4.494,0.015,-1.026,0.021,0.996,14.5083,0.002763,14.904387,0.003053,13.91213,0.00286,0.992257,,,1.232,5135.942,876.759,1725.734,0.99,3.2786840299110365,0.22506422938455697,1.9855608665251072,0.38441189571948514
0.3186,0.1395,0.1566,26,197.10545252875,0.0363,-61.25622397906,0.0445,5863627448610992000,0.3522,0.0596,-4.435,0.047,-1.113,0.067,0.993,16.846237,0.002812,17.384926,0.008128,16.12742,0.004044,1.257505,,,1.258,1928.895,142.226,370.924,0.91,1.6017733509706489,0.004169144599193623,0.0,0.08236763393260248
0.1817,0.0845,0.1357,27,197.04704343652,0.0095,-61.25146169701,0.0116,5863626142940935296,0.3359,0.0153,-4.475,0.012,-0.966,0.015,0.965,13.845215,0.002761,14.170187,0.002877,13.335209,0.002826,0.834978,,,1.211,6244.659,1544.866,2428.174,0.99,4.737306401065117,0.004142921872506008,0.0,0.08152236397248187
0.324,0.1166,0.064,26,197.05647733367,0.0354,-61.25476188384,0.0471,5863626142940933248,0.2865,0.0599,-4.631,0.047,-1.088,0.07,2.137,15.672233,0.002782,15.971444,0.003566,14.988398,0.003581,0.983047,,,1.341,2844.743,489.088,483.577,0.96,2.410118398059231,0.005831145274801532,0.0,0.10686362953553849
0.1644,0.1086,0.1241,26,197.04807715621,0.0096,-61.2533276018,0.0122,5863626138618788992,0.337,0.0157,-4.494,0.012,-0.99,0.016,0.912,13.915395,0.002761,14.255197,0.002904,13.38661,0.002836,0.868587,,,1.215,5914.929,1349.119,2138.324,0.99,4.612945266818258,0.003660024307953324,0.0,0.05959050273676203
0.1934,0.0341,0.1326,26,197.17441075298,0.0485,-61.2316151355,0.0538,5863627517330486400,0.2042,0.0737,-4.492,0.06,-1.073,0.073,0.987,17.288385,0.002842,17.903557,0.007874,16.487923,0.005223,1.415634,,,1.291,1558.238,147.467,245.899,0.91,1.4559784972227496,0.0028297714509146602,0.0,0.1524777739511845
0.292,0.0251,-0.0195,24,197.16798949738,0.0692,-61.24066161807,0.0889,5863627513009136256,0.2618,0.1222,-4.606,0.087,-1.224,0.117,1.081,17.869982,0.002956,18.549181,0.011407,17.006849,0.006272,1.542332,,,1.32,1015.032,98.159,193.285,0.78,1.248882383031628,0.019874032313898567,0.0,0.03488250901310157
0.173,0.1228,0.0479,27,197.14344393751,0.0307,-61.25428907941,0.038,5863627482970732544,0.3188,0.0491,-4.33,0.038,-0.875,0.052,0.982,16.587191,0.002808,17.137289,0.00486,15.859579,0.003828,1.27771,,,1.26,2014.336,272.866,414.367,0.96,1.7092836727947653,0.007229788003190106,0.4830369019041938,0.3489136604206567
0.3172,0.1523,0.1642,26,196.99899791696,0.0097,-61.23258761306,0.0115,5863627001934406784,0.3172,0.0155,-4.637,0.013,-0.922,0.016,0.943,13.877072,0.00276,14.487099,0.002925,13.106345,0.002821,1.380754,,,1.27,6503.278,1236.622,2616.373,0.99,3.6188458521936493,0.09324286893781553,3.336551338779003,0.10647592448612382
0.4366,0.226,0.2466,27,197.09460252508,0.1159,-61.16952367,0.1344,5863628926079800832,0.2791,0.1899,-4.548,0.151,-0.94,0.186,1.003,18.791988,0.003292,19.650965,0.024373,17.964144,0.009516,1.686821,,,1.231,602.54,44.841,119.347,0.9,1.0569319420115615,0.004138258062892964,0.0,0.1110243487856316
0.1316,0.086,0.1412,26,197.05670195568,0.0142,-61.26196782915,0.0178,5863626138618783488,0.3449,0.023,-4.495,0.019,-0.983,0.024,1.044,14.898622,0.002768,15.269827,0.003296,14.286891,0.004799,0.982936,,,1.255,4118.328,618.736,278.101,0.99,3.1272527681406332,0.03628400168435625,0.9875510282754308,0.40335879713777995
0.1644,0.0995,0.078,27,197.14818012179,0.0093,-61.25796197444,0.0119,5863580547565337728,0.3435,0.0145,-4.489,0.012,-0.967,0.016,0.922,13.703624,0.002762,14.004414,0.002843,13.223621,0.002827,0.780792,,,1.205,5475.601,1993.298,2399.922,0.99,4.993595925329852,0.006278475330951778,0.0,0.04756631618664873
0.224,0.0612,0.1373,26,197.10704800644,0.044,-61.26578023401,0.0486,5863627379891509504,0.2409,0.0703,-4.433,0.055,-0.968,0.066,1.0,17.165174,0.002847,17.800053,0.006593,16.401665,0.004276,1.398388,,,1.255,1516.606,181.758,335.069,0.96,1.4833272104383202,0.0025273667892777613,0.0,0.10975925070857352
0.2144,0.0985,0.1542,27,197.02730263429,0.0234,-61.25595358212,0.0272,5863626207339011072,0.3265,0.0365,-4.57,0.03,-0.957,0.035,1.013,16.064898,0.002776,16.624987,0.004289,15.331882,0.003375,1.293104,,,1.26,3180.064,333.262,571.627,0.99,1.7498823086468287,0.06539437741314362,1.4618465001792145,0.08137045230027058
0.1855,0.0734,0.0744,25,197.07128059892,0.0469,-61.2664669279,0.0554,5863627414251246592,0.2292,0.0754,-4.524,0.06,-0.827,0.075,1.014,17.323582,0.002837,17.94865,0.006742,16.560286,0.004726,1.388365,,,1.258,1603.314,176.908,284.669,0.91,1.443869251750147,0.0031912333826590567,0.0,0.1270443231254344
0.2333,0.1019,0.0986,27,197.10802079162,0.0132,-61.26936950737,0.0158,5863627379891506944,0.3494,0.0212,-4.512,0.017,-0.936,0.022,0.987,14.802689,0.002762,15.249234,0.002941,14.167309,0.002872,1.081925,,,1.236,5857.586,1168.738,1597.59,0.99,2.9580803292217657,0.10885063778068285,1.7707071116523267,0.176314737421039
0.2346,0.1151,0.1425,27,197.02897221348,0.0085,-61.26037805503,0.01,5863626142940929408,0.3347,0.0133,-4.557,0.011,-0.99,0.013,0.955,13.459226,0.002761,13.869578,0.002909,12.85709,0.002827,1.012488,,,1.23,6118.618,1321.619,2390.796,0.99,4.2982437457213605,0.11336174584000909,3.9166663646390223,0.13505307364381225
0.2141,0.0754,0.1643,26,197.02141044787,0.0434,-61.2582868941,0.0481,5863626177300668672,0.3496,0.0679,-4.545,0.055,-1.082,0.063,1.019,17.175447,0.002841,18.030006,0.006774,16.292004,0.003823,1.738003,,,1.28,1569.708,175.892,415.453,0.96,1.249881890331923,0.057192447555824415,1.1512681369644095,0.01876019210519809
