pmRApmDEcor,PlxpmRAcor,PlxpmDEcor,Nper,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,Source,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RUWE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BPRP,RVDR2,e_RVDR2,EBPRP,RFG,RFBP,RFRP,Pmemb,mass,er_mass,comp_mass,er_comp_mass,q,e_q,r,mass_system,e_mass_system,r/rh
0.0225,0.1839,-0.058,28,124.89241684851,0.0741,-38.27672306402,0.0839,5540436446663572864,0.1791,0.0984,-2.89,0.096,3.666,0.097,0.983,18.039307,0.002997,18.704708,0.01443,17.268826,0.010728,1.435883,,,1.249,919.944,76.688,104.811,0.64,1.8942743996608216,0.0052324888947238,0.0,0.0929375516482192,0.0,0.0490623489737601,0.09729176323399259,1.8942743996608216,0.09308473261710977,0.03716925361206216
0.0557,0.1922,-0.0906,27,124.89822661547,0.0578,-38.27721731966,0.0632,5540436382251111680,0.1658,0.0745,-3.056,0.074,3.115,0.071,1.071,17.446974,0.002922,18.109663,0.009529,16.640242,0.005376,1.469421,,,1.279,1114.749,119.169,236.281,0.7,2.042642766278651,0.1191480925402535,1.473554144454993,0.2061695950698221,0.7213959135593538,0.1093530545338278,0.4277495187822318,3.516196910733644,0.2381221742871403,0.16341702336934674
0.0647,0.2226,-0.0992,28,124.89093733548,0.0547,-38.27059825602,0.0651,5540436450970588672,0.1383,0.0745,-2.982,0.071,3.217,0.073,0.998,17.615,0.002906,18.224981,0.012128,16.833218,0.006871,1.391764,,,1.278,1173.625,91.991,172.925,0.91,2.1587557187399096,0.003295862994301,0.0,0.0812148190884989,0.0,0.0376211251618154,0.4533617345158616,2.1587557187399096,0.0812816679974938,0.17320189015072626
0.0181,0.1605,-0.0195,27,124.88578183083,0.0477,-38.27737015966,0.0551,5540436416610852096,0.1329,0.0643,-3.062,0.062,3.448,0.064,1.013,17.233465,0.002926,17.852819,0.007383,16.472078,0.005521,1.380741,,,1.259,1102.17,158.846,227.874,0.93,2.3926507761172338,0.0028989987151425,0.0,0.0943120893755338,0.0,0.0394174069684261,0.4818333779358385,2.3926507761172338,0.09435663408541592,0.18407916999284527
0.0285,0.2046,0.0237,27,124.89900561969,0.1015,-38.27296312797,0.1296,5540436382239225984,0.1446,0.1468,-2.798,0.133,3.272,0.153,0.998,18.638922,0.003228,19.226635,0.055101,17.788832,0.01902,1.437803,,,1.343,645.587,19.73,57.707,0.85,1.6015289445632257,0.0090885512184659,0.0,0.1061235746110486,0.0,0.0662639129759787,0.5140907994109747,1.6015289445632257,0.1065120408755624,0.19640276491831585
0.0713,0.2169,-0.1067,28,124.89305480068,0.0305,-38.26925005991,0.0363,5540436450974549248,0.1307,0.0417,-2.937,0.04,3.324,0.042,0.984,16.544277,0.002841,17.107265,0.005421,15.822235,0.003663,1.28503,,,1.25,1564.996,233.611,457.517,0.96,2.797572540858267,0.0031454202108569,0.0,0.0409400865893907,0.0,0.0146341465650898,0.5628301660723848,2.797572540858267,0.04106073986485966,0.21502310666268548
0.06,0.272,-0.0693,26,124.89128002586,0.0462,-38.28196684693,0.0531,5540436347891375104,0.1557,0.0631,-3.004,0.06,3.466,0.06,0.974,17.215769,0.002868,17.763416,0.016721,16.345808,0.011852,1.417608,,,1.376,1365.327,65.856,94.254,0.95,2.2299868259510194,0.1492643543997462,1.3389341725937332,0.6632128724015711,0.6004224585599154,0.3001097917186631,0.5642418801673991,3.5689209985447525,0.6798022959754664,0.21556243658621776
-0.0254,0.1738,0.0351,26,124.88412382391,0.084,-38.27684176652,0.1001,5540436412303830400,0.243,0.1185,-3.017,0.11,3.425,0.118,0.999,18.212549,0.003112,18.884754,0.016877,17.344713,0.009949,1.540041,,,1.327,750.48,65.228,113.698,0.9,1.7714653171004542,0.0406399469729286,0.5786942573950636,0.4976075668772264,0.326675465677349,0.2810016273561196,0.5811799183899049,2.350159574495518,0.4992643547294717,0.22203342875920323
0.0002,0.228,0.2836,24,124.89068834238,0.0883,-38.28210964847,0.1299,5540436347879493504,0.1829,0.137,-2.855,0.114,3.2,0.184,0.941,18.328939,0.003128,,,,,,,,,733.43,,,0.85,1.4284647622221556,1.0216596213319993,0.5908289251761689,0.8201725949685563,0.4136111304958343,0.6458900596972531,0.5835306902879068,2.0192936873983243,1.310141773777823,0.22293151544153417
0.0211,0.209,0.0845,27,124.90137861891,0.1072,-38.27479106296,0.1394,5540436377950486400,0.257,0.1572,-2.802,0.142,3.599,0.171,1.02,18.701969,0.003332,19.514566,0.029071,17.82469,0.009739,1.689877,,,1.287,579.584,37.521,116.363,0.75,1.5448358624088352,0.0415007352671834,0.318046767493159,0.4459272977329025,0.2058773849263405,0.2887097290495245,0.6261150739914589,1.8628826299019943,0.44785429091512063,0.2392004132924642
