pmRApmDEcor,PlxpmRAcor,PlxpmDEcor,Nper,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,Source,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RUWE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BPRP,RVDR2,e_RVDR2,EBPRP,RFG,RFBP,RFRP,Pmemb,mass,er_mass,comp_mass,er_comp_mass
0.2526,-0.2334,-0.0217,15,282.90581889319,0.0119,-15.15728717748,0.0107,4101708409273309056,1.6969,0.014,7.752,0.015,0.547,0.012,0.865,12.18048,0.002763,12.594481,0.0029,11.590137,0.002809,1.004345,,,1.22,5281.481,1376.396,3355.107,1.0,1.6609091902544504,0.015207476989946659,1.1624608612238347,0.05015294922699555
-0.3469,-0.0495,0.1867,14,282.87464447639,0.036,-15.14993270223,0.0284,4101707206647163648,1.8152,0.032,8.072,0.045,0.473,0.034,1.13,11.5163,0.002899,11.348603,0.28996,10.616139,0.179362,0.732464,,,1.811,1204.434,3.745,6.054,1.0,2.0790333858809924,0.0012284482834451719,0.0,0.03391304917058198
0.2021,-0.1666,0.1015,17,282.93169292315,0.0127,-15.11649075567,0.0114,4101708787230461056,1.7075,0.0144,7.807,0.016,0.74,0.013,0.791,10.379447,0.002775,10.782806,0.002862,9.798298,0.002804,0.984509,,,1.219,3273.032,1703.51,3848.128,1.0,2.336551711165855,0.010686211407329206,1.1164865135407676,0.5210864577195714
0.0471,-0.2781,0.1194,15,282.93246817127,0.031,-15.11602061481,0.0261,4101708787231316736,1.6497,0.0345,7.758,0.039,0.471,0.031,1.397,14.500095,0.003174,14.641126,0.047425,13.448797,0.050739,1.192328,,,1.745,689.094,22.934,21.431,1.0,1.1504636662688457,0.0014606486198602416,0.0,0.0
0.228,-0.1736,0.0931,16,282.850259651,0.015,-15.10956757629,0.0136,4101709714943544704,1.7544,0.0166,8.053,0.017,0.753,0.015,0.939,13.432119,0.002767,13.920088,0.003005,12.775816,0.002865,1.144272,,,1.233,4339.823,972.565,1672.612,1.0,1.3413245631757587,0.0007600587088949678,0.0,0.02689448525442109
0.2409,-0.1522,0.0455,16,282.95803121975,0.0138,-15.20297236834,0.0122,4101696245925757568,1.7108,0.0149,7.736,0.016,0.546,0.014,0.75,11.576604,0.002764,11.898287,0.002919,11.087608,0.002812,0.810678,,,1.2,5008.187,1264.066,3084.569,1.0,1.949377409316351,0.0006674221967034925,0.0,0.0
0.1058,-0.1658,0.0924,16,282.95437971496,0.0127,-15.1021638987,0.0111,4101709195202842880,1.7118,0.014,7.84,0.016,0.751,0.013,0.738,11.657828,0.002762,12.103628,0.002882,11.036366,0.002816,1.067263,,,1.227,5728.375,1501.554,2839.022,1.0,1.6824410602008404,0.023660829922880815,1.6047814406303642,0.02861309190755734
0.1951,-0.1388,0.0634,17,282.86440293015,0.0123,-15.24997663647,0.011,4101694356140223488,1.7515,0.0136,7.837,0.015,0.614,0.013,0.885,12.75463,0.002764,13.174636,0.002903,12.157426,0.002862,1.01721,,,1.222,5104.589,1357.64,1709.385,1.0,1.534762732992883,0.0007265558076655473,0.0,0.0
0.1645,-0.2273,0.1885,16,282.85700383364,0.0385,-15.07985139684,0.0356,4101709813682785792,1.7299,0.0444,7.879,0.045,0.594,0.04,1.03,15.896492,0.002929,16.701893,0.007381,14.998167,0.003899,1.703726,,,1.308,1093.38,158.88,398.67,1.0,0.8535325829994977,0.001654653953762521,0.0,0.16474707131273464
0.2601,-0.2597,0.1088,16,282.83928472579,0.0639,-15.07622334555,0.059,4101712772960334208,1.7661,0.0731,7.738,0.073,0.627,0.062,0.984,16.95196,0.002948,17.964041,0.015109,15.921948,0.007819,2.042092,,,1.372,1035.436,73.116,148.654,1.0,0.7214987130007379,0.0008699561689433234,0.0,0.04948821220659509
