pmRApmDEcor,PlxpmRAcor,PlxpmDEcor,Nper,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,Source,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RUWE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BPRP,RVDR2,e_RVDR2,EBPRP,RFG,RFBP,RFRP,Pmemb,mass,er_mass,comp_mass,er_comp_mass,q,e_q,r,mass_system,e_mass_system,r/rh
0.1763,-0.2654,-0.0096,16,294.70667402154,0.0194,-1.33949645538,0.0152,4238198209295382272,1.4493,0.0232,0.204,0.022,-8.542,0.018,0.95,14.342727,0.002854,14.807122,0.003763,13.712139,0.00326,1.094983,,,1.225,1460.955,429.912,644.218,0.99,1.0641085806954331,0.0027774120996721,0.2544636263593,0.2566736486511299,0.2391331401472196,0.2412108243597044,0.29500818930142897,1.318572207054733,0.25668867511024923,0.07065922518932512
0.2216,-0.3538,0.0461,15,294.7105944187,0.0522,-1.28278430226,0.0434,4238199407583082624,1.4626,0.0655,0.138,0.056,-8.641,0.049,0.99,16.422514,0.002915,17.18882,0.007549,15.560596,0.004109,1.628224,,,1.289,1140.523,154.779,359.94,0.99,0.7379347822121279,0.0005993845498097,0.0,0.0437356888938253,0.0,0.0592676886197416,0.6259411827776487,0.7379347822121279,0.04373979589408282,0.1499230210994829
0.3189,-0.2963,-0.0656,16,294.61162527442,0.0582,-1.33893172078,0.0461,4238201713988949760,1.5066,0.0695,0.127,0.067,-8.527,0.057,1.025,16.55788,0.003191,17.329884,0.011897,15.68299,0.005685,1.646894,,,1.298,674.396,93.883,219.209,0.99,0.7243898734187766,0.0006941135086776,0.0,0.0,0.0,0.0,0.8433986379107353,0.7243898734187766,0.0006941135086776,0.20200759315062192
0.2332,-0.2761,0.0494,15,294.65072030538,0.0705,-1.2631324427,0.0563,4238202676061477504,1.7374,0.0858,0.182,0.084,-8.704,0.073,3.794,9.668784,0.00277,9.766994,0.002824,9.455378,0.002803,0.311616,,,1.175,3772.886,2473.779,4004.257,0.66,2.936353598130493,0.0171650137646944,1.643801133773584,0.124549686912628,0.5598103494143735,0.0425424974830299,0.8587121731895403,4.580154731904077,0.1257269350917925,0.20567543213594638
0.144,-0.156,-0.0258,15,294.61994900531,0.0238,-1.26890939545,0.017,4238202607342017280,1.55,0.0275,0.122,0.027,-8.425,0.021,1.024,11.274449,0.002791,11.398811,0.002961,11.039809,0.002828,0.359002,,,1.169,2453.592,1096.999,2340.601,0.98,2.083842484040081,0.010204387034751,0.569241717920365,0.4186043556876232,0.2731692641263072,0.2008854507877437,1.0193824393545021,2.6530842019604464,0.41872871422366675,0.24415855541825943
0.2964,-0.2646,-0.1964,16,294.59215437787,0.0925,-1.36795670666,0.0787,4238197144143546112,1.6946,0.1091,-0.068,0.108,-9.016,0.091,1.057,17.240273,0.003167,18.261364,0.015277,16.243828,0.006555,2.017536,,,1.337,695.27,72.286,183.045,0.96,0.6501423899691132,0.0035631543852156,0.2189520341146095,0.1563316536608895,0.3367755087081945,0.240464645082113,1.1532684959995532,0.8690944240837227,0.1563722545898766,0.27622642800374625
0.241,-0.214,0.0581,15,294.58700472543,0.0179,-1.28406961926,0.0137,4238202950939411840,1.4969,0.0206,0.061,0.019,-8.632,0.016,0.781,9.564029,0.002995,9.610598,0.004158,9.425006,0.004473,0.185592,,,1.173,925.213,352.213,310.605,1.0,3.030037556106879,0.0006807775019066,0.0,0.0,0.0,0.0,1.238985528548368,3.030037556106879,0.0006807775019066,0.29675704147508586
0.256,-0.2154,0.0492,15,294.58523624168,0.014,-1.28460792597,0.0109,4238202946639126016,1.4792,0.0162,0.04,0.015,-8.96,0.013,0.923,12.632895,0.003001,12.927215,0.006716,12.173239,0.004525,0.753976,,,1.196,912.352,177.732,304.824,1.0,1.4796755546796725,0.0075151196114384,0.7901770470748295,0.0695001611436997,0.5340204780539819,0.0470481077486027,1.2550182086108443,2.269852601754502,0.06990528893992537,0.30059712724899434
0.3387,-0.1697,-0.0743,18,294.60839256508,0.0118,-1.42279493572,0.0103,4238195628010527232,1.4652,0.0131,-0.008,0.014,-8.524,0.012,0.875,12.195276,0.002765,12.414577,0.002881,11.826675,0.002838,0.587902,,,1.184,4640.19,1515.734,2098.991,0.99,1.6465094282907615,0.0049651192260401,0.3921653737747782,0.3527374529507263,0.2381798531101546,0.2142346890145572,1.3943226589084623,2.0386748020655396,0.3527723956364707,0.33396279261158246
0.3933,-0.4264,-0.1819,16,294.84586994907,0.2185,-1.4359043351,0.1704,4238184705922010368,1.4132,0.2741,0.137,0.255,-8.361,0.205,0.965,18.918571,0.00563,19.659491,0.092701,17.576273,0.0256,2.083218,,,1.816,221.135,11.717,42.665,0.93,0.5098970925192553,0.0056599987272981,0.0,0.0266033754369006,0.0,0.0521740088876776,2.257206238533081,0.5098970925192553,0.027198808250173432,0.540637343949441
