pmRApmDEcor,PlxpmRAcor,PlxpmDEcor,Nper,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,Source,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RUWE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BPRP,RVDR2,e_RVDR2,EBPRP,RFG,RFBP,RFRP,Pmemb,mass,er_mass,comp_mass,er_comp_mass,q,e_q
0.0034,-0.0044,-0.1727,18,121.2139962893,0.0458,-11.4368123073,0.0332,3037733375215947904,1.9332,0.072,-6.432,0.065,-2.149,0.049,3.521,10.784132,0.002777,10.848867,0.002811,10.589162,0.002808,0.259706,,,1.187,3108.833,3211.812,3430.805,0.65,1.710740373318585,0.0192728238206663,1.3181942491421603,0.0335137579587008,0.7705402115372171,0.021427351400357276
-0.0081,0.1943,-0.1916,20,121.22655196732,0.1197,-11.43467209302,0.0877,3037733542718942720,1.4822,0.1927,-6.822,0.179,-1.742,0.131,1.009,18.668587,0.003061,19.997892,0.052476,17.50824,0.009056,2.489653,,,1.439,813.596,20.719,126.026,0.98,0.3912647306474712,0.0069527876189091,0.0,0.0352538973105335,0.0,0.09010241544693993
-0.0364,0.1722,-0.215,18,121.15943395758,0.041,-11.47391481703,0.0311,3037731725953070336,1.7191,0.0665,-7.758,0.057,-1.675,0.045,4.337,12.828135,0.002788,13.165844,0.003105,12.318215,0.002983,0.847629,,,1.205,2562.205,796.776,1030.379,0.96,1.0651302697586038,0.0232454131997785,0.9762587216848004,0.0346853934647037,0.9165627429835932,0.038217366642910276
-0.1206,0.1492,-0.0944,20,121.23129007341,0.0157,-11.41393258406,0.0121,3037733787537320064,1.774,0.0238,-7.085,0.023,-1.809,0.017,1.089,14.651362,0.002778,15.103841,0.003104,14.032207,0.003028,1.071633,,,1.223,3086.525,797.747,923.778,1.0,0.843612175849676,0.0009755805645183,0.0,0.1073760193041507,0.0,0.1272812583531086
-0.0707,0.227,-0.0645,19,121.28495875218,0.0274,-11.5233410827,0.0209,3037720146721195904,1.806,0.0414,-6.773,0.04,-1.378,0.03,3.064,12.319542,0.002764,12.583077,0.002841,11.8962,0.002839,0.686877,15.15,6.79,1.191,4830.354,2029.127,2066.329,1.0,1.187650315218069,0.0304441021704675,1.049681085065752,0.0504529257486862,0.8838300900657077,0.048145147576033144
-0.0293,0.281,-0.1308,21,121.17867740795,0.0898,-11.38527039713,0.0677,3037734852689225216,1.8418,0.1483,-7.126,0.136,-1.589,0.101,1.0,18.210106,0.002958,19.52742,0.026725,17.094646,0.006397,2.432774,,,1.392,1008.951,40.849,188.61,1.0,0.4463545425592501,0.0113559120267597,0.0,0.0695143296678985,0.0,0.155737923645464
0.0233,0.165,-0.1674,21,121.27097617227,0.008,-11.33849186544,0.0059,3037740796923902592,1.7486,0.0121,-6.743,0.012,-1.236,0.008,0.89,12.684484,0.002764,12.961517,0.002874,12.250603,0.002831,0.710915,,,1.19,5063.943,1577.906,2272.783,0.99,1.172452465020768,0.0168308533357779,0.8287753664829864,0.0587999423774391,0.7068733199928119,0.051167521820514164
0.0689,0.2929,-0.0631,20,121.36726678452,0.113,-11.49046426969,0.0862,3037720451658519936,1.9743,0.1859,-7.134,0.185,-2.003,0.131,0.992,18.659992,0.003059,19.965702,0.037688,17.477194,0.009724,2.488508,,,1.469,817.511,28.888,116.558,0.99,0.3912860933682658,0.0107083246488209,0.0,0.0570075988905065,0.0,0.1456928826674471
-0.0623,0.1904,-0.0228,18,121.28504345215,0.0633,-11.62061468866,0.0531,3037714885381794816,1.7777,0.1024,-6.949,0.092,-1.606,0.076,0.999,17.610769,0.00285,18.656786,0.015729,16.601788,0.004733,2.054998,,,1.343,1492.077,70.138,283.978,1.0,0.5143522628972699,0.0011165995319125,0.0,0.0,0.0,0.0
-0.0005,0.3086,-0.1743,20,121.32879709515,0.019,-11.35288464755,0.0138,3037740178448584832,1.7817,0.0311,-6.976,0.03,-1.774,0.02,0.986,15.406787,0.002779,15.973862,0.003331,14.691541,0.003193,1.282321,,,1.244,2999.946,596.5,699.678,1.0,0.7419397663050397,0.000732422352777,0.0,0.0526490822859301,0.0,0.07096139697179145
0.0942,0.252,-0.0859,21,121.3841829176,0.0154,-11.4874368345,0.0117,3037723376536539904,1.7999,0.0237,-6.953,0.024,-1.73,0.017,0.949,9.681119,0.002765,9.667118,0.002805,9.68012,0.002804,-0.013002,,,1.156,4748.281,3715.246,3916.971,1.0,2.334758174498115,0.1335420460680773,1.7315022375164246,0.1957689299975222,0.741619520355093,0.0939687657821774
0.1623,0.2272,-0.0867,21,121.38359109796,0.0326,-11.51125835254,0.025,3037717432301811712,1.7696,0.0525,-6.914,0.054,-1.732,0.037,0.977,16.438599,0.002997,17.232309,0.007995,15.570812,0.004167,1.661497,,,1.285,920.445,144.922,350.739,1.0,0.6116908517240313,0.0005397355080045,0.0,0.0,0.0,0.0
-0.0298,0.2213,-0.1903,21,121.22624254773,0.0168,-11.65665139991,0.0133,3037714511724171008,1.7286,0.0264,-6.816,0.026,-1.535,0.019,1.248,10.991905,0.002771,11.048002,0.002823,10.873796,0.002803,0.174207,,,1.158,3633.167,2544.504,4060.47,1.0,1.7396967297203076,0.0099722917828098,0.6324119274660265,0.3445595286453125,0.3635184895517392,0.19806819898184172
0.0219,0.1095,-0.1971,21,121.24649972241,0.0127,-11.29013332922,0.0095,3037744473415903104,1.7712,0.0187,-7.011,0.018,-1.642,0.013,0.992,14.343643,0.002999,14.755472,0.004981,13.752778,0.00423,1.002694,,,1.222,916.571,263.154,341.471,1.0,0.8910768378518764,0.0021364737581194,0.1376883366370382,0.1917797910343817,0.15451903897419686,0.21522282593778536
-0.1134,0.1923,-0.146,21,121.21132563526,0.0561,-11.28549790118,0.0446,3037744370336705664,1.6752,0.0855,-7.188,0.079,-1.592,0.065,1.036,17.325434,0.002907,18.362085,0.010505,16.320505,0.004182,2.04158,,,1.341,1173.465,107.203,348.54,1.0,0.5372837334550639,0.0006438153661076,0.0,0.0,0.0,0.0
-0.02,0.2422,-0.0792,20,121.41006829145,0.0313,-11.50287672756,0.0241,3037723101658624256,1.8108,0.0463,-7.439,0.046,-1.137,0.034,2.304,11.420273,0.002788,11.605587,0.002843,11.096772,0.002837,0.508815,,,1.178,2560.416,1993.353,2113.167,0.93,1.4012827268351686,0.03061362092055,1.276672003395627,0.0404603679969399,0.9110738175436031,0.03506950073568017
0.0872,0.2982,-0.1004,21,121.41669624998,0.0267,-11.49344888055,0.0201,3037723342176787200,1.7289,0.0426,-6.858,0.042,-1.68,0.029,1.017,16.107397,0.002904,16.815628,0.005936,15.291014,0.004115,1.524614,,,1.271,1184.192,207.236,358.994,1.0,0.6557781443106222,0.0006210600341867,0.0,0.0,0.0,0.0
-0.0306,0.2969,-0.1914,21,121.39057270847,0.0363,-11.36761392627,0.0267,3037728221259605376,1.7492,0.0563,-7.08,0.055,-1.622,0.039,0.993,16.799757,0.002887,17.690643,0.007832,15.869057,0.00384,1.821587,,,1.311,1258.241,148.371,411.556,1.0,0.5801726874137192,0.0006464541427342,0.0,0.009579330147583,0.0,0.016511170476303398
-0.0882,0.2232,-0.2098,22,120.99822337298,0.0183,-11.42669207563,0.0142,3037736364517802496,1.6874,0.0281,-6.765,0.026,-1.582,0.021,1.037,15.209682,0.002819,15.732672,0.003785,14.53393,0.003237,1.198742,,,1.232,1819.066,424.403,661.896,1.0,0.7665287171080811,0.0005881935665595,0.0,0.0184992767823339,0.0,0.024133833957489536
-0.064,0.3374,-0.1251,21,121.41327835016,0.0286,-11.39940686768,0.0221,3037727362266144896,1.9337,0.0438,-6.907,0.044,-1.752,0.032,0.938,12.588033,0.002762,12.839419,0.002858,12.186777,0.002828,0.652642,12.8,5.68,1.184,5764.157,1756.406,2364.451,0.99,1.2196621441405966,0.0103672769930251,0.7012582375925281,0.1360567184251321,0.5749610586517397,0.11165979886689457
0.0526,0.0791,-0.142,22,121.24227091246,0.0181,-11.26291908998,0.0137,3037744782653540992,1.7814,0.0258,-6.954,0.027,-1.79,0.02,1.349,11.149982,0.002796,11.322173,0.002956,10.838417,0.002858,0.483756,,,1.18,2289.052,1111.203,1748.464,1.0,1.458748601411015,0.0228651907439857,1.3810979734292272,0.0270547529588726,0.9467690129014157,0.023752992822296082
-0.0628,0.3144,-0.0854,18,121.39253471979,0.0854,-11.32841582633,0.0655,3037730007967716096,1.756,0.1416,-7.254,0.142,-1.562,0.097,1.04,18.096149,0.00293,19.382885,0.022529,16.962379,0.005942,2.420506,,,1.418,1089.866,48.568,206.936,1.0,0.440230355858221,0.0228551254917654,0.1752823119540828,0.1188229198521411,0.3981604394644098,0.2707011659730358
0.0249,0.2278,0.0223,20,121.2458930536,0.0187,-11.23090650863,0.0144,3037744988811959424,1.7244,0.0277,-6.945,0.028,-1.559,0.021,1.302,11.189946,0.002775,11.269841,0.002853,11.029966,0.00281,0.239875,,,1.162,3312.937,1828.356,3279.161,1.0,1.659641370662137,0.0071534509273754,0.4737432416316223,0.3571189054923329,0.28544916390136493,0.21518187574334313
0.1364,0.1107,-0.261,19,121.01826972919,0.0232,-11.27996248756,0.0175,3037786186139559296,1.7075,0.0355,-6.902,0.037,-1.641,0.026,0.977,15.480337,0.003174,16.058199,0.006571,14.747651,0.004892,1.310548,,,1.252,688.988,182.515,270.222,1.0,0.7342734752435299,0.0007909041196093,0.0,0.0538232691713747,0.0,0.07330139380770034
-0.1639,0.3441,-0.264,21,121.05967344549,0.0163,-11.71222922376,0.0126,3037692006094685056,1.7243,0.0259,-6.878,0.024,-1.456,0.019,1.02,10.157068,0.002765,10.162615,0.002815,10.123631,0.002798,0.038984,,,1.156,4763.396,2934.881,5272.834,1.0,2.161905049608867,0.0219732679151972,1.2710474641237384,0.0539214649319253,0.5879293655166293,0.02564748814378934
